,0,1
0,movie,22699
1,film,13449
2,like,8918
3,character,7933
4,story,7648
5,one,7478
6,make,7405
7,see,6806
8,good,5974
9,animation,5600
10,watch,5428
11,love,5303
12,great,5291
13,really,4923
14,time,4900
15,well,4889
16,get,4683
17,original,4606
18,song,4554
19,think,3880
20,much,3583
21,voice,3498
22,even,3397
23,also,3375
24,look,3321
25,say,3272
26,best,3179
27,way,2977
28,feel,2956
29,give,2955
30,take,2937
31,scene,2895
32,family,2863
33,go,2861
34,thing,2831
35,come,2817
36,year,2752
37,know,2674
38,music,2662
39,people,2592
40,new,2522
41,animate,2521
42,kid,2449
43,end,2343
44,first,2298
45,many,2277
46,find,2262
47,little,2251
48,want,2209
49,still,2200
50,child,2109
51,life,2070
52,work,1964
53,show,1959
54,lot,1903
55,plot,1899
56,bad,1898
57,old,1886
58,version,1811
59,something,1802
60,ever,1779
61,classic,1764
62,remake,1760
63,beautiful,1758
64,never,1739
65,heart,1722
66,emotion,1697
67,live,1691
68,real,1648
69,every,1640
70,enjoy,1640
71,part,1625
72,world,1614
73,action,1565
74,fun,1557
75,seem,1549
76,back,1514
77,funny,1501
78,try,1492
79,need,1485
80,young,1453
81,act,1450
82,tell,1414
83,felt,1391
84,two,1379
85,do,1363
86,use,1348
87,different,1333
88,moment,1325
89,big,1319
90,animal,1309
91,musical,1309
92,though,1308
93,bring,1283
94,point,1263
95,bit,1254
96,book,1242
97,start,1220
98,review,1204
99,comic,1170
