365 dni (2020) ,Drama,Romance
After We Collided (2020) ,Drama,Romance
Chhalaang (2020) ,Comedy,Drama
Deadpool (2016) ,Action,Adventure,Comedy
Dolittle (2020) ,Adventure,Comedy,Family
Emma. (2020) ,Comedy,Drama,Romance
Enola Holmes (2020) ,Action,Adventure,Crime
Freaky (2020) ,Comedy,Horror,Thriller
Gisaengchung (2019) ,Comedy,Drama,Thriller
Greenland (2020) ,Action,Drama,Thriller
Hamilton (2020) ,Biography,Drama,History
Holidate (2020) ,Comedy,Romance
Home Alone (1990) ,Comedy,Family
Jingle Jangle: A Christmas Journey (2020) ,Family,Fantasy,Musical
Jiu Jitsu (2020) ,Action,Sci-Fi
Lo imposible (2012) ,Drama,History,Thriller
Love Actually (2003) ,Comedy,Drama,Romance
Ludo (2020) ,Action,Comedy,Crime
Megan Is Missing (2011) ,Drama,Horror,Thriller
Monster Problems (2020) ,Action,Adventure,Comedy
Mulan (2020) ,Action,Adventure,Drama
Nokeu nokeu (2015) ,Drama,Thriller
Rebecca (2020) ,Drama,Mystery,Romance
Soorarai Pottru (2020) ,Drama
Spider-Man: Into the Spider-Verse (2018) ,Animation,Action,Adventure
The New Mutants (2020) ,Action,Horror,Sci-Fi
The Trial of the Chicago 7 (2020) ,Drama,History,Thriller
The Witches (2020) ,Adventure,Comedy,Family
Thor: Ragnarok (2017) ,Action,Adventure,Comedy
Unhinged (2020) ,Action,Thriller
