,0
0,"Everybody is saying this one is better than the first one. No way. The first one wasn't amazing or anything, but I liked it. I was looking forward to this, but oh my god it was AWFUL. I can't believe I wasted seven whole dollars to rent it. All they did was focus on the sex because they can show it now. That's all that happened. Sex and toxicity and completely unrealistic plot lines about being an intern. Plus a bunch of other terrible stuff. It just got worse as the movie went on. Don't waste your time."
1,I wanted to like this one but everything was just rushed. Nothing built up and it just felt flat. The only redeeming thing about the whole movie was Hero Fiennes Tiffin. Watch it of you're a fan of the books I guess but if not don't even bother.
2,"Okay so during the movie I was baffled by how overdramatic Tessa, Hardin and the girl with the purple hair were acting. It didn't seem like real people to me until I realised that yes, sometimes young immature people behave and talk like that (I'm 23). They scream and make assumptions and have trust issues. They are egotistic, overly jealous and completely ridiculous in how they act in their relationships. I mean they truly think that this is what real love is and feels like. If your significant other isn't toxic and doesn't make you cry 80% of the time then are you even in love?
And then one day you grow up and realise that true love makes you calm, and happy, and it makes you feel safe and understood. You never search for the knife in your back because it's not there. Sometimes real relationships are so good they get boring and that's okay. Of course there are always hardships but they don't look remotely like the ones in this movie.
Let me be clear. HARDIN AND TESSA SHOULD NOT BE TOGETHER. At least not at this part of their lives. They are both very immature and toxic to each other. The trust is not there and they keep hurting each other. They retaliate and purposely try to hurt one another. I hope young people seeing this don't mistaken this for what it isn't. On the other hand who hasn't made mistakes regarding their love life. So I guess at the end of the day you should do you.
Moving forward to the actual movie.. it's even worse. The dialogues, man, the dialogues. The direction makes want to cry(not in a good way). I really think that many problems with the movie had to do with the problematic writing state that the books are in. Bad material can only get better to a certain point.
If I were 14 I might have likes this movie. But I'm not."
3,"One star for the main actors, for the effort and sacrifice to act in a movie this bad.
the script, the costumes, the lack of catchy music????? who the hell approved of this movie when it was made??? i actually, honestly dont get it... and im sad because i kinda liked the books."
4,"I watched it in the cinema and it really sucked. No real plot and I couldn't wait for the end which was also predicted. Boring, basic, hard to watch (u get bored easily). Wouldn't recommend."
5,"Really bad film, not worth watching. After 10mins i wanted to leave"
6,"First day of your internship your boss wakes you up and bam you stay in a luxury hotel and get drunk at the party. 🤔 hmm...
Then your ex kicks the doors so he appears tough and shows how much of a bad guy he is. 🤔hmm...A little more logic wouldnt hurt"
7,"The relationship is just so toxic. There is no character development and the slut shaming is so disappointing. Tessa's coworker is supposed to be a hot distraction but there was no character development and no chemistry between the 2 actors. I really don't get how people rate this 10/10, this movie is quite bad."
8,"Sorry but this movie is really bad, iwas so excited for the trailer but then this , sorry hero and jo i really love you guys so much but the movie is so bad , and anne i have read the series and it's one of my favorite but why's the movie is such a waste of time"
9,"The first film was bad, that's just a fact, the trailer for the second one is absolutely horrendous. How is this a franchise? And there target demograph for this film makes it all the more disturbing. Young girls are gonna see this and think it's okay to be in a clearly toxic and abuse relationship as long as the guys handsome and a complete tool, it'll be fine. The first one was bad and I'm pretty damn sure the second one won't change my thoughts."
