,0
0,Had to write a brief review as the level of ignorance regarding RDJ's accent is astounding.As a Welshman I can say his attempt at a Welsh accent is not a bad effort at all. Like many places around the UK we have regional variaions but RDJ does a passable version of a South Wales Valleys accent and that is no mean feat.As far as the plot is concerned you have to remember this is a family film that's full of CGI animals. Was it great? Not quite - but there was enough fun to enjoy if you could get past the the initial shock that Dolittle wasn't from England.Sadly it seems this was too far out of some peoples comfort zones and because of that they missed the hidden meanings of the film which circled around friends and friendship.
1,"You get what you expect with this film - easy to watch and a good laugh from start to finish. As family friendly as a film gets. The cast (both in person and voice over) are of the highest calibre and this only adds to the quality.A note on Downey Jr's Doctors accent - it is a South Wales accent. Not only did I pick up on this immediately, but I would know... being Welsh and having the very accent myself. He pulls it off with a more than decent attempt.To summarise - very good viewing."
2,"No, this is not an Oscar contender.But all the negative reviews are completely unwarranted.This movie is cheesy and fun. It has talking animals. Good guys and bad guys. A love story. Comic relief.It's meant for kids, people. And mine loved it."
3,"I was worried going into this that it would be awful based on early reviews. It turned out to be a delightful, humorous family movie with CGI that would put most films to shame. Yes, there are cheesy over-the-top jokes. Yes, a lot of it is silly. Yes, the plot is simple. It's a movie for children! Robert Downey Jr was charming, Michael Sheen was every bit that classic mustache-twirling villain, and Antonio Banderas surprised me with his performance! The child actors were impressive and believable, and the voice acting was cute and probably the funniest part of the movie. Again, let me say- this is a movie intended for children that can be enjoyed by adults who aren't expecting a drama of the year. Let your inner kid out and see a movie for fun. I thoroughly enjoyed this one!"
4,"If you in for a movie that is just fun and relaxing with a good message about families and helping people out while laughing at silly jokes, this movie is for you. The animals were quite fun with their little jokes and silly comments. My kids really enjoyed it and we thought it was a good family film with a good message. Sit back and enjoy the ride. It's a fun film that everyone can enjoy. Suitable for ages 1 to 101."
5,"If you think this movie was boring or terrible you have no imagination and your inner child is dead old and grumpy. It was delightful, imaginative and enjoyable to watch. I don't understand all the hate for it. Go see it and imagine!"
6,"The negative reviews here are lacking consideration of the viewer such a movie intends to alight and invite in: not film or literature aficionados; children. This movie is perfect for elementary school age kids, entering the genre of film and unawares or wary of the mature themes, titles and classics that flit by in their budding lives. Don't review or see this movie as a critic. Consider it as a parent and carrier of culture, and see it as an amuse bouche for the little blossoming beloved in your life. This film is great."
7,"Critics were already chomping on their pens to ostracize this movie and singularly RDJ. Not playing Tony Stark/Iron Man. Let's just tear him up. Well....I'm no critic. I found Dolittle to be enjoyable,adventurous and entertaining. Big step out of the SUIT of ARMOR and into a raggedy-clothed character who talks to animals. But it's meant to be just that-ENJOYED. Not Oscar,Golden Globe or whatever other award there is.....just enjoyed and entertaining. No crime in that is there?"
8,"This movie is a great, feel-good movie. Why is it so unpopular? The characters are loveable and endearing, the plot easy to follow, and the message sweet and warm. This is definitely the movie to watch if you're feeling down. Dont listen to the haters. Go watch it!"
9,If you want something meaningful and deep watch a Tarantino or Nolan movies. This movie is meant to be for family and fun . And exceeded my expectations.
10,"Stop the haters! Am giving the movie 10 stars to try to get it up to the 6ish it deserves. The movie was funny, well-cast, and an enjoyable story worth the time. I almost didn't watch it thanks to the haters, Dolittle was one of my favorites as a child, so I'm glad I gave it a try. RDJ's accent and characterization were excellent. Banderas and Thompson? Brilliant! The flatulence and poop jokes? Have any of the haters spent time with children lately? Such jokes will never grow old, is our very human way of coping with our very animalistic nature. Everybody poops, y'all. And everybody feels pain and loss yet survives in community and friendship and love. We're all in this together."
11,"Great Entertainment , VfX are amazing. And you will laugh Every 10 mins. RDJ Is Heart Of This Movie. You Will Miss Iron Man In Him But You Will Be Satisfied By His Role in this Movie. Must Watch . Kids Will Love It And Adults Will Enjoy It .
Don't Go With Critics . Anyone can sit and review movie . Must watch movie 8.5-10"
12,"Solid family adventure movie and have multiple funny moments. Story is quite predictable, at least not boring.
Main cast is every kind of well animated animals."
13,"To all the ""professional"" reviewers from the online news sites. You seem to have lost your inner child. I loved this movie. When I was 7 years old I saw the 1967 Dr Dolittle and it left a life long impression. Robert Downey Jnr and his team have done an exceptionl job in not trying to recreate that movie but by bringing more to the story. My suggestion is go and watch this movie as if you are still 7 years old, open your mind, your heart and your imagination. You will not regret it."
14,"This movie is not at all what I was expecting, RDJ does a beautiful job of the eccentric crazy Dr."
15,It's a good movie to watch with your family. It's not going to win an Oscar or by all means any award; But it's a heartfelt and funny movie. My family really enjoyed it. It's nice to sit and watch a decent movie with decent acting. Go watch it it's not as bad as the reviews on here make it seem.
16,"If you are going to watch a movie with a child, you can choose this movie. I also watched versions of Eddie Murphy. This movie is more beautiful. Scenarios and jokes are better. Visual effects are realistic."
17,"I just saw the movie and I can't understand why people hate it. It's funny, heartwarming and has beautiful images. RDJ is once again great showing us a different side of his acting. Don't forget this is a kids movie and it has to be more loose and cringe (for adults) sometimes."
18,"Probably one of the best 2020 movie for children and parents. Beautiful sceneries and amazing cgi! Don't listen to the usual phony critics who made their life criticizing about everything they watch, hear or see others do 😜😷"
19,"This movie is really fun for children, and the whole family at that. Surely, it lacks complexity and innovativeness, but these qualities we appreciate in sci-fi action thrillers and dramas, not this kind of works. Anyway, it's worth the time."
20,"This is one of those films that brings a lot nostalgia back to mind. I like the concept these people are going with here. A Dr. Dolittle remake would be perfect especially the time right now. I know people have mixed feelings about this, but I like it."
21,"Its a great family movie, my son is 4yo, doesnt speak english, but really enjoy the movie.."
22,"It was fun to watch, the animals CGI was done so beautifully, to the extent that I never really thought it's CGI. Voice actors were brilliant and RDJ was AMAZING.
A lot of love for animals that was so heart warming and we laughed alot. A lottt!"
23,Another film the critics can't grasp its a film designed for families and children not for the serious explorer or vet enjoy some family time and they will easy up to this type of film
24,I went in reluctantly a big fan of the originals especially after seeing the rating on here beforehand however it was honestly a breath of fresh air. They haven't tried to rip the originals off and it is a completely different take. Honestly heartwarming from start to finish with just the right amount of laughs along the way and some fantastic special effects. One of the best family films I've seen in a good long while.
25,"It's rare to find a true children's film, but DOLITTLE touches the heart and one must remember what it is like to be a child and find wonder in the world. This film is Enchanting, beautifully realized and acted, and above all .... endearing."
26,"Great like the books, I'm excited to bring this one home for my kids to watch with. It's funny, witty, and adventurous."
27,"Stephen Gaghan's re-imagining of the classic character gifted with the ability to talk to animals brings it back to its storybook origins, where Dolittle is a famed doctor veterinarian in 19th-century Victorian England. Based on the second of Hugh Lofting's Doctor Dolittle books, 'The Voyage of Doctor Dolittle', it follows the doctor on a quest to a mythical island to find a cure for the Queen Victoria (Jessie Buckley), who has been poisoned by the conniving Lord Badgley (Jim Broadbent) and Dolittle's enemy Doctor Mudfly (Michael Sheen).That quest is also intended as emotional closure for Dolittle, whom we are told in the animated prologue had secluded himself behind the high walls of Dolittle Manor following the death of his wife Lily (Kasia Smutniak) seven years ago. Not only does Dolittle have to come out of hiding, the mission also requires him to retread Lily's fateful voyage, before she was lost in a storm out at sea. It also gets personal for Dolittle in other ways, including having to come face to face with Rassoulim (Antonio Banderas) and the ferocious tiger Barry (Ralph Fiennes).Not that much of it matters; in the hands of director and co-writer Gaghan, 'Dolittle' is little more than a series of frantic set-pieces under the guise of a swashbuckling adventure. That freneticism is also as a result of a whole menagerie of animals which Dolittle brings along on his voyage - including an insecure gorilla (Rami Malek), a bouncy polar bear (John Cena), a quarrelsome duck (Octavia Spencer), and a wise macaw (Emma Thompson) - that are constantly fighting for attention and screaming over each other in order to be heard.Each scene is as messy as you can imagine, with little point except to create enough distraction to keep the younger ones among the audience entertained with the non-stop bickering. Worse, these non-human characters seem to be all over the scene at the same time, often either eclipsing Dolittle or making him seem utterly inconsequential. It doesn't help that there is little depth to each one of the non-human characters, even with a whole bunch of Hollywood A-listers assembled to give them voice, especially since they are simply given one single defining trait and nothing more.Much of the blame unfortunately lies with Gaghan. The Oscar-winning writer of such geopolitical fare as 'Traffic' and 'Syriana' seemed to us an odd choice to direct such a special-effects heavy family movie when he was first attached, and the results prove that he is truly and completely out of his league. Not only are the jokes unfunny, the action is terribly unexciting and uninvolving, and not even the purportedly late salvage attempts by 'TMNT' director Jonathan Liebersman and 'The Lego Movie' writer Chris McKay can turn around what is essentially a misguided movie from the very start.As much as we like RDJ, there is only so much the charismatic actor can do with such an underwritten role. Though the plotting promises a poignant journey for Dolittle coming to terms with the loss of his beloved wife, that proves to be no more than a convenient device in the scheme of the overall narrative, raised only when expedient to remind us that there is more to the man than his eccentricities. Oh yes, it should come as no surprise that RDJ brings his trademark playful yet confident air to the character, but even that is no match for the sheer commotion that follows him around the entire movie, no thanks to the incessant cacophony of his animal companions.Much bad press has preceded the release of 'Dolittle', and unfortunately those rumours aren't simply speculation. There is frankly little charm to this feverishly chaotic movie, which seems modelled after the 'Pirates of the Caribbean' series but is hardly able to muster the same idiosyncratic appeal. It is little secret that 'Dolittle' aims to create a new franchise for RDJ after 'Avengers', but we can't see why anyone would want to put themselves through this headache-inducing muddle again. As unlikely as it sounds, we'd take the Eddie Murphy movies over this anytime."
28,"The 5 of us in 3 generations went to see Doctor Dolittle today and completely enjoyed it from start to finish. Maybe critics don't like movies with a coherent plot. I don't know. Maybe they don't like RDJ's success at the moment.
Ignore them and go see this movie.
I read a crtiic's review of the dragon scene and wondered about it. Must have been a very uptight person who wrote it as there was nothing untoward about the scene and even the 8 year old got a good laugh out of it. Living creatures have tummy issues that can hurt and sometimes produces gas. Maybe the critic has too much gas and needs to release it.
Is there a doctor in the house?
Cheers"
29,"Saw the preview. I enjoyed it as much as the 5 year old! Solid Adventure Tale, with good humor unlikable characters. I think Robert Downey Junior did an awesome job, considering he was pretty much acting alone for most of the filming! Strong younger actors as well. As long as you don't mind the mixing of modern phrasing and jokes in a film set many many years ago, you'll do just fine."
30,"If you don't take Dolittle too seriously I'm sure you'll find enough enjoyment in the experience. It's really a family film, probably aimed at kids in the 6-12 demographic. It's got a few good laughs and it's a feel good adventure. Is it amazing? No, but it's not a bad way to spend a couple of hours."
31,I actually don't know why there is so much hate. I thought that this was a lovely family movie. Colourful and enjoyable.
32,"A funny family film. Great for children and adults to smile at.
Just think Sunday afternoon"
33,I enjoyed it. They need to make more positive movies like this.
34,"The movie had fun with building up special, warm moments and then crashing them with humor. My kids, wife and I had a blast. Lots of funny moments, perfect for kids, very well made with an old charm feel. Oh and it's not one of those sad Free Willy type movies where things die either."
35,"Have no idea why this film is getting so much hate!! Its brilliantly entertaining my 4 year old loves it and can follow the plot which is why I cant understand why it is confusing some adults!! 😂 I am unsure of what people were expecting, it has action, adventure, humour and Robert Downey Junior, what else do you want people!! And just to point out, hes doing a WELSH accent people and not a bad attempt at that!"
36,"Enjoyed this movie so much and my rating is 10/10 of course !! Funny moments and dialogues made me laugh, The CGI was so good as like as the acting. Totally worth my time, Thanks for making such an Amazing movie..."
37,"Dolittle is a remake/reboot of the Dr Dolittle that has been done many times by many different people. This time the Animal whisperer doctor is played by Robert Downey Jr. One of my favorite parts of this film is Antonio Banderas, his performance is very good for what he has to work with. RDJ does a decent job in this movie, but I felt sometimes his accent was a little weird and it wasn't always consistent throughout the movie.This film is very cliche and the story goes almost exactly where you would expect it to go, and is a perfect January movie release, as I watched I almost felt as though I was watching a Disney Channel movie."
38,"Dolittle boasts an all-time great (predominantly voice) cast, but wastes its talent on an all-time abhorrent script. It will likely do enough to keep your kids entertained, but the lazy jokes and awkward performances will prove a chore to sit through for the rest of us."
39,"Poorly cut scenes mar what could have been a fun adventure. By the end of the film I couldn't name a single character aside from the protagonist. No character development occurred anywhere so I didn't feel a connection with any of the characters. Most of the time I couldn't tell who was speaking because all of the voices sounded as though they were coming from a sound stage. The editing shows that there were reshoots and questionable choices. The opening ten minutes were so jarring that I can list this as the first movie to make me carsick. Underneath all of the issues could have been a great story, but I couldn't even get my 7 year old daughters to take an interest in this lackluster film. I even had to leave the room at one point because it gave me a headache."
40,There is nothing awesome about dolittle film. The only good part about this film is the special effects in making the animals look perfectly realistic. The story was very vague and there really wasn't any humor in this film. Mostly a film made for children only and not really an adult's cup of tea.
41,". I don't understand the terrible reviews and I getting sick of these bad reviews on these movies making me feel hesitant to go see them. The CGI's were awesome, rdj played this weird animal talking guy well. It was very interesting and I couldn't stop watching. Even shed a tear at one point."
