,0
0,"Grab the family, get comfy & enjoy great singing, acting, sets, & animation. The people that rated this low apparently need more movies like this in their lives. It was beautiful, clean and added a bit of magic & belief which is what we all need this Christmas. Wonderfully over the top - I highly recommend watching!!"
1,"Some people just have to spew hate but don't believe them. This is a WONDERFUL ADDITION to my list of 'watch every year' holiday movies with LOVELY ORIGINAL MUSIC and fun dancing. The cast's musical talent is off the charts and I love that it shows little girls as brilliant,
and mathematical. I am so happy for my two young grand-daughters to have Journey to identify with."
2,"What a magical movie!!! The colors!! The costumes!!! The singing!!! The sets!!!! The magic!!! It's a cross between The Wiz and Greatest Showman. I enjoyed every minute and will surely watch Jingle Jangle every Christmas holiday going forward right alongside Polar Express and Elf.Jingle Jangle is such a pure, heartfelt movie. You will enjoy it."
3,"What a great Christmas musical comedy!! Filled with great performances, songs, characters, cinematography and direction. Definitely worth a look!!Tim Treakle"
4,"I am a sucker for a good Christmas film, and a good underdog story. This one hit all the right notes. Yes, there are tooth-achingly cheesy moments-what would a good Christmas film be without those? But more importantly, when this movie hits your heartstrings, it really hits HOME. I was sobbing in the best, happy-cry way at multiple points, and when everything ties up with a bow at the end, it feels so truly well-earned. This captures the real meaning of Christmas-it's definitely going on the once-a-year Christmas film rotation."
5,"Such a magical uplifting Christmas movie. Music elements make it even better.
Just what is needed at this special time of year. Great cast, great acting, lovely story, great music, brilliant dancing and that extra touch of magic."
6,"I just adored this movie from start to finish. I'm a huge fan of stage musicals and this definitely gave me a stage-musical feel all the way. The story's very heart-warming and I the message in it is even better - nothing's impossible when you believe it can be done. We lose so much of this feeling when we grow up that we most often lose our way and this clearly demonstrated this belief. Back to the film though - the sets were absolutely breath-taking, the music was fantastic and uplifting, the singing was truly awesome and the dancing was exceptional - the cast was fabulous too - it was a breath of fresh air to see such a fabulously diverse cast.Overall, this is one movie that will remain a favourite of mine for years and years to come <3"
7,"This movie was Black Girl Magic, Black is King, and melanin greatness. It was beautiful, funny, heartwarming, magical, and colorful. The soundtrack alone is a whole mood. Little Black girls and boys can watch this movie and see themselves in Journey and Edison and let their imaginations run. I thoroughly enjoyed it!"
8,"Far beyond the usual Netflix Hallmark-style Christmas films, this one is high budget and very well produced. The musical numbers are fantastic and the costume design is marvellous. It's a tad cheesy and more than a little absurd, but the plot is solid and it's very charming."
9,"IN A NUTSHELL:
This jubilant movie is a breath of fresh air. If you love musicals, you'll love this. If you don't, step away. It feels like a colorful Broadway stage play but it's even better because of the magic of technology and filmmaking. The movie was written and directed by David E. Talbert featuring a mostly African-American cast. It's not the typical Christmas show, but it will definitely get you in the mood for magic and wonder. Thank you to Netflix for saving 2020 with all of the awesome content this year and for inviting me to screen this movie early!TIPS FOR PARENTS:
This is entirely family-friendly entertainment. Yay!
Little girls, especially, are going to love this.
When your kids have a hard time with math, just remind them about the ""square root of possible.""THEMES:
""We wait for no tomorrows!"" - Don Juan Diego (Ricky Martin)
""The square root of impossible is the possible in me!"" - Journey ( Madalen Mills)
Obstacles
Possibilities
Be who you're meant to be
""If you believe, it's all possible."" - Grandmother (Phylicia Rashad)THINGS I LIKED:
The musical score by John Debney is spirited with fun variety. I don't know if little girls around the world will stop singing songs from Frozen 2 but these songs are really sweet. Every singer in the cast blew my socks off. The songs perfectly fit the scenes and feel like they belong to the story.
The lively singing and energetic dancing are delightful. It reminded me of the joyful movie The Greatest Showman , which is quite a compliment because I absolutely love that movie.
The talented cast includes charismatic performances by Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Phylicia Rashad, Justin Cornwell, Anika Noni Rose, and even Ricky Martin!
Madalen Mills is absolutely adorable and fantastic. Her voice is pure and she's definitely got some acting chops that will surely grant her a great future in films. Do I smell Disney in her future?
Who else wants Phylicia Rashad to be their grandmother? Yes, please.
I thought the toy matador was so fun and I wanted to see more of him. He's voiced by none other than Ricky Martin!
I love how the live-action movie was intertwined with animation.
There is a cute snowball fight scene that used local business owners and shops as Extras in Norwich, England where the scene was filmed.
Charming set design and production.
I didn't know Keegan-Michael Key or Forest Whitaker could sing! Wow! Nice! Forest Whitaker actually sings three times!
John Legend recorded the song ""This song"" and stated, ""As a father, I jumped at the chance to be involved with a holiday film that's both inspirational and inclusive, a film with a great message where my kids can see themselves reflected on the screen."" He wrote some of the other songs and produced the film as well.
Some really great CGI.
The costume design by Michael Wilkinson is extremely vibrant and detailed with fun touches.
Keep watching during the closing credits for some more cute images that match the job titles of the crew.THINGS I DIDN'T LIKE:
The lips don't always quite match the singing. All of the songs are good but they're not all memorable.
Some cheesy, overacted, cliched moments.
It's hard to tell where the story is supposed to take place...USA? Europe? England?
The new toy toward the end of the movie looks an awful lot like Wall-E.
There are a LOT of plots crammed into the story.FUNNY LINES:
* ""You can throw roses at my feet later."" - Don Juan Diego (Ricky Martin)""Ok, back to me!"" - Don Juan Diego (Ricky Martin)
""Well, you hurry back as slowly as you can."" - (Forest Whitaker)INTERESTING LINES:
""It's not stealing when you borrow indefinitely."" - Don Juan Diego (Ricky Martin)
""What makes you think you can get it work?"" - Edison Latimer (Kieron Dyer) ""Because there's nothing that says I can't."" - Journey (Madalen Mills)
""The magic isn't just in what you've lost. It's in what you still have."" - Ms. Johnston (Lisa Davina Phillip)
""A child with an imagination always belongs."" - Jeronicus (Forest Whitaker
""Never be afraid of what you can see. Only be afraid if you no longer see it."" - Jeronicus (Forest Whitaker)You can see the rest of my review on my Movie Review Mom YouTube channel and website"
