,0
0,"While everybody complains about the lousy action, the terrible state of Cage, I want to point out another reason NOT to see this movie. The camerawork, it's awful, then there is shaky cam (a lot of it), then they glued the camera to the guns, then unnecessary closeups, it's terrible."
1,"NO amount of alcohol can make this movie good..I assumed. Reminds me of my home movies the I was 7 years old....I wouldn't even watch that. Its a generic predator rip off/ comic book/ first person shooter/ mid 1980s effects? With no continuity, acting or actual decide story... if that sounds confusing its because it is. It like click bait because of the actors names and that all( and they don't even act)... I failed to watch the whole movie and think I got about 10mins in(open credits).Otherwise its a great movie if you want to torture someone"
2,"Writer's ""inspiration"" was Alien, Ninja Turtles, Mortal Kombat, Guyver. However, for some twisted reason, he decide to put all that into one movie. There is no story line, no motivation for main characters' actions, no cinematography.
The only beautiful shot was when two of the characters were walking across a field, shot from above. No acting, despite Cage's honorable attempts.I would forgive all of the above, if, atleast there was real Jiu Jitsu. As the name states, this movei is about the martial art. However, most of the fighting was the regular, Holywood style, flashy fighting. Here and there there were some Jiu Jitsu specific moves and that it.Please avoid wasting your time."
3,"The effects are ridiculous, the story disjointed and making no sense, the acting is horrible. I mean, I would love to be able to say ""except Nicholas Cage"", but he is also really bad. And the cast is filled with actors you've seen before and respected for their work: Cage, Rick Yune, Tony Jaa, Frank Grillo, Juju Chan. I mean, they were never Shakespearean thespians, but they did action well. Guess what: the fight scenes are bad! I mean, this is like someone made efforts to mess this movie up! The only way one can enjoy this is being drunk out of their minds and laughing all the time."
4,"I don't mind hokey, contrived plots if the action's good. But the action isn't good.This movie is a complete waste of time. Go watch some old Jackie Chan movies if you want great fights, or old John Woo flicks for brilliant, original fight choreography. Don't waste your time on this garbage."
5,.. I'm still waitingI can disregard the lame sci-fi and Predator look-alike stuff.I can live with the lousy sound and scoreI'm okay with the blood being painted on afterwardsI just want to see some nice well choreographed Jiu Jitsu.But alas - the camera crew has apparently never filmed martial arts before. And - the stunt choreographer didn't get the memo that the style should be Jiu-Jitsu.
6,"One of the worst movies ever!!! We all know Cage´s movies are a straight-to-DVD and this is just another cheap Cage movie. I couldn´t give it a zero rating because there is no choice for that. I wanted to see it because of Tony Jaa´s martial arts talents but the movie does not let you enjoy Jaa´s fights unlike his own movies like Ong-Bak or Tom Yum Goong (a.k.a. The Protector).
This movie also reminded me of another awful movie ""Beyond Skyline"" which I also wanted to watch because Iko Uwais´martial arts talents but these two movies have the same bad script, bad acting (Frank Grillo in both,btw),bad cinematography,bad sound, etc.
You better stick to Tony Jaa´s and Iko Uwais´ previous movies (The Raid 1 &2) which are awesomely choreographed."
7,I don't believe Nicolas Cage would be starring in this truly awful movie. Seriously wasted 2 hours of my time. I hope the rest of you guys won't repeat my mistake.
8,"When I decided to watch this movie I knew it was going to be bad, but I thought the script/story would be bad, not the action and cgi as well. This looked like a low budget, ""fanmade"" cgi. The action scenes, besides being unrealistic and excessively long, gets boring to the point where you actually want to skip them. I couldn't finish the movie, is that bad."
9,I would not recommend this movie. The story line and the SGI are not enough to hide the cheesy acting and bad directing
10,"Some of Nicholas Cage's movies are so weird that they are worth watching (like ""Color out of Space"") this is not one of them. It is weird but almost to the point where there was no though behind it at all. Aliens? Video Game? Comic-book heroes? I'm not sure, but the result is laughable. Nothing here for martial arts fans, nothing for sci-fi lovers absolute facepalm this one. It's cringe from start titles to end credits. Bad acting, fights choreography is horrid, story? non-existent. I don't think you'd even get a good laugh out of it, I sure didn't.Don't waste your time on this one. Exact score: 32 / 100"
11,"Jiu Jitsu (2020), not surprisingly, offers a lot of scenes of martial arts combat which are well choreographed and well executed by performers who are experts in their own right, including Tony Jaa, Alain Moussi, and JuJu Chan. However, it does not deliver on what Blake Snyder would have called the promise of the premise. It feels more like a cinematic version of a video game than a martial arts film. No novice acquires skills under the tutelage of a martial arts master, as in films ranging from The Karate Kid to Kill Bill. The protagonist doesn't really use jiu jitsu to defeat the villain. Many confrontations are not one-on-one or hand-to-hand. There is no real discussion of the philosophical or spiritual aspects. Nobody spends much time training. None of the characters seem to grow. The romantic B-story is flimsy and unconvincing.Instead, we are given a team of elite martial arts experts, each of whom uses a different weapon: tonfa, sword, nunchaku, shuriken, staff, throwing knives, et cetera, except for the protagonist, who occasionally uses an opponent's firearm or other weapon, but quickly discards it.The movie has aliens, space portals, a CIA plot, radiation levels, and an alien with some sort of Predator-like cloaking. However, the plot is somewhere between incoherent and nonexistent. Production values are more than adequate. The actors do as well as can be expected with the roles and dialogue they're given. The fight choreography is good and boosted by exemplary execution. Yet the film is not very satisfying and certainly not cathartic."
12,"This is a step up from the normal straight-to-DVD sci fi schlock I was expecting. It's not great by any means, but my popcorn certainly tasted better while I was watching it.Nic Cage was a supporting role, and really toned down while still being Cage enough to meet some expectations.I did like the premise, but it borrowed a lot from movies that have come before it. Enough of its own thing not to be insulting, but not original enough to disguise the stolen bits."
13,"Nicolas Cage and Frank Grillo are in this movie, but it ain't a guarantee this is a good movie. In fact, this is a bad one! DO NOT waste your time watching this movie!"
