,0
0,"After proving his mettle in the brilliant comedy drama barfi and magical musical drama jagga jasoos , Anurag Basu now ventures in the rarely attempted genre of black comedy in Indian cinema and nails it completely... multi narrative stories are often confusing but this movie has some of the finest editing I've seen in recent times... If you liked Delhi Belly this one's perfect for you"
1,This movie feels like a movie made on international level yet feels absolutely indian. A movie that has the best of both indian cinema and international cinema. Nearly every actor shines in their respective role. Even Abhishek Bachchan feels good. Most people calling it HinduPhobic are just plain dumb. They want movies to be made in India but don't want them to show indian culture from any perspective. Watch it and judge. It's a 7 out 10 for me. But I'm giving it 10 as I don't feel we should undermine a great effort just because people think it's a nepo product or hindu phobic.
2,The film just starts from somewhere just like a Tarantino film with no real early insight on what is happening . We are slowly given birth to its world and what is really special about its film is its execution . The execution is unique and it keeps you hooked to the story . The film is rightly named as Ludo as it shows so many parallels with the board game . The ending scene of the film is extremely symbolic if you think about it . Pankaj Tripathi is just phenomenal in his role . He is calm minded yet violent and thats what i liked so much about the character. His character is much like Bob Biswas in Kahaani . Rajkumar Rao is as usual fabulous with his acting and the female leads did put forth commendable performances . Abhishek Bachchan is truly a gem for Indian cinema ... He has so much potential but yeah he shouldn't be compared with his father cause he is so much different .. overall the film is really good and unique with superb direction from Anurag Basu . Probably one of the best films of bollywood this year till now .
3,"Genuinely speaking before watching it i was considering it as an average movie, although i was waiting for it since very long.
But frankly speaking this is an amazing and must watch movie
Very gripping with many twists and turns"
4,"If you are really sick n tired of this pandemic situation, then watch this movie it will work as a medicine. Fantastic work by Raj Kumar rao (The Mithun Style), Pankaj Tirpathi (The kaleen bhaiya) and ofcourse ANURAG BASU.
People who are saying this movie is ruining our hindu mythology n all kind of stuffs, go watch Ramayana.
When people talk about humor, chemistry, story, I want to ask you Do you really understand all of these words?
Passing comments is very easy, but Hats off for making a movie specially working in this situation where no one moving out of their house until it's an emergency.
So guys stop writing illogical things, do write what do you feel genuinely."
5,"Really great storyline , only talentless people or say boycott gang will give bad review without watching ! Give it a try and support talent really appreciate the effort of the film !"
6,"Fabulous movie!!
.
.
.
.
.
.
Abhishek Bachchan 's best movie"
7,A well written lengthy story. Never boring. Not to be missed
8,What a movie...Best writing... screen play... dialogues..movie teaches us beautiful lesson of life... Rajkumar rao...Pankaj sir..J.A.B..& all the casts done their job brilliantly...
9,Excellent narration by Anurag Basu. Very good performances from Rajkumar and Pankaj. Best watch of 2020
10,"Loved the black comedy which is so rare in Bollywood. Great cast, good acting overall and the story was so fresh and fun and made for 100% entertainment. May not be for the masses but i Loved it, highly recommend."
