,0
0,"It's not the most expensive movie, or the best plot but honestly this movie gave me flashbacks to the good old days of family adventure movies.
It has adventure, it has love, it has companionship, it has humour and it keeps you wanting to learn more about the world. It makes you feel good.I only wish it were longer and I hope they make a sequel."
1,"It's a lot like zombieland which is probebly one of my favourite films. The main character is not will smith or the rock, it's a skinny nobody. Dylan Obrien is amazing. The film is funny and the action is great. The monsters are also really cool. The dog is a badass. I'd love a sequel. more characters more worldbuilding stuff like that."
2,"Everyone involved in the making of this movie should be proud. Yes the plot is simple and it's been done many times in this genre and several others, like for instance The road, or The book of Eli or 28 days later... But in this case more like Zombieland if it was rated PG-13.
Dylan O'Brien plays Joel, a character much akin to Jesse Eisenberg's ""Columbus"", a kind of neurotic and unwilling protagonist out of his depth, who is rescued by Michael Rooker (playing Woody Harrelson's ""Tallahassee"") the grizzled survivalist with the adorable Minnow (Arianna Greenblatt playing Abigail Breslin's ""Little Rock"") in tow, whilst on a quest to find his love interest Aimee (the lovely Jessica Henwick playing Emma Stone's ""Wichita"")... Confusing?
Not really. It's a post-apocalyptic road trip monster filled action love story movie that is a romp and a riot.
It's not often you get to see a movie where even it's weakest link is still holding strong... The dialogue is witty, the scenery is beautiful but appropriate, CGI game is strong most of the time, and cinematography crisp & clear, no lightening cuts and shaky camera. All the cast brought their A-game.
Hero and Dodge lent so much emotion to their joint portrayal of ""Boy"" the dog, they both must be very good boys... and Mavis the robot could almost pass the Turing test.
You may have to suspend belief a bit in a couple scenes... But just remember you are watching a movie with giant frogs and snails and it shouldn't be too difficult. For me it's a 7 but a strong one."
3,"""Monster Problems"" has action, fantasy, comedy, survival and even love. It is a film for the whole family, but it manages to be quite tense, especially in action scenes involving monsters.The characters are excellent. Dylan O'Brien proves once again that he can be a one-man show, Michael Rooker is great as ""Michael Rooker survival samurai""; and the dog is just fantastic. Other secondary characters also do not fail.The design of the creatures is perfect; and adorably scary. And the main theme of the film, which basically tells the story of a person leaving the suffocating comfort of his hiding place to find something that makes him happy, in the midst of a pandemic of monsters, I think it is something that will touch the sensitivity of many people that now live the dramas of self-isolation.It's the best post-apocalyptic film I've seen in a long time, a pleasant surprise that came out of nowhere, and I recommend it to everyone, even the cynics.I give this movie 8 stars out of 10."
4,"I was prepared for another boring to death movie flick, making questioning my taste on movies. I was surprised in a good way.
The movie had it all, great FX, good acting, Monsters, unseen twists, everything i needed for a Saturday night.And most of all, for bad or good, an open ending that leaves room a return (which traditionally will suck).Highly recommended."
5,"This is one of the best recent adventure films. It avoids many clichés that inhabit the genre, with small twists which made watching it a pleasure.Even though the action scenes were sort of predictable, it didn't deter away from getting absorbed into Joel's story and caring what happened to him and the other characters. It had some small lessons in it too, which added to the story.Its a little too adult for young children in my opinion. Young teens though would enjoy it."
6,"Ignore the bad reviews, it's actually a pretty decent movie. Nothing original, however much better than most movies they make nowadays.Dylan O'Brien is very talented and carries the whole film well. This is not Shakespeare, still it's fun and good for a movie night with friends and family."
7,Really enjoyable movie and not as predictable as you'd think. I was surprised how funny and original 'Love and Monsters' was considering the overdone genre but it is an adventure worth taking. If you're looking for a decent weekend flick then I strongly recommend you give it a go.
8,"This movie was fun to watch, the acting wasn't bad at all, CGI was decent.
Compared to Jumanji for example, which I found was a bit too much and overacted, this one is exactly what you would expect, but not too intense and forced.
Looking forward to a sequel."
9,"This movie is a solid piece of entertainment. Good acting, some funny jokes, good CGI & it's got a nice pace. Also quite a few likeable characters in it. Definitely worth the watch."
10,"It's a very entertaining movie. The opening was very funny and it perfectly explained what we are dealing with here. There is some very emotional scenes. The acting in very good. You will love the little girl. It's got adventure, comedy, action and mainly monster so what are you waiting for."
11,"Love and Monsters was a fun film to see and it is actually after a some time a very fun new realease that surved its purpose and goals that it was trying to reach.Story was very inspiring and sweet at same time,it had some emotional moments and some romantic ones that were justified and that didnt felt rushed at any moment.Characters are also very likeable and i was able to root for them during entire runtime expecely towards the Dylan O Brien one,cause he was highlight of a entire film,special effects were also pretty solid and they done a good job to.Love and Monsters was a fun film to see for all families"
12,"An amazing entertaining adventure with scary monsters, intelligent writing, and an inspiring story about the value of friendship and family. All coated with a good sense of humor. Defiantly one of the best movies of 2020. I saw it twice in a row. Highly recommended. And kudos to the dog Boy. He is a protagonist as much as everyone else."
13,"An apocalyptic film without zombies is worth its weight in gold these days.
The monster were kinda silly, but the story, the pace and the character were pretty good.
Filming locations were also great and different from the usual Hollywoodian sameness.
And, Thanks God, there were no ""in your face"" PC proselytism, which was refreshing.
Love and Monsters is the type of a film that a father can watch with his daughter or a mother with her and son and without feeling embarrassed most of the time."
14,"I loved this movie, and if you like cool monsters designs and comedy Zombieland style you will love this movie too, the main character is funny and rest of the cast played their roles really well, the movie takes turns that you don't expect and is overrall awesome."
15,"Its a great movie. So fun and entertaining. Joel is not your typical action hero, He's more like us (and everyday man). But his development throughout the movie is great. One of Dylan's most enjoyable and fun movies. I loved it"
16,"What an awesome movie I loved every minute of it.
I don't want to spoil anything but if you like the journey movies you will love this."
17,"This is your typical family friendly adventure movie. It has a plain, simple plot (and don't try to put it through the ""credibility test"", because it will fail miserably), predictable and cliched. There's not a lot of character development either. It has some humor (not very good), and some heartwarming moments (kinda...). Overall it's entertaining (considering it's intended for kids and teens), but forgettable."
18,I was not expecting much but it was a really good movie.
19,"This is a light-hearted movie and it gives off really good vibes. Don't compare it to other apocalypse and zombie or monster movies because it is kinda different. It is also not predictable as you think, you are gonna be surprised especially in the last half hour ,it will go in a different direction in a very good way. Also it does carry a message and it is not just a pointless fun movie. It is suitable for kids and for family watch, it will be really good if you watch with your family in this quarantine, it will cheer you up and it is really suitable for this time in a good way. I really hope you give it a shot because you won't regret it. And of course who doesn't enjoy watching a movie with Dylan O'Brien in it."
20,"Right, well I had virtually no idea what I was getting into when I sat down to watch the 2020 movie ""Monster Problems"" (aka ""Love and Monsters""). But I must admit that I was genuinely interested in the movie given the presentation of the poster.And now that I have seen the movie, I must just say: wow!""Monster Problems"" was definitely a wonderful surprise of an entertaining and enjoyable movie. It turned out to be one of the more memorable and entertaining of movies that I have seen in 2020 - and I watch a lot of movies.The storyline told in ""Monster Problems"" was pretty straight forward, but it was at the same time a very interesting storyline that definitely appealed to me in many ways, especially since I have always enjoyed a good creature feature. And with the sheer size of the creatures in ""Monster Problems"", then I was in for quite the treat.Sure, you can say that the main plot was somewhat sappy and a bit on the simplistic side, perhaps appealing more to a younger romantically hazed audience. But the combination of the sappy romance, mixed with the action, suspense and monstrous creatures actually made for quite an enjoyable cocktail.Visually then I was without a doubt impressed with how ""Monster Problems"" turned out. The creature designs were just spectacular and they looked very realistic in the way they moved, behaved and appeared. So the CGI team definitely delivered some nice eye candy with this movie.The acting in the movie was good, and was definitely impressed with the performance of lead actor Dylan O'Brien. I was not familiar with him, but he was really great in this movie. I think it was a shame that Jessica Henwick and Michael Rooker weren't given more screen time, because they brought a lot of good things to the movie with their performances and their characters. And the dog Dodge (playing Boy), well he was just spectacular, what a well-trained dog, and it had such great on-camera presence.I can warmly recommend that you take the time and effort to sit down and watch ""Monster Problems"", because this movie was great. I was genuinely surprised and entertained with what writers Brian Duffield and Matthew Robinson managed to deliver.My rating of ""Monster Problems"" is a sure eight out of ten stars. This movie deserves a sequel, no question about it."
21,"Good movie to watch on a weekend night when it's cold or rainy outside or you're just stuck in quarantine. Interesting premise, pretty good creature cgi, a main character that becomes much more fleshed out as the movie progresses than he was at the beginning of the movie, lovely side characters and some pretty cool scenery. Straightforward plot with a few surprises and twists along the way, some cliches too. The acting and the screenplay were decent, nothing groundbreaking, but the movie is definitely worth a watch if you're bored!"
22,"Super cute and a good twist on the ""apocalypse"". It kept me interested! Hopefully they will have a sequel cause it deserves it!"
23,"I don't write reviews, so this one will probably kind of suck, but man I loved this movie!! I went into it with little to no expectations and was shocked by just how good I found it. Enough to be added to my list of favorites for sure. The main character - thank god - is actually likeable, unlike so many protagonists before. The romance, despite being integral to the plot, isn't forced or overwhelming. The characters actually respond to traumatic events accordingly instead of brushing it all off like nothing happened (perhaps it could have been done a little better but at the end of the day it's a rather light movie). And perhaps most importantly - it's chock full of super cool monsters, with an adorable canine companion as the cherry on top. Definitely check this out if you get the chance! Warning though: it might be a bit more emotional than you expect (I teared up a bit at one scene, LOL)."
24,"At last at 2020 something good,adventure, entertained happened. I was waiting with hope after i watch the trailer and it is worth it.Happy watching..There should be a sequel. Please make part 2.."
25,Wasn't expecting much. Haven't seen too many good movies this year. But this is quite good. Good action and effects . Recommended
