,0
0,"In my life time I haven't yet watched a movie like this. Such a Motivating Story which makes you entertained with such a amassing concept. Entertainment value next level, whish I can say even I haven't watched a movie like this in Hollywood or any other industries. If someone say this movie doesn't have a good story, then probably that person doesn't know what is a epic story. Music in this movie does its best with unbeatable sounds that makes you amaze. In whole movie I didn't even saw a single scene which doesn't have no logic. This should hit The Indian Best film ever. Such a superb emotional beats that even made me cry. Suriya and all other cast had made their best action to make this film best. Beginning, ending, pacing, dialogue, editing, cinematography, camera work, costume design etc. had done their best to make this movie ""Nothing better than this Soorarai Pottru"""
1,Must watch movie..suriya on his top notch performance.
2,"Watched ""soorarai potru"" ...inspiring tale with lot of life .I don't have much to say about this one as I ain't having words to describe this master class work ..such is the impact...brilliantly scripted with some outstanding performance chained with some remarkable making and cuts...I dont wana review suriyas performance as it's one of his career best ..if u loved his performance in varanam aayiram then this one will be a treat for u.....he is a gem in all sorts ....aparna balamurali deserves applauds for her natural acting ...not but the least the captain sudha kongara did his work to perfection and it's a must watch for all movie lovers.The king is back."
3,Must watch film of 2020 . Strong comeback and by Suriya . Excellent direction from Sudha . Cinematography was superb. Please watch with your family . A good motivational film . Missing this movie in theater 😥
4,Surya has done a great job.The background music by GV.Prakash gives a strength to the whole Movie. Wright fro the starting till End Love the way the movies moves.
5,"Excellent storytelling, suriya performance is amazing as usual"
6,Omg what did i watch and this is how you feels after watching such a awesome one... Music was extremely awesome... Best movie of 2020
7,"An inspirational movie that is worth watching. If there is dream to fly, it doesn't matter from where you come from, you can fly. Versatile actor Suriya nailed it. After Vaaranam Aayiram, this movie is too much realistic.
Thanks to director Sudha mam. A female can also make a male-centric masterpiece! Co-star Aparna mam was awesome & too much natural!
This movie deserves both filmfare & national award. ❤💗"
8,"What a movie
Sudha kongara hits a home run
Power packed performace from Surya as usual
Aparna balamurali Comes as a surpriseToo good too good too goodDefinitely wished it was on a big screenOne particular scene where Surya tries to buy a ticket will definitely move your heartsIt's an ode to common man"
9,Wonderful motivational story. Especially wonderful acting mr.suriya in airports scenes.
10,"What a story telling. No unnecessary songs , no unnecessary action sequence . Just pure acting performances by the whole team and especially Surya and Paresh Rawal. We can say that Surya is back and expecting more good movies from him in future"
