,0
0,"I thought the cat CGI was inconsistent and Anne Hathaway's accent all over the place. Sometimes she's Russian, Scottish and Swedish. It's hilariously bad."
1,"What the F... is Going on? Im a norwegian, and one of the best things about the original, is that the beginning is set in norway. Bergen. The story about the girl in the painting. Dahl had norwegian parents, so i really love the beginning of the original.Why do the keep making terrible remakes of really good movies? The make up in the original is far surperior to the terrible CGI in this movie. If you check out the drawings in the book, the Grand witch is way off in this movie. The CGI is more like the Scorpion King.That someone in the comments gave this movie 7-10 is just nuts. So incredible bad"
2,"Do not waste your time just watch the classic original which still looks anazing today 30 years later , mainly cos of the acting and practical effects and because it was so darn sinister for a children's movie .Anne Hathaway cast as the grand high witch is a massive miscasting if their ever was one , her supposed german accents goes from russian to Scottish all in one sentence .Who the hell thought choosing second rate CGI effects over animatronics and make up clearly is missing the point on what made the original movie so iconic and scary , the CGI mice were like someat a student at film college could of made on some free app on android... Octavia Spencer was so over the top camp , Chris rocks voice over was overly excited considering he is narrating a story that is about evil withches and the danger they pose towards children ..The whole film was so badly miscast it makes showgirls look like pride and prejudice, Hollywood u have to stop now remaking classic movies , come up with some new ideas and make new movies diverse. We do not need to erase iconic movies from the past just to tick the diversity quota , make new movies new ideas and just be diverse ....Anne Hathaway really should be kept away from icnonc roles like this. It's actually angered me at how bad this film is. Enough already"
3,Total tripe from start to finish. The only one good thing about this movie is Anne. The CGI is shockingly bad and cartoonish. A British story set in Britain that's been Americanised and therefore completely ruined. Hideous doesn't even come close to describe this movie.
4,"The remake has no story line, no emotional connections to the characters. Nothing compared to the original and yes you should be comparing. The only good actress in this film is Anne Hathaway who did alright. The director should be ashamed. What a waste of money and talent. I'm going to go have some Cress soup and enjoy the rest of my night watching the original version. More talent in just the pinky of that movie."
5,"This re-make of the witches is very short and very simplified from the original adaptation of the film. The cast doesn't seem entirely engaged in their roles. Too much auto-tone and CGI used here to the point that it's not as effective as one might hope it to be. Very bland sets and much smaller scale compared to the original version. Ultimately, this is just another bland Hollywood low budget re-make film."
6,This was horrible I can't believe they would remake this amazing classic and cast Anne Hathaway at the grand high which. No offense to her she's an OK actress but this was not a role for her. This was Anjelica Huston's part it's like could you imagine anyone else playing Morticia Addams? And also no offense to Chris rock but the narration was no Bueno
7,"The Grand High Witch is killing it. but seriously, she's terrible.
From the start on, with the weird Chris Rock voice-over, this remake goes wrong wherever it can wrong. The acting is stiff, the focus is hardly on all the other witches, the CGI is not good. Even the housekeeping cart seems to come from the CGI box. Positive thing: Octavia Spencer is doing her best to be a genuine grandmother, and she succeeds, but that's about it.
OK, yes, I am a fan of the 1990 movie. Even though it wasn't as close to the original story, I really can't believe Roald Dahl would recognize his book in this mess. The first movie was gorgeous in it's authenticity. It has folklore, it has an edge, it has a heart. This is Hollywood factory work and seems to want to be much more than it can deliver. It made me miss much more than the purple glow in the witches eyes. It made me want to just throw up like a witch who smells children.
I'm not saying you shouldn't watch it. I am sure that an entire generation who never grew up with the original will disagree, but to me, this is like cursing in a church. It's horrible."
8,"This whole movie is a mess! The cast all seem very dis-interested in their roles. The plot is a shot by shot re-make of the original and overall, I don't feel like there is any spirit or enthusiasm in this project at all! Don't recommend at all! Skip it and watch the original more engaging version of the film!"
9,"There is going to be a lot of unemployed actors in Hollywood, very soon.Is there anyone left who understands the public mood?"
10,"I love Octavia and Anne, but this movie seems like it was rushed and that they were just phoning it in.To begin with, the original is a cult classic, so how dare you mess up with it. Then, if you are gonna do it, well, do it well. They were clearly going for a kids friendly movie but I mean, this story is creepy. The mouse animation takes you away from it, specially coming from Henson's animatronics. The Great Witch reveal is underwhelming, and the changes/additions to the story don't serve it. It just doesn't adds up.It pains me that Cuaron and Del Toro are attached to this project as producers. Zemeckis seems to be going in decline and it just sucks. Dahl's fans may be happier with this ending, but with all the other changes I dunno how they can be happy with the movie in general."
11,I just don't get it??? Why do producers think it's a good idea to re-make an already fabulous movie????? WHY???? Why not remake a movie that should have been good and wasn't!?
12,The original was better. They should of just left this movie alone all together
13,Anne Hathaway can't hold a candle to Angelica Houston and neither can the rest of cast against their 1990 counter parts. Zemekis's direction is bland and unimaginative. Avoid.
14,Worst remake so far. Don't waste yours or you kids time. Just watch the original
15,"Some 80s and 90s family movies look incredibly cheesy and bad compared to modern releases... Well, now we have the opposite! The 90s adaptation is a masterpiece compared to this. It's incredible how many talented people worked on this mess. The cringiest thing about it is Anne Hathaway's accent, which jumps from Russian to German to Swedish, and it's never funny because she's trying too hard.
There are many other talking animal movies that your children will enjoy, spare them, and don't succumb to the voice in your head asking ""how bad can it be?"". IT'S REALLY BAD."
16,"What they end up doing in this movie makes the film less of a movie and more of a commercial for something stupid , if you see the film you will know what I'm talking about. It was cute and fun. But NOT at all a good movie nor a classic. It's barely considered a movie. Not sure what audience this movie would even appeal to. I would skip this and either read the book or watch the original movie instead. Not worth the time!!"
