,0
0,The 6 rating is mainly for Russell Crow. I mean if she would have given that courtesy honk in the first place all of this could have been avoided.
1,"This movie has the intensity factor which I gave 4 of my 5 points to. The plot is a good idea but geez the main character makes all the worst decisions, classic to keep the story going.Isn't it lucky when she calls 911 and they say oh sorry every officer in the entire city is at one crash so you're on your own with our most wanted murderer, good luck! At least she knows she won't get a speeding fine because literally no cop is around to pull her over. Maybe the Purge could make a combined sequel where there is a car crash then the city is free to do what it wants for the rest of the day."
2,No one in their right mind does the things she and her son do. The script js disappointing in that regard. So you gotta convince yourself that she's not a mentally competent. Also some of thesw stupid choices are cruel. She doesn't care for the strangers who help her. Or risk the life of her client by choosing her. These make the film very bad and not worth watching even though Russell Crowe kinda kills it with his incredible acting.
3,The fact that the main character didn't ask someone walking by to call the police or drive to a police station early in the film really ticked me off. He was able to ride around doing this stuff in broad daylight but in reality they would've called in swat to take him down asap. They would've had an APB out for his vehicle from the 1st crime....I turned it off halfway through.
4,"There's nothing wrong a decent thriller where two people face off on the road using their wits and their heavy machinery. So this movie could have been the Duel (1971) of the 2020s (or at the very least a Joy Ride (2001)), but unfortunately, it lacks a director like Steven Spielberg or John Dahl to make it work.After a shocking opening scene, director Derrick Borte starts off nicely with a disturbing montage that shows us the horrible consequences of explosive aggression and road rage. For a long time, his movie seems to be a passionate plea to have more patience and compassion with others in a harsh society where everyone is under constant pressure, because you never know what the other person is going through. Too bad that he gradually undermines this message with cheap shocks and sadistic violence.It's good to see Russell Crowe again after such a long absence, because watching his heavily disturbed maniac snap and terrorize a lady that just happened to piss him off is definitely one of the scarce highlights of the film. No Oscar material, but the man is still an acting heavyweight (no pun intended... well, maybe a little), so much so that leading lady Caren Pistorius cannot hope to carry this movie in his presence. In fact, her character is so passive and uninteresting that I felt very little sympathy for her plight. I don't know if it was the intention here, but I always love movies where you cheer for the bad guy for a very long time, like Face-Off and Law Abiding Citizen; everyone loves tragic villains, and you always hope that the makers can delay that moment where you lose sympathy for them until the very last.Unfortunately, this moment comes way too soon in the movie. In the first half we get some motivation from Crowe's and Pistorius' character for their actions, but that wears off quickly in an endless rampage that seems to be an excuse for a lot of torture porn. There is nothing fundamentally wrong with that, as long as you keep developing your key players. Especially psychopaths work best when they remain completely unexplained mysteries, or when they get fleshed out properly, like the psychologic-meltdown classic Falling Down. However, Crowe and Pistorius never get beyond their minimal and one-dimensional backstories. When the bad guy gets to the point where I no longer rooted for him (again, way too soon), you hope that your allegiance changes back to the heroine. But Pistorius' character keeps making such bad decisions (up to and including a laughably set up climax) that by that time, I no longer cared about either, and could only worry about the collateral damage.Too bad for Crowe and Jimmi Simpson, who probably have one of the best scenes together when this movie is still promising. But the pressure to marry action with psychology, and to increase the stakes with such disregard for realism really starts working against the film and characters. I don't mind violence in movies at all, but it should make me invest in characters, not get desensitized and bored.I like a good battle of character like everyone else, but when the action and suspense start feeling stale because I'm no longer emotionally engaged, then it's just mostly a waste of time. But granted, it's not a complete disaster and it had its moments. I hear people praising this movie as super-suspenseful, so by all means, try it out. But don't say I didn't warn you."
5,"She kicks him in the head saying, ""Here's your courtesy tap!""
Throughout the entire movie it lacked any common sense as to what anyone in her position would have done. After getting the holy hell beat out of her she drives off with her son, her face showing very little signs of being beat up. Surprisingly the rear end of her car had no damage at all from being constantly rear ended. A poorly made movie that lacked realism and common sense."
6,"At the first 10 minutes, you start thinking that the heroine is stupid.
Then you start thinking that everyone around her is stupid.
Then you start thinking that the police are stupid.But, in fact, the story and directing are stupid.I wanted to leave the cinema and the only thing that made me watch this till the end is that it's hell-hot outside.The trailer for this movie is better than the movie itself."
7,"It started out with promise, but the unrealistic way that the entire remaining hour of the movie unfolded was actually painful to complete. It's just, it was about the dangers of distracted behaviour while driving mad how people are taking things in their own hands resulting in road rage and accidents, BUT, it completely ignores human behaviour. There is NO way that he wouldn't have been caught 150x over before he killed Andy, let alone the entire scene at the cafe where police would have been there before he left the building. People are glued to their phones, he would have had 100's of people reporting his location. AND THEN there's the phone call to the police from the tablet ""were busy and can't get to you"" 🤣🤣🤣 WHAT?!?
We almost turned it off, but we were invested mad we're hoping it would have turned around eventually, it didn't... The ending was just as bad as the rest."
8,"A lot of convenience in this movie to push the plot forward... Russell Crowe did the best with what he could do but at times his acting felt way too over the top.Overall it has entertainment value to people who want to watch something and turn their brain off... but thrillers should be somewhat logical, and this wasn't.Everything was passable in the film but nothing felt ... worth watching to me."
9,"I can't tell you how many times I wanted to leave the theater because of her stupidity, but it's definitely what the movie was going for. God bless her son though."
