,0
0,"It's a little late for a Halloween/slasher movie, but it looks like they really wanted that Friday the 13th release date. And to my surprise, this was way more fun than I thought it would be.Just when you think it's another generic, teen angst, alcohol-drinking, sex-thirsting movie, the kills start happening. Not only were they gory, but they were also quite creative. The movie just knows exactly what it is and never takes itself too seriously. Plus, watching mean bullies die in horrific ways was just so satisfying to watch. (Hopefully, I'm not the only one...)More importantly, Vince Vaughn is the reason you should watch this. You have this 6-foot-5 giant of a man running around as a teenage girl. From the way he speaks to his subtle mannerisms, it was just plain funny. He's the man-- or the woman, I mean.As for the negatives, it mostly has to do with the writing. Basically, everything with the family was boring and predictable. It was probably the most generic part of the movie. They lazily tell you everything you need to know as soon as they're introduced.I also hate it when movies portray a character as ""ugly"" or ""undesirable"" and the actress is anything but. In other words, they want you to believe that Kathryn Newton's Millie is some kind of weirdo loser, but I just never bought it.There's also a disconnect between Newton's Millie, who is shy, timid and quiet, and Vince Vaughn's Millie, who is girly-girl, talkative and fun. They just felt like different people. There's also, sort of, two endings. There was the natural conclusion, and everything was good, but then it goes on for another 10 minutes, and it was just unnecessary.Despite some annoying tropes and poor writing, this was a fun, self-aware movie with some horrific kills and really funny body swap moments.Score: 7 out of 10
Overall: GoodRecommended for: Fans of Vince Vaughn, fans of Freaky Friday with a slasher twist, or fans of watching scumbag bullies get what's coming to them.Thanks for reading!"
1,"This movie surprised me. I watched this at the Sitges Film Festival, expecting to see just another slasher, but this is something else. The comedy is just right, the violence is too good, and Vince Vaughn just kills it, quite literally. Overall, a great flick to have some laughs and to watch some great gore scenes."
2,"I loved it. Vince knocks it out of the park as a teenage girl and all the characters really pulled off their scripts. The point of movies is to entertain and I was so entertained during this film.
The issue is you can't take this movie seriously. It is not meant to be a realistic slasher. It's just an entertaining fun teenage horror comedy and a damn good one!
Not to forget, the very talented, very beautiful and very great Kathryn Newton who made a great serial killer Barbie. Top work from her and her co stars!"
3,"I absolutely love body-swapping comedies, such as Freaky Friday and The Hot Chick. I also absolutely love horror slashers like Halloween, Friday the 13th, and Scream. To combine these different genres was a dream come true. I'm glad it's getting such positive reviews. It deserves it. Kathryn Newton was great and so fun to watch her go from a sweet shy vulnerable high school girl named Millie, to bloodthirsty serial killer. Vince Vaughn was great too. It was also fun to see him as an evil killer, turn into Millie and acting like a teenaged girl. The gore and killings were awesome and brutal.Millie Kessler is an average high school girl. Her family is going through a tragedy because of her father dying a year ago. She gets picked on by her peers and even the teachers. The night before the Homecoming dance, she's sitting in the parking lot and the Blissfield Butcher begins to attack her. He stabs her with an ancient Aztec dagger that he stole and that makes them switch bodies.On Friday the 13th, the Butcher wakes up as Millie in her girly bedroom, and Millie wakes up as the Butcher in his gory grotesque lair. Millie must convince her friends that it's her in the killer's body and switch bodies back in 24 hours, or the switch becomes permanent. Throughout the day, the Butcher in Millie's body goes on a bloody rampage. It's so fun to watch. If you love body swapping comedies, and gory horror slashers, I would definitely recommend FREAKY!!!"
4,"I wasn't expecting much & usually avoid these types of comedic horror movies. But, it surprised me & I liked it. Vince Vaughn did a great job acting like a teenage girl. It was a good mix of humor & slasher movie. The cheese factor was a lot less than I thought it would be.....and for me, that was great. I'm glad I took a chance on this movie, it was worth it."
5,"When I saw the trailer firbthis I was cautiously optimistic that it could be ok. It looked like a Scream meets Freaky Friday. Well, it is that but it is really not very good.Of course this type of horror comedy is not to be taken seriously but it is not very funny or scary at all. The premise is just as the trailer shows. A high school girl gets attacked by a serial killer and they switch bodies. That's it.The serial killer the Blissfield Butcher is played by Vince Vaughn. The high school girl Millie is played by Kathryn Newton. Millie is attacked by the killer with a sacred Aztec dagger that has the power to switch their bodies. The fun of the film is watching each of them adjust in their new bodies. Vaughn does a good job with a very thin script. Newton just goes around looking evil. The film is gory but nothing we've never seen before in much better films. It has a couple of decent chuckles but again been there seen that.The film wants to convince you that it is really cool and edgy but it really isn't.Lazy film.Grade: C-"
6,"Sure it might be cheesy and a little cliche, but there's a good mix of gore, laughter and jump scares.The movie is well paced, well acted and has interesting characters.If you enjoyed Happy Death Day, you'll likely enjoy this one too"
7,"Vince is brilliant, and so are the majority of the cast, but the script/story is pretty poorly done."
8,Was I the only one that found this stupid and unoriginal. I went in hyped about this movie but sadly is disappointed. That's all I gotta say.
9,"This movie is exactly what you expect it is going to be and it was fun from the start to the end.
Actors are quite good, it is funny and gory with some emotional scenes thrown every now and then. Gotta give it to the lead actors, they did a great job.
Storyline is straightforward, but the cinematography, acting and script keeps you hooked to the screen.
I would add that this movie is quite bold in a good way, and challenges some norms but I loved it. I wouldn't be surprised if it was trashed by conservatives.In summary it is a must watch."
