,0
0,"Watched ""Greenland"". Doesn't add anything new to the catastrophic events genre, yet it was the perfect movie to watch amid the coronavirus pandemic. Sitting in a sparsely populated movie theater, wearing my facemask, I was thinking ""it could be so much worse!"""
1,"We went tonight, my girlfriend and I, as two people who likes this kind of movies and we loved it.English is not my native language so I will keep it short : this is a well made apocalypse movie that evolved from those made in the 90s and 00s. We can feel a contemporary vibe here and it is refreshing.What I liked : No downtime, lots of emotions and twists. Intense.What I didn't like : bad CGI at some points"
2,"Lot of end of the world movies follow the same storyline but this one had that little extra. Felt like the way they handled this was more realistic, so in a way 'scarier'. I usually like seeing a lot of the destruction and action itself but I definitely recommend watching it"
3,"Very hard to watch. The feeling that you have already seen it, but oh no, it is a new movie.
Family problems - check . What does it have to do with disaster. Why?
Annoying kid - check. World War Z
Annoying kid with health issue - check WWZ
Drugstore scene - check. WWZ
Shooting in drugstore - check. WWZ
And so on...
Oh, almost forgot.
View on earth from space at the end - check
And special- Paris, Eifels Tower in ruins - check.
Oh no."
4,"You know the scenes where you go ""oh come on, why in hell would anyone do that ?!"". Well, this movie is packed with characters having poor judgment and taking the most idiotic decisions possible (and being hysterical), and it's all done for the sole purpose of generating obstacles and create tension.
And it works ! It does create a lot tension, but it's all aimed towards the scenarists, for blatantly taking you for an imbecile.
You'll very quickly find yourself wishing for the death of some of the main characters, which would make things so much better, but then the movie would last only 15/20 minutes."
5,The planet is about to be destroyed by an asteroid and we only have x hours before it strikes. I expected them to call Bruce Willis again to do some off-world digging but he must be under house arrest.We're following Gerard Butler and his family as they try to get to a safe place in Greenland while the world around them turns into chaos. Other people seem to put more efforts into looting shops for toilet paper or holding end-of-the-world parties making their route a bit like the Road.Gerard trying to save his family and driving his ridiculously oversized car through meteoroids: it's all forget-about-corona-for-two-hours mindless fun!
6,"This is just an overall mess of a movie and I love disaster films.It seems like the disaster theme takes a back seat to the family drama in this film. There are loads of scenes with the parents and all of their scenes trying to pull he art strings or get the tension up. The comets could be easily replaced with a California wild fire and this would be the same film.A lame film with a few truly awfully bad scenes with overall terrible plot development. The lead is a guy who constructs buildings, so of course he's going to be a VIP in the new world after the comet hits.Extremely poor writing. The lead character drives onto a runway and prevents a plane from taking off. The pilot and he argue says it's at full capacity. Hero Gerald says take his wife and son and is refused. So Gerald replies that no one will be leaving, basically blackmailing the pilot here. Pilot reluctantly agrees to take the kid then and the mother erupts demanding he take all 3 of them. Pilot sighs and asks the hero Gerald how much do you weight? Hero lies about his weight and is called out. Lol what?! The pilot then accepts them all and this entitled family says sorry to the other passengers as they board the plane. GTFO."
7,"What a mess, the child just keeps sitting and waiting... for christmas?"
8,Nevermind the bad reviews! This movie is awesome. I swear people are so hard to please these days. This film definitely had my heart racing. It got extremely intense there several times. This has to be one of my favorite disaster flicks. Deep Impact eat your heart out. I highly recommend giving this movie a watch. 8 stars 👍👍
9,"Let's start with the good: the natural disaster, the way the media and the people seem to react to it, the somewhat limited amount of cgi to leave a lot to the imagination, all make for a nice background to the main story, which do drag you into the atmosphere.However, the main plot is such a poor written mess, filled with age old recipes, a which seem to turn the movie into a series of fetch quests, which just are tedious to look at, and make no sense at all.A waste of potential by trying to add some drama, which wouldn't even be needed as the event is dramatic enough as it is."
10,"This movie is a classic end-of-the-world hero flick that ticks all the right boxes. Of course, Gerard Butler is awesome and although there are no surprises when it comes to the main plot, enough unpredictable events happen to keep you entertained on the edge of your seat."
11,Barbecue. Small comet hits. Driving. Airport. Loosing people. Looking for people. Driving. Fighting. Looking for people. Driving. Finding people. Driving. Fragments hits. Even more driving. Flying. Army base. Big comet hits. End.
12,At times i found it boring and just thought to my self when is this going to end. Didnt impress me at all. Effects were good tho and characters were not that bad either. At the beggining of the movie i thought this had potential of being a great film. I was clearly wrong.
13,"I love disaster movies but still had rather low expectations for this one. I hoped for a pleasant surprise but unfortunately it was an unpleasant one. Everything was cliche and not in the way that still can make a movie exciting. Everything was expected, even when the director tried to surprise the viewer. That makes for a movie that really shouldn't even be screening on the cinema, but be released straight to a streaming service. I was truly disappointed as I like Gerard Butler movies normally, but this script just didn't cut it."
14,"Horrible movie, characters are so annoying, the wife and the kid is both annoying and stupid, hope they died in the film"
