,0
0,"Truly a great series worthy of praise. Many may say that this is a 'rip-off' of CSI but I've watched CSI and it caught me on for a bit, but after a while it just seemed to closed. Where CSI guides you through the story and gives a picture perfect ending and how you're supposed to perceive it, Criminal Minds lets you explore and judge for yourself. It doesn't preach too much and the stories are engaging and suspenseful! Excellent writing and great performances from the stars. It may begin cliché, but if you stay long enough it is a rewarding and entertaining view, and I don't feel it's going to let down any time soon. Give it a chance, or just watch episode 7 'The Fox'. It shows the best writing and acting in the show so far, in my opinion. Diving into minds of lunatics and psychopaths has never been more entertaining! Fantastic!"
1,"Ever since they let Thomas Gibson go the writing has significantly gone down. Wish he could have articulated and set a standard with out anger. He unfortunately, was correct. The writers left to own devices are not producing story lines that captures anyone's attention"
2,"Criminal Minds started out really well. A little bit of psychological and sociological background being introduced to the general public to get a grasp on criminal profiling. The episodes were entertaining, the characters relatable yet realistically flawed. However from season 6 on, this series just spiraled downward. The cases lost the grip they had had on the audience, became dull and left you cold. In an attempt to make up for unimaginative cases and the routine that had set it when watching the team profile, gore and violence was increased and to even it out cheesy background plots for the characters were added. Sometimes it's just better to quit while you're ahead."
3,"I loved this series.But, it started a nosedive crash into boredom and sloppiness with the introduction of new actors in place of Thomas Gibson and Matthew Gray Gubler.The new characters are dull, drab, hamming their roles and do not fit with the group nicely.The run-time of the episodes also dropped and they wander off into the personal lives of the characters.Is it just me who feeling the show is going downhill or other fans too?I hope they will come back to bring the show to its former status."
4,"I was a hardcore fan for 11 seasons. I've seen every episode, but this last season is absolutely the s'worst. I don't know if they got new writers, or the writers are just totally out of touch with the fanbase, but it has become ridiculous and soap-like. The Reid-line has taken forever, and it's really painful to watch. I think, I'll drop the show, and maybe pick it up again later, when they maybe get it back to it's former standards. But I fear, that this is it for Criminal Minds. With the downfall, I'm not sure it will survive for a 13th season."
5,"In the earlier seasons of Criminal Minds, specifically season 1, 2 and even 3 and 4, the writing was awesome, and the team actually profiled to find the bad guy. In season 5 I think it started to go downhill slowly but surely, with poor writing. Season 6 has been absolutely abysmal, with getting rid of JJ and Prentiss, and the writing has left a lot to be desired. If you're going to watch Criminal Minds, I really recommend watching seasons 1, 2, 3 and 4 in order and judging for yourself but I think you'll find the earlier seasons are infinitely better than the crap they're giving us now. But it did use to be a great show. Now, not so much."
6,"This is one of the best shows I have ever watched (and I watch some of the best on TV - The West Wing, all of the Law and Orders, House MD). On Wednesday nights, I use to watch ""The West Wing"", but then that moved to Sunday. I started to watch ""Head Cases"", but to my great disappointment (though not surprise) that was cancelled. So, on a whim, I tried out ""Criminal Minds"". I have never made a better TV decision.Criminal Minds is a psychological thriller that keeps your undivided attention. Like Law & Order, no one character gets the direct star treatment. I have seen seven episodes, and I still do not have a favorite character (which is highly unusual for me). I love them all. Every single week, this is the only show I can hardly wait for.If you like plots that keep you thinking and guessing while having plenty of physical and mention action, this show is definitely for you."
7,"I have watched each episode of Criminal Minds, and I agree with the writer from Canada about this show (and also about their comments on NCIS, which seems to have more spark and humor than the other CSI shows).Mandy Patinkin turns anything he's in to pure gold, and I hope ""Criminal Minds"" will get a long run! The plots are engaging, the cast interacts well together, and nobody comes off as being too ""preachy,"" as you get with some of the CSIs and Law & Orders.Thanks for the opportunity to support a fine show which is up against some tough competition. I watched ""Lost"" quite a bit it's first season, but finally got bored with it because it never seemed to have any resolution. Just episode upon episode of wondering why it wasn't going anywhere. In other words, ""Lost"" lost me! And I'm starting to get that same feeling with ""Desperate Housewives,"" too. When I was a kid I really enjoyed ongoing serials; but not that much anymore.... Shows like Criminal Minds and Numbers and NCIS manage to make you think you've watched a complete story; and from my point of view, I respond to that kind of entertainment much, much better!"
8,"I have watched every single episode of Criminal Minds up until this past season. I have enjoyed the intricate plots, the character development, the story lines. I have to say that over the last year, the whole feel of the show has completely changed. Too many character departures, too many new character faces, and now Reid in jail? Come on Criminal Minds. I just can't anymore. I am not enjoying it at all anymore and I couldn't finish the season. So, now I have decided that I have to quit you. And in all honesty, I don't know if I'll miss you."
9,"the CSI-ish stuff is solid and intriguing and the acting is good. There are some very nice relationships developing between the team, especially Gideon and Reid (there's a hint of father/ son vibe between them that plays very nicely). Particularly interesting is the character of Reid and how he's slowly growing out of his shell (combination of slight autism and general ""I grew up as a freak"" syndrome perhaps). but there is one gripe that I have. Why is it that the only one of them with a life that we ever see is Hotch. No I'm not saying that Hotch and Morgan should drag Reid to a strip club or to get drunk at a bar. but it would be nice to get a few personal details about these folks. Learn what makes them tick. that said, I'm enjoying the show and certainly want to see it remain on for a very long time."
