,0
0,"Dexter will never disappoint. Each and every episode is a work of art, and it never gets boring or old. To start, we have excellent deliveries from Michael C. Hall as the serial killer (yet a like-able one) known as Dexter Morgan. Add ""The Excorcism Of Emily Rose"" star Jennifer Carpenter, who plays Dexter's sometimes moody sister, Deb.It's a hard accomplishment to get someone to actually love a serial killer. But Dexter is one of those few attempts that works. It's not forced upon you- the show doesn't shove the whole ""well this serial killer had a terrible childhood..."" in your face. And it doesn't need to in order to get you to love its main character. You just do.Michael C. Hall can play any emotion he's handed. Jennifer Carpenter fits her character perfectly, as does everyone else in the cast.Then there's the actual story lines. It's not cliché. It's actually scary and chilling. It keeps you guessing. It's one of those mysteries that is very difficult to solve, but it still keeps your interest.'Dexter' can also be hilarious when it wants to be, depressing when it wants to be and especially thrilling when it wants to be. And it doesn't come across as trying too hard.Strong writing, clever dialogue, talented stars. It all makes for a wonderful TV show. Definitely the best new show of the season and will become one of the best shows of all time."
1,"Dexter is the show I have been waiting for my whole television watching life! The complex and damaged characters, the twisted plot line and Dexter's foster dad grooming him, educating him, to make him the perfect avenger,its all so intoxicating! I am breathlessly anticipating the next episode. This show is not only well acted, with each and every main character holding my full attention, but written with such deep intensity that I find it absolutely irresistible! I really find it difficult to wait and see more of how Dex was traumatized as a child, more of Harry's lessons, more of the growing relationship with Rita, more of the ice truck killer, more forensics...More of this great show period. Kudos to all involved...this show will surely be a huge hit!"
2,"I read Lindsay's excellent books - Darkly Dreaming Dexter and Dearly Devoted Dexter - some time ago, and when I heard that there was to be a series based on the books, I was extremely excited. So much so, in fact, that I feared disappointment merely because my standards were so high.Thankfully, ""Dexter"" absolutely delivers. The show maintains the uncomfortable atmosphere of the novels with better fidelity than one could ever have expected, and Dexter (played by Hall) is all there.The visual elements from the show are stunning, to say the least. Disturbing, certainly, but more than that - fascinating. Watching the show, it's impossible to keep from finding a certain agreement in oneself for Dexter. He's a monster, and yet it's completely possible to identify with him.10 out of 10. This one has a permanent spot on my DVR."
3,"This is going to be my first ever review on IMDb, there is not a day when I do not visit IMDb to check the reviews about movies or TV series that I watch, I watch lots of movies and series.For the first time in my life it happened to me that I could not sleep after watching a series. I have seen prison break, heroes and a lot other. Prison break and heroes first season was awesome. They inspired me so much that I got some tattoo's done on my body. However both these series cut loose as soon they go to the next season. Heroes was big disappointment but DEXTER.. OMG series after series it starts to make me so curious about the next episode.. damn the season 4. I just could not sleep the whole night after watching it. I spent my weekend watching the episodes back to back.To start with Dexter (Michael C. Hall) his darkness was off the edge he played the role so well that sometimes I wonder if he is the same in his real life but then I found that Debra Morgan (Jennifer Carpenter) is his real wife who is playing his sister in this series. Damn Debra is one character who is so confused and mostly been controlled by the people around her, she always end up doing something wrong but always gets credit for the good things too.I love the part when you get to know what is going on in Dexters mind when he thinks about something or when someone is talking to him also the part when he talks to his dead father Harry. (he just thinks what his dad would say in that situation). All the episodes/characters and all the seasons are written and played so well that you can hardly find any flaw in it.My favorite characters are Dexter (Quite obvious), Rita and Vince Masuka damn Vince is so funny, he just utter one word in his entire episode and comes out to be damn funny.I just cant wait for the Season 5 and I am sure whosoever watched dexter feels the same way just like I did.(Apologizes in case my first review has some mistakes and offends somebody's feelings)"
4,"Absolutely brilliant. True to Jeff Lindsay's books. The visual contrast between the darkness of Dexter's secret life and and the gloss of Miami adds an almost surreal quality. Character development is right on the money, bringing out the background slowly so one can see the development of Dexter's sociopath personality and his confusion of human behavior compared to his own. Dexter is an actor in his own life; his relationships between co-workers and his personal life are well shown in the video media. The fact that he is a blood splatter expert This is a dark work, but set in the bizarre world of life in Miami is almost believable. Developers of this series should also look to Andrew Vachss's books."
5,"Dexter, a forensics expert at day, serial killer with a touch of vigilantism at night. Dexter is creating a believable and very detailed portrait of a, lets say troubled, sociopath. One of the parts about the show I like best is the emotions that normal people exhibit, thus forcing Dexter to mimic them. Good laugh when the emotions Dexter fake get real, and he is scared out of his mind, like in the relationship with his ""girlfriend"" Rita, mother of two and victim of her abusive ex-boyfriend. Also liked the acting of Jennifer Carpenter as Dexter's sister Debra, adds a nice touch colour to the show, without drifting into clichés.Thrilling story, many details, and one of the best opening sequences ever."
6,"HBO Actors, HBO Directors, HBO Writers, and Showtime's willingness to take risks that HBO might not see as profitable these days (Carnivale + Deadwood R.I.P.) make for a killer combination in ""Dexter,"" the new Sho Comedy/Drama about a Serial Killer Killing Serial Killer (you read right). In my opinion, Showtime has always had a hard time producing an original series that's truly original and good, so it's incredibly refreshing to see the network pull such a ""Hail Mary"" move and come out on top. ""Dexter"" is, without spoiling anything, an excellent vehicle for Michael C. Hall, and explores the inner monologue of a Serial Killer in a way that has never been approached before without seeming too predictable or hokey. Watch it and you will not be disappointed. You'll even want to watch the next episode, which says a lot considering the network. I just hope they don't screw it up."
7,"Between Dexter and Weeds, Showtime has a corner on the original new shows market. Not only are both of these shows completely original and innovative, but they are REALLY good.Dexter, in particular, should not be reviewed by anyone who hasn't seen more than three episodes. I almost feel as if the first episode in the series is a tad-bit melodramatic (note Dexter screaming in the face of his first victim) just to pull in viewers that otherwise need something more visceral than a great screenplay.By two more episodes the viewer should be absolutely intoxicated by the complexity of the character Dexter and the acting of Michael C. Hall. His own co-stars admit to being almost ""scared"" by how well Hall absorbs his character. Personally, I think that without Hall's mastery of Dexter there would be nothing to watch. Don't get me wrong, the plot of this show is extremely intriguing (and original, to be redundant), but the excitement lies purely in the way Dexter/Hall responds to A) his girlfriend, B) blood, and C) other serial killers.I think that it is very reasonable to chuckle at Dexter's attempts to ""fit in"" social situations and I believe the writers of this show planned on it. What I am still stuck on, however, is whether or not to cheer Dexter on in his methodology (serial killing serial killers). This had better be the first of many seasons, so spread the word......Edit: I watched this series finale last night and come back to this review (which I wrote after the conclusion of Season 1) with my hat in hand to say: ""I'm kind of sorry for the hype.""If my review was the impetus for your 'Dexter' obsession (I, too, was obsessed) then I owe you an apology for the way it all ended. Sure, sure, I couldn't have known how poorly written the resolution of this once-magnificent series would be. But, you see, I shouted praises for this show from roof-tops...telling every friend who would engage me in discussion about pop-culture that they NEEDED TO WATCH DEXTER, it's the greatest drama on television!Alas, I will not leave any spoilers here and if you've come along the journey with me then you will undoubtedly watch how it all ends, but I write this edit in vain so that you, internet friend, cannot say that I didn't warn you: 'Dexter' leaves me wanting a real ending."
8,"Although I am not a regular proponent of serial television shows, the eclectic, in-depth storyline and character development in Dexter are far beyond what I expected from Showtime or any network other than HBO. Dexter is a unique insight into the mind of a serial killer protected by his occupation as well as the lessons derived from his father's teachings. By having a resounding premise of catching a notorious serial killer while trying to conceal his own identity, Dexter enters each week with a new sociological dilemma as well as a new criminal to dispatch. What is best about Dexter is his own personal facade of trying to be normal. While other characters in the show are obviously dysfunctional, the audience are privileged to see the flaws of Dexter while people within his own world cannot. Darkly humorous, well-paced, and morbidly addictive Dexter is the best show of 2006, without a doubt."
9,"Been on my radar for more than a decade. Jus finished watching all the 96 episodes in 30 days on Amazon Prime.
It ain't a record but the addiction with the character Dexter made it possible for me n the other factor is the lockdown.
The character Dexter is a lovely manipulator wher he acts accordingly to the situation. A true psychopath. This series will make u ask q whether the character is truly living a double life of that of a serial killer n that of a family man working for the Miami homicide department as a forensic expert.
Although some of the scenes r far fetched, the series is very intriguing n captivating n that is only cos of the character Dexter played very well by Michael C Hall.
Many fans were upset at the finale episode but i think the conclusion is fair. The finale stayed with me for days. It is surrealistic n poignant. It may haunt fans of Dexter Morgan.
The ethereal guitar music, the double life of Dexter, the dark humor, the camaraderie between the siblings n the talking of Dexter with his dead father is amazingly done.
The dark humor is hilarious. Ther were times that during murder scenes i was laughing n my wife was kinda wtf.
E.g. A serial killer known as Tooth Fairy labels Dexter a sick mother*ucker.
Also when Dexter praises the same killer regarding his act near a cop's/attorney's house n the reply of the killer is hilarious.
The finale episode of the 4th season came as a shock.
Cudnt believe my eyes. Thot mayb it is jus a dream.
Check out Christina Cox as the villainous cop, one helluva hot babe."
