,0
0,"Having seen the films based on Thomas Harris' novels, I couldn't for the life of me imagine an actor other than Anthony Hopkins for the role of Hannibal Lecter (although I had seen - and liked - Brian Cox' take on the character in Michael Mann's 'Manhunter' which was released before 'The Silence of the Lambs'). Apart from that, I didn't see the point in retelling a story that had already been told very well on film – and with outstanding actors. For those reasons, I deprived myself of the pleasure of watching 'Hannibal' until the second season of the show started - but boy: am I glad I finally got over myself and did start! To those who haven't watched it for the same reasons I didn't I can only say: knowing the storyline from the films (or the books) doesn't spoil this in the least; the writers cleverly play with your expectations and they have taken enough liberties that you can never tell what is going to happen. And Mads Mikkelsen makes for a terrific Hannibal. The cat and mouse play between him and Hugh Dancy's Will Graham is a thrilling joy to watch; the conversations between the two are an example of surgically precise writing where every word counts and could - literally – be a concealed weapon (the writing in general is top notch, especially the dialogues).Visually, this series is unlike anything I've ever seen; the opulence of the images seems to be directly inspired by the aesthetic of oil paintings; whenever food is served or you see the interior of Hannibal's mansion you're reminded of still lives from the Dutch Baroque; certain dreams, visions and hallucinations even recall the works of Hieronymus Bosch. Don't get me wrong: first and foremost this is a gory crime show about an exceptionally well educated and highly intelligent serial killer (and not some ""art show"") – albeit one with a very unique look.My verdict: 'Hannibal' offers gory thrills along with amazing images, fascinating characters and an outstanding cast. Perhaps the most visual – and visually daring – crime show ever. 9 stars out of 10.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
1,"I've been a fan of the franchise long before the show came into being, and it did not disappoint! I love how beautiful everything is shot despite all of the horror and gore. The motives and emotions are intricate and the acting is a thing to behold.
Yeah, the third season could use a bit more plot to buff out the poetry but really, I can't fault it much. This is also one of the very few shows that has had a satisfactory ending!"
2,"Anthony Hopkins can be proud of having created one of the first original horror characters of the postwar era. His Dr. Hannibal ""The Cannibal"" Lecter has rightfully earned a place in the pantheon of legendary monsters. Hopkins was only the second actor to have won an Academy Award for playing a villain, the first being Fredric March for his remarkable performance in the rarely-seen ""Dr. Jekyll and Mr. Hyde"" (1931). The American Film Institute lists Hopkins' Lecter as the #1 screen villain in movie history.When I first heard about ""Hannibal"" the TV series, I cringed. Each installment in the film franchise had been exponentially worse than the one before. After Ridley Scott, Brett Ratner, Peter Webber--and even Thomas Harris himself--had tortured Hannibal near to death with their increasingly idiotic sequels to ""Silence of the Lambs,"" a TV series seemed like the sad, humiliating final nail in the doctor's coffin. Would this be ""Dexter"" redux, or another numbingly unoriginal CSI ripoff? Or worse, a tedious 5-season story arc following the personal trials of a young, idealistic, ruggedly handsome, perfectly stubbled Lecter as he spends 65 television hours' worth of time that I will never get back transitioning from noble psychiatrist to vengeful but justified killer? (Note to self: cock hammer, place barrel against temple, pull trigger.) Thankfully, ""Hannibal"" is everything I expected it not to be.I wasn't sure Danish actor Mads Mikkelsen--or any actor, for that matter--could play such an iconic character without being overshadowed by its grand progenitor (i.e., Hopkins), however ""Hannibal"" is so beautifully written, acted and directed that it transcends the inevitable comparisons. Hopkins played Lecter with hellish glee. He was the serial killer as prankster, a thinking man's Joker without the facial scars. Mikkelsen's Lecter is quieter and deadlier. He's almost like an alien predator, or a velociraptor in human form. When he smiles, you're probably about to die. Mikkelsen is chilling, funny, and blazingly brilliant. He totally makes the role his own, but that's not to take anything away from Anthony Hopkins. Asking who makes the better Lecter is like asking who's the best Dracula, Lugosi or Lee. They're both great, they're just different.I dislike police procedurals. They bore me. But ""Hannibal"" is different. There's something special about it. Bryan Fuller respects the characters and he understands the fans. He's given Lecter his first legitimate resurrection since ""Silence of the Lambs,"" and I am completely hooked. (And to think that we still have Eddie Izzard and Gillian Anderson to look forward to!)Fantastic show. High kudos to NBC for having the courage to air it."
3,"First of all, this has the BEST script EVER! a script worth to be learned by heart, the delivery, the word choice are so aesthetic.Then, the story is compelling, the BRUTALITY is tempting, the Music is fascinating, the elegance is inspiring, the cooking is appetizing ...Hannibal characterizes the natural perfection, his facial expression is so cold and lifeless yet shines with an unearthly abnormal confidence. He's a multiskilled person who has an encyclopedic knowledge, He honors his carcasses by displaying them in an artful piece and also by not wasting their organs.This series will make you have several EYEGASMS and EARGASMS ! This is not for the simple minded half wits of course !!!"
4,"This show is exactly what I have been waiting for. It's unique, beautifully dark, and incredibly artistic and every sense of the word. The entire cast are amazing incredible actors! Mads Mikkelsen as Hannibal Lecter, who knew someone could portray him better than Anthony Hopkins. I've seen all three seasons over and over again and I am not bored! All I could ever ask for is a season foue and hopefully many more!"
5,"This is more than a TV show, it is a work of art. The cinematography is amazing, it is filmed beautifully and every image is a well-thought-out picture. The dialogues are deep and full of subtle meaning, as the characters mostly try to understand each other's way of thinking or try to manipulate one another. Throughout the series Hannibal and Will get to know and understand each other and as a viewer you get to experience the same thought processes, as empathy is a major theme in the show.The images with dead people are so horrific but gorgeous at the same time that you find yourself mesmerized by the beauty of death. Also, the series finale is in my opinion one of the best ever. It is truly an amazing show."
6,"Hannibal Review
I will not talk long, it is an exceptional series that requires some episodes until you get it strong and if you get it it will be one of your favorites.
The first season's rating is 9.0 / 10
Second season 9.9 / 10
Third season 9.0"
7,"I don't know how many time I've watched it, it's just a master piece. The visual is incredible and the casting and character are sooooo great. Bryan Fuller is such an artist I love him for giving us this show."
8,"If you're wondering, this drama does not follow the story line of the previous Hannibal film franchise. However, it does not mean that the series doesn't pack its own punch in terms of tension and suspense. (I'm in such awe, I feel inadequate trying to leave a review for this show. I won't reveal any more than what is available on the wikipedia page.)Following protagonist Agent Will Graham (Hugh Dancy) into his mind and peering into the distorted lives and actions of serial killers, he comes across as a highly intelligent but often conflicted man, tormented by his own imagination and yet has to live it each day for the greater good. This sense of vulnerability and instability caused by his personality (largely introverted and antisocial) is preyed upon by his psychiatrist, famed Hannibal Lecter, excellently portrayed by Mads Mikkelsen, and as all this is played out, the audience, privy to this knowledge will be gripped by suspense, and the never ending tension, even on scenes where nothing appears to be happening, the mood takes on a somber and tense tone. For those who are concerned with the relative 'low level of gore', be patient. It takes its time to build and slowly escalate, bringing Graham deeper into the shadows and mental torment.I can't emphasize how good the acting is, how vivid and artistic the abstract dream and killing sequences are. the fact that the soundtracks are well selected and not obnoxious all plays a part in creating one of the best viewing experiences ever. As a fan of psychological horror, I feel privileged to be able to take a small peek at this show ahead of broadcast."
9,"Truly superb writing, casting, acting, direction and editing. This show is a work of art. If you can, please watch in a quiet, intimate setting to truly appreciate the elegant horror being served. I have never been as impressed with a series as I am with this one. It's very surprising that a show this dark was on network television, I can't see the NBC viewer appreciating such darkness. I'm preparing for a second viewing of all the seasons. It was perfection to the very end."
