,0
0,"AND after the opening episode, even with the unexpected fantasy ending! I was hooked & raving about it to anyone who would listen.....So what happened after the initial 10 I gave it? Well for me it jus lost it's way & tried to cover toooo many subplots with a good handful along PC lines which I didnt think really fitted with the main theme, which was racism in 50's America in a fantasy setting . If they had stuck to those main 2 themes I think they had a real winner here but it morphed off into 20mins sub plots with no real part in the story eg his gay dad's escapades in the middle of an episode?? relevance?? NONE!After the initial opening, which alone is worth the watch it stayed strong before disappearing up its own ar$e at times in the middle before a great tale set in Korea which again you could watch as a standalone, before again we descended into a bit of a mis-mash.So much promise but in the end sadly didn't really deliver as it tried to cover too many (irrelevant) bases along the way."
1,"I can't believe I felt the need to write another review because I see users leaving reviews NOT KNOWING THIS IS BASED OFF A NOVEL from 2016 by author Matt Ruff. I shouldn't have to do this, but here we are. Please do your research on the novel before watching this show. If you can read this or leave a review? You obviously could look this up much easier than writing an angry review because this is not based off something that it's not supposed to be. Know this going in or you're gonna be very confused and maybe even feel the need to come on here and voice your displeasure. Just want to throw that out. Now the acting, the camera work, the effects are all top notch. The story is pretty good so far (currently on episode 4). Also it is not a H. P. Lovecraft story. Mmkay?"
2,"Pros:
The music/soundtrack for the film is fantastic. I love how they incorporated old recordings of civil rights leaders into the soundtrack. Very effective.The acting is really good for the most part.The production design and cinematography are pretty great.Cons:
The show is a mess. Tries to do too many things. It's clunky, and deeply corny at times.Far too much exposition. The writing is incredibly trite. It has an air of self-importance that the writing and directing never quite live up to.The CGI is very amateur.Overall, Lovecraft was deeply disappointing. It was incredibly obvious and beats you over the head with its message. It tries to incorporate far too many sci-fi/fantasy/horror elements. The whole thing is a disappointing mess. I'm not sure how the script made it past the development stage."
3,Creative history lesson whose fantasy ultimately got so absurd that it was unwatchable :-(
4,"I have watched currently 7 episodes, as they are the ones out at the time of writing this review.The first two episode set up the world and characters amazingly, you can't wait to continue watching. These episodes are a solid 8/10 in my opinion.The problem is that after each episode starts to feel like filler episodes. They keep introducing new characters to whom we should care and making vague connection to the main characters.This is like The Walking Dead started with Season 6 immediately.Not recommended."
5,"I was really impressed with the first two episodes, the third episode turned a bit strange, while the fourth and fifth have just sent it off the rails.
I'm a big Michael Kenneth Williams fan so I figured it'd be a great series, and there's nothing wrong at all with the acting or the actors, it's just not making sense.
I'm really disappointed because the story is getting hard to follow, it seems like it just took off on a completely unrelated tangent away from the science fiction and historical baseline that was established at the beginning. It holds true to the times of the 1950's, the racial injustice, etc., but beyond that it just seems to be kind of aimless.
I really don't know what to say beyond the fact that I'm disappointed."
6,Wanted to like it. First episode was really good and so was the second and third one but after that it pretty much went downhill.. too much going one and not finishing a story before it starts a new one. Too bad. The beginning it had so much potential
7,"I'm baffled by the high reviews for this. I love sci-fi and horror and all the kooky stories out there, but this was even too much for me. There is so much going on and it doesn't follow any clear path. The description of ""man looking for his father"" is so misleading. It's illuminati, mutants, magic, racism, vampires, monsters, ghosts, and even more. But it's so much that you just can't keep up! By the time I got to episode 5 I realized I didn't give a crap about any of the characters. None of them form a connection with the viewers. I was so disappointed."
8,"As usual with IMDB we have a bunch of idiots scoring a piece of entertainment either from their political viewpoint or just plain stupidity.The 10/10 reviews are completely over the top, overcompensating for the other extreme reviews or championing a show because it aligns with their side of the political divide splitting the western world just now.The low reviews are pushback on the irritating, delirious and frankly lunatic woke internet - or idiots turning up expecting a Lovecraft adaptation, then spitting the dummy out because it's not what they were expecting.To filter out the noise and find a middle ground somewhere in the reviews is not easy, so let me help you out with an objective summary of the show;Updated upon finishing season 1:The bottom line is, this is a badly written show. It's a mess. Lacks cohesion, structure, quite often any sort of plot and the characters are underdeveloped and become hard to care for because the is very little in the way of consistent internal logic.However can be fun B movie horror-lite escapism. It has a bunch of brilliant actors, exploring various horror tropes through the eyes of a group of characters played as best they can be, because actors embody the roles so perfectly, even if the writing serves them poorly.
If you like b movie horror you'll enjoy this as the production values are high.The period setting, sets, locations, probs, the hair & make up and wardrobe are all of an incredible and authentic feeling standard.A major issue with the show is the CGI. CGI in horror rarely works well and this is a particularly poor example. The show would have been much better served hiring practical effects people.If you are going to come on here and claim you did not feel this suspense in the first episode in the sundown towns, or the raw emotion of episode two, then you are either a liar......or you are just a dick. There's no getting away from that, so get a grip. However subsequent episodes cause the show to lose its way as the politics completely take over and the show gets heavy handed and stupid. It starts off dealing with racism, which is what we expect coming in but then branches out to gender and sexuality and before we know it you feel like you are suffocating in politics. Stuff I happen to agree 100% but I don't need constantly hammered over the head with it. Give us break ffs.Pre internet, pre woke social media we would have been able to enjoy a show like this for what it is, with no agendas attached.Sadly escapism really doesn't exist any more, between snowflakes wanting to cancel everything, politics infiltrating almost all sources of entertainment and the right wing reaction to them. It's very difficult to get an objective review anywhere.The vitriol aimed at the show is ridiculous. The 10/10s are equally as eye roll inducing."
9,"They just took a bunch of ideas and threw them into a blender. There is no coherence to anything in these episodes. They're hard to get through. I painfully got through the first two episodes and that was that. The ""Moving on up"" scene was dreadful, among others. I don't know what will happen to the characters but I couldn't care less. They were just cardboard cutouts you don't care about and since the ""story"" is all over the place, I can't figure out why anyone else does. This thing has a lot of 10 star reviews and I'm wondering if they even saw the same thing I did or they think they look smart by giving this poorly written drivel ten stars.The racism in the south in the early 50s was done well and the actors are all talented people. This is the only reason why I gave it 2 stars. Sadly these people are stuck in a terrible show. I wonder if they know it?"
10,"This series is a mess. It's never clear what exactly the message is. Is it about racism? All of the characters practice it. ALL white people are bad, but not all black people are good, especially the ones who betray their families for their white lovers. History? The actual history that is mentioned never relates to the plot. Gay people are made evil. Magic is desirable, especially if you can use it to hurt people. I watched every episode, some of them twice, trying to figure out what exactly was going on. What was I supposed to learn? I have no idea. And what were those monsters in the woods? Never explained. I wasted my time, but I can say I saw it. Knowing the state of awards now, this will probably walk away with all of them and I'll still ask why."
