,0
0,"Will I was surprised I didn't expect that I can watch a foreign tv show and make me feel amazed with how excellent everything was first from acting - cinematography - score .
maybe their is poor CGI used in the third episode but It is not a big issue for me.
Personally my favorite episode is the last episode.
I am waiting season 2 ."
1,"Good solid start of a new promising new horror/mystery show.The story reminds me of classic adventure stories like Indiana Jones and gives constant suspension and couriosity. You want to know what happens next and what the mystery is about. It does not invent something completly new, but delievers an exciting premise.The main protagonist is the heart of the show and carries the main attention of the spectator. In comparison the other side characters are boring and lack of an impact and can't compete with the actor of Refaat Ismail.Where The Haunting of Bly Manor fails and tries to copies his own formula, this show creates a satisfying setting."
2,"I started watching the anticipated series ""paranormal"" today and actually it is not only another horror/drama series produced by netflix, but it is a very well done adaptation for the great egyptian author ""ahmed khaled tawfik"" paranormal stories, the acting was nice, the music was better than expected, the cinematography was interesting to watch, overall it was an enjoyable ride and i am surely waiting for season 2"
3,"When i decided to watch this series i did not know what i'm gonna see,but from the first episode i found myself into it and that's for multiple reasons:
-the decors and the setting of thoses periods of times in the arabian countries they really did a great job there.
-also,the egyptian and libyan arabic they have done it perfectly it doesn't feel like they translated it from english to arabic.
-Samma Ibrahim ''Raeefa Ismail'' all i can say about him is that he's done a remarkble effort in playing his character..as well as the othere characters except some of the kids they didn't convince me with there acting..
even though the series still has cons like
-a lot of questions are not answered
-the CGI they used was so bad..i mean really bad,and they tried to hide it with the darkness in the scene and the camera movment but they didn't succeed in that one,plus,a lot of events rely on CGI.
also,the relationship between Raeefa and megie was so cold and cringy and other things that i don't wanna say for the sake of not spoiling any thing.
still this does not diminish the value of ''Paranormal''.
if you love horror, mysteries and suspense like me..you'll definitely love this series."
4,"Gorilla at the desert it doesn't make sense at all ! The story is great and the cinematography also,but the graphics are terrible like it's done by a 5 yo kid ,and of course I won't forget the legend Ahmed Amen for his audition such a great and brilliant actor."
5,It's a great start .. the music is awesome .. the cast and everything are amazing .. i am going to end all the episodes now
6,Amr Salama the director did a great job by turning the novels into this great show this the best Arabic show i have ever seen
7,"I'm a fan of the novels series, I read the 81 stories since I was 17.. When I heard about this project I went back and read the whole collection again.
Now this show stands alone as a very special first Egyptian production from Netflix, I loved the general atmosphere, the looks of the characters, the suspense inside every moment, the coloring.. Loved it all
The only thing that disappointed me that they had to deform my early imagination about the storyline itself, I had that bad expression all over my face 😅 every time thay tend to change the way I remember some details.. Daram stuff I know but I didn't like it.
I hoped they could find another way to give us the whole thing without messing with tge details.
Regarding this I'm proud of the series and I hope they go on making a lot more seasons very soon."
8,I didn't expect that.This show will be one of my favourite. I highly recommend it to everyone doesn't matter what age you are. Everyone will find something interesting in it. GOOD JOB KEEP IT UP
9,"Usually I don't watch Horror category movies, but I liked this one for sure.
The series is so neat, 6 ep. without boring scenes and unnecessary clips. The main actor Ahmad Amin rocked the role he played, he deserves an oscar for it!There was a scene should be fixed and it bothered me because of the vfx effects, but it doesn't matter between the awesomeness of the series"
10,Very good and waiting second shafter. we need a second very soon
11,I expect better than what i saw This is the first time that i see King Kong in the desert eating and protecting cave Its really bad
12,"Episode 1-3 are very bad. Episodes 5-6 are very good. Terrible graphics, good acting, Ok story in general."
13,"As a HUGE fan of the late Dr. Ahmed Khaled books and specially the Supernatural series, I have to say when I heard that this show is coming up it was like a dream to me!That being said, I was highly disappointed after a watching the first episodes of the series, It was so bad!I don't know why but the script was very bad written, nothing came from the original books. I know it shouldn't be a copy-paste version of the books but at least keep the original storyline!The acting was average, CGI was below average and the characters wasn't that interesting.I couldn't find any positive thing about this show. Having a really high expectations from it, it was a huge Failure!"
14,I love it so much...i highly recommended it to all horror story lovers
15,This series is a big step for the Egyptian drama and a great door to enter the world of Egyptian drama and experience some day to day Egyptian habits form the ordinary boring stuff to the mystics and the legends of this culture
16,"I gave it a chance after reading the reviews here, while I watched it all, I really fail to see what exactly is special about this series.. yes it had a bunch of interesting ideas all crammed into a 6 episode mini series but they are not even well executed, the acting was good (you can see the actors really tried).. I get it these reviews are probably because it's a foreign series and small budget compared to other big titles.. but overrating it will never change the fact that it is mediocre at best..I'd still watch a second season though."
17,"Actually iam glad that we could do a series based on a great novel such as this one, But Iam so confused of these people who rate this series 10, is it 10 because it just an egyptian good series?!, or it is 10 because it deserves 10, I didn't rate breaking bad, GOT, Chernobyl, prison break, the walking dead, and shameless 10 to give this series 10, WTH Is going on here?!"
18,"Started exceptionally, becomes absurd and boring midways. The cinematography is great, yet unrealistic at times, even pitch black scenarios, are illuminated so brightly that you wonder why they carry the lanterns.
But the major probelm is Dr Reefat's character and how the plot becomes absurd at times"
19,"I loved the series, but it ruined the novel completely, it makes dr. refat as a psychopath not like in the original story, also it keeps involve Maggie as a main character which i didn't like, hope they stucked with the original story and change a little bit not so much, they completely wash Dr. Ahmad's spirit from the story"
20,"I expect better than what i saw
This is the first time that i see King Kong in the desert eating and protecting cave
Its really bad"
21,"I give it 6/10, its not a horror serie , not one sense, but the story line was good, could be better. Should people stop overrating this show, because it worth 5 or 6 not 9 or 10."
