,0
0,"Honestly, I love this show. I loved it from the trailer. I dont understand why so many people are giving it low ratings. Honestly, this is how people talk. All the awkward poses, all the awkward writing... If you actually listen carefully to how people speak, you'll realize that this show catches that at best. 
I love it. Will continue to watch it. Hopefully it gets even better."
1,"But rather about adult depression, not feeling whole or enough, with emotions and thoughts and fears which you don't share even with the ones closest to you, pretending to be happy but feeling alone and hopeless inside. 
If you are an adult, not like legally adult but been through some stuff throughout your life, you will definitely find someting here.
I would have definitely binged this one if there were more episodes."
2,"The first episode was as promised...an emotional drama. I was tearing up almost immediately. I felt compelled to write this review because of the negative reviews I'm reading on other sites. I think this show is deeper than it seems on the surface. It does focus on a touchy subject, suicide, but it is something for which we could all use a better understanding. I think too often we are caught up in our own worlds to see what's going on around us. There are many people silently suffering and living behind a facade of fake smiles and glitter. You never know what someone is going through. Hopefully this show opens peoples eyes, hearts and lines of communication about emotions and depression."
3,"Went into this show expecting an updated version of The Big Chill. I grew up with that movie and soundtrack in our house and wanted to feel that connection my parents felt to that movie. The show is beautiful and tragic but I think the glue holding it together is James Roday. He gets it and he has ""it"". His scenes feel so real and grounded that I find myself wanting more of his storyline. I am excited to see how this show is able to carry over a whole season and I am hopeful Roday has some nominations coming his way."
4,"I thought this show was an accurate depiction of the fight with depression and how it really can touch everyone. Someone with depression may see this show and identify with it right away. Or, possibly see the effects of what they leave behind. Granted it is a dramatization but still for someone else suffering, very accurate. Gone is the cookie cutter families that have a perfect life. That's not real. People can have real discussions because of this show. I appreciate the hot mess mom shows, or the shows show adultery (including the guilt), the co-parenting shows, the Hispanic loud families, or even the new shows that portray the problem with the medical culture. That is real life. We need more shows to shine a light on it so we talk about it. Instead of shoving it under the rug and acting like it never happens."
5,"I hope this show will help start a conversation so many never want to talk about, laugh it off, or turn away from...just shake it off. I am one on the other side screaming for help and never being heard by therapists or family (as I have no friends, seriously)...in fact my mom said I should not watch it as it will impact me. Be in a good frame of mind...sorry but when you cannot see the horizon is there ever a good frame of mind? I thought the cast and story lines were right on...as well as the song choice playing throughout parts of the show. I hope folks will watch and start a conversation with friends they do have. And give the show a chance...it may help you to understand and answer a question or two. And for now just listen is all and let someone know they are not alone. I have been living alone...really just existing in life with every day being a struggle.... for what? ...maybe a show like this to come my way for a reason.  For the critics out there...Yes I am and have been in therapy for years as a suicide survivor and idioligist...but get no where and left unheard...leaving me with different questions.Everyone has a story...One kind word or gesture can make someone's day...even your own just by doing one small thing. Yes I told my mother I watched it and thought it was on point and it hit home for me right down to the song...and too bad therapists don't listen either...and I got back...told you along with a crying emoji. Watch and see...it may just start the change..."
6,Show is off to a good start. A couple moments are a little rough but James Roday really carried the pilot. Excited for more to come
7,I love almost all the characters on the show and their stories. Great acting and very interesting storylines. However I find myself fast forwarding through the Maggie scenes with all her fits and crying and they've made her personality cringeworthy.
8,"I watched this show based on my love of ""Psych"" and ""weeds"", but I was extremely surprised and excited to find such a heartfelt and warm show for this fall. It's new idea of mental health gives accurate,representation of today's current struggles with the everyday person along with finding family in the people you stumble across in life. I truly believe in this show and hope it continues. Stunningly beautiful."
9,So good! It is a drama so definitely need tissues but I expected that. So bad reviews have mentioned 13 Reasons Why and This is Us as comparisons. Yes it is a drama like This Is Us and talks about suicide like 13 Reasons Why but it is a completely different show then those in my opinion. Everything happens for a reason and we are sure to find out all the reasons throughout the season! I'm excited to keep watching!
10,I have mixed feelings about the show. Overall I felt most of the acting fell flat. I did however really enjoy James Roday and his character. He was my favorite by far. I'll be tuning in for the next episode.
11,"If you are the kind of person who mainly watches network television, you'll enjoy this show. It is a good show, for network programming.....But if you have been exposed to higher quality dramas and entertainment you'll have a hard time fighting the strong odor of cheese coming off the screen."
12,"This is one of the few good ones they are putting out for us. Characters are believable and multi layered like real people. Good choices for actors. Subject matter is delicate and handled well. This is a topic that needs addressing and is done in good taste. I found it easy to relate to these characters on many levels. I like that it shows reality that even seemingly successful, happy people have problems and it's a good lesson not to judge anyone."
13,"Just curious, but does the character of Theo annoy anyone else? What kid acts that way? It seems so unrealistic and I find myself rolling my eyes. Can any of these characters smile or be happy? It seems depressing all the time."
14,How many people slept with each other and how many kids did they have? It's gotten ridiculous. We're not watching anymore.
15,"Never seen ""13 Reasons Why"" and do not plan too. As heard it ""glorifies"" suicide in the wake of the deaths of Anthony Bourdain and Kate Spade in 2018 June.A successful businessman and married father of two, Ron Livingston commits suicide as hopefully we will find out why he did and that suicide whether you are successful, working class, married, single, etc.Great ensemble as David Giuonti(Grimm) stars as a father who's marriage is strained to Grace Park(Hawaii Five 0), with a young son. James Roday still shows comic relief like he did in Psych but also balances seriousness due to the facing of breast cancer as 1% of men have it in the USA.Romany Malco who character is going nowhere until he gets the call of his friend's suicide and his TV wife, Cristina Moses as a aspiring chef who wants to open an restaurant and somehow does near the end of the pilot and you will have to see why.Last but not least Alison Miller as a potential love interest for the Roday character and a breast cancer survivor who also happens to counsel those who are depressed. Hope it will make it. And really just hope it shows how people go through healing and may never come to terms with it. But it is about trying to move on."
16,"ABC response on NBC ""This is us"", ""AMLT"" in Season 01 was interesting experience about the group of friends that doesn't quite understand why their friend chose to end his life, no matter most of actors in ""AMLT"" can't act. But, in season 02 it was even worst - it's just like all characters changed their personalities.Rating Season 1: 7+
Rating Season 2: 4+"
17,"The only things that could save this show from the dumpster fire it is would be to get rid of the insufferable, depressing, horrible acted Maggie and John Ritters horrible character and drop the disgusting homosexual child storyline."
18,"This show was amazing for season 1. It was compelling and had great characters. The finally was awesome. But in season 2, things started to go downhill really quickly. The series turned into a sappy, incestuous, soap opera.For me, it was clear they ran out of material in the episode when the power went out in the restaurant. But it seemed like it might be worth the time to check out one more episode. Then ""Unleashed"" happened (S2,E6).SPOILERS!!!************* SPOILERS**********In ""Unleashed"" the script was a schmaltzy disaster, coupled with a heavy-handed and melodramatic director that made dramatic scenes laughable. Literally, we were laughing out loud at the supposedly dramatic moments.The inciting incident of Gary's dog running away, was given outrageous importance! The whole gang assembles with great desperation to find the dog. It had the urgency of searching for a toddler who had been abducted. Wow. The energy, thanks to the on-the-nose script and the insanely heavy directing, made the drama into a farce.When Gary runs a stop sign and gets pulled over, he is so wildly over the top that you would think the cop was literally going to find cocaine in Gary's car. But instead, the cop turns all ""Howdy Doody"" in an instant, letting Gary off with the most cliche apology ever.That's just one tiny example of the whole show's tone.When the entire group is running down the stairs in slow mo to see the dog, it was almost like a Saturday Night Live sketch. NOBODY would do that. It would just be like ""Hey, they found Garys' dog, awesome."" And that would be the end of reaction.I felt bad for the actors having to do all this silliness. Like when the son has to hold the daughter's hand to pretend they are a couple. C'mon, that was just stupid, especially since we never saw the girl's reaction when he grabs her hand. And the dad yelling across the street from his car window was comical. He looked like central casting... ""Time to insert the shot of the dad."" It felt like a bad script note.Overall, this script and directing were absolutely caricatures, schmaltzy, and beyond trite.The very best elements of the series are the casting, the sound mix, the production design and the cinematography. The acting is awesome. It's a shame to force all that greatness into a dopey soap opera.Loved season 1, but I'm outta there."
19,"This is a terrible show. I'm strangely fascinated enough to keep watching although I laugh and shake my head the whole time. It's trying way to hard to be ""important"" and the earnestness is just way over the top. I am basically watching it as a comedy at this point."
20,"Everything was good until they threw in a twist and sent an 8 year old it on a date with another boy and the mom and uncle offers no guidance, nothing other than adoration and praise. Every show on television doesn't have to toss in a homosexual child. Let children just be children and stop preaching the gospel of the militant lgbtqiaaxyz. We want to be entertained not Indoctrinated."
21,"Overly serious, completely irritating characters, designed to do nothing more than depress."
22,"I was really looking forward to this show and they didn't upset.One thing that is really pisses me off is why is the assistant hiding the note?Maybe it has something in it that will totally turn all of the friends against one another.I don't know. But I cannot wait for the next episode.It seems like there is a lot of negative reviews on IMDB. That is to be expected.The people on here think they are experts and we should listen to what they say.I say, watch it for yourself and then comment."
23,"This is the most depressing series there ever was. No one is ever happy in this show. The kids are miserable, the adults are miserable, every situation elicits a mellow dramatic over response. If you find yourself too happy and need to bring it down a few notches, tune in and watch A Million Little Things."
24,This show is the definition of sappy and cliche. The acting is awful and the writing is even worse. No part of this show is realistic to relationships or the average persons life. White privileged people living white privileged lives... and the worst part is that not all of the characters are white! Does this accurately depict the struggle of African Americans or working mothers or cancer or depression or the affects of suicide?? NO it does not.
25,"This is a story about a group of excruciatingly thin women and overly-emotional metrosexual men, who don't seem to have any worries over money, creating problems for themselves to add drama to their lives for no good reason. Spends a lot of time on one particular woman with cancer who they became emotionally invested in the moment they met her, which shows how needy they are to have something useful in their lives, I guess. Cute blond woman doesn't want their attention, but still gets it by refusing to do what they want her to do, so she has a group of almost strangers begging her to get cancer treatment while she teases them with her illness. That is really sick. I gave it a chance. Taking it off my DVR record list because of extreme sappiness and dark, depressing story line that never goes away."
26,Need to dial back on the self pity in each character storyline.
27,"I usually don't watch shows like this, but I wanted to give it a go because I like Ron Livingston. He's not in it much, unfortunately. My issues: the back-slappin' banter between the male characters is WAY too cheesy (as others have already mentioned). I want to slap the guy with the beard. The women? They all talk in that phony, whispery breathless tone - not one woman I know in real life talks like that. And the music is empty, vacuous smarmy crap. I'm still watching, hoping I'll find something to like enough to want to keep watching, but it's torturous. Ugh."
28,"I feel like I'm watching the worst soap opera ever made. I watched it only because I was bedridden for 4 months in the hospital and my iPad was my best friend. I TRIED to like/ love this series. I USED to love the actor who brilliantly portrayed Shawn Spencer on the tv show
"" Psych "". It's embarrassing watching these actors . Such over the top acting and it turns my stomach. I'm surprised they actually approved a second season! Anyway ( NOT anywayS). I'll be really surprised if there is a third season!"
29,I cannot watch this show for the same reasons I cannot watch This is Us. It's very clear they are looking to capitalize on that fanbase with this show. It's a plodding drama with what I consider to be real life situations that are impossible to culminate all amongst one group of friends.
30,"Started off great but now I am into season 2 episode 5. All characters are knee deep in self pity, narcissism and depressing situations without any fight to climb out. Come on, lighten up a bit!!!!"
31,"Well this show is intense, a bit of a downer, it also has a strong message about suicide and life and the people that all of these things affect. I thoroughly enjoyed the show great acting, very well written and I definitely can't wait till next week!"
32,"I am about to give up on this show .
Had so many hopes and all
Have been shattered . 9 episodes into the season and there have been no consistent story line to get hooked on it . Wasted almost 3 episodes on ""back and forth"" about Maggie's treatment ( unbearable reasonings ) . She is an adult and has a right to choose . Let her be .Gary , excellent actor , but very flawed character . What is his source of income ? Actually , that's the question to almost all the characters . Only person shown working diligently is Kathrine . But they spoiled that storyline by adding ridiculous ""2 hr evening time off "" getting rejected by the law firm . That's totally unbelievable .What to say about Jon's wife ? The most selfish person and totally clueless about his work and hasn't asked one intelligent question to the secretary about money / business ? So
Is the secretary running the business now ? Aren't the customers asking who
Is the the decision maker ? And what's in the packet ? My patience is running out ."
33,"I get that this show is trying to be another ""This Is Us""..... enough with the music!
Every time someone says something, we know it's ""going to be important"" because the music starts, and we are supposed to let our emotions go.... except, all I can think of is, I wish the music would go away so I could hear the dialogue, and decide for MYSELF if it is causing me to get emotional..... Not every phrase uttered has to be ""touching"" or ""meaningful"", because, it isn't!
Every man is such a ""guy"", all back slapping ""super"" friend, or ""not worthy enough"" friend.... The women all have to speak in that breathy, whispery voice, unless they are having an outburst, then they sound like a normal human.
I'm wondering when the secret of Jon will emerge, is he the head of a drug syndicate? Child trafficker? Cheating husband as well (vibes from the secretary/assistant)? Serial killer? I can see maintaining the image of perfection maybe caused him to leap off the building, I'm hoping it's more, or else it seems like Jon was sick of doing 99.9% of the friendship work, while everyone else was waiting around for is latest grand gesture.
Pizza night also needs to be implemented by our world leaders, because after potentially years of secrets and betrayals, hey presto, ""Pizza Night"" is back on! We're all friends again, woohoo!!!!"
34,"I don't understand, where is this good rating from? Boring. Poor acting and boring."
35,"It's a decent show but highly forgettable.I liked that they were going to explore suicide and depression but they didn't. They gloss over it and don't show the nitty gritty. Obviously depression isn't the same for everyone but it's deeper than the show portrays.However, my biggest annoyance with the show is how literally no one cares that one of the ""best friend"" Bros was sleeping with Jon's wife. Delilah and Eddie were forgiven waaay too quickly. Jon was supposed to be the glue and everyone LOVED him but no one cares that he was betrayed by his wife AND his best friend? No way.I started watched solely for Grace Park but she's barely given any scenes and when she does, her character is being torn apart because she...works? She is a lawyer and lawyers work. Eddie stays home to care for their son which is admirable but when Katharine goes to work to support their lifestyle she's a workaholic monster. It's unfair. I'm a stay at home mom and my husband works a lot so I understand feeling lonely but I also respect the hell out of my husband for supporting us.The show has potential but it's put together in a very cheesy, unrealistic way"
36,Enjoyed the show. I do believe that everything happens for a reason.
37,This is not This Is Us. I don't see the similarities at all and I'm a big fan of This Is Us. The show deals with a very deep subject that many people don't want to discuss. It reminds me of The Big Chill which was a great movie.
38,What a unique show. It's an incredible combination of drama and life. Put the phones down and sink into the episode. Keep the conversations to a minimum. It's worth the isolation. You come out tuned into a very different perspective of the world.
39,"I like David Guitinoli, which is why I watch this show. Everyone tries so hard and it is so dramatic, almost to the point of overwhelming the audience. I think the producers are trying to bank in on the success of This Is Us, but the characters are unrealistic and over-the-top. At times I found myself saying out loud ""enough"" - don't take yourselves so seriously."
