,0
0,"It's a simple, lighthearted Christmas - love story about two, a bit nerdy and quirky adolescents finding each other through a paperchase.
The story plays with traditions without being too cheesy, just a bit.A good way to relax during these turbulent times!"
1,"When you get yourself into a teenage Christmas love story, you know what you expect to get, and this series will definitely give it to you.
Actually it's quite cute, and even though it's filled with cliches, it's original.I admit, the first episodes were better (solid 8 stars), but as the story progresses some things start to fall out of place (barely a 5 or 6 in my opinion). It's presented in a way made me expect it to be a little more introspective and serious, but at some point it evolves into a typical cheesy drama. It became disappointing at some point, but it's quite short, so it wasn't hard to finish it at all.The biggest flaw is that the characters supposed to fall in love have no actual chemistry. The whole story was quite engaging while they were apart, but as soon as they started to approach, that couple stopped making sense. Don't get me wrong, I do not dislike the characters or the acting, it's just that they do not have that ""something"" as a couple.Other things that may upset you are poor acting from some side characters or annoying cliches, but when you watch this kind of shows it's highly unlikely you can avoid those things, so I'll assume you already expect it."
2,"This tv series was addictive from the pilot. Despite how cliched it was sometimes, it was also original and refreshing. The characters weren't your average 10/10 models, but normal people who were both relatable and interesting. Netflix did very well with this cute Christmas series."
3,Loved the whole storyline for this series but why make them teenagers if you are casting people that obviously don't act or even look like teenagers. These characters clearly don't look 17. At least make them college students
4,"Okay it´s Cheesy,but I LOVE Cheesy...A romantic story about two loners in NY at Christmas time. They start a
back and forth dare challenge, through a notebook at a bookstore.
And slowly they develop a deep connection but is it real or just fiction.
Will they dare to see each other face to face or is it safer to keep it on the pages.Overall a well acted feelgood for the whole family.So to all other romcom lovers ,a must see!!"
5,I do recommend this one. It's very cute and emotional and I love it!! One of the best. Really originally and refreshing!!
6,"Ok full disclosure I LOVE xmas movies or shows but this one is not your usual cheesy like nachos fest about two middle aged people falling in love setting up a Christmas carnival. It's heartfelt and genuine, allows you take a side of happy go lucky or cynical and slightly bitter (the side I'm choosing this year personally). It's also got a bit of mystery to what comes next and it's written and acted well. The leads are amazing and you definitely should try it."
7,"This series is a really good one, I was waiting for this series to be released for a long time because of midori Francis. She has portrayed a really good role as lily as well as dash. This series as over all its nice. All the color grading, script, direction, acting, I like them all."
8,"I happened upon this cute, perfect little series today. On a complete whim I went for it, I typically have things running in the background, will play on my phone, have text convos, and do other things while I watch some shows- most shows... I found myself stopping everything, rewinding, and pausing if I had to get up. I literally blew through the series in one sitting, and couldn't have loved it more! The acting, the story, the characters! It's beautiful, witty, humorous, festive, and just perfect.This is a must watch. It's like a long movie and I adored that so much about it. I loved it wasn't a great story shoved into an hour and a half long film, it took its tile to play out, and allowed transparency with the characters. I could identify with both main characters, and the supporting cast was just superb!What a well thought out series! I hate it's over, but loved every moment. Thank you, so much, for giving me an evening of comfort, and story. I needed it! Xxoo"
9,We have all seen it before. Boy meets girl. They are attracted to each other. Things get complicated and they part just to end up together.Difference here is that this one is worth watching. There is a bit of a twist as to how they meet and what their relationship is. Watched it straight through this evening.Good holiday movie.
10,"This show is now going to be a Christmas tradition for me. I am known for playing Christmas music any time of the year and the soundtrack of this series is amazing! Last Christmas, River, A Holly Jolly Christmas are some of my favorite songs and each one is played throughout the course of the show. Now, let's get into the show.Austin Abrams plays Dash, a recluse who associates Christmas with loneliness and pain. The viewer thinks of him as snippy, depressed and witty. I loved Dash's sense of humor and his intellectual curiosity. In the Strand (the bookstore in NY), it becomes apparent that Dash is not only extremely clever, but he relentlessly searches for answers to the code found in the notebook.The whole premise revolves around a notebook. Lily (Midori Francis), a radiant and intelligent teenager, devises a way for her to meet a cute boy with the help of her brother Langston. She plants the notebook next to The Catcher in the Rye in the Strand and waits for someone to go along to play the game.As someone who loves to read novels, it was so refreshing to see two teenage protagonists my same age who have the same love for reading that I do. There are so many literary references sprinkled in each episode. One character's nickname was a reference to a novel that I read in 4th grade. Every little detail in the series is so impressive, even the perfect titles for episodes. The title of the fourth episode is very appropriate.What impressed me more was how they both changed each other. The notebook becomes a character as both give each other tasks to perform. Lily tries to make Dash see the positivity in the world and Dash forces Lily to come out of her shell. By the time that we are adults, we are completely set in our ways. We have decided if we are going to be cruel, use hateful language, give compliments to others or just be kind. During our teenage years, we can truly find out who we are and who we want to be. I think that there are plenty of people who have had a toxic relationship or are currently in one, but Dash and Lily are so good for each other. They force each other to decide who they want to be. Will they continue their destructive habits or change for the better?I keep trying to think of what I can compare the show to and Notting Hill is coming to mind. However, Notting Hill does not really explore Julia Robert's character and instead focuses entirely on Hugh Grant. Both Dash and Lily are explored, but so are their social lives. Boomer (Dante Brown) is amazing as Dash's best friend, he adds moments of levity that are dearly needed just like Spike (Rhys Ifans) in Notting Hill provides. Boomer is the moral conscious of the show who acts almost like an advisor or person of wisdom. He is easily one of my favorite characters. Lily's brother Langston is very humorous and I greatly enjoyed his scenes too.Someone reading this review might be asking why I rated the show a 10/10. For me to rate a show 10/10 signifies a personal connection. I felt a personal connection to all of the music, but also to Dash and Lily. In a weird way, I am a perfect amalgam of the two of them. It's rare for me to come across two characters who love books as much as I do, love Christmas music and embrace their weirdness or their quirks. Both also have support systems, whether it is through friends or family. I love this series very, very much and I wish teenagers were depicted like this more often.I do have a very minuscule critique. The cameos of the Jonas Brothers were somewhat awkward. I realize that is a slight spoiler, but it doesn't change the story. Nick Jonas was also an exec producer which is interesting to me. I wonder if he is friends with the authors of the books or if he read the book himself and loved the concept. Their cameos were still funny and if you are a Jonas Brothers fan then you will love it.I will probably watch one of the episodes again Christmas morning. I love the idea of going through a book store in search of clues. I would definitely not mind if I were locked in one, it would be a Christmas present for me. Please watch the show! If you are a parent, it would be great to watch as a family! Thank you so much for reading my review and please be sure to suggest it to your friends and family!"
11,I have nothing more to say than how amazing and heartwarming it was. And how I binge watched it in one night just because I just couldn't stop myself from doing so. I really hope there's a second season!
12,"The first few episodes I thought it was a cute series with some promising ideas, considering it was focused on teen romance. It seemed that this series was going to be more balanced between being cheesy and an attempt of portraying teens with a more introspective point of view. But at the end the writers didn't seem to know how to write the last episodes, even though is a short series.I was hoping this was not another fiction where starting a relationship equals happiness. I was expecting for the characters to meet mid season, and see more realistic problematic related to the start of a loving relationship. But well, nope... Writers chose the easy and cheesy... These kids won't be together until the very end, and that's a happy ending. It's so unrealistic and kind of boring.The whole story felt rushed and very often cringy, but the last 3 episodes are the worse. The editing also gets bad by the end, with some voice over obviously added to some scenes to make us think characters are having conversations. Very unpolished.
Actors were good in my opinion. I have seen worse, that's for sure. Maybe the characters could have been written better? Sure. Maybe the story should have been about kids in their 18s instead of teens? Probably, but then, apparently, the writers wouldn't know how to write something dramatic without having ridiculous plots to get to the climax."
13,"It's the perfect feel good ,cozy, watch while drinking hot chocolate under the blanket ,christmas series ."
14,"Very cute, clever and endearing. Hooked from the pilot. Looking forward to seeing how this pans out. Makes a nice change from teenagers swearing, using drugs and trying to get laid - that just gets old and poisons our youth."
15,"Nice little show but it's so hard to reconcile the age of the characters and age of the actors. Lilly is supposed to be in high school? She's played by a 26 year old woman. Cute story but why not get an appropriately aged actor?(Like millie bobby brown in Enola Holmes - for once, casting gets it right - a 16 year old played by a 16 year old)"
16,"I hesitated between giving this 6 or 7 stars. I still do. The first 5 episodes are okay. Not impressive, not bad, good enough to keep watching. I watched not because the story is great but because once you start watching, you need closure. But then episode 6 till the end is a bit too long and stretched, I started getting bored and even irritated. The ending looks very artificial, too much actually. It could have been better. Not sure if this is because of the book the show is based on or the series writing. In the end those 8 rather short (under 25 minutes each) episodes look like a single romcom feature film with a lousy ending. Especially the guy, he looks artificially too soft in the last episodes and I did not find him credible anymore, unlike at the beginning. He even looks like he is high in the finale. Bizarre. I am giving 7, because it made me watched the entire season. But as I said, it is short (few episodes, and short ones). I wish I could give 6.5 stars, 7 is for the first 5 episodes only."
