,0
0,"Is it the most well written, eloquent, well acted series ever? No. Is it a light watch that is easy to check in and out of with fantastic colours and set design/ costumes? Yes. I enjoyed this in a time where I don't want to be reminded of the Covid Global Crisis, politics, the crap weather and other depressing things going on across the globe.The characters are quite fun. The storyline is easy to navigate. The set and colours are beautiful. A lot of criticism around the wardrobe on Vogue Instagram but I thought they were fun and pretty.It's mindless and distracting from reality. Perfect. What more could one want from a series right now?"
1,"This was advertised as Sex and the City (in Paris), but it is nothing of the sort. Lily Collins is a great actor, but her character is basic white girl caricature. Everyone is a caricature. French people are mean and smoke too much. You will just meet your new best friend on a park bench. Every man is hot and going to hit on you. The show was so cringy I couldn't believe what I was watching. It felt like a CW show with a larger budget, then I found out the show was originally set to premiere on MTV. With the toned down language and idealized view of the world, this show is probably great for tween girls who want to put themselves in Emily shoes. This is no Sex and the City."
2,Do Americans realise how they come across when they produce patronising twaddle such as this? Shallow and awful.
3,"Critizing French people for giving 'male gaze' in the ads, while laughing at the age of Brigitte;Every French man thinks about going to the bed with you since you're pretty?Every girl that comes to Paris SHOULD go have sex randomly if they spend time in this most romantic place in the world?French people are conservative, ignorant, insulting foreigners in the face;Finding a Korean actress that does not speak mandarin to perform a Chinese, with bunch of ""american chinese girls"" as her besties;Emily has not made any improvement in her French, nor in her dressing style, from episode 1 till the end. This sucks.I'm not French, but that's definitely not the Paris that I'm living in."
4,"Emily is a late 20/early 30s marketing exec in Chicago. She gets a promotion to Paris for a year, the series is about her adapting to live in Paris.The show seems to rely heavily on clichés and the fetishisation of Paris. Emily demonstrates a level of self consciousness of herself as an American; unsophisticated, uncultured in comparison to her European counterparts. She wants to get that ""je me sais quoi"" from Paris. Edith Wharton would be proud of the use of the America/Europe comparisons in this series.In contrast, all Parisians are depicted as clichés (dare I say offensive ones at that). The older women are relaxed about affairs, impeccably styled and chain smokers. The love interest for Emily is a cultured foodie who could model as a side gig if he really wanted. Her company's client sends her lingerie ""for herself"", so sophisticated is he, that sending creepy gifts is a form of heightened sensuality and sophistication.The tv show borrows tropes from iconic work that have come before it, presenting Audrey Hepburn-esque Lily Collins as the one to deliver many of them. The Miranda priestly style boss in the form of Sophia, the OTT haute couture fashion in a hark back to SATC... etc etc.I wanted to be able to enjoy the show for the escapism that it is, but i feel this show would've benefited from being slightly more grounded, slightly more realistic. The show on surface level seems to pay homage to the city of Paris; indeed many of the characters reference to how wonderful the city is. Emily's large social media following are falling in love with Paris in the way she is supposed to be - yet all we see is a saccharine, sugar coated version. The pastel tints, macaroons and Chanel.Paris is also the city where one of the most significant cultural revolutions in the world took place; the architecture is stunning: it is home to vibrant communities and an artistic history. It isn't just about eating pastries with a Chanel bag.My final gripe is how a 30 year old is able to afford all the high end fashion that Emily has. She works in marketing, not in fashion. Yet she is wearing runway Chanel.This show panders to a fantasy, not steeped in any real appreciation for the city it claims it loves, which is a shame, as the storyline is pretty compelling and the shots of the city are stunning."
5,"The series was promising with great actors and a nice theme.
Unfortunately, the writers clearly never lived in Paris. It's a chain of clichés and stereotypes, each more exaggerated than the next, that makes the series completely absurd and difficult to watch.
So sorry to disappoint but:
lot of Parisians don't smoke ;they don't arrive at 11 am in the office and they actually work during the day ;all men aren't unfaithful ;all Parisians aren't mean.The least we can say is that nuance and subtlety are not present in this series."
6,"I'm French and yes there is lot of clichés in the show, it may be a bit annoying when this is overplayed but to be fair, even if in numbers the cliché are mostly on French, the authors do not avoid to put some on Americans too (shouting instead of talking, not able to dress up without a lack of taste, etc.). Moreover what I found interesting in this show (and apparently my fellow country mans didn't noticed it) is the fact that when there is a cultural difference to settle, this is not a "" Merica is always right so think as we do"". Both are giving their point of view and explain it.Overall, the show is quite nice even if lot of things are not credible, and I would put a 8 stars if clichés were a bit more nuanced (ex: yes we know that there is less working hours/per week than in US but come on, nobody starts a 10:30 AM and take a 2h lunch break at restaurant every day).To conclude, this is not the tv show of the year, but still nice to watch. If you're not French, keep in mind that this is not a true reflection of France, if you say ""bonjour"" we're not that rude ;), and if your French, chill-out a bit, i know we are a proud of being French and very chauvinist but come on, what is showed is somewhat halfway true and keep in mind that authors try to do it in both ways with superficiality on US social media etc..."
7,"Yet another American in Paris who doesn't speak the language and has no intention of bothering to learn it, as if French is merely a few vulgar noises she can spit out while talking a bit louder in English so everyone will understand.Another story about how simply watching TV and movies, and never wandering one step from the script of current popular culture will assure success. She's good at social media? Ugh. Just what the world needs: more brain-dead creeps staring at their phones 24/7. ""I read that book at university...well, part of it,"" she says with no shame to one of her French suitors. She says this in almost the same breath as she admits to having a master's degree in communication. I guess reading wasn't part of her curriculum. Stupid wins!Yet another Hollywood production about how sexy and glamorous it is to be in marketing. Isn't that just selling crap? Hollywood only has two jobs for slobs who don't actually work in the movies: lawyers and marketing people. As if you can't have a life worth living if you aren't famous and not in one of these two careers. Oh, and of course you have to be rich. Even the nanny in this series is a filthy rich girl slumming in Paris. Being middle class is so icky, and forget about being poor. Sickening class warfare is being waged and most people don't even get it.This is probably perfect for Generation Like, or Generation Selfie, or whatever they call themselves. How about Generation Whatever? It claims to be about Paris, but it seems more like a theme park variation of the City of Light, or that place on the Las Vegas strip. Why try to construct real Parisian characters when there are so many stereotypes lying around to recycle, yet again? Did they pay someone to write this mess or did they steal if off the laptop of an unpaid intern they sent out for coffee?"
8,"Emily à Paris, c'est de la merde. This series is full of cringy worn-out stereotypes about the French people and France. If you've never lived in Paris, never visited Paris and never immersed yourself in Parisian culture, you would believe this drivel. It's simply more yelping by an American that Americans are ""exceptional"" and the French are ""lazy, bad and smoke too much"". *YAWN*. And Emily in Paris is a millennial and Gen-Z knock-off of Sex and the City/a fish out of water story, with a demon for a boss. But with all of that said, I have no idea why anyone thinks this is some tour de force series that we've never seen before (The Devil Wears Prada was the best of the best of this genre).Emily in Paris is excruciatingly boring with an extremely weak storyline, and plot holes big enough to fly a 747 through. Darren Starr wrote Sex and the City and he's trying to catch magic in a bottle again, but this ain't it. Emily in Paris is dated ( I hear the 90s calling), stale and Lily Collins is not funny when she should be, and she's not a good enough actress to be convincingly dramatic in other instances. In one scene where she was yelling at her boyfriend, simply sounded shrewish and looked painfully cartoonish. Then in another scene, she acted as if she discovered croissants, and then eating one was some magical experience ( we know in real life young women like her who are influencers and obsessed with posting to Instagram, would take one bite, then exercise for 3 hours because of it). That was worth 100's of eyerolls.As for the other cast members, they're just sleepwalking through their dialogue and scenes. The looks on their faces says it all....they know deep down that this is a disaster dressed up in expensive designer clothes, but it's a paycheck. And speaking of the clothes, I love Patricia Field, she's a costuming genius, but so far from the episodes I've watched, there's nothing mouth-watering in Emily in Paris. I saw a couple pieces I liked, but nothing that I would search high and low trying to find.And much like Sex and the City being set in a major metropolitan city like New York without there even being a Black, Latino or Asian person in sight, Emily in Paris has a similar diversity problem. One Black guy working at the company with Emily, and an Asian woman as her embarrassingly stereotypical wild-child new friend, in a cosmopolitan city like Paris, does not diversity make. I've lived in both cities and you see people of color from all over the globe....everyday. This is 2020 and that's utterly ridiculous to not even see people of color on the streets. I've seen enough of Emily in Paris, and there's no need to go any further with this dull vanilla nothingness of a series."
9,"Terrible acting and writing. It is like pulling teeth watching this. Tired, predictable and obnoxious"
10,"So many clichés it's a little annoying. No all French people don't smoke, we are not all rude, cheating on our spouse, etc..
I have a hard time connecting to the main character. She arrives in Paris with arrogance and naivete, not even bothering to learn the basic French or cultural norms. She's always dressed so weird and act so entitled and know it all. As someone who lived for 6 years in Paris, I can tell you the show paints a very inaccurate image of the life there."
11,"I'm only five minutes into the second episode, but I paused the first episode three times to do far more interesting things around the house. I feel like I'm watching a juvenile version of Carrie Bradshaw's trip to Paris. Lily Collins in zany, Carrie-like costumes feels forced, along with all of the gratuitous shots of Lily's outfits that are clearly product placement. Emily does not feel like a three dimensional character to me. It feels like she's a character type and Lily Collins is far too talented to make me believe it's her acting and not the writers or the director. I was really looking forward to this show because I love SATC and Lily, but this show feels like it was made for pre-teens."
12,"I am a born and raised Parisian, so I expected to watch another bad show/film about Paris. There are still many clichés about the French and Paris, but there are also a lot about the Americans and the USA. The French are mean and rude for the Americans because the French are in my opinion less hypocritical ;) and the Americans are ""ringards"" because you cannot compete with the French sense of class. In the end, it is more a reality than a cliché. Emily made on each outfit at least one fashion mistake!!! But that is how it is supposed to be!Everyone did a great job on the show. It is really rare to watch an American show with so many details about the French culture (or about another that is not American). I even started to think it was French with some American actors.I did not want to give 10 stars because sometimes the characters spoke in English to another although they were both French. For example Antoine and Gabriel spoke in English although Emily was not around. It is a typically mistake on American shows and I think they tried avoiding it but not enough ;)I binged the show in one day, so I would definitely recommend Emily in Paris!"
13,"A bit of a mixed review for this show:
(+) It is light hearted, to be watched for some fun, to pass some time, whenever you don't want to watch anything serious. It only shows the center of Paris (therefore beautiful touristic parts) and the rich life. The main character is pretty, wears colourful clothes.
(-) It is full of stereotypes on France and French people. It would be fine if it were only the light hearted ones (food and cigarettes) but it goes beyond that. It shows that showers often don't work in France because of old buildings ? Not the case, our water system is great. Men often pee in the streets in front of everyone ? No. The main character wants to bring American marketing ideas, and complains that a lady is shown walking naked (from the back only) for a perfume ad, saying it's sexist and that women should be fully clothed, that America wouldn't accept this ad due to a naked woman. She finds it inappropriate and not in the actual feminist context. Does she even know feminism these days has become accepting a woman's body and what she choses to wear or not to wear? Also, isn't America the one country that oversexualises women? Has she even seen American singers, how inappropriate they are in their clips ? Their oversexualisation is way beyond a perfume ad where a woman is simply seen naked from the back."
14,"As an expat who has lived in Paris for several years, the show was painful to watch. Really 10 minutes of serious, unbiased google search would have made this pile of garbage something worth watching.HARD PASS!"
15,Main character is just annoying and for anyone outside of America this is just stupid. How on Earth is someone supposed to like and relate with ignorant social media expert that has a personality of a cartoon character.
