,0
0,"I loved it! A very sweet (and different) story. It pulled me in enough that I got invested in the characters, which allowed me to laugh and cry (a few times) at the end. It's movie that, if you allow it to, makes you think - and appreciate. I loved it!"
1,"I was almost not going to see this movie because of the rating! I'm so glad I decided to give it a go because I would've regretted it. This movie is great and I dont even like Christmas romance comedies! It wasnt overly sappy and filled with sex scenes like the regular theater movies and even with people spoiling the ""plot twist"" it was still well worth the watch! The storyline is very simple but nothing wrong with a little simplicity. Not all movies should be unpredictable. Predictable doesn't mean unsatisfying. I find the more UNpredictable the movie, the less satisfying because who wants to watch a whole bunch of random scenarios happen in one movie? Not this girl. That would be wAY too much."
2,"Saw this last night with my wife, who needed some cheering up after a tough week. This wouldn't have been my pick, but once I saw the cast and the Christmas vibe I thought 'why not?'Another draw was that Paul Feig directed it. Who doesn't love Bridesmaids?!It follows a down and out type character played by Emilia Clarke, who plays it pretty much to perfection. I'm not that familiar with her, but she really bears her soul here.The film balances comedy and drama skillfully, I won't go into too much detail, but the audience here in Australia was laughing out loud throughout and my wife and I had tears by the end.This is what I go to the movies for.The good:
script is funny and touching where it needs to becinematographymusic by George Michael - really flows well with the visualsthe pacingNot so good:
a few moments are a bit clichesome characters are a bit one dimensionalpolitical correctness in some scenesMy advice would be to leave your cynicism at the door for this one, I am recommending my family and friends to watch it for sure!"
3,"If you're looking for a lighthearted feel good movie, this is perfect. Sure the script and plot aren't out of this world, but the movie had me smiling and shedding a few tears too. Emilia Clarke and Henry Golding were amazing (as always) and the ending really touched my heart.
Deducted one star for historical accuracy, but then again the family's background was not the central focus of the film so the inaccuracy did not take away from the plot. Nonetheless, for such a renowned team of filmmakers it's weird to see such a slip-up happen.
Don't pay attention to the reviews bashing it for the inaccuracies and 'political intentions' of the film, it's a wonderful feel good movie that really touches you."
4,Surprisingly good was expecting a cheesy rom/com holiday film. But instead the Movie make you look up and appreciate what you have in life 😊
5,"Kate/Katarina (Emilia Clarke) is an immigrant to Britain, with her family, coming after Yugoslavia broke up. Once singing in church, she longs to make it in musical theater. However, life has thrown her off track. Her mother (Emma Thompson) is overbearing, her sister is a successful lawyer with sharp disagreements with Kate, and our Katarina has health problems. So, now, Kate works at a year-round Christmas store, as an elf-saleslady under the direction of store owner, Santa (Michelle Yeoh). Its a living? Well, yes, but Kate has been couch surfing and has no permanent home but her parents house. One day she meets a handsome man on a bicycle, Tom (Henry Golding) who advises her to ""look up"". Its akin to stop and smelling the roses but Kate wants none of this gooey philosophy, at first. But, on subsequent encounters, Kate begins to notice things she's never seen before and to appreciate the friendship/love Tom has been offering. Can Tom change Kate's life for the good? This lovely new addition to the repertoire of Christmas cinema has a strong foundation in its script by Emma Thompson, a wonderful cast, lovely sets and costumes, and the eternally grand music of George Michael in its soundtrack. Be prepared for laughter and tears, as unexpected happenings keep arriving. But, in short, don't be last in line for Last Christmas!"
6,"Never mind the bad critics. Go see the movie. A lovable feel good holiday movie. The storyline is not very strong though. These days most movies are about horror, evil, action. Mostly senseless. This film is about unconditional love; a woman who loathes herself, but has her heart on the right place; about being there for one another despite differences, with wit and humor. Also about family. ""The real meaning of Christmas is the giving of love everyday."" Song by the Ray Conniff Singers in the sixties. That song came to my mind."
7,"Yugoslavia in 1999? Did not exist. I am from Serbia and I agree with fellow croatian who said it is very much confusing and why did they escape from Croatia 1999? How strange.
Anyway the movie is cute and christmasy so why not enjoy in it."
8,Last Christmas... the movie was so so so beautiful.. made me cry ... love hearing George in the cinema. It was like voice of a angel ..very emotional ..
9,I love Christmas movies and I love a good feel hood chick flick so I loved this. Emilia Clark and Henry Golding were a great pair. I've read many harsh reviews but I thought it was great.
10,"""Last Christmas"" is a funny, heartwarming, ultimately profound movie. It's being marketed as a romantic comedy but it's more of a dramedy. There are funny lines throughout, but ""Last Christmas"" deals with some tough issues, and towards the end it sends a beautiful message.Emma Thompson co-wrote the script. Thompson previously won an Academy Award for best adapted screenplay for ""Sense and Sensibility."" ""Last Christmas"" traffics in unflattering stereotypes of Eastern Europeans and it tries to hard to be politically correct, but its wit, warmth, and the chemistry of its stars, Emilia Clarke and Henry Golding, won me over.The movie opens in the former Yugoslavia, in an Orthodox church, of all places. Petra (Emma Thompson) is watching her daughter Katrina sing a George Michael song.Fast forward decades later, and move to London. Kate (Emilia Clarke) is an unlikable mess. She works as an elf / clerk in a year-round Christmas store run by Santa (Michelle Yeoh). Kate is homeless and couch surfs, sleeping with friends and one-night stands. She dresses in clothes that are a little bit slob and a little bit tramp. She's hard to like.One day she looks out the window of her Christmas store and sees Tom (Henry Golding.) He's a very nice guy. Charming, handsome, and kind. Kate is suspicious.Eventually Kate and Tom get close enough that Kate confesses her dark secret to him. She had been ill for a long time. Her mother seemed to enjoy too much having a chronically ill daughter, so Kate had to move out of the house. A year earlier, Kate had had a heart transplant, and she hasn't felt like herself since. Tom encourages Kate to get her life together.Kate returns to her natal family, now living in London. Petra, Kate's mother, is a stereotypical Eastern European. She is always sad, she sings mournful songs, she uses outlandish curses - ""I will nail you to my p----"" - and she refers to a dessert brought by a gay guest as ""lesbian pudding.""The TV broadcasts coverage of Brexit protests and Petra bemoans that people dislike her because she is an immigrant. But she is a bigot herself, albeit a comical one. ""I blame the Poles,"" she says, about current anti-immigrant sentiment in the UK. All this is played for laughs. Otherwise, the movie bends over backward to be politically correct. Four relationships are highlighted in the film, and all four are biracial, and one is a lesbian couple. The one group this politically correct film recognizes it is okay to make fun of is Eastern Europeans. Even so, I loved the movie.There are no spoilers in this review, so I can't tell you how the movie handles Kate's transformation, from a total mess at the beginning of the film, to someone we can take to heart at the end, but I found the plot device to be quite poignant, and I left the theater with tears rolling down my face. The critics who have given this film a low score need to have their credentials revoked and their minds and hearts opened. Emilia Clarke and Henry Golding have terrific chemistry, and I'd love to see them reunite in a more traditional romantic comedy."
11,"With the film industry laden with drugs, war, death, shady politics, doom & gloom, this is a bright little ray of sunshine in a very dark world.
It's so nice just to be able to go to the cinema & laugh again. We NEED more joy in our lives. The soundtrack is just phenomenal too, I mean, too much George Michael is never enough!
I thoroughly enjoyed this movie. Being a George MEGAFAN, no doubt I'll be watching this every year until the end of time. Do you you know what, the thought of that makes me super happy.
Just go to the cinema, check your worries at the gate & just enjoy yourself for a bit. It won't disappoint, I promise!"
12,"Thank you Emma Thompson for producing this very underrated movie. Does it have the quality of Game of Thrones character development and storylines? No. Does it have the same appeal as Crazy Rich Asians? Probably not. But, does it do a great job putting a musician's catalog of songs into a fictional story? ABSOLUTELY!If you're a George Michael fan, and watch the movie from his song's perspective and get past the romantic comedy category that this film falls under, you'll appreciate what it does to his music. Is there cheese? Sure, but that's part of the charm to get to the twist.Not knowing the twist is the best way to watch this movie to experience what it is doing in dedication to George Michael.I would have rated this movie a 10, but they missed out on some of George's songs that they could have included, but for whatever reason, they didn't.If you got this far in my review and you haven't seen it, and you're a George Michael fan, and you're into the Christmas spirit... Go see it."
13,"Maybe I'm in a cheesy mood. Maybe it's because it's a Christmas movie. I love Emilia Clarke as well. Combine all that, and I loved this movie. I saw it with my parents and fiancé. It made us laugh and look forward to the holidays even more. Ignore any negative reviews. This movie is perfect for what it sets out to do. It reminds you what the holidays are all about.Enjoy!"
14,"I really want to say I liked Last Christmas - Henry Golding is disarmingly charming, the happiness is helping other people message is sweet. This is how a Christmas film should be....you laugh, cry, laugh some more ...with a theatre full of strangers who are doing exactly the same. Not ashamed to say I loved it."
15,"Better than I expect it to be, this is one really heartwarming film. Not your typical rom-com or holiday film. The story is a 10/10 for me. Emilia Clarke and Henry Golding really shines in this, also Michelle Yeoh and Emma Thompson. The movie also has a lot of lessons in it."
16,"The film was much more than expected. The beginning seemed like the movie will not offer a great, deep story, but just wait till the end and you will me amazed. There are also plenty of really funny moments and Emilia is just wonderful in portraying them."
17,"The first half of the movie was a big smile on the face all along. Emilia Clarke is amazing, cute, beautiful and perfect for this part. Henry Goulding is good too. I didn't like the big twist at first, but after some thinking I think it can work. I'm not completely sure how I feel about it. Lovely movie with a great cast."
18,Good rom-com!Her smile and energy are fantastic. It was a bit early for a Christmas movie for me but it didn't seem to matter.
