,0
0,"Modern Family is primarily a comedy that revolves around three families that are held together more by their virtue of acceptance and love than by the blood ties that connect them. Each character has been thoughtfully written out and played to perfection by a slew of actors who take your breath away. A family that is so imperfectly perfect that you draw the expectations for your own family - present or future - from their actions, morals, decisions and values.It's a show where an old rich man marries a young woman of colour; where a white patriarchal figure accepts, not without his reservations, his openly gay son and his partner; where a gay couple gets its chance at parenting when they adopt an Asian girl; where we have a teenage pregnancy create the foundations of a loving family; where an old couple decides to give parenting a spin in the second innings of their life; where each child grows up emboldened with the confidence that his family is there to support him/her to become their own person.What the show does impeccably well is throw societal expectations for a toss to underline only one thing - who we are and choose to be does not dictate the rightness or the wrongness of our being. The only this that does is the purity of our hearts. That is it. One episode after the other, we have the writers create interwoven and hilarious narratives into episodes that break stereotypes and societal conventions to showcase the meaningless of their existence.Despite the seriousness of the central theme, the show is outright hilarious. It is witty - much too witty to understand every joke, every emotion, every retort in just one watch. The writing is spot on. It makes you live the characters and fall in love with each one of them - one episode at a time. It's made me pause the show because I had to laugh so bad. It has also made me pause to make way for a few tears which flowed without announcement, without purpose. The families, despite their eccentricities and unconventional way of being, are ever so relatable in how they love one another. The only way to truly love someone is to let them thrive in their own choices - that's what I learn from this show - every day.It's unparalleled what this show has done for the people who were too scared to come out of their closets and the parents who were too scared to have a kid who did. I cannot recommend this show enough. You will feel a myriad of emotions when you truly embrace the depth of the stories and therein lies its beauty."
1,"For those still in withdrawal from the cancellation of Arrested  Development, let me write you a prescription: Modern Family.  The comparisons are obvious and with good reason. The postmodern comedy  for the 21 century was ushered in by The Office(UK) and Arrested  Development, but I, for one, doubted something could come along and  satiate my longing for another truly, original comedy.  Albeit, you may initially be wary to see yet another mockumentary-style  show, but by the end of the pilot, you'll be smiling/laughing way too  hard to stay cynical. Thus far, the plot lines have been really fresh  and the characters are so, for lack of a better word, lovable. This  show fulfills all my comedy needs, and I feel like I must resort to the  listing of relevant adjectives: Witty, dry, smart, outlandish, silly,  clever, cute, sarcastic, subtle, not-so subtle. HILARIOUS.  I hate to say it, but the laugh tracks and raw goofyness of classic  sitcoms like 'Seinfeld' and 'Friends' are obsolete and leave something  to be desired. You will find that something in Modern Family.  And who knows, maybe some of the more painfully funny and poignant  scenarios will reveal insight into the changing dynamics of both the  modern family and modern comedy.  Great show. Period.  And let's get it right this time around: don't cancel good TV shows.  Pretty please?"
2,"Give this show a chance. I really kind of watched it against my will, but figured I'd give it a shot. I bet out of a hundred pilots, I would like maybe one - this was that one. I literally laughed out loud at numerous parts - the way that it comes together is interesting / well-done - each couple has an interesting balance - great dialog (IMDB won't let me spell it with a ""ue"" at the end) - original characters - I'm impressed.I don't think I've ever seen ABC come out with something in this vein. Normally their shows are a bit watered down, but this is edgy and as fresh as anything I've seen hit network TV. I know that comparisons to Arrested Development will be frequent, but I think that this has more structure. The characters aren't as wacky, but they're more believable and easier to sympathize with in my eyes. Tremendous acting, great kid actors - I forwarded the pilot to a bunch of people already, and I feel lucky that I got to watch it before it came out officially."
3,"I just want to say that I love this show!! It is good family entertainment. I believe all of us can relate to someone in it or have a relative that can. For those of you who only saw the pilot (which I watched by accident and loved)please don't give up on it, it is really good comedy. I can't decide who my favorite character is, Cam, Phil...all of them, each week another one cracks me up. I rarely watch TV but this one has me hooked. I agree that the format is much like The Office, which I also think is funny, but the shots to the camera, the expressions are some of the best parts. We have all of the shows on dvr because my daughter and I usually can't wait till the next Wednesday to see it again! Again...Best show in years!"
4,"Modern Family is one of the best shows on TV in 2009.It's written by smart and funny people. It shares some DNA with Arrested Development and Fraiser, but has a little bit more heart.6 episodes in and I am still impressed and still laugh out loud.I usually avoid ABC because their programming in years past has been terrible and vanilla. Happy to see they have taken some chances on this show and hooray for them, it seems to be finding an audience and critics love it too.I usually hate shows with little kids in the cast... they usually end up getting used as cute crutches when writers run out of ideas, but Modern Family has been giving the kids sharp dialogue to match the grown ups.The gay Mitchell and Cameron couple are portrayed honestly and they are hilarious.The very underrated Ed O'Neill is pitch perfect as the grouchy but soft family patriarch. Sofía Vergara who plays his Colombian trophy wife is excellent and very funny in what could have been written as a terrible bimbo role.I wasn't sold on Ty Burrell as the dad who tries too hard to be cool after the pilot... but he's a slow burn, and now it works.Julie Bowen as the slightly off kilter mom adds an anchoring charm to the mix.Every person on this show gets good lines, and the quality is holding up... I hope they win a boatload of Emmys."
5,"Up to Season 7 was great, a laugh a minute but season 8 & 9 just bomb I think I manage one laugh a show. They should rename it to Sarcasm Family it's just full of bickering and bad jokes."
6,"When I saw summer promos of this sit com I thought it looked forced and very predictable. As Cam would exclaim, ""Surprise!"" It is well cast, written, and consistently laugh out loud funny. The documentary camera bit is actually as well done, no, even better than one of the best, The Office. I recognized most of the talented adult cast, they have great chemistry, and it was so hilarious when Shelley Long guest starred as the ex wife. But it is the kid actors on the show who are amazingly well directed in their parts- Manny, as a son, stepson, brother, uncle, and cousin is a hoot: he can wisecrack with the best of them, and then break your heart when dad isn't able to fulfill his promise for the weekend. I always thought Steve Levitan did agreat job with ""Just Shoot Me"", on NBC and I think he and ChristopherLloyd have got a hit show for ABC. Take a look at this so ABC won't cash in on some more ridiculous reality shows."
7,"I'm just gonna say that this show has gotten so bad lately that i started literally hating all characters. Each and every single one. Well, just about...After pretty good first few seasons, everything that followed was getting harder and harder to watch. Jokes are so lame that elicit more and more facepalms.The only character i still respect in this show is Ed O'Neill, and that is just because he used to be a women's shoe salesman... I will never forget Al Bundy."
8,"I saw the trailer for this show a while back and was instantly intrigued. Shot in a ""mockumentary"" style it follows the lives of three couples who's various members are related as family members. Although the set-up is slightly cliché, a gay couple, a stereotypical family and a Columbian wife and son (from her first marriage) with her American husband, this is where the standard ends. The dialogue is fantastic and at many points I found myself really laughing quite loudly, something which is very rare for a TV show to accomplish for me personally. The casting is also spot on with the inclusion of Ed O'Neill (the infamous Al Bundy!), Ty Burrell, Julie Bowen and Sofía Vergara, with each actor really bringing something unique to the mix. I strongly recommend this show to anybody who appreciates good comedy, the ""to-camera"" sections of the dialogue have a very close resemblance to the original UK version of ""The Office"" and for those who are familiar with this, Modern Family will be a welcomed return. Great show, great acting, great script. Highly recommended."
9,"Because I have not one, but two, DVRs I'm able to give all the new shows a chance, which I did with ""Modern Family"". Am I ever glad I did!! I have found that everything about this show is believable. Though the situations that occur during any given half-hour show would obviously never all happen in that short a stretch, I have no difficulty in believing that they would all happen. I never feel that anyone's exaggerating to draw a laugh or milking a laugh. It's just the only ""laugh out loud for the whole show"" on TV today. It is, IMHO, the funniest show since MASH, and that's saying some.There are some parallels to another of my favorites, the little appreciated ""Arrested Development"", ""Modern Family"" has its own unique flavor; and the flavor is . . . hilarious!!!"
