,0
0,"I am a little biased here. I am in recovery. Sober for 20 years now. Everyday I am very grateful that I survived. I don't take my life for granted anymore. So when I herd about this show I had to watch. As soon as I was done was episode 1 I was the shows #1 fan.Now that the show has ended its fourth season I am happy to say ""I am still it's #1 fan"". I love the fact that the show takes many chances (Some chances work some don't). I love the fact that the people in recovery are shown as human and that they still make mistakes and ""life is still life"". The shows first season was a little ""hit and miss"". The producers were trying to figure out what was working and what wasn't. What was not working on the show was Christy's work life and dating life. Her friends (and mother) in recovery was comic gold. In season 2 they added Jaime Pressly, Mimi Kennedy & Beth Hall. When all these women are together in one scene is when the show shines its brightest. Again the show is not perfect but it least it takes more chances than most television shows. It is very funny and dare I say ""Very Real"". To everyone that works on the show I just want to say ""Bravo""."
1,"I love this series for lots of reasons, but does the Violet character have to be so ungrateful and disrespectful toward her Mom and Grandmother? I get it that she's been raised in a dysfunctional family, but who hasn't? I REALLY don't like the way she talks to her Mom. The script is SO funny and the actors' delivery of their lines is right on. I get why Allison Janney got an Emmy, but Anna Farris should have gotten one also!"
2,"Allison Janney made me do something I had never done before. To be devotedly attached to a sit-com. She has created a character in Mom that it's bloody irresistible. An awful mother that it's impossible not to love. That's only achievable if the actress playing her is a genius. Anna Faris playing her daughter is a total find for me. Wonderful and a perfect foil for Allison Janney who reminds me of some of my favorites from the past, Kay Kendall, Eve Arden, Mary Astor, Joyce Grenfell and at the same time, she's like nobody else. She had only one moment in Primary Colors but she's memorable and has an entrance in The Hours that took my breath away. I want to see her in a movie that showcases her extraordinary talents to the fullest. Is that too much to ask?"
3,"After 20 yrs of gambling I have become use to throwing away a dumb amount of cash to overcome emotional issues. The last episode got in my head and I am taking the steps to stop, right now. Today. This minute. Thank you for the much needed inspiration and the shout out! Love your show! It's smart and fun and inspiring."
4,"I LOVE this show. A 7 rating overall is far too low for this great show. First of all, the gorgeous Allison Janney is BRILLIANT as Bonnie. She really never fails to make me laugh. Her character is so lovably messed up. Secondly, this is one of my favorite role of Anna Farris's. I really like Anna Farris, but some of the roles she's done have missed the mark with me. In this show, I feel like Farris's acting style has really matured. She finds a good balance between the lovable, relatable lead and the goofball comic. Thirdly, the chemistry between the two of them is really where it's at. Their mother-daughter relationship is hilarious and charming. It's also very relatable, at least for those of us who maybe didn't have picture perfect childhoods or families. Fourthly, (yes, fourthly), the writing really is fantastic. The writers manage to address very real emotional issues with tenderness and wit. I really just can't praise it enough. This show genuinely is fantastic, and I hope they win lots more Emmys! They deserve it!"
5,"It's not just a comedy, it bears so much grief and pain as well as many great funny stories.It gives hope to anyone who have doubts about their life.Every episodes is well written. Especially the first episode. The 22nd episode is the most touching one!The cast is brilliant! Faris, Janny and Calveno are talented actresses. Even Rothenthal is funny and adorable.This is a one of a kind TV show for people who truly understand what life is about and brave enough to appreciate it everyday.Keep up the good work, Chuck!"
6,"Very good show!It is a shame to watch some negative ratings on such a series. Are people worried about teenage pregnancy, alcoholics, single moms or free sex? Well, get real, that is how real life is. The only thing I don't like, are the laugh tracks, but that is my problem.The way characters have been developing is incredible.It is very good to see that besides all the crap that may happen in our lives, it is always possible to correct ourselves. We can clearly see how Christy and Bonnie have a good and fair heart and always try to redeem themselves from mistakes (both of the past or present). Also, is lovely to see how their relationship develops, such as the relationships with their friends. They all may sound comically harsh to each others, but when something serious happens, we see them taking the right side and defending each other and that's what matters in life.I understand there are many types of humor, but to say MOM is not good because of their topics, makes no sense. Only one who lives in a shell or denies the real life can say that. It is much more interesting to see this than another cliché storyline of some sort of normal family with a light tendency to be JUST funny. I personally congratulate both Anna Faris and Allison Janney. I was not a fan of them, but I am now. Besides their wonderful acting skills, they show a very humanistic mindset.AND TO THE HATERS, SEASON 5 IS COMING. BAM."
7,I have to say first off I have always loved Anna Farris from the scary movie series and she does not disappoint in this sitcom at all. All these people saying that this show is negative and trashy are the same people that love two and a half men and watch it faithfully. I have laughed through every episode so far and can't wait to see how the whole series turns out. The woman who plays Anna Farris's mom is so funny and it kind of reminds you of the mother on two and half men. Don't listen to what other people say and watch for yourself before you make a judgment call. I see other shows that have a good rating like we're the millers which has no laughs in it whatsoever. We live in a generation where people see one thing they don't like an all of sudden everything about the show is bad.
8,I stayed loyal to Last Man Standing thru 5 cast changes to the family until they replaced Molly Ephram as Mandy. I stayed loyal to Mom with 4 family members being written off the show. And now Christie is out. The premise is more of a spin-off with 5 damaged close-knit women talking about their problems at AA meetings then struggling single mom with kids trying to stay sober.
9,"I absolutely LOVE this show! The actors and actresses do a wonderful job at keeping you laughing! I admit, the first 2 episodes were slow on the laughs, but as the story progresses, it gets funnier and funnier. I recommend this show to anyone who loved Two and Half Men and love to laugh. Both Ana Faris and Allison Janney have great chemistry and it works for this show! They are easy to relate to. Being a single mom of a teen and a boy growing up, while working hard to pay the bills and turn around your life whilst having a crazy mom in the mix! The actors who play the teen and kid also do a great job. All in all the whole show is good. You have cameos that come in. Who doesn't miss French Stewart? He is in this show and he makes for even more laughs! All in all, this show is great and if you are looking for some laughs and see the awesome chemistry with everyone on this show, then this is the one for you!"
