,0
0,"I have yet to make it through an episode without laughing out loud and I'm already on Season 3 after finding this show two days ago. This is one of the best shows that I have ever stumbled upon. The characters are perfectly cast and each is relatable in their own way. I cannot say enough good things about this show. Plus, Stevie and David are officially my favorite TV duo of all time.Watch this show!!"
1,"Apparently not for everyone, but I can not get enough of it.
I HATED the ads on Netflix, HATED!, but somehow I finally got around to watching an episode....instantly my new favourite show.Cast is stellar, offbeat quirky humour is my jam. Main cast and side characters fit so well together, people you don't need a laugh track to tell you when something is funny.The shared mannerisms between the Rose family are one of my favourite things about this show, you could almost believe they grew up around each other.
Consistent story line, sweet heartfelt moments, genuinely funny at times, horribly cringey at others.As someone who has never reviewed anything before, (was it hard to tell?), I felt compelled to share my love for this show."
2,"I had a hard time getting into it with the first couple episodes, but after learning about the characters it really gets good. I really enjoy it a lot. It's just a fun show to binge!! And Dan Levy (David)makes the show!!!"
3,"""Schitt's Creek"" is about love and humanity, told in an absolutely hilarious way. The show gets honest laughs and the characters become like family. It is simply one of the best comedies of all time. It is certainly THE most important comedy to have prominent LGBT characters (sorry ""Will and Grace""). A must see. Creator/star Daniel Levy is a comedic wunderkind. With the show ending with its 6th season, I can't wait to see what he does next."
4,"A killer cast mixing vets with fresh faces, Schitt's Creek is a great new cable comedy (although it airs on network TV in Canada.) The cinematography and production design remind me of Shameless; the sharp writing and unique characters remind me of Silicon Valley. The slow and steady pace reminds me of the Christopher Guest movies that O'Hara and Levy were in. It's a rich pedigree indeed. And it doesn't disappoint. I was puzzled why so many people didn't like it initially, but I think I get it: with a title like that, some people must have been expecting something juvenile, and laugh-a-minute. Schitt's Creek is much much better than that.The confidence on the part of the filmmakers is evidenced by the lack of a laugh track, and further, the musical score is used sparingly. It can be hilariously funny, but what really hooks me is that it has a heart and a sweetness that other shows might be afraid to show. There are no characters in the show that are unlikeable. It favors character development over easy laughs, and it may take a while for people to catch on to it, but to me this is a sweet slow buzz, and I am addicted.Can't wait for more."
5,"I don't know why so many negative reviews have been written about this show. Eugene Levy and Catherine O'Hara are classics and it's great to see them back working together. Eugene's son is hilarious and I find their over the top impressions of each of their characters to be spot on. The actress playing the daughter in particular is demonstrating how I see the attitude and behaviour of a lot of the young people today- shallow, vacant and self absorbed. I find this show to be clever yet silly at the same time. Read between the lines and stop expecting this to be like every other tired sitcom out there. I find this show to be very refreshing and I look forward to seeing more episodes. I have never taken the time to do a review before on IMDb but because of the negative comments I felt I had to say something as I hope people will open their minds and give it a chance."
6,"I'm one of the many who, I admit, expected absolutely nothing from a show called Schitt's Creek, so never bothered to even have a look in. Well, I'm here to say I have never been more wrong about a television program!Absolutely love this, and I feel sorry for those who don't get the abundant clever-but-subtle humour that has obviously gone straight over their heads and caused them to leave bitter, whining, negative reviews. Too bad for them, but it's their loss.Schitt's Creek grew on me episode by episode, so much so that I binge-watched the first 4 seasons on Netflix over a weekend! Once in, I couldn't leave! It just gets better and better and I didn't want it to end. I am now watching series 5 and will be awaiting the sadly final series come January 2020 (I hope).I read too many negative reviews from people whining about CBC nepotism and the fact that Dan Levy got a job on this show through his father, so please take note: Dan Levy is the creator of Schitt's Creek, so it could be said he gave his father this job. Together they put this show together, and by bothering to read the credits it's clear that Dan wrote and directed (I think) many of the episodes.On top of that, he plays David brilliantly! His sweetness, fashion obsession, insecurity, need for approval and wit are so cleverly played. People complaining about Dan Levy and his facial expressions: Hello! Those are part of his brilliant performance as David. All the characters express so much with just a glance, an eyebrow twitch or the sardonic curl of a lip -- words aren't even necessary with actors this accomplished! Daniel Levy: you have brought joy to my heart with your writing and portrayal of David Rose!Alexis Rose is annoying, dreadfully so at first. But she learns, she evolves, she grows as time passes. As does David. They are very believable as brother and sister, even sometimes displaying similar mannerisms and expressions. Such clever writing, acting and directing.I have laughed out loud watching Schitt's Creek. I have felt delighted, annoyed, surprised, cringey, charmed and deeply touched. Season 4 episodes Open Mic and The Olive Branch brought tears to my eyes. ""That"" scene in Olive Branch I have rewatched about a dozen times and will watch again and again. (Avoiding spoilers here so not saying more than that.)David Rose. I just want to put my arms around him, give him a big hug, tell him he's beautiful and good and right and that everything will be okay.Love, love, love Schitt's Creek. Love the humour, the satire, the subtle jokes and the big, fat broad ones, and most of all I love the love. It's a beauty!"
7,"This show is so enjoyable to watch. The acting is something else and really gives the show some spunk. All the characters in the town are so weird and unique in their own way. It is amazing seeing a wealthy family blend with the people of Schitt's Creek. The facial expressions and voices of the entire rose family makes me laugh every time. I also absolutely love the sarcasm from Stevie, as she continues to encourage the stuck up attitude of the entire Rose family. Very good show for laughing and casual viewing!"
8,Amazingly good series--LOVE all the actors in it!! but Eugene & Daniel Levy steal the series...with their humor & eyebrows...greatest series I've seen in a LONG while!! THE BEST SERIES ON TV!!
9,"I love this show. I was given the heads up by the UK tv/radio listings magazine Radio Times, of all things. Fortunately, Netflix was gifted to us and we thought we'd give it a try. Well, once my other half and I started watching, we couldn't stop. We've watched 4 seasons in about 3 weeks or so. This should give some idea of how good this show is. The draw was the wonderful Eugene Levy but the other cast members are absolutely perfect, especially Dan Levy and his fabulous character David. I just love the way some of the cast appear to be desperate to giggle at some points, indicating to me they are having a ball. Great writing and performances. Must also mention Catherine O'Hara and the clothes and wigs! I hope Netflix show season 5 soon. Withdrawal symptoms have set in already!
,"
