,0
0,"Stranger Things is a 1980s inspired and themed science fiction horror Netflix show. The show is set in November 1983 and takes place in the fictional town of Hawkins. Hawkins residence live a fairly normal life until a boy named Will Byers goes missing in the woods. Three of Wills friends Mike Wheeler (played by Finn Wolfhard), Lucas Sinclair (played by Caleb McLaughin) and Dustin Henderson (played by Gaten Matarazzo) are very worried for him but what they uncover something more dark and sinister. After looking for their missing friend they come across a girl, who they call Eleven because of her tattoo. However they soon find out this isn't any ordinary girl but one with very special powers. It is very clear the show takes lot of inspiration from classics 80's films like The Goonies and ET. The performances from all of the cast are great especially the child actors, who show the right amount of charisma and banter you expect from kids growing up in the 80's. However, the star of the show here is definitely Eleven (played by Millie Bobby Brown) who plays the ET type of role in show. Millie's brilliant acting skills have a lasting effect on the viewer even though she has 42 words throughout the whole series. The Duffer Brothers brilliant writing and directing skills play with your emotions to create a love letter to all those 80's horror films. It's truly something special! 9/10"
1,"Season 1 and 2 were fantastic. Kept me engaged, ""afraid"" and excited. Season 3 is pretty much a fiasco. The monster is grose, too much comedy which is not necessarily well placed, the constant bickering, and evil russians? Really? There must have been a better plot than that. The hospital scene reminds me of a bad zombie movie. It's a bit slow and boring. I'm halfway through the season, I must see how it ends, but I am slightly disappointed. I still enjoy the actors performance though. Winona is great, also most of the kids are pretty cool."
2,"I don't know what happened but this is a different show, it's almost a comedy now. Everything about it feels off, the pacing, the directing, the dialogue and writing, even the characters are almost caricatured versions of themselves. Only fitting that My Bologna by Weird Al played in the second episode.First two seasons were great, S3 is a parody of those two."
3,"It can hook you immediately, everything seems fitting , the setting , the acting , the direction. Just as it should be. Bringing out the perfect blend of 1980s nostalgia. It gives mixture of taste of big 80's movies.You immediately get hooked with the story , which is amazing because it takes time for me to get invested in a story. I have been a fan of David Harbour Since the Newsroom , and he is just amazing. You're scared , Intrigued , you're completely invested. With perfect setting.I am really looking forward to where this goes from here on in."
4,"Season 1 is a declaration of love to the 80ties ans films like critters, gremlins, goonies and some others. They picked up the in hindsight trashy charm of those in a perfect way.
Season 2 was still good, but i guess tv-series routine kicked in and with season 3 it became somewhat generic. It takes half the season episodes to pick up speed, the subplots are too equally big and too disjointed from each other, yet fail to generate the necessary tension, because when you have more then one storyline you have to let the viewer know more about the antagonist side or you get lost.
Often out of proportion aimless bantering are not helpful either to develop the story, they are just annoying. Some scenes are superfluous.
Basically you are watching half the season without really knowing what you are watching exactly. Failing to articulate the plot they fail the suspension.
Hopefully they will do a better job on the final season."
5,"With its amazing 80s atmosphere and creepy X-files meets E.T feel this show is set to impress. Within its first 8 minutes of run time I could tell I had found something special here in Stranger Things. Its intriguing story gives information at a great pace and I never felt myself getting confused of bored and there were enough twists or turns to keep me interested. This also had some rather great horror sequences and their use of lights flickering while yes a common trope fit so well in to the story I was on the edge of my seat every time the crackle of electricity shot through my speakers and the lights flickered. The characters of the show are the true stars here, I loved every single one of them. They were all great with amazingly interesting flaws and the way they mix and clash with one another was fun to see unfold. They certainly help to carry this show although I would say that the government antagonists of the show felt a little flat and under developed and not nearly as memorable. Production values are also quite good with some beautiful cinematography, editing, lighting and sound. My goodness I loved their music choices. I would say that the CGI does look a little obvious and from time to time I did notice some issues where the scenes didn't look quite up to scratch. I do think however I've been spoiled for visual quality since Game of Thrones so I would take that criticism with a grain of salt because it certainly didn't detract from the overall experience. The setting and style of everything in the locations where also great to see and felt real and interesting. The way everything was shot also captures every moment expertly and really helps to draw out those story moments with greater emotion. Stranger Things is one of those special shows that I stumbled across and after the opening I knew I was hooked. Its exciting dark tale is expertly woven through its 8 episode run time and I know I will be back to re-watch this one. The ending is fairly well rapped up with a few loose story threads left hanging, with a promise for potential follow on seasons but the story is quite satisfyingly rapped up by the end. Memorable, exciting, dark and haunting Netflix knocks Stranger Things out of the park, 10/10."
6,"The main thing that doesn't make stranger things as a masterpiece or sth like this,is that it can't keep its plot refreshed as it goes on.I mean,in each season,first we have a nice time,then sth bad happens,then teenage guys go and fix it.it has becoming so frequentative.but in the other hand,the most of the characters are so lovely.I loved El and Will in season 1 and two, Robin and Hopper in Season 3.Altogether,this series is going to be one of your favorites if you like Sci-fic and a bit scary movies.Hope this review help you."
7,"Stranger Things is the newest foray into Netflix's original programming, of which brings us their most impressive- and strange- production to date. When a young boy named Will Byers goes missing, his friends, mother and the town are thrust into a conspiracy involving a mysterious girl named Eleven and something even more sinister hiding in the woods of Hawkins, Indiana.From the get-go, you can tell this is an homage to classic '80s Spielberg, drawing on E.T. and Close Encounters, as well as JJ Abrams' Super 8. But, as the show progresses, it becomes more and more like a twisted Stephen King story set in a Spielberg movie. It becomes a dark and twisted ride into an even darker and more disturbing world where the stakes feel higher than anything before it.I can't go into great detail because spoiling even just a bit of the story takes away from the greater mystery, but I can say, it's one of the most thrilling and intense series to be on TV, without being on TV. If it were to continue, they have to pull the same punches they did with the first season, because they took a great many clichés, and somehow made them fresh and surprising, save for just a couple that they purposefully left cliché."
8,"Horrible Russians = commies = bad propaganda.
All these silly catch and run Benny Hill show style, kids that infiltrated super secret, super secure underground fortress. This season is non stop cringe fest, with silly talks/songs, awkward situations, lack of communication and just LOGIC.
It was really hard to finish this season, uninspiring and ultimately disappointing."
9,"Season 3, that's all that needs to be said. Gone is the charm and charisma that the show had in the first 2 seasons (especially season 1). Russians have somehow built an underground lab 100 stories deep below a mall in rural America and installed Marvin the Martian's P-36 explosive space modulator. Why do they want to reopen the portal to the upside down? We never find out because too much time is spent on forced humor and and awkward scenarios that we don't care about. The connections between characters is not there and it just felt sad. The song Dustin's girlfriend forces him to sing at the most crucial part kills the pacing and is just more forced unwelcome humor. There is also a Terminator disguised as a Russian for good measure. What happened? This falling after the horrible season 8 of GOT. What a bad year so far."
