,0
0,"This series is not flawless. It hasn't oscar-winnig performances, but solid actors who are not bad at all. Sometimes it's a little melodramatic, but hey, they're still teenagers.
This series has good and likeable characters, a cool and unique style and really, i mean really good moments you shouldn't miss. I totally enjoy watching it. I would recommend it. Binge-worthy."
1,"First off, I enjoyed Season 1 of The 100. Season 3 was inferior compared to other seasons.The 100 is an American post-apocalyptic drama television series. I love The 100 because it has a unique story line. 97 years after a nuclear apocalypse, 100 prisoners sent down to the earth to see if it is survivable for the ark and it's lacking resources.This show is another amazing and intriguing apocalyptic show that has caught my attention. I was sceptical at first as I am not a huge fan of the CW's channel however I realised that this is an exception to that thought. I have so far really enjoyed watching it and am hooked. If you like The Walking Dead, Revolution or Lost then you will love this show! If you like apocalytic, intense, thrilling, quality dramas, this is your show. It has a nuclear and isolated feel to it and it has yet to disappoint me. If you like the show too, please spread the word as much as possible, the show can't survive without support and good ratings so encourage those around you.There are so many cool sci fi themes and issues in the show that it really keeps you interested in watching. Characters are also very interesting and bring you in. I would highly recommend this show to any sci fi fan! You won't be disappointed. 8/10"
2,"When Jason said he had an end in mind this is not exactly what I expected. This show definitely got away from its roots, and in some seasons it paid off. The sci-fy doesn't bother me that much, but the transcendent beings was an interesting choice. I suppose they couldn't have grounders and Skikru fight forever, but idk if these last few seasons could ever be better than seasons 1, 2 and 3. As a day oner it's hard to see it go like this, but I'm not mad. Still wish shippers would get over Jason's choices and give the prequel a chance. May we meet again."
3,"Seriously stick with this show. I watch a lot of TV and when I first started watching the 100 I found the dialogue/accuracy questionable and it seemed like just another CW show. I stayed with it mostly for the interesting concept.And wow, the second season develops into one of the most exciting programs out there right now. The storyline moves around like lightening, the characters go on believable arcs which deliver amazing transformations in some cases, it's highly original and creates some fascinating dynamics between characters which you don't see anywhere else. OK it's not perfect (sometimes the science makes me frown) but it does so much right I barely pay attention to the increasingly rare blips now.Heading towards the end of season 2, every scene is compelling and feels important and you care about what happens because they have built it in the right way. Don't expect the fluffy love stories CW is famous for, this is in no way a show just for teenagers, it's not afraid to kill people, and deaths are permanent (thank goodness). The way they bring up questions of morality and strategy, the ambiguity of the characters, the head on approach to the subject matter, all are fascinating. It's gritty and edgy with excellent production value and the only other program I'm getting the same level of epic from right now is Game of Thrones.I've never written a review before but I just had to support this show and want it to get past any stigma it created in the initial episodes. Check out the ratings in season 2, those are earned and well-deserved. Binge watch it people! You won't regret it."
4,"The 100 does something not many series can do, it gets better with every season, the character development is great and realistic. Honestly I don't know exactly what to say other than that this is a great series with an actually good story and writing that makes sense. There aren't huge plotholes which is extremely important for a sci-fi show."
5,"I gotta say Season 1-Season 5 are very great, but Season 6-Season 7 is not as good as the first 5 Seasons but it's still watchable. I even thought this series is gonna end like GoT, but I'm glad it didn't, it doesn't have an amazing ending, but the ending is still nice and acceptable."
6,"Watched seasons 1-5 three times love this show. I learn something new every time I watch it. Love the characters, can't wait for the season"
7,"The first seasons were for sure the best ones.
Season 6-7 is a bit of a mess.The ending wasn't really that good, but we all know it could be worse(GOT).
Seen it all and it's a bit sad that it's over, even though its way over due.
Too bad they killed of some great characters."
8,"Firstly, I ticked the spoilers box as, while my whingeing is not specific, it may give away some ideas to those that are yet to watch this.The concept of this series was great, the premise a little 'dodgy- but-we'll-live-with-it' and the execution was well-attempted by all.The writing, however, drove me nuts. The show could have easily been called ""The 100 Bad and ill-timed Decisions"". In attempting to heighten/prolong the drama, characters would make such stupid game-changing decisions, forcing me to smack my forehead in frustration throughout the series.Someone in charge set this show to 90% conflict and 8% angst (not to mention 2% female-on-female action), and all manner of shenanigans ensued to maintain that level.Loyalty-switching was all the rage. (I can't say, ""Like they changed their underwear"", because Grounders probably go commando).There were various timely yet ill-advised massacres to ensure that peace existed only during the ad-breaks.There were several cliff-hanger countdown moments that were missed due to lengthy hand-wringing and ""Hey, we know that time is running out but let's pull dramatic faces and talk about it some more"".A sprinkling of common-sense decisions would have made this so much more enjoyable.I should mention the good stuff before I run out of puff. Ricky Whittle as Lincoln gets top marks for the Grounder torn between two cultures. Alycia Debnam-Carey nailed the role of Lexa. All that violence in such a cute package. In conclusion, this is a very watchable drama but viewers will understand my frustrations as it unfolds."
9,"I had to stop watching mid season 5, because everything became laughable. The plot is always the same but slightly switched. Each character switches from hero to mass murderer every 3 episodes, each one of them goes through a god complex to feeling like crap the next episode, they're all the same character. The show goes from interesting, to okay, to slightly laughable, to bad, then so bad it's funny to unbearable. Every single one of the character takes the worst decision that kills everybody, and it never stops, and they always give that line : ""there are no good guys"", I mean, they're all the dumbest people on earth, literally. It ended up as a mish mash of the dumbest ideas, I can't believe I thought I'd watch it all, I'm angry I had to stop. S5 started well, I even thought S3 and S4 were slight misses that can happen, I had great hopes after the 3 first episodes of S5 because they were decent... what a disappointment. I have no idea how the writers lost track that much, every story feels like coming from another tv show, there's no glue"
