,0
0,To all the people who include the word 'Penny' in their review... I hope you also complained about Breaking Bad having Malcolm's Dad in it. I hope you haven't watched Fringe or The Affair because it Pacey needs to stay on Dawson's Creek. I hope you have a problem with Californication because of Mulder...The show itself... I haven't watched a lot but I have enjoyed what I've seen so far!
1,"First off, this show is way better than the commercials made it look. I was very pleasantly surprised by the pilot. The lead actress is showing she is capable of so much more than the Big Bang theory (thank god). She's not outright likeable as a character but it's by design and she pulls it off really well. The directorial choices are bold, and threw me off at first but by the end of the episode I was digging the unique flairs the show goes for. From the score, to the shot framing, self aware flashback scenes (if you can call them that) and more, the show makes an effort to stand out from the crowd and it hits on 90% of those choices. I'm looking forward to seeing how the rest of the series goes. Will update my review if it goes downhill from here."
2,Okay so I know some of you guys don't wanna pay for hbo max but this is a good show fast paced funny and sweet I only saw the first episode so far but this is very good and I recommend it to almost anyone
3,"It's a bit of a caper, modern day Telenovela, mystery who-done- it. The target audience isn't the same as The Big Bang Theory, I have a feeling that's why there's such a wide discrepancy in ratings. This one is modern and more subtle.
It's not the best thing I ever watched but it held my attention during this strange Covid winter. Had a crisp pace, interesting visuals, and relatively even tone.
The only thing that was a little hard is that the main character is dealing with some pretty serious trauma both in the present and in the past, but then there's kind of like a light caper going on around it, so there's some dissonance there that's a little bit hard when you're watching."
4,"I love this show......
Very suspenseful I love that the main character is wondering what, why and when???? So many questions.
Everything is crazy u can't figure out what is going on. I love that. I just keep wondering what's gonna happen next. It's the best.
I like how she is going back and forth w/the dead guy and trying to figure out what have happened to him and how she did not kill the the man and what have really happened.
I cannot wait to find out who really did it!"
5,"Three episodes in... Great pacing, Kaley Cuoco is perfect and the drama mixes well with comedy. Although, the comedy can be a little heavy when you want it to be serious. It's everything you'd expect from the trailer. Definitely can't wait for more of these intensive-filled episodes!"
6,"WOW. I have binged and the the first 3 episodes, and I am so excited for the rest. Excellent show, cast, everything and a mix of humor, drama, mystery. Kaley Cuoco is very believable as her character Cassie, as is the rest of the cast in the parts."
7,"Well, this is a show with a twist that keeps on delivering.
First off, Kaley Cuoco finally proves she's more than a sit-com bambi, and that's quite a feat in the Flight Attendant where her character is...well, a blonde silly bambi, to some degree. Her delivery of a whole scope of emotions and reactions to events unfolding is way better than I would have previously given her credit for. She alone is worth seeing the show, and that's just a start.
The story arc seems interesting and well planed. It doesnt give away too much, keeps you mostly on the edge of the seat. Supposedly there's not that much going on in the episodes following the pilot, but they are well shot and well written. The pace seems quite fast thanks to the on going state of general turmoil around Cassie. I did not get bored watching the first 4 episodes.
Are there any flaws? Minor, sure. I have had some minor issues with the way FBI acted, sometimes it seems they would have made better choices. But it's not a big deal, doesn't compromise the show entire."
8,"Maybe it's entertaining for some, but I can't get over the lazy, cliche writing. Constantly drunk flight attendant drinking vodka on a flight and sleeping with passengers? Really? They could have tried a bit harder, as a former FA The character is uterly annoying and none of the motivations are believable or really even probable which doesn't even let me enjoy the comedy part of it. The characters, especially the ""crew"" are a bunch of stereotypes, the music is overly dramatic and the split screen gets old."
9,"Slogging my way through the third episode. It's trying to be a noir-type mystery but so far has been a faceplant. The characters are pretty two-dimensional and the subplots are even more trite. As much as I adore Kaley Cuoco, even she can't save this Boeing 737 Max of a show."
