,0
0,"Sorry for my English, I come from non english speaking country.When someone looks guilty-he/she frequently is.
I liked the ending....it is simple, obvious but in life it often is. The series shows how we often try to find complex answers and put things on a higher lever, when they are often more simple.
I agree that many things were not explained, but I dont mind thar so much. The feeling of unsertainty and swiching to another suspect in every episode was interestig journey for me.
Im surprised when I see so many dissapointed reviews. What did you want-Henry to be a killer?
I think Johnatan being the murderer is somehow unexpected, he was in some way the only one we didnt suspect from episode 2.
What I like the most about the author of the series in capability to creat such atmosphere of hollowness in wealthy and perfect life. From the episode 1, we see the perfect family, but somehing is off...we can feel it.I dont know...for me the series is good. Not the best I saw, but still pretty good.
The cast is also amazing, and so is camera, light, music(so and so), editing...I would recommend it, definitelly"
1,"So much potential but the last episode sucked, turns into a jumbled mess of bad acting, bad writing and just bad. So many ""twists"" that mean nothing so many ""clues"" that go nowhere...what a disappointment..."
2,Really enjoyed the series thought Hugh Grant's performance was fantastic but so disappointed in the ending and some of the stuff that happened in the last 10 minutes. Was totally hoping for a twist but just a big anti-climax in the end. Such a shame could've been so many different scenarios that could've played out
3,"At the end of the most recent episode, ""Do No Harm"", police show Kidman camera footage of her near the crime scene on the night of the murder. She says, ""So I was out for a walk, I talk walks, I didn't even know where she lived."" Actually, the murdered woman mentioned to Kidman at the auction party that she lived in Harlem. Kidman doesn't live in Harlem, so why would she be caught walking there?"
4,Very shallow and boring. The only quality the show could provide was to picture a real narcissistic person. It had enormous potential with good side characters like the grandpa or the friend woman but it was like a big colourful cake which looks tempting but when you taste it turns out how bad it is inside.
5,"Because we can get easily bored in a Covid world, we can find ourselves devoting 6 hours to bad writing and all kinds of unrealistic twists and turns just to see who did it. This was painful and would have been much more tolerable to wait for 6 weeks and then binge watch the whole thing, with lots of fast forwarding. I agree with most of the low rated reviews that provided details, especially about episode 6."
6,"HBO yet again delivers with this suprisingly thrilling and emotionally hard-hitting miniseries.It has the typical matte and muted color scheme of an HBO drama, but that works rather well considering this world and story is far from colorful. A good score from unknowns Sacha and Evgueni Galperine also enhances the ominous and depressive mood of the 6 episodes. Acting performances, while mostly very one-note, are actually quite good, with Hugh Grant's playful tongue in cheek-humor and painfully delivered sadness being the standout. Nicole Kidman, however, is a bit dissapointing as the lead, as she doesn't seem capable of delivering much facial emotion outside of her eyes and slight twitches in bodily language. Donald Sunderland has a massive screen presence but the performance is, as I've said, very one-note (this, of course being an issue on the writing side only).Speaking of writing, in terms of a murder mystery, the show never really delivers any mystery until the last two episodes. The drama is well-written and compelling but it falls flat as a crime thriller. However, one has to give them the success of the ending, which instills a suprising amount of emotion and uncertainty regarding the outcome. 'All in all, a good watch. HBO continues to deliver with this type of show, and while not without its faults, it brings some serious entertainment."
7,"Obviously I'm in the minority here, but this show is as dull as lead. Starting with the first episode, so much feels so amateurish, like the lady guests all taking a turn at a line at the party. And there is just so much useless footage, with a staggering amount of cutaways (I don't need to see any more cityscapes or puddle reflections, thanks) and even useless scenes, like Grace fainting and going to the hospital. Ten minutes wasted right there. I usually adore Nicole Kidman, but she has about three expressions these days that are so odd that I can actually do an impersonation of them with my friends, who also hate this show. In fact, we're actually enjoying how much we hate it.I know David Kelly wrote it, which shocked me as he also wrote Big Little Lies (we liked season one, not season two), but this series feels more like one of his shows from the '90s, written as tame storylines with commercial breaks in mind. The story is just dumb, I don't care about any of the characters, and the whole thing feels wooden. And there have been more than a few scenes where I was embarrassed for Hugh Grant as he attempts to cry. And no, that's not his character faking a cry. That's him trying to emote. Ugh... just cringeworthy. The entire thing.After watching this on the heels of a three-season binge of Penny Dreadful (one of the best shows I've ever seen), the contrast between riveting writing and the phoned-in kind is keenly apparent after watching The Undoing."
8,"What a terrible miniseries. I started watching it because I'm a fan of Hugh Grant but it was so bad that it was painful to watch until the end. The writing was so lame and full of clichés. We spent 6 long hours watching it and waiting for an interesting development but instead we get an obvious one. The last episode seemed like it was written in 15 minutes and even the writer thought it was to ""meh"" and decided to add that final incredibly long annoying and unnecessary scene. It's amazing that I couldn't sympathize with any of the characters, probably only the victim's son, Miguel. All the others were so badly developed and uninteresting only trying to look like suspects to keep our interest. And why, oh why all the actors performed as if they had just got their degree from the Joye Tribbiani acting course?"
9,"The Undoing has shown at last that Hugh Grant is not a one trick pony . He shed his English foppish acting style and turned in a really good performance .Helped by a strong cast ,it made compelling viewing. I hope Hugh continues down this path . The Undoing is well worth binge watching . Enjoy Bruce"
10,"What a great show with some fantastic twists already and superstar acting. However following Nicole Kidmans most recent unnecessary self imposed changes to her face it makes it difficult to know is she acting , is she sad , happy , frightened .... otherwise very good show"
11,"So much garbage out there, but The Undoing in quality. Well made , well acted and a gripping story line. We need more quality shows like this HBO."
12,"Most viewers classify this show as a whodunnit murder mystery. But it is not. It is a psychological exploration of the self.Based on the evidence, it was clear who committed the crime but what was lacking was whydunnit, the specific motive. And this is why there were so many speculations about possible suspects, when in fact, one person is on trial. So the question is: is he guilty or not? The real question is actually: why would you acquit him. And this shows how the process of doubt and people's perceptual biases work. The more you think about it, the more complex and even unrealistic solutions come to mind. Is the straightforward explanation not believable, is it too obvious? People seem to think that their first instinct is wrong and they end up unknowing/overlooking what they should have all along. It is one thing to be inquisitive but another to see what you want to see. And most wanted to see someone else commiting the crime. Why?"
