,0
0,"This is no doubt one of my FAVORITE shows of all time. I can't believe that it's over! I will definitely miss my weekly doses of Damon, Stefan, Caroline, Enzo and Alaric and Matt! I would like to thank the whole cast for giving us one of the most amazing, gripping, unbelievably FANTASTIC shows ever to be made."
1,"First Impression: Oh this is just some Twilight rip off.The Truth: Twilight is the one ripping off THIS series.The Absolute Truth: The Vampire Diaries is infinitely better than Twilight, and no I am not exaggerating.The plot is as you would have guessed. Elena (Nina Dobrev) is a high school girl who captures the heart of Stefan (Paul Wesley) who of course is a vampire (sounds familiar right?). Later on we get introduced to Stefan's troublesome vampire brother, Damon (Ian Somerhalder). Damon also happens to be attracted to Elena and this creates a love triangle that will follow for the remainder of the series.Of course that's merely a sample of the entire story. There are werewolves, hunters, witches, and even stronger vampires waiting in future episodes to make this one nail biting show.The acting is also definitely above average, however obviously not enough to make you believe the actors are high school ""teenagers"".My advice: Give it a chance. The first few episodes are slow, but a lot of great TV series are. This show will have you on the edge of your seat each week as the plot thickens more and more.Last Impression: This is one of my favorite shows on TV. 9/10"
2,"When I tuned in to ""The Vampire Diaries"" for the pilot episode, I expected to watch perhaps six episodes, grow bored, and then drop the show entirely. After all, I was only watching in the first place because it aired before my favorite show of all time, ""Supernatural."" I'd seen (and read) the ""Twilight"" series and found the teen vampire romance story lackluster and redundant. It's been done before about a thousand times, right? But I remember reading the original ""The Vampire Diaries"" books by L.J. Smith and decided it couldn't hurt to give this supernatural soap a try.The most important thing to know about this show is the first four episodes are seemingly pointless; focused on cheap thrills, romance, and teen drama. Then something magical happens, creeping up silently and latching on without the viewer's notice: interest. By the end of the fourth episode the many story lines pick up and take off, and suddenly a silly or meaningless event becomes important. Things move fast in ""The Vampire Diaries."" This is a show that takes risks: people die without warning, stories that you thought could go on forever take only a few episodes, characters do and experience things you wouldn't have thought possible. Even better, there is no character who is wholly unlikeable. Everyone in the large ensemble cast has a story and a 3-dimensional structure, and even if the viewer decidedly doesn't like a character, the swing from one storyline to the next never lingers in one place for too long.Some people have called this show their guilty pleasure. I refer to it as smart writing, good acting, excellent storytelling, and wonderful viewing. As of right now the second season is in the first few episodes of airing and the magic has not gone out. Far from it; this show only gets better. The lesser episodes are still fantastic, and the truly great ones are rich with everything an episode of television could possibly desire. I have yet to finish watching an episode without cursing the screen to give me more - my addiction to such a fresh show sometimes keeps me up at night.For anyone (yes, even non 18-49 women demographic - we welcome the men!) interested in watching vampires, witches, and more, take the time to view beyond the first four episodes. I can almost safely guarantee anyone who likes vampires and horror (and a lot of dry wit) will not be disappointed."
3,"After watching episode 4 i got all excited and started to flap my hands wishing the next episode will come out already. I admit first two episodes were bit slow and sluggish , but by episode 4 the story really starts to kick in. After watching it i have the greatest urges to go library and read the rest of series.Im sick of seeing people bagging vampire diaries at the moment. GIVE IT A CHANCE. yes it may not be as good as the book series, but I'm telling you now it beats twilight by far. Watch episode 4, of course first episode isn't going to hook you in like its best show in the world. but for those who think people who enjoy this series are brain dead, i believe their comments a rush and idiotic. Give the series a chance, but if you listen to "" the real brain dead losers "" then you really be missing out."
4,"Admittedly, it started terribly, full of clichés and cheesy connotations with vampires. But, like most reviews have stated, after episode 4, the show takes a different direction and moves away from traditional vampire themes. It totally excels and turns into a very exciting and watchable television show with an incredibly good looking cast with very impressive acting. The Vampire Diaries is not like any other vampire production,filled with humour,love, violence,sex and without the clichés.The script is fabulous; full of exciting and unpredictable plot twists that will have you on the edge of your seat and gasping; desperately wanting to see the next episode.Unfortunately, it's judged by the title; ""vampire"" and dismissed, but I urge you to give this show a chance."
5,"I avoided TVD for six seasons. I read the original books as a young teen and never really cared for that version of Elena. Thought she was a b*tch. One day while laid up in bed I decided to give a couple episodes a try, next thing I know I've binged through 6 seasons in an undisclosed amount of time. Seriously I can't explain what that does to a person's brain or the amount of reintegration required to get back to civilization. Anyways the show was heartfelt, funny, irritating, intriguing etc. It was definitely odd to hear someone being called a ""Dick"" every episode if not multiple times as if there was nothing else in the universe you could call someone. Oh that's right it's the CW. Loved Damon's cocky loose cannon but big softy way down deep character and I actually liked Elena for the most part. Not positive why everyone hates her. And can't forget Caroline, that was some great character development. I haven't bothered watching season 7 and probably won't until the show finally ends and I know Elena will be back for at least the series finally. I need to know I'll have closure on the whole delena thing before I commit to more seasons. For me the story was about her and now that she's gone it's just not the same."
6,"I can't remember how the show hooked me in but I have watched every episode on ITV2 since the show was aired and even bought the books, and like a previous correspondent I am not a teen but a 29 year old and a male! I suppose the almost unnatural beauty of Nina Dobrev drew me to the show but the plot and unseen twists and turns made the show compulsive viewing for the first 6 months of this year, to such an extent that I found myself scanning the net to find the latest US screened episode as much hunger for the show grew.Only recently have I read the books and, with all due respect to L J Smith, my perception of the TV show has improved. Without writing a book review I felt the series did not develop the characters to any level that the show achieved. The show develops the relationships between all of the main characters in a manner that the book can only dream of, and for me, despite the constant attention to the Stefan and Elana relationship, the show is about the brothers.I do not do preachy, after all I am English, but I would say that the show grips my interest because of the brotherly relationship. The way the brothers value one and other more than themselves and anyone else, numerous examples throughout the show, is something I shall instill in my two sons and hope one day that the Stevenson brothers will be exactly the same as the Salvatore brothers, maybe except for the blood sucking but if they both can attract girls like Elena I will be a very conflicted father! :) All in all, for my money, the best show on TV since the early days of Buffy and like many others...roll on September.Thank you for listening to my ramblings, first post (I'm sure the red wine had something to do with it) so please be nice."
7,"I have never read the books, however, I don't understand how anyone could expect for any TV series to be an exact replica of a book. Just my opinion. I have been watching the show since the pilot episode and I absolutely love it. I also happen to be 29 years old and am hooked, so I truly think it's all about what each individual finds interesting, not ""this show is for 13-16 year olds"". I'm not sure how anyone can say they love or hate something after just a pilot, I never really quite understood that. Personally, I think you should give a show at least 3 or 4 episodes to give it a fair chance and to see where the story will go. I wasn't sure that I was totally in love with it after just the pilot either, as I am a HUGE twilight fan, but by the end of the 2nd episode, I found myself anxiously anticipating the 3rd, 4th and so on. P.s. Nina and Paul work great together!"
8,"*Slight Spoilers*I remember 3 years ago, I was looking for new shows to watch and I had heard of 'The vampire Diaries'.I was quite hesitant in the beginning because of the similarity with Twilight.The beginning was not that great but the acting was enough for me to continue and give it a chance.I shall never regret that decision.Nina Dobrev, Ian Somerhalder, Paul Wesley and the entire, I REALLY mean ENTIRE cast have proved that great acting is possible. Julie Plec and Kevin Williamson are amazing writers that really know how to bring this series to another level.The thing with TVD is that it gets better with every episode. It is one of the shows with the strongest,fiercest, most passionate fans in the whole world. I love the chemistry between Ian and Nina, but nevertheless, Paul is great with her too. Elena's character is wonderful. She is deep, compassionate, adorable, balanced and mature. The writers created the perfect base for such a plot and the way they made Elena develop and influence those around her is fascinating, they made it BELIEVABLE and I think this is one of the most important achievement one could make in a TV show. Not to forget the extremely addictive character of Katherine Pierce. Nina is, maybe, one of the best actors one could watch, because of her portrayal of completely different characters which is really impressive.A scene that will remain in my mind FOREVER is the season 3 three finale,when Elena is under that bridge with Matt. I cried. so many emotions were conveyed without any characters uttering 1 word. The juxtaposition of Elena's accident with Matt and her accident with her parents was symbolical, tear-breaking, jaw-dropping and it really makes you think of all she had to go through, how this will affect the whole series and create one of the best cliffhangers I have ever seen in any series that I have ever watched in my whole life. This is one of Nina's best performances EVER. The Vampire Diaries has talked about importance of family, friends, life, love, and coming to terms with who we are. It has humor (thanks to Damon), Passion, a LOT of well-acted actions, a really fascinating history of the mythical creatures (Witches, Werewolves, Hybrids, Ghosts, Vampires, Vampire Hunters, Original Vampires). I have been watching it for 3 years,and I've seen people drooling over Damon or Stefan and fighting about who's best. Seriously? I LOVE the series as a whole, and always have. Of course, I love Damon and Elena's chemistry, it is amazing. But I think TVD is much more than that. And people have to see it as a whole picture. Else, they'll miss all the beauty of it."
9,"I always get annoyed when I read reviews where the person begins the sentence with something along the lines of, ""So I only watched the first few episodes..."" Stop. Stop right there. How could a person make a balanced, mature opinion if one doesn't give said program a chance? This is vital to a show like The Vampire Diaries, as the program is a typical case of once you get past the first few episodes, it evolves into something brilliant. It wasn't a show that had me hooked from the word go. The pilot is pretty unoriginal; introducing a misunderstood human girl who meets an even more broody, tortured vampire. Yes yes, very 'Twilight', I know. However when you hit episode 3, that's when things get interesting. The plot starts to develop and we see the extent of these characters' personalities. This is when I found myself actually really looking forwards to the next episode.Irrefutably, the best thing about this show is, and always has been right from the start, one man named Ian Somerhalder. He plays sadistic Damon Salvatore, the 'bad' brother who we get to see develop into someone much more deep and morally rooted, all because he begins to fall in love with his brother's girlfriend. Of course, he never loses the 'bad boy' persona which the audience loves, but his character is someone who we feel real empathy for and who grows as a person throughout each episode.Overall, this show is definitely worth a watch (and not just for under 15 year olds as one review stated). In fact, my mother in her early 50s loves this show probably more than I do. Each week brings something different, unexpected and completely unguessable. It's probably the only supernatural show that doesn't suffer from 'Monster of the week' syndrome like Buffy in its early years. It remains sophisticated and interesting throughout and I would recommend it to absolutely anyone :)Oh, and I suppose it doesn't hurt that every single actor is easy on the eyes... if ya know what I mean ;)"
