,0
0,"A typical creature feature which is pretty much like a 90s creature features without any new or surprising elements about a crew of drilling company trying to survive a mysterious earthquake that is destroying the facilities.I approach every film with a neutral ground, yet this one is a none worthy movie that is lacking all the element of being good or interesting, from the cast choices, Kristen Stewart which I have no idea why she's still being cast in anything, least to say she still looks like a guy and in this one it's even worse, she looks literally like a boy...with below-average yo average acting talent at best! the story is repetitive, the horror - if there's any - depends only on the typical jump scares not the story elements, you can't relate to any of the characters, the sound is a disaster and the cinematography is unclear and foggy and the directing is all over the place. Least to say, it's not worth watching."
1,"Agreed, no character development but they did get straight into the action, from start to finish.There was some minor, trivial things that irritated me, for sure, but undeserved of the poopy ratings.I was entertained, which is the purpose for watching any movie. Armchair critics can go for a swim in the Mariana Trench. This movie was good."
2,"I'm really shocked the critics slammed this film, and at its low IMDb rating. My blood pressure and anxiety levels were red-zone from start 00:01 to 95:00 ending.Sure this film was The Abyss meets Aliens with a bit of The Poseidon Adventure, a lot of Pacific Rim and a dash of The Meg, but that's what made it fun! Don't people realize that 99.99% of original film ideas have already been done?Now add the fact that the two writers and directer are basically newb filmmakers, and were able to put this huge production together... mad respect and props! 🙌Acting was great with the proper amount of comic relief from the one character, and Stewart nailed her role. Cinematography was excellent, S/VFX outstanding, score on point, pacing amazing, and the 95 min runtime was perfect. I actually wanted more!Man, people need to chill and research the filmmakers of films, and to see this was a newb production, and give props were due. They have to start somewhere. There's been a ton of garbage out there coming from seasoned filmmakers, so this was refreshingly exciting and entertaining - start to finish.It's a well deserved 8/10 from me, and if anyone is questioning this review as being fake, click my username to see my 1000+ ratings and 800+ reviews, and read my bio on how to properly rate a film. Then go see this one!"
3,"Good acting, some character drama, the lowest point is T.J. Miller with his jokes, but in a nutshell the movie is like i said, watchable from time to time."
4,"As a fan of William Eubank's 2014 film ""The Signal"" I was pretty excited for this. The Signal offered a lot of thrills and suspense and a twist ending that leaves you gobsmacked.Underwater did not quite live up to the same shock value. Less build-up or development to make much of it float anywhere above mediocre. The setting, scenery, and cinematography and music however is stunning.This is the love child of Alien, Cloverfield, A Quiet Place, The Abyss, Soma, DeepStar Six, HP Lovecraft Etc. But doesn't carry as much weight."
5,"Remember three years ago, there was a movie called Life acted by Ryan Reynolds, Jake Gyllenhaal & Rebecca Ferguson? Okay, but instead of venturing into space, let's dive into water. And that's what you get from this movie, just that this is worse from Life. Not that it is bad either.Underwater feels very similar to Life in a way that it keeps the direction all the same. Plus, the lighting will also remind you of the 2017 movie.The storyline goes as these engineers who are looking for resources 7 miles below the ocean are unexpectedly bombarded with floods within their facilities and as time runs out, they must find a way to get back to land without knowing that something is lingering in the dark waiting to devour them. Basic storyline, formulaic one-by-one technique but its spotlight mostly covers on the intense escapade to find their way back to the shore. No worries, it's better than those 47 Meters movies.As everyone is wondering how Stewart performs, her acting here is not bad but not great too. It's acceptable. For a not-so-serious sci-fi film, she pulls this off quite decently. The tension is there, it's always there, and it manages to increase its intensity by styling the camera work and also the lighting effect. It does not rely fully on cheap jump scares.The best thing about Underwater has got to be its starting point. The film does not drag the movie with 30 minutes development before anything starts to occur. It goes straight to its main plot; 'survival is the key'. But here what it suffers, the development only shows its strength by half of the film and by that time, it's already too late for the audience to even give a thing about the characters.Now let's get to the slo-mo parts. They utilize this aspect quite a lot in the beginning and final 10 mins. Usually, we would get irritated by how much it sprinkles onto every scene but Underwater gets it right. And for a thriller/sci-fi, Underwater increases its thrilling factor by slowing down its motion picture. Adding to that, it looks cool.What I dislike the most is Underwater brings very little to the table. It's short with merely 90 minutes and instead of flooding the audience with many sub-stories, it leaves you feeling almost empty with only drops of information to satisfy our experience.By the final 20 minutes, you will be wondering if this is a spin-off to Godzilla. I thought the unknown species were gonna be realistically scary, but nope ,it rejects the notion to push that scary button and entertains the audience with a yet another tame PG-13 monster. But I can guarantee that the ending will not be as depressing as Life. Life has a good ending for those who want to find different satisfaction. For Underwater, it will please most of the audience thought it ends quite abruptly.Verdict: Underwater is a not-so-exciting adventure that tries to find its resources more than what other movies of the similar genre have provided, but in the end, the only thing you might find here is a sea of mineral water."
6,"As you might guess from the title - not alot of creativity on display here. Basically 'Alien' crossed with 'Quarantine' set on the bottom of the Pacific. Though the movie has zero Lovecraftian qualities, the megalithic monster is as good a Cthulhu as we can ask for, however (typical of CG monstrosities) scenes are too dark and too close up to make out appreciable details. Performances are smothered by the instantaneous catastrophe at the very start of the movie; characters are in crisis mode throughout with no opportunities for emotion or arch to shine through. The unrelenting panic and tension makes the few moments of cynical comic relief feel grossly inappropriate. The 'sci' in the sci-fi is also drowned out by monotonous panic; characters hurriedly press buttons, rewire circuit boards, and hop in and out of atmospheric diving suits without conventional exposition for the layman viewer. Not fully seeing the creature proved a severe strength in 'Alien', but not knowing what characters are doing or why makes it hard to follow any film. Look out for Neil deGrasse Tyson's scathing fact-checks soon.If you want a deep-sea thriller with fantastic story, bold characters, and edge-of-your-seat panic, check out 1989's THE ABYSS."
7,"....horrendous acting, no explanation for what happens, lacks a great deal of real scares, and is constantly shot in dark to save money, you can expect about 20 shill regular reviewers to tell you it was one of the best movies they ever saw, or the very over used ""better than expected"" in their reviews. The check from Fox/Disney is in the mail!Let me start with Stewart. She cannot act. People aren't bothering to go to her movies. She can change her hair, makeup, dress, it's still the same blank looks.They go right into the action. Their underwater station is imploding. Why? We never find out, why bother? This is set 7 miles underwater. A human cannot withstand this pressure. Not even for a 5 seconds! This depth would destroy a nuclear sub! Those are made out of reinforced high grade metal.The comparisons to Alien are a slap in the face to that movie!It's all about survival with no explanation as to how all this happened. Possibly you'll look to survive too, by leaving in the middle.One last point, this movie wrapped up 3 years ago! That's always a bad sign."
8,Kristen Stewart plays the heroine in this moderate budgeted film that takes place underwater during a massive weird earthquake that is devouring the world she and her friends live in. It's not as scary as is it given its family friendly PG-13 rating but its a decent rental.
9,"Deep sea explorations are something that have always fascinated me. We've gone to the moon and beyond, yet there are places deep below the ocean floor that have yet to be discovered, harboring any number of creatures not seen by human eyes. ""Underwater"" tries to play off that premise, but fails to execute it successfully in any really meaningful way.For a very basic overview, this movie focuses on a deep-water drilling station within the Marianas Trench. Ostensibly shadowing one worker, Norah (Kristin Stewart), it tells the story of how their drills tap into something that nearly wrecks the whole operation. With everything on the fritz and workers forced to ocean-walk from place to place, it quickly becomes clear they are being stalked by some sort of presence dredged up from the depths.First and foremost, ""Underwater"" could most easily be described as an ""Alien"" clone, swapping space for the ocean floor and Sigourney Weaver for Stewart (right down to the haircut and skimpy clothing, in all honesty). Unfortunately, while that concept was new and fresh in the 1970s, it doesn't work that way in 2020.So, what would have been needed to make this film solid was a great script, and there isn't even a speck of that here. Very clearly, this was the studio saying ""let's make an Alien clone, and we'll paste in the details as we go along"". It's both sad and disappointing, as there are indeed elements of interest present. Deep-water exploration is fascinating, drilling for resources at those depths could have been examined from a colonizing sort of perspective, and/or the psychological effects of spending so much time under the pressures of the sea. Sadly, none of those potential topics are provided anything more than lip service.As such, ""Underwater"" plays out more like a horror creature-feature. It is simply a group of people being chased around from point to point by a menacing figure that is finally revealed in the end. The design or technical specs of the monster is intriguing, to be sure, but when there is literally nothing else to care about it doesn't amount to much in the end.Overall, this is a very poorly conceived film and I can see why it is floundering at the box office. Not original enough to be scary, and not plot/character rich enough (by far) to be interesting in any other ways. A brutal combination. Only the concept will keep you watching whatsoever."
