,0
0,Not normally my kind of show.I always give them a shot though and this one pulled me in. Hope they make a second season.Me a 70 year old male who usually goes for the Fargo's and Breaking Bads of this world. A pleasant surprise.I do have a soft side.I did enjoy the Gilmore Girls.Had to keep that one quiet....
1,I really like this series and sincerely hope they don't take too long to release season 2. It's well acted and produced. It's light and romantic without being cheesy. I'm glad Netflix finally produced something heart warming like this. Looking forward to season 2!
2,"As a Hart of Dixie fan, I was a little worried based on some of the reviews. Turns out it was unfounded. The only similarities are that it happens to be based in a small town, the protagonist moves there to start over and the doctor is played by the same actor. It's a completely different story line, its dramatic and its darker. I'm happy I gave it a chance. You should too!"
3,"Not only is this show full of heartfelt emotions, it's clean for the entire family to watch. I love the characters, their stories and what each of them brings to the table. The acting is phenomenal, Mark did such a wonderful job portraying his emotions on his face, that was one of my favorite things. I binged this show in less than 24 hours and I'm already wanting to know about the next season. Fantastic all around.And yes, it has similarities to hart of Dixie but you have to get over it, this show is worth your time."
4,This show reminds me of Heart of Dixie. Of course with a few changes. Just started watching it so far I like what I'm watching! Give this show a chance a cute little gem!
5,"The characters, the romance, the story. Perfect. Netflix nailed this one, and I can't wait to see what happens next in this quirky little town. The book character adaptations are on point and the storylines are immersive. Thrilled to finally find a balance of drama and romance on the platform. Move over hallmark, you've got company."
6,"I didn't know there were books and I've never watched Heart of Dixie so I can't compare this to either like other viewers. But I just binge watched the entire first season on the strength of the chemistry between the two lead actors and I definitely want a season 2 since 1 ended on such a cliffhanger. Please keep making this show. It might be predictable and formulaic in the same ways so many things are these days, but it's no less addicting for that."
7,I've read most of the books from Robyn Carr and thrilled to watch the series. The characters are wonderful and I hope they come out with more seasons.
8,"Every episode recap for you here if you don't care to watch.The words said between Jack and Mel's constant flirting and loin-panting. Jack: I want you, only you. Mel. I think I'm falling in love with you.... Mel: I can't. I'm not ready (I really want you too though say my puppy eyes and lip biting) wait, no. I can't.....Hope is absolutely annoying in Season 2 (Ok, she was throat-punch annoying in Season 1, and now she is extra ick and I take her screentime moments to scroll TikToks.Charmaine - please go away, squat out the spawn and be gone already. There is a book called ""He's Just Not Into You"" please read it.Yet, I'm sitting here watching it, so, yah...."
9,"Didnt even know there were books. Never watched Hart of Dixie. And I love the show. Was hesitant at first because I had high hopes for V Wars, which is horrible, but was pleasantly, and happily, surprised with this show."
10,"During a recent illness, I was laid up for several weeks, and this was a pleasant, undemanding way of passing the time. It made zero demands on me. Annette O'Toole is always a pleasure to watch, even if her character is annoying. This is an actress who has never gotten the credit she deserves. The men are handsome in non-threatening ways. The heroine is pretty and smart, but not too pretty, and not too smart. It's like a Harlequin romance for TV.Two things bug me:
That's not Humboldt County. Trinity Alps, maybe, or somewhere in the Sierras. It rarely snows in Humboldt, and there are no snow capped mountains. Humboldt, especially the pot growing areas, is cool, foggy, and green. I lived there, and that ain't it.The other things is endemic to almost all TV and movies: the perfect hair and make up at all times. A woman spends the night in basically a hobo camp and the next morning her hair is smooth, glossy, and blow-dried, her eyeliner and mascara intact. lip gloss undisturbed. It's a pet peeve."
11,"I love love love this series. It has heart, complex human characters with none of the out there gratuitous subject matter that is so on trend these days, just steady solid storytelling without any cringe. I've cried and i've laughed and been so disappointed to reach the end of the season.
Absolutely great job from Netflix."
12,Just finished the 3 episode love the location this series is filmed. The actors are amazing. Hope is a hoot.
13,"I had high hopes for this series, and the first couple of episodes were promising. By the 5th episode, however, it was apparent that the writers were happy with churning drama out of the same old cliches we've seen a hundred times. Gun toting pot growers take the main character hostage to treat their injured leader? Really? While at the camp, a young woman just happens to be in active labor - breach birth, no less - so the heroine can save her as well? Really? I watched another episode, just to see if it improved. No such luck."
14,"Started off with a really interesting plot idea. I was hoping for something like a female POV Northern Exposure and instead I got Melrose Place in a small town. This was too easy to see where all the storylines were headed and none of them were original or interesting.I really like Alexandra Breckinridge but it was distracting how perfect she looked in every situation. Slept outside on a pot farm's couch? Gets drenched walking through a downpour? Perfect hair, perfect makeup every time.The flashback birth scene was awkward to watch. Dialogue stolen from a bad 80's sitcom. ""I want drugs!"", ""This is all your fault!"", ""I hate you!"" Ugh. Didn't even seem like the actors believed it.Made it through season 1. Will not be looking for season 2."
15,"Okay, so many people mention this is like 'Hart of Dixie', and reality is, it's not, Heart of Dixie is very much a 'teen-show' with adults, Virgin River is an adult show in a small-town(my comparison would be, it's Northern Exposure, combined with Providence, or Judging Amy, with a hint of Gilmore girls).
It's a very comprehensive dramedy, this show has real emotions, real drama, but also characters that can joke about life as it happens, and it all feels very natural, and real, be it very quirky.Like the header says, this show follows in Northern Exposure, Judging Amy, Providence, Men In Trees(better than most people remember), and so on, it's a small-town doctor-drama that is mature enough to actually be remembered, even as it has just started, needless to say, I can't wait for season 2."
16,"First things first. I admit there are similarities between this series and Heart of Dixie. (Let's ignore the coincidence of actresses.) The original story line of a medical professional moving from the big city to a rural American environment is the same. So is the initial conflict between the incumbent MD and the incomer. After that the two series diverge. This is a much grittier, deeper plot, with so many more sub-plots developing throughout the series. Yes, the environment is rural America, but it is less saccharine, sugar coated niceness and closer to real life. Watch it and enjoy."
17,"I'm glad it's back, but why does Charmaine have to be this annoying? This is too much. Sometimes I even gotta take a break because she can be so annoying."
18,"Medically accurate, great romantic chemistry, grows are a thing, and just realistic enough to escape reality for a while. Hope it is coming back. Develop the character of Jake beyond the military career."
