,0
0,"Let's be clear: this contains very few aspects of the actual Arthur legend. They probably should have just gone for a wacky original medieval fantasy film instead. That being said, I didn't expect Ritchie's style to work this well here. And he hasn't been this crazy since Snatch. Some montages are so breathless, fast and innovative as far as editing and soundtrack go, it's a pleasure. Sure, the plot follows the genre conventions more or less, and the finale is a bit heavy on CGI. On the other hand the assassination attempt sequence is fantastic and the portrayal of magic pretty cool. Hell, I had fun with this."
1,"I believe this movie would have been a master piece of a series due to 
 the huge amount of event packed into 2 hours, but this is no criticism 
 on how great the movie is and how the numbers of this site doesn't do 
 it justice. 90% of the negative reviews comes under the lame excuse of 
 ""that's not how king Arthur is supposed to be"". If you actually want a 
 movie where you know everything already starting from the story, 
 characters and twists then I'd call you the stupidest ever. Yes this 
 isn't your typical king Arthur movie, and that adds even more to the 
 awesomeness of it.amnt saying the movie is flawless, no movie is, but 
 it was great starting from acting, animation, story, music tracks, 
 everything. Again would have been better off it was a series and I 
 hope there would be a sequel including the knights of the round table, 
 sure Lancelot and some dramatic betrayal or even Arthur's betrayal 
 himself to the kingdom."
2,"Hadn't seen a trailer or heard much about this, aside from the face David Beckham was in it (he had like two lines and they were fine so not sure whey everyone was so fussed about that). The movie was really really good. It was intense, exciting, bonus points for a super attractive lead! Everyones acting was really good, especially Jude Law (who was maybe too convincing) and Charlie Hunnam(?). The little boy called Blue stole every scene he was in. Guy Ritchie did a cracking job, the music and camera angles plus general style of the film made it interesting and quick paced with some witty banter.Did have a couple of general questions, why did building a taller tower mean he had more power? Where was Merlin? Who was Maggie? Was this Mage girl actually Merlin? How did he not remember what happened he was like 8? The three women in the basement, who were they? But all in all I loved it, and would probably watch it again :)"
3,"Will keep it short and simple. If you don't get/understand the (British) humour (i.e you don't think the jokes are funny), dialogue and fast ""flashbacky"" editing style presented in Lock Stock and Snatch, you will hate this movie. Easy as that. For us who understand what constitutes a Ritchie movie will be more likely than not, like the movie."
4,"The true test of a fantastic movie is when you get immersed in it. When the show grabs your attention at the onset and keeps you interested the entire time. Your mind doesn't wander about anything else but whats happening on the silver screen. And that is precisely what this movie does. Loved the beginning with the fantasy action. Immediately developed a dislike for the villain well played by Law. Charlie Hunnam had the presence and moxie to carry the lead role for the first time. Most characters were very well developed and the story line was tight. Really enjoyed the soundtrack too. Entertainment at its finest.Don't let the critics on Rotten Tomatoes fool you. The critic score was 27%, but the audience gave it a 77 %. Sadly the critics only want to give a movie a great rating when there's an oppressed group wronged, and this movie is not that.Here's to hoping there's a King Arthur II - Knights of the Round Table"
5,"Wow, this is one heck of a movie. I was overwhelmed with some of the scenes, especially the fighting scenes in the beginning, the middle and also in the end. There was a wonderful opening credit scene which I felt was very awesome. It lasted probably only 5 minutes but it really impressed me. And, the movie also had some brief parts which were fun to see, like the scene when Arthur was telling the story about the Vikings. Out of the whole fighting scenes, the one that I enjoyed most was in the middle which I felt was rather breathtaking and having an ultimate amazing ending.Apart from the cool action sequences, the movie also had some dramatic moments and surprises. I really think that the way Guy Ritchie directed this movie made it very enjoyable. I did feel some similarities with other movies that he directed like the 2009 Sherlock Holmes movie and its sequel Sherlock Holmes: A Game of Shadows in 2011, especially in the part of using pieces of flash backs to explain something.I think the special effects to the movie was very good, which should not be a surprise considering it has a USD 175 million budget. My only worry is with such hefty budget, it may not be having a large profit since the movie itself might not appeal to some hardline fans of the folklore of King Arthur, Excalibur, mages and so on, due to the rather unusual way of story telling. Some people might also feel that the movie lacks the cruelty & violence of a medieval era war kind of movie such as Kingdom of Heaven or Game of Thrones TV series. For my personal view though, this movie was just nice since its attraction is certainly on the way the story being told, and again, its fighting sequence. The sound effects of the movie were very good. Some background music truly gave extra sense of suspense or sadness and so on. The duration of 2 hours was just perfect to me, and I honestly felt there was no dull moment. There was no post-credit scene for you to wait, except if you enjoy listening to the soundtrack song & music. Before I forgot, there was a cameo appearance of the popular soccer player David Beckham. Let's see if you noticed him.So for those who want to enjoy a nice action adventure film in the medieval period with some sword and sorcery plus the background of King Arthur with the knights of the round table, then you would definitely enjoy this one (especially if you are a fan of Guy Ritchie's works). Now if you are not a fan of this kind of movie or you prefer a more bloody/violent movie, then perhaps this one would be a bit soft.For my complete review, pls have a look at michaelnontonmulu.blogspot.co.id"
6,"The elephant in the room is... well, there are lots of elephants in the room; let's be honest.Before I expound further, let me say this: if you like the movie's trailers, like a fair bit of action but don't particularly care about how every bit of it fits into a story, don't particularly care about the traditional legend(s) of King Arthur, like a bunch of fantasy mixed in, and plenty of (now run-of-the-mill) CGI, you might like this movie. Reading further may unnecessarily dissuade you from watching it.Of course, if you've seen the trailers, you know that there really are (ridiculously large, CGI) elephants in the film. The other, proverbial, elephants in the room are how far the movie strays from the legendary King Arthur story.Now, in fairness, legends (King Arthur, in this case) being what they are, it is difficult to know where reality ends and fantasy begins. Nonetheless, even though the legend has changed somewhat over the years (as legends are wont to do), this movie bears little resemblance to the story that moviegoers familiar with Arthur will expect.Merlin? Rendered unimportant and replaced by a (gender-PC?) beautiful female mage, who remains nameless. (I suppose the lack of a name was supposed to lend some air of irresistible mystery to her. It failed, miserably.) (sigh)Bedivere, the handsomest of Arthur's knights (almost in the entire land), one-handed, he of the muscular build? Well, at least he had the build. Some, including Bedivere, were obviously cast in a fit of PC multiculturalism. Please. Save it for where it makes sense.Guinevere? Lancelot? Missing. David Beckham managed to land a spot, though. Go figure.I read Ritchie's bio here on IMDb. It's stated there that Ritchie thought film school graduates made ""boring and unwatchable"" films. His disdain for the work of others seems to go beyond those who've studied film art. Huh. That doesn't stop Ritchie from leaning on the creations of others to sell a flick.Ritchie has a flashy -- often manic -- presentation style. I'll give him some benefit of doubt in presuming that he does so in an effort to create a sense of action. Unfortunately, it often serves more to make stories incoherent.In watching Richie's Sherlock Holmes re-imaginings, I couldn't shake a feeling of Ritchie's lack of respect for Doyles' Holmes. I get the same sense of lack of respect for traditional tales of King Arthur.I could go on and on, picking the film apart, but all of it boils down to the simple appearance that Ritchie is simply capitalizing on the popularity of someone else' story -- King Arthur and the legend of Excalibur -- by using the name in the title, then remaking the entire story to suit a flight of his fancy.Ritchie might as well have just left the sword out of the story and dropped the name of Arthur from the story -- and title. Then he could have gone anywhere he wanted with the story without disappointing moviegoers drawn in by the title. It might have stood on its own as a fair (by no means great) action/fantasy film. As a retelling of the King Arthur legend, it is a disappointment.On second thought, considering Richie sold the idea to the movie studio as King-Arthur-meets-The-Lord-of-the-Rings, perhaps he should have just named the movie accordingly. Then the Tolkien influence (and the use of Tolkien's oliphants) would make much more sense. Then, too, moviegoers would know better than to expect a movie simply about the King Arthur legend, which the current title implies."
7,"Perhaps this movie means more to people who have some kind of attachment or attraction to the King Arthur legend already. That's the only way I can explain how so many people are giving this movie gushing 10/10 reviews.For me, it was a largely vapid CGI-fest completely devoid of realism or reality. It's pretty much on par with your latest superhero / Avengers type of movie, with fast cut action sequences, explosions, things flying around the screen, and stylized slow motion. I expected more than this from Guy Ritchie.I also didn't expect it to be so much of a ""fantasy"" film. I was expecting / hoping for a historical action movie but there is almost no history here. Everything is stylized and made up. The armour and weapons are all made up, the castles are unbelievable and fantastic (huge towers, arches, 1000 ft bridges, etc), African and Asian characters have been inserted, and there are almost no historical references.So it all kind of mashes together into 2 hours of fantasy-action featuring characters you don't really care about and that have no grounding in any reality that seems to make sense. And you can tell they want to turn this into a franchise with several more sequels. Thankfully we may be spared this horrible future as I hear it's bombing at the box office (there were 2 other people in my theatre). It's a bad film I would never want to see again."
8,"Saw this at a Promo Screening last night and have been shocked by the harsh reviews from the critics.I went in expecting to see a by-the-numbers generic fantasy like the ones Disney churns out regularly. But instead I was surprised to find that Guy Ritchie has applied to King Arthur the same style and technique that made his Sherlock Holmes films so beloved.In this film is the witty dialogue and creative editing we've (at least some of us) have come to love from Guy Ritchie. There was never a boring scene throughout. The action is good, the effects are good, but it is the manner of delivery of it all that brings this to greatness.The acting is solid, some characters are less developed than others but I did not feel that this hurt the movie at all. I've seen King Arthur movies before but have never seen it told in this manner, it is to King Arthur what Batman Begins was to Batman.Should you see it? If you did not enjoy Guy Ritchie's other works, especially the Sherlock Holmes films then you may have issues with his style, but if you were entertained by any of his other films then there should be no reason for you to not be entertained here also."
9,If you want none stop action from start to finish then this is definitely a film for you. The characters are likable with lots of familiar faces throughout. Loved the special effects and the soundtrack is brilliant as it matches the style of filming (it's one that I'll be adding to my collection).It's a real shame people slated this film before it's proper release.... pop to your local cinema and judge for yourself and I think you will be pleasantly surprised!
