,0
0,"The movie is good (not great, though), specially because of the visual effects and Charlize Theron acting. She is great, beautiful, impressive, plays her role full of passion, as usual. Also I think there was no need for a 127 minutes picture. It could last less time, because in some moments I felt like they were just dragging it for no reason. I expected more, but all the problem is with Snow White choice. Kristen Stewart is like my refrigerator, no matter what I put in it (milk, soda, eggs, vegetables, meat), it is and it will always be a refrigerator. And so is she. She is always the same, no matter what role she is playing. If she can be an actress, so can my refrigerator. They are both cold and have no expression."
1,"Well I saw huntsman the opening night, midnight showing. I went into it expecting something amazing. It was...alright. Honestly the visuals were really good. I enjoyed the how well Chris Hemsworth and Charlize Theron portrayed their roles and drew me into the story. The little girl that played Snow White at the beginning had me entranced, and everything was going great - then she grew up.Kristen Stewart as the female lead really ruined the whole film for me. She was depressingly emotionless and despite everyone in the film's world wanting to save and protect a otherwise unlikable character due to the character's performance, left me neither identifying with nor liking the character. I felt for the little girl at the beginning, who was easily 5 times the actor Kristen Stewart was in this film. Everyone I went with felt the same. Throughout the film she is very quiet, and what lines she has aren't memorable at all (again, no emotion). Chris Hemsworth pours his heart out to her in one scene, and while she was asleep and ultimately it was his kiss that woke her...she goes on, cold and emotionless - feeling nothing for him. Very sad, as the first 10 minutes had me very excited for the rest of the film - but then it just fell apart when she failed time and time again to react or become a likable character. She acts the same in the Twilight movies, as far as I understand - so I'll continue to stay away from those as well. The rest of the movie was a good production, though it dragged a little at parts. To avoid the same problem in the future, I will simply abstain from anything Kristen Stewart is in. If you want to see this, but haven't seen say - Avengers, see that instead.I'd wait for Redbox on this one."
2,"As a huge fan of fantasy books and films, I had very high hopes for this one... Especially when people said ""oh, you liked Lord of the Rings? You'll love this!"" The verdict? I now know who *not* to listen to next time. If your tastes are similar to mine, you tend to read the books before watching the movies and you don't really follow particular actors. So, really, I had high expectations for this film - and that might've been the problem... Charlize Theron played the evil queen well but I would've loved it if the film had delved further into the queen's history as several ideas were started but never really explained (I have a decent imagination but I don't really think, as a viewer, I should be entirely responsible for thinking up ways to connect the dots). For instance, why is the Queen able to feel everything her brother feels? Why did her mother decide to give her the spell rather than both her and her brother or just her brother? And why, once we get into the meat (or the attempt at the meat) of the story, did the Queen spare Snow White's life when she didn't yet know Snow White was ""the fairest""? And if she did know, all the more reason! Why spare her?? The Huntsman was, I would argue, the best developed character - at least in comparison to the others. At the very least, you knew enough to explain his drinking problem and his bitterness... That said, his wasn't an overly complex character to portray. For exactly that reason, it seemed more than a little ridiculous that the Huntsman *alone* carried the romantic scenes between he and Snow White. For instance, at one point, as he leads Snow White through the forest, he takes a knife to her skirts (apparently he thought they were getting in the way). Snow White stares blankly at the Huntsman and it is only once he says ""don't flatter yourself"" that you realize the emotion Snow White was supposedly showing was chaste shock. Granted that, perhaps if I was more familiar with Kristen Stewart's acting, I might have recognized what she was portraying, but, on the other hand, I'm more of the mind that I shouldn't need to know your acting style in order to recognize so basic an emotion. This kind of jarring (not in a good way) and unbalanced acting was repeated at the end of the film when Snow White is crowned and the Huntsman enters the room. Looking at Snow White, one sees only a blank yet tearful smile, but when The camera turns to the Huntsman it dawns on you that there was supposed to be some sort of moment passing between them. All in all, the chemistry existed only on the side of the Huntsman, leaving much to be desired from Kristen Stewart's portrayal. And that, of course, brings us to Snow White. The character seems to borrow much from Joan of Arc to the point that one might wonder if she wondered into the wrong film. There is an attempt to develop the character but Ms Stewart seems to be little able to carry the development of what might have been a very strong female character. The only hint of real strength comes with Snow White's battle speech which would've been fantastic except for the utter lack of build up to this newfound strength of character. So, in spite of the best intentions, this moment came across as contrived. If only Kristen Stewart had managed to keep up that pace of energy throughout the rest of the film, it might have been more believable. So, unfortunately, though I had high hopes, I actually found myself rolling my eyes frequently and feeling a bit like I was watching someone show off all his ""super awesome"" visual effects - which *was* pretty cool... Just not enough to carry a story. In conclusion, if you count yourself as one who likes a good plot, great character development, and strong female leads... Either lower your expectations or skip this one entirely."
3,"Once upon a time, King Magnus (Noah Huntley) and his Queen have a beautiful daughter, Snow White, who is raised with her best friend William. When the Queen passes away, the King grieves her death but has to fight against a dark invader army. He rescues a beautiful prisoner, Ravenna (Charlize Theron), and on the next day he marries her. On the wedding night, Ravenna stabs King Magnus on the chest and brings the enemy army led by her brother Finn (Sam Spruell) that destroys the King's army. Ravenna imprisons Snow White on the Northern Tower of the castle while William, his father The Duke and a few survivors escape from the castle.Years later, the kingdom is completely depleted and Queen Ravenna, who is an evil witch, keeps her beauty draining the youth of young ladies. When the Magic Mirror tells that Snow White would be the source of her immortality, she asks Finn to bring the princess to her. However, Snow White (Kristen Stewart) escapes and flees to the Dark Forest. Queen Ravenna brings a Huntsman (Chris Hemsworth) that misses his wife and she promises to bring her back to life provided he catches Snow White to her. But when he captures Snow White, he discovers that the evil Queen lied to him and he becomes the protector of the princess. Meanwhile William (Sam Claflin) learns that Snow White is alive and he heads to join Finn's men to meet her. The Huntsman and Snow White meet the eight dwarfs that bring them to the magic Fairytale Land. When they are attacked by Finn and his men, William also finds them and the group heads to the Duke's castle with the intention of beginning an uprising against the Ravenna. But the evil Queen will try to get her aimed immortality.""Snow White and the Huntsman"" is a wonderful dark adaptation of the classic fairytale ""Snow White"" by the Brothers Grimm and adapted to the cinema and immortalized by Walt Disney. The story is excellent, despite minor flaws like for example Snow White running and swimming after years imprisoned in a dirty tower, and is supported by a great screenplay, magnificent cinematography and CGI and good acting. There are unbelievable negative reviews in IMDb and my only remark is that the talented Kristen Stewart has never been more beautiful (actually, he uses the word The Fairest) than the gorgeous Charlize Theron, despite their difference of ages: the Magic Mirror is wrong. My vote is eight.Title (Brazil): ""Branca de Neve e o Caçador"" (""Snow White and the Huntsman"")"
4,"Everyone knows that Snow White is the fairest of all, that's why the Queen hates her so. In what alternate reality is Kristen Stewart prettier than Charlize Theron? That fact alone should have kept me from watching, not to mention that Kristen is one of the worst actresses ever. Chris and Charlize are the reason I decided to watch, even they couldn't save it. It is painful to watch her try to act."
5,"Based on the popular fairytale ''Snow White'' comes the originally titled ''Snow White....and The Huntsman'' ,an epic fantasy film starring teen favourites Kristen Stewart (of Twilight fame) and Chris Hemsworth (of Thor/Avengers fame). Now, detailing the plot shouldn't be too hard, as we all know the story from childhood- Evil Queen (Charlize Theron) with talking mirror is hell-bent on killing her 'pure' step-daughter (Stewart) and hires a Huntsman (Hemsworth) to do the job for her. The Huntsman takes pity on the girl when he finds her, and together they become fugitives, going on a journey that involves meeting Dwarfs. Seven of them to be precise. What follows is a major battle between good and evil to determine who will reign over the Kingdom, the evil Queen or our heroine Snow White?Now, I enjoyed this film a lot more than I thought I would, it reminded me a lot of Lord of The Rings, from the grand music to the mountain scenery, and it does feature a few spectacular fight scenes. Visually, this is an impressive film, however, the film focuses too much on visuals and not enough on characters, the Dwarfs are glossed over and never really given any time to engage with the audience, which is a shame, as the group contains excellent actors (Ray Winstone and Bob Hoskins, amongst others ). Kristen Stewart as Snow White seems to think she's still playing Bella from Twilight, (i.e no range of emotions, just a blank stare for the whole film), especially when opposite to her is Charlize Theron giving an amazingly dramatic performance as the Queen. To sum up, a good re-telling of a classic, but by no means as good as the Disney Classic which most of us remember.7/10"
6,"The trailers were great, they got me interested, had me excited to finally see Snow White And The Huntsman but my excitement quickly turned to disappointment. The movie starts off well showing you how the Queen came to power and did a good job of introducing her to the audience but it fell apart soon after that.The acting was very stiff throughout the film, I believe Kristen Stewart was miscast for the part of Snow White, she doesn't have the acting chops to play even a semi serious role like this one. She should stick to the Twilight series.The pacing of the film also just felt off. Their are a lot of anti climatic scenes such as the ending, it just leaves you wanting more or wondering what they could of done to make this a better movie.Dialogue throughout the movie was pretty bad as well, people in my theater only laughed once or twice and that was during a scene that wasn't even intended to be funny.Most critics praised Therons performance, but she really just whined the entire time and was over the top, she didn't really deliver, but she was the best part of the film.4/10"
7,"The few good things about this movie have all been done better in other movies.I went into this film with an open mind. The first thing I believed was that reviews had been too harsh on Kristen Stewart and I was willing to give her a chance. Bad call. Snow White's primary expression for most of the movie is a blank stare with her mouth hanging open. At one point when She is armored up she delivers what is supposed to be a rousing speech to the troops. Instead it was Kristen Stewart just shouting with no passion and certainly no inspiration. There is also no chemistry between Snow White and the Huntsman. In reality the only lead actor who shows any charisma and actual development is the evil queen. There is little to no development for any other characters, which manages to even drag down Chris Hemsworth's role as the Huntsman.While the movie did have decent special effects, they aren't enough to save the film and even they have been done better in other films. The ""action"" sequences are sparse and fairly generic. I was very disappointed with this film. It had potential, but a bad script and boring/non-existent acting on Stewart's part destroyed it. If you want an actual captivating fantasy film, you'd be far better off watching Lord of the Rings, Chronicles of Narnia, or even the most recent version of Alice in Wonderland. The movies listed actually have a good script and good acting along with good fight sequences and excellent special effects. There is simply nothing memorable about this rendition of Snow White."
8,"Plot: Warrior princess Snow White takes on the wicked queen with a little help from people she barely knows. Drive-in Rating: Yield right of way. Just to get it out of the way, I don't understand the appeal of Kristen Stewart as an actress. She always has the look of a stuck up brat to me. There, done with the casting critique.The movie was visually stunning and Charlize Theron made for a truly wicked-good Queen. Chris Hemsworth was compelling (in a vacuum) and the dwarfs (casting controversy aside) were engaging. I love that the writers know their fairy tales enough to remember what properly lives under a bridge!...but I didn't find myself rooting for the entitled heroine or her comrades. The story idea was good enough but the writers tried to pack so many concepts into 127 minutes that they forgot a little character and conflict development. Even the most compelling scenes, the final kiss for example, left much to be desired (I'm not spoiling anything by telling you there's a kiss, it's a well-known plot point in the fairy tale). In addition, there were some unacceptable leaps in logic (for example, what compelled the Queen's brother to tell the Huntsman the truth about his wife?).And finally, is there an award for the least compelling title of the year? ""Fairest Blood"" immediately comes to mind as a reasonable alternative.If you pay to see this in the theater, make sure it's because you want to see the visuals on the big screen."
9,"What a load of nonsense. Those were 127 almost completely redundant minutes. It doesn't happen often but after about the first third I was considering leaving the cinema and only the ticket price kept me in my seat and the vague hope that something might change. It didn't.Where to start? There was no build-up, no climax (more of an anti-climax actually) and no development of any sort. There was a bunch of characters that fit together awkwardly at best: imagine Buffy the Vampire Slayer, Aragorn, Luke Skywalker and the guys from Hot Fuzz against the Wicked Witch and the Terminator - that about covers it. There was nothing that made you feel one way or the other about the characters since they all had their reasons for doing what they did and ... since it fit the plot it was fine anyway and they didn't need to change. The whole piece had a plot and general look and feel that couldn't make up its mind if it was going to be Chronicles of Narnia, Joan of Arc or ... Pan's Labyrinth? There were, however, a lot of pointless details that didn't matter to the plot but they were just there - take the queen's background, take the troll bridge, I could go on. There were a lot of over-acted emotions, like the queen screaming at people in slow motion for no apparent reason (both the screaming and the slow motion); and I cannot remember seeing Snow White in any shot in which she did not have tears in her eyes.I still wonder where they wanted to take this picture. Dark fantasy with sex-appeal and gritty violence might have been a good idea but it seems the writer and production designers were too busy being politically correct to go all the way. There are a few things that I liked, which is why I give the film a 3 but those are just details and would contain spoilers. Like this the film just seems to try and capture as many tastes as possible but delivers nothing really. And then suddenly it's over as if the producer had said: ""that's enough now."" Maybe that was actually a blessing in disguise. Reading the original fairytale is still more exciting."
