,0
0,"Anyone who has seen as many disaster movies as I have knows that this is absolutely the best one ever made. For a film nearly thirty years old, Poseidon Adventure is still so effective that it would cause anyone planning to take a cruise to think twice. You probably know the plot--luxury liner capsized by a tidal wave. This synopsis is brought to life with suspense, drama, and sometimes, terrifying reality. One of the most effective cinematic touches is that in nearly every scene, the camera is slowly swaying back and forth to give us a sense that we really are at sea. Something ""Titanic"" completely missed. We follow the journey of ten survivors through the inverted ship to their hopeful rescue--narrowly escaping fires, explosions, and flooding corridors every step of the way. The sets are epic and nothing less than spectacular. Especially the inverted dining room when the Atlantic Ocean comes crashing in, and the engine room which is now a horrifying twisted metal inferno. The cast is good, however Gene Hackman, Shelly Winters, and Stella Stevens are best. Hackman is our handsome hero, Winters is our unselfish caring mother, and Stevens is absolutely radiant (pre-capsize) and adds a welcome touch of humor to the mess. No, the movie is not perfect, and it is of course starting to look a bit dated. However the suspense and dazzling effects will keep you glued to your seat and you certainly won't be bored. Poseidon Adventure is a true classic. A must see for everyone--not just disaster movie fans."
1,"for a disaster flick,this is one of the better ones.for 1972,it is well made and has some good effects.it's pretty convincing also thought the movie was compelling and touching,and sad,all at the same time.since we get to know the characters a bit,you can't help but feel for them in their(what seems hopeless)situation.i did think there were a few stereotypical characters,which was annoying,but the acting was decent enough.plus,the fact that the survivors had to go through what amounted to a labyrinthine maze as they tried to get out,really added to the feeling of hopelessness of the situation.i was also surprised at who ultimately survived and who didn't.for a nearly 2 hour movie,this one moves along pretty good.i was engrossed throughout.for me,The Poseidon adventure is a strong 8/10"
2,"The Poseidon Adventure is one of those movies I have seen at least once a year as long as I have been alive. I lived in Maine when I was a kid and we loved our natural disaster flicks. Of all the great disaster movies from the 70s, this has got to be the best one. Gene Hackman, Ernest Borgnine, Shelly Winters, Roddy McDowall, Leslie Neilson, and the list goes on.The basic plot goes like this. The Poseidon is a cruise ship out for its last voyage and it is New Year's Eve. The guests are all celebrating while deep beneath the ocean's surface an earthquake is happening. The earthquake sets off a huge tsunami and the ship is knocked upside down. In order to be saved, a small group of people heads for the engine room at the bottom (make that top, since the ship is upside down) of the ship. At first, the ocean claims hundreds of the passengers until they are whittled down to about 10 people left. From here there are plenty of tense moments and a power struggle for control of the survivors. Typical disaster movie fare but done rather well.This movie is a great main event for a disaster film weekend."
3,"The Poseidon Adventure has gotten its reputation as the best of all the disaster films of the seventies, not just for the Special Effects good as they are. It's that select group of people trying to survive, they're a bunch you do get to care about even though some of them can be annoying as all get out.The film is an adaption of Paul Gallico's novel which was written in the Thirties, but it was updated to the present for the film. While on the luxury liner Poseidon as a New Year's Eve Party goes on, Captain Leslie Nielsen takes note of an undersea earthquake and the tidal wave that will hit the ship in about fifteen minutes. But he's certainly not prepared for the wall of water that smacks the Poseidon broadside and capsizes it.Before the big event and the special effects that got The Poseidon Adventure its Oscar in that department we are introduced to the group of people who elect to try and climb up to the keel of the capsized Poseidon while the rest remain in the grand ballroom. Leading the group is minister Gene Hackman and the rest are married couples, Jack Albertson and Shelley Winters, Ernest Borgnine and Stella Stevens, musician/singer Carol Lynley, hypochondriac Red Buttons, steward Roddy McDowell, and teenager Pamela Sue Martin and her little brother Eric Shea.You do get wrapped up and sucked into the conflicts especially with Ernest Borgnine who's simultaneously got a war going with Gene Hackman and with his wife Stella Stevens. She's an ex-hooker who he busted several times and eventually married. He's got a rambunctious nature and Borgnine provides a lot of the interest here.Jack Albertson and Shelley Winters are the typical elderly Jewish couple who are on a trip to Israel to visit the grandchild they've never seen. They're a calming and steadying influence on the others. So is Red Buttons who finds courage he never thought he possessed and he helps Lynley out who's devastated at the loss of her brother who was in the band performing at the New Year's Eve Party.Gene Hackman as a minister takes his gospel from that noted skeptic Benjamin Franklin who said that God helps those who help themselves. For those who believe in a divine plan, he seems divinely sent to get these people to safety. Not all of them make it though.The Poseidon Adventure got another Oscar for Best Song for The Morning After. Maureen McGovern's recording of that tune was playing everywhere in 1972. It's one of the few Academy Award winning songs that is still prized and remembered over the last 40 years.Maybe Irwin Allen did a wise thing by not directing the film and letting Ronald Neame do it. Spectacle is great and I love it, but a good story with characters you care about is what makes the Poseidon Adventure the fine film it is."
4,"The aging liner Poseidon, on her final journey, is struck by a tidal wave that knocks her upside down. A small group of passengers realise that if they want to survive they must journey up into the bowels of the ship hoping for rescue from above.The idea is well conceived and the excellent cast turn in good performances despite getting little help from the somewhat corny script. With above average special effects for the time and excellent sets that convincingly realise the upside down half-flooded ship and its bewildering maze of passageways, the movie manages to be compelling and exciting viewing."
5,"The clothes and the likes are really the only thing that date this film. 35 years old, and it still holds up well. No CGI featured, and none required. I have not read the book of this film, so I cannot say if it is an accurate adaptation, in the spirit of the original. I will say that it is a well-produced piece of fiction. The plot is quite good. The writing is good, and has very realistic, great moments. Dialog is well-done, and delivered equally well. The characters are credible and well-written. There is a reasonable amount of development and background for them. The special effects are undeniably excellently done. They are convincing throughout. Nature itself becomes the threat, with realistic physics. The camera-work and editing are nicely done, save for an awkward cut or two. Cinematography is effective. The pacing is solid for the whole film. As far as the technical aspect goes, the film is great. The acting is of high quality. The kid isn't the most annoying ever seen. The tension is admirable. I haven't watched particularly many disaster films... in fact, this film may be 50% of the total amount... so I can't say if this is an outstanding one. I'm not sure you can really watch this without noticing the theme of passivity versus activity... or, blind faith versus a more critical, independent faith. The film takes a definite stance on that. All in all, entertaining and worth your time. I recommend this to any fan of the actors and/or the genre. 7/10"
6,"If you have three and a half hours to kill, do NOT watch Titanic.  Take the three and a half hours and watch the Poseidon Adventure twice. Okay, it's campy and it's the consummate 70s disaster flick, complete with ensemble cast.But when you put them up against each other, Poseidon Adventure is just leagues better than Titanic.  Titanic is over three hours, and centers around two characters.  In that time, the two characters are hardly developed at all, they're terribly one dimensional and probably could be summed up in about a sentence each.Compare this to Poseidon Adventure.  Stars off with a dozen main characters, and in half as much time, they all have their own personalities, quirks, and are real identifiable people.  And far from the Titanic tendency of stamping ""I'm gonna die"" on people's foreheads, in the Poseidon Adventure you don't know initially who's going to die- or at least not how or when anyway.The Poseidon Adventure is just a more interesting movie.  It may not be as glossy or as pretty, but it's got it where it counts... it's just a better film."
7,"I still don't understand how people get on here and write reviews about movies, with statements like wasted actors talent, campy, don't you understand this movie was made in 1972 there was no CGI and copying movie like it's done today, this was an original and won awards and was up for many more nominations, these actors weren't wasted they were continuing to develop their craft. I saw this as a 6yr old and still remember it today on New Years Eve as I just watched it this morning bringing back so many memories that made me the movie buff I am. I never forgot it from the wonderful soundtrack (Oscar winning ) and the cinematography (Oscar winning) which was earned the old fashioned way imagination, not by some computer generated initiative. I love movies today but I still remember good movies and how they were made in yesteryear also. It's kinda like comparing atheletes when people(younger people especially) when they say Lebron is better than Oscar R or Michael J, the players are all great in their time, if either Michael or Oscar were here today they would still be GREAT, as Lebron is today, but to say he is better is foolish, This a Great Movie today as it was in 1973. PERIOD!!"
8,"I would have normally given this disaster classic only eight stars. But after re-watching it (after seeing Petersen's 2006 film POSEIDON), it looks even better than I remembered! Although TPA may seem somewhat dated and cheesy today, the campy script is really a hoot! Many classic lines found here! Thank God for Stella Stevens' character...The actors are great, the camera-work and timing are great, and even the special effects are fairly impressive (particularly for the film's age). Actually, the capsizing scenes are far superior to the latest version's in many ways.If you have plenty of time on your hands, you can always watch both films and compare for yourself. If not, I would stick to the original. It may lack the massive budget and glossy CGI special effects, but it sure is more fun!"
9,"This movie is my ultimate disaster flick and even though I really liked Titanic. This one, as others have said IS better and I'll tell you why. In Titanic we have just one story going, where as in this one we have several. The subtle budding romance between Nonnie and Mr. Martin was very interesting to watch. I thought they were a rather odd pairing at first, but it worked seeing how they both needed each other. Linda Rogo was my favorite character. She knew what to say and how to say it. She even told her pompus husband off a few times. The fact that she's an ex-prostitute and her husband being the cop that arrested her made their story rather interesting. Mr. Rogo and the Preacher's quarrels were amusing and heated. I liked the Rosens, they were the strong ones and you could truly see the love they had for one another. The kid was annoying, but useful and I really enjoyed the sexual tension between Susan and the Preacher. Their scenes were my favorite. This movie has a cast of truly rich characters that were more entertaining to watch than the actual effects. Ah! The good old days where character development and an actual plot outweigh the special effects and the disaster itself. 9 out of 10."
