,0
0,"At first I thought it would be dumb, but omg it was AMAZING! The story was awesome (I won't give any spoilers) and there were parts that made me laugh so hard and parts that made me cry. I don't usually cry during movies, but I'm sitting here writing this review with tears in my eyes. I think it is going to become a new movie to watch every Christmas with my family!"
1,"One of the sweetest, emotional and best Animated film of the year. Netflix please keep bringing us movies with great script such as this."
2,"Klaus was a heartwarming animation with a very unique take on the ""Christmas origin"". I originally put it on as background noise for folding laundry but caught myself sitting on the bed for the entirety of the movie. The animation was really well done and the characters were memorable. I loved the similarities with Tim Burton films. It's nice to have a different Christmas film but that has the spirit nevertheless.
One of the best Christmas animations in awhile. Great film!"
3,"Okay, when it comes to Christmas movies to me there was only one: It's a wonderful life by Frank Capra. The Bishop's Wife and Love Actually are also very good but they don't have the same magic.
This year I can finally add a new classic: Klaus. It's a funny and surprising tale of how the real Santa Claus was born. I love the story and especially the look of this movie is amazing. Klaus is hand drawn animation but thanks to computers it has astonishing lit scenes. That makes the journey extra special.The story is about this lazy and clumpsy guy, Jesper, who is the only son of the director of a Mail School. His father wants to teach him a lesson and sends him to this little snowy place called Smeerensburg. Only if he succeeds in delivering 6000 letters in a year he's allowed to come back and continue his luxery life.
Of course Jesper obeys: he doesn't have a choice. But when he arrives at Smeerensburg he discovers that his mission is an almost imposible one. Two rival families are at constant war with each other and will never send each other letters. But when Jesper visits his last hope, this hermit called Klaus, something magical happens. By accident this mourning figure receives a letter from a child and wants to return this nice gesture by giving the boy a present. Suddenly all the childeren of the village want to send letters...Why does Santa always say ""Ho! Ho! Ho!?"". How did he get his reindeers? Does he really have a naughty book? Why does he travel on a sleigh? All those questions will be answered in this great tale of one man, Jesper, changing the fate of a town that once only knew anger and never friendship. The end of Klaus is actually quite moving.Forget The Polar Express or all the Christmas Carols. Klaus is the real deal! Go see it on Netflix!9/10"
4,"Very solid original story, awesome visual style and great writing. All it takes. On the contrary, reinventing 30 year old cartoons and doubling down on puritan stuff does not help.This film deserves broader recognition - best Christmas catroon in a long long time"
5,"I haven't felt this good after watching a movie. I feel good about myself. I am not kidding, I actually cried during and after the credit rolled. Thank you Netflix."
6,"For my first holiday movie of the season this is a must see.
Well written and beautifully done, also absolutely hilarious yet so heartwarming."
7,"What a joy to watch! I absolutely loved this hand-drawn animated film, the story kept me entertained from start to finish and I'm very glad that Netflix is giving this art form a platform on its streaming service."
8,Just watched with my kids. Absolutely loved every minute of it. A beautiful family movie that is sure to become a Christmas classic.
9,What an amazing movie ! The animation is perfect and the plot even better. Worth every minute.
10,"Sure, sappiness is cute, and fun to indulge in. I thought I'd seen it all. But what sappiness was in the movie well used. The main thrust was not sappy. It was a well told story, with the proper nuances in the animation and the vocalization. I consider this movie to be for adults. You will thoroughly enjoy it."
11,"Wasn't sure what to expect but completely exceeded all my expectations. Funny, smart and with heart. The animation and production quality is fantastic. Has that classic 2D animation aesthetic combined with 3D. Feast for the eyes, mind and heart. Great film, thanks for the little Christmas gift. 😁"
12,"Yes i said it. That is a big statement to back up but i believe that this movie covers anything christmas is all about. Not just that, it is really one of the best Santa Klaus story ever if not the one.Solitude, selfishness, hatred -- All these attributes have to stand this christmas movie and bow down to the love, warmth, kindness this story brings.Thank you for making this one and reminding us all what great animated stories are about."
13,"A truly heartwarming story. About how little kindnesses can make life more beautiful, children's laughter can warm the heart and Christmas can actually be a beautiful contemplative time.A truly beautiful Christmas story is told here with humour and love for detail. For young and old. I could watch the film again tight now.. :)"
14,It is just a perfect christmas movie. Amazing animation mixed with joy and emotions. Highly recommended if you are looking for some extra happiness and to hop into christmas spirit..Happy holidays in advance.
15,"If postmodernism is defined as a rejection of morality and human nature, then this animated story is a repudiation of that rejection, but done in a refreshingly adult and not too overly sentimental way.Thankfully, there are none of the usual Hollywood tropes; rather, the characters and situation are very grounded despite having elements of the fantastical and surrealism mixed in. It is not even Disney-esque, which is also a very good good thing.That this ""Santa Claus"" is not the only main character is moreover a good choice by the writers. By doing so, the story is able to focus on how a mythical character could conceivably come to be - and that makes for a very interesting and entertaining premise.Everything about this animated story is well done: The animation is crisp and detailed; the dialogues are convincing and at times humorous; the music fits, is modern, and used judiciously.Young children will not probably understand the deeper meanings, but everyone else will."
16,It's a true masterpiece ! So touching story. It reminds me of old good stories that later became films for children. This is the very best story of Santa Klaus I've ever seen ! Great animation and voices. Thank you for bringing such a nice story to life.
17,"This is what this film feels like: sitting around a fire and being engrossed in a story that someone remembers from long ago. Is the plot very original? Maybe not, but it is well paced and has some surprises along the way that make Klaus special.
Here, we have a sincere, funny and engaging film, that doesn't rely on ironic jokes to tie in the adults, or on the integration of modern technology to hold the kids' interest. It just tells a story.The story is about a spoiled young man who is sent into the little backwater village of Smeerensburg to take over the post office. Jesper has to deliver 6000 letters by the end of a year or he'll be cut off by his wealthy father. After he meets the reclusive toymaker Klaus, Jesper starts to plot his way out of Smeerensburg by roping in the kids of the village. Along the way he makes some friends, changes some lives and, well, grows up.This is, in a way, Jesper's coming of age story, even though he is a fully grown man to begin with. But this is also Klaus' growing old story. I found this apect very touching - the old and widowed hermit finds a new purpose in his life and gets to be happy for a few years yet. You do not see that sort of plotline in animated movies very often. The subplot of the warring clans of Smeerensburg was hilarious and reminded me a little of Asterix and Obelix.Apart from the old school, but very well executed plot, it is worthwhile to talk about Klaus' technical realization. Firstly, the animation is gorgeous. The lighting is magnificent. The look is excellent. This film looks exactly as lovingly detailed as a Christmas movie should. The handdrawn animation is very effective - it gives the film a very soft and almost canvas-like feeling, while still making good use of the smooth and fast execution that CGI affords.Klaus isn't dunked in polished, on-the-nose effects, but is, you might say, warmly covered in a carefully crafted blanket of twinkling forest lights and harsh mountain snows and accompanied by a little, gruff town of crooked and funny looking houses and crooked and funny-looking people.
In Klaus, we do not encounter a string of slightly altered clones, that all have the same body type and facial features (looking at you Disney) but a jumbled ensemble of big and round, tall and bent, young and middle aged and old characters, who all look and act differently from each other.The only criticism I can honestly think of is that Klaus lacks a little on female representation. Its central female characters, Ava and Márgu, felt a little sidelined to me, especially given the fact that theirs could have been the better story, if told accordingly. But given the fact that I still loved it, I can't really hold this against Klaus.So, just in time for Christmas, Klaus is a thoroughly enjoyable treat of a movie that I will probably recommend excessively over the next few weeks."
18,We really missed the classic animation! Thanks to Netflix for its return. Klaus is an amazing cartoon that creates a festive atmosphere. The ending can really bring to tears.
19,"Maybe because I did not know much of it when we chose to watch it with the kids, maybe because it was a cosy evening together with family, maybe because most good things happen unexpected, but it was just so much enjoyable that it scored immediately the top of my personal animation movies´ ranking, even more than my beloved the incredibles....
The first 10 minutes I thought I was watching the wrong movie....what the hell has a spineless spoiled son of the chief postman to do with Santa Claus??? And then piece by piece ""you connect the dots....""....and it´s a revelation, an epiphany, a ""credible"" discovery/explanation of the origin of Santa Claus´ many legends, but most of it, a memory of the reason why the world needs Xmas, or whatever you call it if you are not Christian, because ""an act of selfless kindness...."". Don´t miss it!!!"
20,"There are two type of people in this world.
1. They very much liked Klaus
2. Monsters"
21,The movie kept me glued to the screen the whole time
22,"I typically wouldn't mention a movie as a classic except for the two first films of Shrek. But Klaus it's amazing.Allow me to explain myself.There are so many reasons why Klaus remains as a classic.FIRST of all and the most visible one:THE ANIMATION. I'm not an animator but I love animation so I can tell when something is beautifully animated. Klaus isn't animated by computer, is hand-drawn animation which involves so much more work and it's worthy at the end because the result is so delightful. The colors, the details, the characters, the locations and every particular aspect are properly drawn, so you feel so good watching it.SECOND: You need more than looks to produce a classic and this film has a pretty good STORY. The plot is simple, a post man is sent to the unhappiest place in the world to deliver 6,000 letters, but in this place nobody delivers letters. Simple, the way that this plot seeks his way to include the origin story of Santa Claus it's amazing. Every twist is graceful and the ending is satisfactory.THIRD: animation and story are reached because of THE CHARACTERS: Every single and unique character has their own storyline developed satisfactorily.From beginning to end, the film is perfection for the Christmas holiday."
23,Wonderful movie and the animation is just amazing.
24,"This movie is a new classic for the years to come. The visuals, the story, the characters are great. Absolutely loved every bit of it. I watched the movie in french because i love how they speak french in animation movies but I will definitely watch it again in english. I recommend this movie."
25,"What a great film, it had absolutely everything you want in a Christmas film and with a new twist on a classic story it hits it out the park for me. Well done who ever made this film, fantastic."
26,"As I get older Christmas gets less and less exciting for me as an adult. This movie has warmed my heart to the point that i want to believe with all my heart. This story is fresh, original and to me one of the best Christmas movies I've seen in my lifetime."
27,"Amazing way to rewrite the Christmas story, great graphics, lovely movie and tears during all time. Klaus is going to be now my Christmas evening movie"
28,"I am a Muslim and I don't believe in Santa but I definitely believe in ""A true selfless act always sparks another"" and I definitely can relate to the joy the heart experiences when you make an unknown person, specially a child happy. Thank you Klaus (2019) for pushing that message across. In a world drenched in bloodshed and hate, that is a much needed therapy for all of us. I am sorry I can not rate and give 10 stars as only real life itself can get 10/10. So you will have to settle with second place. Only 9 stars for you and lots of love. Peace and Allah u Akbar!"
29,"As valid as any other conjured story about a benevolent old man with a fluffy grey beard. Great animation through an original tale albeit one whose characters don't demonstrate too much diversity which may leave it slightly less appealing to those not of Western European descent, nothing new there though."
30,"This movie turns every usual Christmas trope you see In a holiday movie to something completely new. A fantastically well animated movie, that tells a classic story with a fresh take."
31,"Fantastic and beautifully made, a truly great christmas movie. A lovely origin story of the wonder of klaus.A real must see this christmas for the whole family."
32,"Fun-spirited and an absolute delight, Klaus just may be not only the best christmas movie of the year, but also of the decade. Fit with beautiful animation, wonderful voice work, and a charming sense of direction, Klaus aims to please and does so almost irresistibly. The film, at its worst, may seem a bit formulaic, but is plenty full of many surprises without that will make you not want to look away from the screen. The film is also cleverly funny, with humor on par with that of The Emperor's New Groove and another Christmas classic of the decade, Arthur Christmas. What's so remarkable about the film however, is that, besides its ownership under Netflix, it simply isn't owned by a huge animation company. It feels small, and looks underwhelming, and like a gift of the same nature, is an absolute delight once you find what is all truly inside.
My Rating: 9.75/10"
33,"This is a gorgeously animated and beautifully scripted film that will tug at your heartstrings in unexpected ways. In the middle of all the saccharine, cloying and formulaic Christmas movies, 'Klaus' really stands out. The voice acting is really good. And it is thoughtful and deep in a way children's films aren't always are. Have a box of Kleenex near you."
34,"I loved this film from start till finish. love the retro way of making this movies, lots of humour and the right amount of sentiment. Will be a classic to watch every year around xmas."
35,"Heart-warming, beautiful. At the same time deliver the most realistic story of Christmas in a sense that not only the adult can understand but the children can also comprehend and appreciate the true meaning of a magical figure Santa Claus."
36,"A heartwarming, charming and gorgeous animated movie that retells Santa Clause's origin story in a new and interesting way, although it does stumble in some places, especially with it's familiar story that we've experienced before and hitting most of the same beats (but that doesn't mean that it didn't had great moments); some of the characters needed more development (like the schoolteacher Alva, who unfortunately comes out as a generic love interest, while still shines in some moments throughout the story), while others (the villains) can be considered average at best; music, which was 30% great, while the other 70% didn't stand out all that much or the composer is repeating the same music a couple of times and the dialogue was great and in some moments OK at best, which included jokes that weren't all that funny.There is one thing that i want to mention: before i saw the movie, i read some reviews and saying that the main character Jesper has the same characteristics with a another existing character in a animated movie and that character was Kuzco from the movie ""The Emperor's New Groove"" and how they were too similar to each other. There is truth to that discussion, since Jesper starts out the same way and act the same way throughout the movie, but for me - he did grow on me the more and more i continue watching the movie and i started to separate him and Kuzco from one another and Jesper did stand on its own as a character.I'll just say it, since it's the most noticeable thing in the movie: i ADORE the animation. It's so gorgeous to look at. All of the designs of the characters, the environments, the movements of the characters and the lighting are just masterfully made and the cinematography accompanies it and making it jaw-dropping to look at. If that movie doesn't inspire you to become a animator, then i don't know what can.I'm so happy that people from around the world are still keeping the spirit of the traditional animation alive and proving to the huge corporate studios, who abandoned that technique of animation (i'm looking at you Disney), which existed for far long than we can remember is not dead and it doesn't give up on a fight. That doesn't mean that i don't adore the 3D / CGI animation that Pixar created (which i'm so grateful for that), which also creating a new way to tell stories, but it's sad that we only get 3D / CGI animated movies in the movie theater and the only way to see new traditional animated movies is on streaming services like Netflix or in festivals. Movies like ""Klaus"" still give me hope and that's a good thing. I'm giving ""Klaus"" a 7.4/10."
37,"What an interesting angle to the great Holiday of Christmas. The unusual dark presence and aroma of the film in the beginning contrasted by the steady growing happiness and Christmas throughout the film is awesome. The pacing of the film is excellent, not too much in depth character development save a few characters but they all work well together, I love the contrasting personalities of Jesper and Klause and how it compliments them becoming friends. The story was a unique and interesting take on Christmas and was a treat to watch, I thoroughly enjoyed this movie!"
38,"One of the most moving films in the history of animated films. Shining, magical, exciting. Klaus is directed, written and animated like the classic animated films that have accompanied us throughout our lives: masterfully. Original story, which there was the need to tell, mixing a story of origins and magic, giving life to something extremely unique. One word: beautiful."
39,Saw the highly anticipated Klaus. As indicated the beautiful animation did not disappoint. Went in with very low expectations for the story but was pleasantly surprised with the worldbuilding.
40,They really nailed to making of a Santa Claus origin that makes sense. This movie is magical experience for any christmas movies fans who especially looking for a childhood spirit.
41,"Very heartwarming animation
Beautiful aesthetics and artistry
Perfect Voice cast
Best Christmas film released in a long time"
42,"Wonderfull, outstanding the perfect start into the Xmas season."
43,"I am not if this is how really Santa Claus story started but this movie is really worth watching! Amazing, logic heartbreaking emotional wonderful story! If this really the true story i just want to say WOW!!!!!"
44,"I like everything , story telling is charming and exciting i never felt boring like it all"
45,"I kind of missed old-style animations. Everything is either made by pixar or trying to look like pixar. Not that the pixar is bad or something, but I just grew kind of tired watching almost the same animation over and over.Klaus feels like refreshed 2000s era of animation. Remember Treasure planet? Or Titan AE? They were both unique and awesome and Klaus feels exactly like them.Story well... it's pretty cliche. No earth-shattering changes. With a quite brave end, which I won't spoil.It was fun :)"
46,Instant masterpiece! Best Christmas film I've seen in a long time. This is one of those movies you could watch every Christmas with family. Animation was stunning and magical. Voice acting was so well done it brought the characters to life. 10/10 amazing work!
47,"I've seen this beautiful animated movie because of Zara Larsson's song-Invisible (the movie sountrack) .
I love the story,the characters....such a great movie to watch with your family when the winter holidays are coming !!!
It's worth it !!!"
48,"A truly lovely story perfect in every way.
I would recommend this for all the family, even the most hard of hearts would find this telling truly beautiful."
49,"This holiday film is destined to be a classic! A lesson about traditions of strife being busted up by children learning to play together makes for brilliant holiday season fare.The evolution of myth and new traditions unspools so wonderfully, the film is a joyride!"
50,Was expecting an okay Christmas story but got so much more. This ties in the story of the original St. Nick and adds the flair of the new Santa Claus. Well done.
51,Beautiful art direction. Very well animated. Good story. Great cast. Why is Norm McDonald not credited?
52,"There really is something magical about Christmas. And this movie shows exactly that. Deep down we are good and when we find our inner child made out of pure innocence and free from the influence of bad actions and thoughts we will find joy, happiness and we will make ourselves better through making others better. Touching and absolutely beautiful!"
53,"Cried almost whole film. its AMAZING, me and my friend absolutly loved it!! would watch it every year& will recomend it to everyone!. meaningful storyline, beautiful animation, warmed my heart <3"
54,"Breathtaking journey from start to finish .. i am a 24 year old male and never leave reviews on things like this! But this movie is an instant CLASSIC! a must see , spot on netflix"
55,"This is the best Christmas movie I have ever seen. I grew up as a kid in the 90's surrounded by classics, such as Home Alone, The Santa Clause, Elf, and so many more. This movie is brilliant in its wit and humor, and it touches in the heartstrings of the human soul like no other movie of this genre ever has for me. I was awed by the creativity and the brilliance of the plot, writing, and animation. I will watch this movie each year with my family - a new family tradition."
56,Something everyone needs ... Klaus is awesome. The characters feel real and well written. Reminded me of my child hood. It's not just for kids ... we can learn a thing or two as well
57,"And thats my understatement for the year. I remember seeing the movie's test trailer and was FASCINATED by the beautiful animation. So I waited, followed the studio, the development, the videos they posted, became overjoyed by seeing netflix picking it up for production and when the time came, I sat down, closed the curtains, and started the movie.
Every moment of the movie, I was like ""this animation..."" because... yea, it's the crown jewel of this movie, the reason I was so hyped to see it, the animation is BEYOND GORGEOUS! Hands down a perfect hand-drawn animation by a Disney veteran and expert character designer with a team of the best he could get on a small scale. This movie feels like every one involved with it loved their job. The backgrounds, the movements, the lighting, oh sweet gingerbread, the lighting was just amazing. Every shade, hue and colour was just GLOWING and every background could be framed on a wall. The story itself is really fun, they didn't hold back on how the characters move, sound and interact with each other, the plot itself was quite fun and worked out the emotions just in the right way. The pop song felt a bit cheap, but hey, product of it's time, at least it wasn't distractive.
The ending got me a bit teary, it felt bittersweet for a moment, but then it threw that christmas warmth over me.
The characters, IMO were all likeable. Jesper is a fun, quick-paced nitwit that reminds me a lot of Kuzco from The Emperor's new Groove (down to the voice actor sounding startling similar to David Spade!), Klaus is a stoic, large figure with a little bit of sadness but plenty of space for joy, and J. K. Simons was a amtch made in heaven for that. The side characters were also lovely, especialy the antagonists. The movie also worked perfectly the subtle colour palette between the clans to make it pretty visible which citizen was from which clan (and I loved that paralel dialogue of the clan's history) and the character design was superb. Each character brimmed with personality and had a very original shape, outline and animation so they stand out in the crowd. In sum, this wasa holiday experience I didn't even know I needed so much, and another investment in animation that Netflix have done right. Keep up the good work, all of you. And I expect this old art to maybe find itself back into our lives, as a true act of kindness, always sparks another."
58,"The story is unique with stellar animation, and Norm McDonald as the snarky boatman puts the cherry on top! Everything about this movie surpassed my expectations.
This delightful, albeit predictable Christmas production kept our interest with snappy dialogue and wonderful characters.
Watching alone or with the family, this movie succeeds in immersing viewers fully in a chocolate fondue of comforting distraction. Don't miss this one. They worked hard and hit this one out of the ballpark."
59,"We were long overdue for a decent Christmas movie.
It's a funny, whimsical animation that's guaranteed to bring you joy and the occasional tears to your eyes.Although it's one of those scripts where the ending is predictable for the most part, the ride is still very enjoyable and beautiful. It is written in a brilliant witty way to explain how some of the Christmas traditions came to be, while also giving credit to the postmen.The music list chosen for this movie was also pleasant and fitting.If you're looking for a decent comedy to watch, I would definitely suggest this movie. It's not the best Christmas movie of all time but it's the best Christmas movie to have been released in a long time. Enjoy!Fav scene: ""That's what you get for messing with the post man"""
60,"Everything about this droll take on the Santa myth is inspired. JK SImmons as the title character, the animation style, the way in which the various elements of the mythos come together organically and so forth all just fit. Even the final moment of magical realism is just right. It all adds up to a heart warming tale of Christmas.I will be watching this each year for awhile."
61,I just loved everything about this movie. It was perfect!
62,I initially thought I was going to watch a B level Disney want to be film but was so surprised about the clever writing and emotional depth of the story. Kudos to the writers for presenting such wonderful story full of humor and yet such wonderful pathos on a classical story. Thank you!!
63,"This movie is absolutely amazing. Wonderful story (reminds me of a Finnish christmas movie ""Joulutarina"") with great message! I especially enjoyed the representation of Sami people (the native people of Finland, Sweden and Norway) and hearing Sami language in a film like this is revolutionary!"
