,0
0,"I don't know why but this film gives me very familiar feelings, nostalgia almost, nostalgia for Disney's renaissance. When I was watching and listening to the songs or the beautiful colors in the screen I felt a reminiscent feeling. This movie is amazing please watch it"
1,"Young Fei Fei (Cathy Ang) over the course of her childhood is told of ancient legends of moon goddess Chang'e (Phillipa Soo) by her mother (Ruthie Ann Miles). After her mother passes from a terminal illness Fei Fei is shaken by the prospect that her father (John Cho) will marry Mrs. Zhong (Sandra Oh) and believing the stories told by her mother hold the key to preventing this Fei Fei builds a rocket to the moon to find the moon goddess Chang'e only for her soon to be stepbrother Chin (Robert G Chiu) throwing a monkey wrench into her plans and setting them on an unplanned detour.Over the Moon is the third feature film co-production from Netflix's animation division following Klaus and The Willoughbys. Klaus was probably in my top 10 list for that year, and while I didn't think The Willoughby's was in the same league, I still appreciate the craft and care that went into it making it look as good or better than some films that got a theatrical release. With Over the Moon co-produced with Pearl Studio (Abominable), I'm pleased to say this film is closer to the former than the latter.The film is the feature length animated debut for John Kahrs (director of amazing short Paperman) and Glen Keane (Dear Basketball) and both have work in the industry coming from Pixar as well as back to the early days of the Disney Renaissance. Needless to say, their A game has been brought and delivers. The animation in this movie is simply incredible. The vibrancy and life of Fei Fei's home town, the energy brought to the comic relief characters (of which there maybe a few too many), the emptiness of space, and some scenes of sheer awe and wonder that deserve to be experienced so I'll avoid spoiling them, save for saying they're as imaginative as anything Winsor McCay created for his Little Nemo comic strips back in the early 1900s.The story is absolutely amazing showing the importance of family, but also the threat of getting stuck in the past and refusing to move past it (with some eerily effective imagery in the film's climax. The movie is a musical with Christopher Curtis, Marjorie Duffield and Helen Park serving as the song writers, and the score they come up with is as vibrant and powerful as the upper levels of the Disney Renaissance. The songs range from more traditional melodies to more modern compositions to sometimes skirting the lines and being compositions of both, in this way it's very much enhancing the theme of appreciating the old while allowing acceptance of the new.Fei Fei makes a likable lead as we see her emotional jounrey and it parallels nicely with the Chang'e legend as presented in the film. Fei Fei is brought to life by not only great expressive animation but also by Cathy Ang giving a great VO performance that hits all the right notes. The rest of the voice cast do a terrific job and play their parts well. Some of the comic relief do flirt with becoming grating and overbearing, but luckily what annoyance there are to the characters feel (mostly) true to life and feel earned in relation to the rest of the movie that surrounds them. There are also a few lowbrow gags, but they're luckily used sparingly and never overstay their welcome.Over the Moon is a terrific film that shows that both Pearl Studio and Netflix Animation are worthy contenders among the crowded animation field. With fantastic visuals, likable characters, a dynamic musical score, and a story that strikes the right emotional chords, the movie is able to overcome the few minor drawbacks keep it from being perfect. While some of the comic relief feels unnecessary, it's balanced out by a cohesive whole of ingredients that make for a beautiful and moving animated visual feast."
2,"As a Chinese person, I LOVED seeing so much wonderful cultural representation and the all-Asian cast. As a kid, there was very little of this type of thing available to me and I'm happy that my four year old enjoys this movie and sees positive representations of this part of her heritage.I thought the visuals were stunning, and the animation and character design were lovely.Otherwise, it was... fine. I feel like the movie started off strong. I got teary during the first part. Then the story just got kind of confusing and I felt very little emotional connection to the characters. The singing is good, but I didn't find the music as catchy or memorable as some other recent musicals. I'll watch this again with my kid and I prefer it to something like Frozen, Cars, or The Good Dinosaur, but I don't think it's as good as my favorite Pixar films like Wall-e or Monsters, Inc."
3,"It's quite often when an animated film comes out and they try to imitate or to simulate the same narrative aspects or the same characterisation or even the same animated standards of Disney. Sometimes it's so good it stands out, but other times the story mechanics are very familiar with Disney that it can make the film very far from being a success. Over the Moon is a charming Chinese inspired animation that's both victim to that but also different to that and thankfully sets the bar quite high in animated filmmaking. The story is very familiar a teenage girl is trying to get over the death of her mother and to do that she must embark on a journey of enlightenment to move on. We've seen it all before, but the one thing that's different is the colours whether it's the weird and wonderful creatures walking around or the stunning picturesque views of China's landscape. It will often remind you of Spirited Away or Inside Out or other brilliantly successful animations. Granted Over the Moon may not be new when it comes to the storytelling or the pain we all experience when feeling grief but the colours alone make it a wild success and lest we forget the glorious tunes to boot which will make you cry, make you dance and make you smile. It's likely that Netflix will go to the Oscars with this but whether they'll get the prize is a different story. But it flies high past other films of 2020 and could actually be the best animated film of the year...maybe. 4/5."
4,"If you love animated movies, this is amazing. The story is amazing, the songs are amazing. This truly is one of the best animated movies I've seen in a while. And Phillipa Soo is a rockstar."
5,"""Over the Moon"" is a computer-animated film produced by Netflix Animation (American) and Pearl Studios (Chinese). The Chinese legend about Chang'e had been developed into this screenplay by Audrey Wells, who had unfortunately succumbed to cancer in 2018. Director Glen Keane had been an animator involved in Disney films from ""The Little Mermaid"" to ""Tangled."" ""Over the Moon"" is Keane's first full-length directorial work. Keane recently won an Oscar for the animated short film ""Dear Basketball"" (2017) with the late Kobe Bryant.Spirited teenager Fei Fei had been in mourning for four years already following a family tragedy. However, while her family was ready to move on, she still could not accept the inevitable changes about to come into her life. She was also disappointed that legends about the Moon Goddess Chang'e she held dear in her childhood had all been forgotten at her home. Because of this, Fei Fei was determined to build a rocket to bring her to the moon to prove that Chang'e really existed.The voice cast for this production was predominantly Asian-American. Most notably, the main character of Chang'e was voiced by Chinese-American Broadway sensation Phillipa Soo, who broke through into mainstream stardom as Eliza Schuyler in mega-hit show ""Hamilton."" Korean-American actors John Cho and Ruthie Ann Miles voiced Fei Fei's parents, Baba and Mama. Other Korean-American actors in the cast were Margaret Cho (as Auntie Ling), Sandra Oh (as Mrs. Zhong) and Ken Jeong (as a green gelatinous glowworm named Gobi).The remarkable discovery here is 25-year old Cathy Ang who voiced the protagonist Fei Fei. Ang was born in the US to Filipino-Chinese parents who were both doctors from the Philippines. Her speaking voice was very perky and expressive, while her singing voice was so delightfully Disney-esque. This was an auspicious feature film debut for this impressive young talent. Another Filipino-American talent in the cast is Glenn Ricamora, who voiced the smaller role of Houyi, the archer husband whom Chang'e longed to reunite with.Even if this film was set in contemporary times, the central story and animation are very rich in Chinese culture and aesthetics. Aside from the legend of Chang'e and how she became the Moon Goddess, there were little details about the Mid-Autumn Festival, the moon cakes and the family gathering together for a special dinner while admiring the bright round full moon. The artwork for animals were very cute, like Bungee the bunny, or elegant, like the white egret on the waterway. The beautiful traditional gowns of Chang'e were very gracefully rendered.Midway through, there would be a radical shift of setting, pace and artistic theme to more whimsical modern sci-fi designs, all bursting with bright neon colors. Young kids will definitely enjoy the gleefully imaginative rainbow-colored imagery in this frenetic part of the film, like Chang'e grand entrance, chickens on motorbikes, flying lions, a celestial ping-pong match, or that mad scramble to possess a precious item. The dramatic scenes were also very effectively executed like the reunion scene as well the scene in the Chamber of Exquisite Sadness.The songs had catchy poppy tunes which would be fun to listen to again and again. The story of moving on after a family tragedy may be very familiar dramatic terrain, but it was tackled here with bold eye-catching artwork and genuinely moving sentiments."
6,Top notch animation. but if you've seen as many animated films as i've done then the plot won't stand out in any way.
7,I have to laugh at people complaining about this movie because it's a musical or mentions the moon a lot. Like... yeah. The trailer pretty efficiently covers that! Anyway... More than once I was awed at the colors and visuals. The storyline is sweet and a little sad. All of the songs were so beautiful. But what else can I expect from a movie starring Philippa Soo? Plus I love to see the representation!!
8,"Over the moon
2020
U
Director: Glen keane and John Kahrs
Starring: Ken Jeong, Sandra Oh, Kimiko Glenn, Phillipa Soo, John Cho, Cathy Ang etcOverall rating 88/100Over the moon is about a young girl who lost her mother who believed in a mythical goddess called Chang'e (Phillipa Soo) but her father moves on and his believe in her depletes, so she builds a rocket ship to prove her reality. Over the moon was a fantastic movie, with some of the best animation I have seen and some excellent themes that were touched upon, so let's get started.My first few positives would be the animation, representation, likeable main character and humour. The animation for this movie was truly breath-taking, the story world created and beautiful vibrant colours and character designs were just amazing to watch, and how incredibly life like the human characters were was truly something special. I also loved the representation within the movie, the large amount of chines representation was great, they went in depth with the key visual styles and traditions of the Chinese people and their lives and I found it really interesting. The main character was also very likeable, she had such a likeable charm and a beautiful voice, you genuinely empathised with her character and understood the way she reacted with her dad moving on with another woman, finally the movie was also very funny, it had so many well times jokes and clever slapstick moments that just worked 90% of the time.My next few positives would be the soundtrack, chemistry between characters as well as their links with each other. The movie had a surprisingly fantastic soundtrack with some catchy and heartwarming songs that were easy to get in your head and made the movie even more enjoyable to watch. I also found that there was fantastic chemistry between all of the characters, the relationship between the whole family felt so believable and they all had such a close bond it really reminded me of my own family and I think this will connect with a lot of families watching, I also liked the clever links between the characters. The links between Chang'e and Fei Fei (Cathy Ang) were actually very similar in terms of what they were going through with losing a loved one, this was explored and executed very well and their bond was something truly special and charming.My few negatives that effected the movie slightly would be the rushed character background, underused characters and tonal conflicts. I thought that despite the sweet beginning showing Fe Fe and her family for me it felt slightly to rushed and it would have been nice to see more of the families dynamic, I also found the character of the father very underused, yes he was the motivation for the main plot point but he wasn't really in the movie long enough and often times there was some lapses in the logic with him just not being aware that his daughter was making a rocket. Finally my biggest issue with the movie would have been its tonal conflicts, I just felt like the movie had too sharp contrasts between the beautiful culture of China and authentic relationships with a completely unrealistic and crazy world you got used to it after a while but such a sharp contrast for me didn't work in places.My final few positives would be the themes, emotional weight and heart-warming ending. The movie had very emotional and thoughtful themes that were explored well, the themes about moving on when a loved one passes away but still holding them close was very deep and told extremely well with characters that you could connect and sympathise with, due to this the movie had a lot of emotional weight, it was absolutely heart-breaking to see how badly the main character reacted when her father moved on despite understanding you also could understand Fefe and why she was reacting the way she was it was all handled very delicately and subtly to perfection. And finally the movie had a very heartwarming ending, there wa satisfying and heartfelt character arcs for everyone, and to see the new family form but the mother being such a big part with visual metaphors it was just handled beautifully.Overall despite some tonal issues, over the moon is an emotional, well thought and fun adventure for all that has some of the best animation I have seen with a heartfelt message that will hit home with a lot of people."
9,"The animation starts really well. The animation, although not as impressive as Disney or Pixar, was still really beautiful. The setting for the story really draws you in. The characters are likable. Up until the point of FeiFei's journey to the moon. The setting is just awful to look at. The whole popstar Chang'e thing was just awful. Why was it there? I don't know, but it was completely unnecessary and jarring. Speaking of the songs in this movie - they are just not memorable. Again it just reminds you how much better Disney is at creating musical pieces which grip you and stay with you. Perhaps it would have been better to just leave out the singing. Especially the pop numbers. From that moment on the characters become kind of bland and lose me. Their motivations are questionable. The pacing is all over the place. I just couldn't wait fir the whole thing to end. It could have been a great movie but it's like they run out o steam mid writing and animating and it just turned into awfulness. I'd rate it between 4-5. Gave it 5 stars for the strong introduction to the story."
