,0
0,"Took the grandkids to this movie...they didn't think it was very good. It seems like something that was produced for the dollars it could make rather than a story that needed to be told.The good: it was not very long. The colors are brilliant and visually stimulating. Max was remade with a little more of a fun personality.The bad: Grinch somehow seemed wrong. I'm not sure if it was the voice, the artistic effects, or just a general un-Grinchiness. The story was a retelling that didn't need to be. The biggest negative is the feeling that this movie is forgettable.I'm sure I'll never watch it again. I've watched the original about a billion times, and the Jim Carrey version nearly the same.Bottom line...save your money and rent it later."
1,I just didn't like it. I love the book I read it from November onwards every year to my kids. I love both the older versions but this just got diluted down until it was a poor version of a Christmas movie. The odd funny moments but nothing else. There was nothing mean or awful about the grinch at all he was quite nice to begin with just a lonely sad man who needed friends
2,"They picked the absolute worst voice for the Grinch. Also the Grinch didn't even seem bad. In fact, its like a five year old would have considered this movie less than a G rating. The Grinch is known to have a hard stare and grin with a rough voice. They ruined this version."
3,"When the movie ended, I looked over at my family and asked ""did they even sing the grinch song?"" which I was highly anticipating with a fun, new modern edge. my nephew responded with ""it was a remix and not the whole song"" what?! Jim Carey made an entire scene out of it! This movie was a let down. Can they stop remaking movies if they're going to be lazy and unoriginal about it? The Jim Carey one and the original Grinch are way better than this"
4,"Illumination is a studio known for producing gutless, boring, paint-by-numbers, mass appeal movies that focus more on cute gimmicks and marketing than they do on actual storytelling and character development. If you've seen anything else from Illumination, you practically don't need to see this movie, because you can probably just predict every scene in your head and just about get it right. While The Grinch isn't Illumination's worst, it's still a thoughtless and emotionless product only meant to sell toys and theater tickets before charm and charisma.Benedict Cumberbatch's Grinch is boring. I do like Cumberbatch and I did think he'd be great to voice the Grinch, but he's terrible in this movie. His voice doesn't match the character whatsoever, and does nothing to bring the character more to life. At least Jim Carrey put energy and emotion into his performance, whereas Cumberbatch sounds like he's disappointed about the small paycheck he's just been given. The Grinch himself is written in a way that pulls all punches and has to cave in to cutesy kids logic instead of a clever way that tells a good story. Instead of making The Grinch actually funny or interesting, they make him the typical 2018 grumpy hipster who's a good guy at heart but just needs his morning coffee. Making him a mostly good character really undermines the climactic payoff of him finally understanding the meaning Christmas towards the end.Sadly, both the character and the overall movie as a whole share the same problems; it's boring, uninspired, and vanilla. Much like the character, the movie sucks out anything interesting in favor for playing it safe and selling toys. The music is even done by rapper Tyler The Creator, and even as a moderate fan of his work, the music here is terribly uninspired and obviously an attempt to make the film more hip. Most of the jokes are entirely predictable. Actually, the entire movie is predictable. I don't mean we've seen the original movies, I mean the film follows every generic story you'll ever see in a kids movie. The film feels more like it was written by a computer and less like a team of engrossed screenwriters. One of the film's running gags is the ex-popular 'screaming goat' meme...seriously, I thought that meme stopped being funny in 2013.Truthfully, this film is not the worst thing to come out of Illumination. It may not be a good movie, but at least it doesn't completely bastardize and miseducate its message like The Lorax did, and at least it isn't as excruciatingly for-the-masses as Minions or The Secret Life Of Pets. The Grinch, as well as every single other Illumination Studios movie, is like a cute untamed puppy; it may urinate on your rug and chew up all of your shoes, but it's cute and looks at you with big puppy dog eyes and does silly things, so you don't punish it and let it slide when it really shouldn't be forgiven so easily. When are we as an audience going to stop letting these thoughtless movies slide solely because of their cuteness? Regardless, moms and kids alike will continue to enjoy these movies without the slightest care, simply because it's cute and nothing more."
5,"If you've seen the trailer you've seen the whole movie. It's funny, yes, but the trailer ruins it as it has included every single joke from the movie."
6,Worst adaptation of the grinch ever made. Stick to what you know and what people love....the original cartoon. Too much overacting.
7,"Anyone who gave this a bad rating clearly is just upset because, they don't like a modern Grinch because they grew up with the original classic Grinch cartoon. This movie was one of the most adorable and fun feel-good animated movies I've seen in a long time. Benedict Cumberbatch killed it as the Grinch and, all the gadgets and grandeur of the grinches holiday heist scene is so creative and colourful and fantastical! This is one of the greatest Christmas movies of all time up there with Nightmare before Christmas. This movie was a joy to watch and if you couldn't find joy in this movie maybe, you're the Grinch."
8,"It is the classic story of The Grinch we all know so well. So yes its predictable, yes we know what's going to happen and how it ends, but even so it was a joy to watch and the kids really enjoyed it. This version of the grinch is a little less disgusting and you see a bit more kindness from him, which I liked. It had quite a few laughs and some very sweet moments. I personally liked it better than the Jim Carry version. But nothing beats the original."
9,"The movie was a drag, the grinch looked way to young and always acted like he had regrets about everything. The narrator voice and singing were horrible. I wish I could just get my money back. It's good for little kids or people who don't really care what a good story is."
10,"I honestly do not get the impressionable casuals who say that any critic who dislikes a movie they like is wrong. Using that logic, YOU'RE wrong for liking it. But that's not true, because it's all subjective. With that out of the way, allow me to explain why I didn't like this movie:It's dull and boring. It's not interesting, it's only funny in certain places and even then it only resulted in a small smile. If what's advertised to me as a comedy movie isn't that funny to me, I think it's failed as a movie. This could've had the potential to be a pretty decent movie and it's not the first time Illumination has done a Dr Seuss movie. Expectations weren't exactly through the roof, but I expected them to do so much better than this. The animation is pretty good, as expected for Illumination, but it can only dazzle me for about 5 minutes before I realise how dull and uninteresting this movie is.Again, if you liked this then good for you, but I just can't enjoy this movie."
