,0
0,"This is a beautifully crafted piece of work from Francis Lee and Stéphane Fontaine that depicts the rather downtrodden existence of 19th century English paleontologist Mary Anning (Kate Winslet) who spends much of her time combing the beach for shells and fossils that she restores and sells in a small shop she shares with her ailing mother (Gemma Jones). The arrival of the enthusiastic Roderick Murchison (James McArdle) and his wife Charlotte (Saoirse Ronan) changes her pretty breadline, dreary, routine as he, initially, pays her to show him how to spot the ammonite but then leaves his poorly wife in her care to recuperate from an as yet undefined malady. The story is essentially about how the two women bond, and about how that bond intensifies and it features two very strong performances from the leads who struggle with their delicately smouldering relationship. Together with Lee, they manage to deliver a sense of their longing in a largely un-passionate - yet not sterile - fashion. The snag is that the film really, really, lacks pace and characterisation. It's not that is needs to be a full-on sex-fest, it's that their dialogue is sparing to the point of frugality. Why do they bond? At times their affinity is hard to fathom; terse even - and there is a maternal affinity that seems to compromise the potency of their chemistry as people who are falling in love. There are a couple touching contributions from Fiona Shaw and Gemma Jones (sort of reprises her role from ""God's Own Country"" (2017)) and there is an explicit swipe at the male-driven scientific community that did it's best to discourage/ignore the obvious skills possessed by Anning, but as a film for the big screen it just lacks depth - we are left to guess/assume way too much and it left me feeling just a bit empty."
1,"The first word that comes to mind when reviewing Ammonite is implicit. The only other review (at the time of writing) laments the lack of explicit sex scenes. There's no need for them; this is an understated love story, not a porn film. The sex scenes are few in number, but shot with delicacy and restraint. In fact, very little of this movie is explicit. An awful lot is left to the imagination of the viewer. Back stories are hinted at, touched briefly upon and only once filled in. Even the ending is left to us to imagine. Implicit, rather than explicit, is the watchword for this movie. The performances of the four female leads are in the same vein. Subtly acted throughout; never overdone. A really beautiful movie."
2,"This is a beautiful minimalist film. People call this movie unpassionate, but they have missed the sublety of what's going on. Every look, every touch, every moment, every sound, and every silence means something. I love this film for what it is. My only caveat is that the girl meets girl but has a husband/boyfriend trope has been beaten like a dead horse. Why can't two women just fall in love without there being a man involved? Other than that, it's a beautiful film. I get it."
3,"It's nice and full of emotions. The story is beautiful and flows beautifully with a very good pace and great characters development. The performances by both Kate Winslet and Saoirse Ronan are so strong and Oscar worthy. The movie has some beautiful deep lines and also full of beautiful loud silence. Cinematography is stunning with many beautiful sceneries. Sets and costumes are nice too. Although the movie is so nice and I truly love, I still could feel that it's not new or original to me."
4,"I enjoyed the film. I didn't enjoy fictionalising a real person. Having a pop at yesterday's moral's and how they still impinge on us today is something that could have been done without hijacking a real person. A real person who deserves her story telling properly. Even the BBC article I read said this film wasn't a gender issue film, it was a class issue film, with many men and women suffering what she suffered. If anything gender was a side issue. The gender issue would have been an issue within it's own class, not across classes. But they want to lose that because it doesn't fit the modern tick box exercise and all us working class thickies wouldn't be capable of putting two things together. In fact the same insult is levelled at us still!Maybe I'm being a little harsh. That said, I really enjoyed it as a film. The pace reflected the situation, the acting was brilliant, Kate Winslet expression was a brick wall, but when she eventually succumbed to smile it was beautiful. The story was gorgeous.My criticism lies with the writer/director for picking Mary Anning name to write fiction against. If you are writing a film about her, actually focus on her life, yes you can embellish, but embellish the truth, not that it would need that."
5,"Ammonite excavates the depths of intense lesbian romance. Strong acting would be an understatement. There are a few twists and turns along the way, some of them even predictable but Winslet's authentic performance as her meticulous, passionate character along with the performance of Ronan, keeps us rapt. The film has a captivating cinematography with stark physical beauty and colour palette of the beaches, sets and constumes. However, despite the plot being quite stretched out, Director doesn't fails to deliver a heartwarming and memorable experience."
6,"Ammonite is one of those rare movies that tells its story with minimal dialogue and an exquisite attention to detail.Every aspect of the complex art of storytelling through film is finely attuned to the weaving of this tale, and Ammonite accomplishes this with a delicate and light touch that allows its world to breathe.We experience the visceral windswept beach that animates the life of Kate Winslet's character, Mary Anning, and breathes life back into Saoirse Ronan's character, Charlotte Murchison.There is a bleakness, it is a cold and hard environment, but Winslet and Ronan make it real and bring warmth with two extraordinary performances marked by keen observation and subtlety.Director Francis Lee has crafted his world with great care using every aspect of the medium to full effect - the result is a work of art, a thoroughly engaging movie, a study of life.9 1/2"
7,"Ferociously slow and meandering, lacking the passion and emotion of its contemporaries and a little too long for what it bestows - which is a rather stale tale of two lost and lonely women, one of which has had their flint removed and couldn't catch light if you dosed her in kerosene and dropped her into the sun. There's always, at least, a little optimism, even in the darkest shadows but seemingly not here. Altogether a little too bland and hopeless, albeit with some talented ladies taking the lead."
8,"Similar to when a meeting could've been an email, this movie could've just been a 10 minute short. I was incredibly bored for most of it. A movie with Saoirse and Kate should never be dull to watch, so the blame falls on writer/director Francis Lee for letting these incredibly dynamic women feel wooden and stuck in molasses throughout this story."
9,"Despite great performances from the lead actors I found the film a bit of a disappointment. If you are looking for a spot of geography, geology or paleontology in this film then forget it. West Dorset's ample scenic charms are largely ignored, the rock scapes are minimal and the fossils become somewhat secondary. Even as a biography the representation is highly spurious and misses key parts of Anning's professional achievements. But if a cold Victorian lesbian love story is more your thing then you may enjoy it a lot more."
