,0
0,"I really hate to say but this movie was an absolute chore to watch for me.This should have been a movie that I enjoyed. I love older films and I love learning the history about the production of films but Jesus h Christ this was boring.First I will say that this movie is a technical masterpiece. It is so carefully crafted and well made that it honestly could have been made in the 40s. It looks and sounds so much like them old films. I have seen other films try and capture that old Hollywood essence before and they tend to just flop but this really understands that era and is just a marvel. I definitely think it deserves nominations for sound and cinematography.But that is kind of where it stopped for me. The story is just an incoherent mess and is just so sluggish. I think the writer thinks Mank was a much more interesting person than I do.Speaking of the writer, it is The directors father and I think that was an issue. It's lovely that he wanted to make this film that his dad wrote and honer him that way but I think it sort of blinded him to the dullness and messiness of this script.The film structure is sort of a parallel to Citizen Kane with its use of flashbacks to tell the story but it just gets jumbled up in scenes of nothingness.The acting is pretty good but the actors don't get to do a lot with these characters.You may like it if you enjoy old movies and know a lot about that time. You could get enjoyment out of spotting references or people from that time but I don't know I just found it so dull and I really wanted to enjoy it."
1,"1940. Film studio RKO hires 24-year-old wunderkind Orson Welles under a contract that gives him full creative control of his movies. For his first film he calls in washed up alcoholic Herman J Mankiewicz to write the screenplay. That film is Citizen Kane and this is the story of how it was written.I was quite excited at the release of this movie. Citizen Kane is one of the greatest films of all time and the making of it deserves a movie. And here we have it, directed by the great David Fincher (Se7en, Fight Club, Zodiac, The Social Network, Gone Girl, The Curious Case of Benjamin Button) no less and with a good cast - Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins. Surely a recipe for a masterpiece?Unfortunately, no. On the plus side, the story is reasonably interesting and the cast put in solid performances. Fincher's direction is spot-on, with the black-and-white cinematography an homage to Citizen Kane.However, the plot is never very engaging. The story never really finds a centre and pretty much drifts along. It's not dull but has a listlessness to it nonetheless. The flashbacks, while adding information, don't help the momentum either, resulting in a start-stop feel to the main plot and a bit of confusion at times.The conclusion is also a damp squib and is disparaging to one of the greatest creative forces in the history of cinema. It smacks of trying to make a controversy out of nothing.Overall it's okay, but nothing more."
2,"Citizen Kane is a name often thrown around as one of the greatest achievements in filmmaking. And to be honest, it is a work of art which is a must see for film fans. When news came out that David Fincher was making a movie about the writing of Citizen Kane with Gary Oldman as the main star, I was curious about it. This morning, I sat, watched and wondered what was the purpose of this movie?You must be an absolute fan of 30s hollywood, know the names of everyone who worked back then and really care about the little snippets of Citizen Kane's background history to admire this picture. If you don't tick all 3 of these criteria, you are highly unlikely to enjoy or even endure it. It is a film about the writing of another film and if Fincher's name wasn't attached to it, most people would have never even noticed it.I don't particularly hate this film, just find it extremely niche, self-absorbed and average. Despite formidable directing, there is nothing Fincheresque about it, just a black and white movie with decent visuals and respectable acting. The film lacks intrigue, drama or anything human to keep you engaged for 2+ hours. The movie drops random names, jumps in time and crawls at a turtle pace thinking that the audience cares about the inner workings of MGM studios and California elections in 1930s.While Citizen Kane is a highly enjoyable classic, Mank on the other hand, is extremely full of itself and is nothing but a high class Oscar bait. It is one thing to make an artistic film but it is a whole different thing to make a monotonous story without a heart that requires the audience to have an encyclopaedic knowledge of 30s Hollywood. I hope people who are giving it 10s and 9s are being honest with themselves.Movies.shmovies on Instagram"
3,"Very well made movie, great acting, but out of the more than 2 hour runtime I cared about the story for about 20 minutes. A lot of effort went into this, could have been about something a bit more interesting"
4,"I'm a huge fan of both ""Citizen Kane"" as well as David Fincher's films, so I was extremely excited to see this. Because of how much I enjoy Fincher's films as well as how good the trailers looked, I wanted to (safely) see it on a big screen rather than wait until Netflix. Needless to say, this is a good movie, but not a great one--and it does not quite live up to the quality one would expect from a Fincher film.The story focuses on Herman Mankiewicz (Gary Oldman,) the screenwriter who worked--often tempestuously--with Orson Welles to write ""Citizen Kane."" However, the amount of time the film spends on material related to ""Citizen Kane"" is relatively little. Instead, the film tends to focus more on Mank's political activity, personal life, ascent into the movie business, and alcoholism throughout the 1930s. Oldman does a good job playing Mank, and is completely believable in the role. As one can expect from a Fincher film, the editing and cinematography are top-notch. The stylish, black-and-white aesthetic that feels both slightly understated (in the best way possible) and posh is beautifully complemented by a relatively steady camera and editing techniques common to films of the 1930s and 40s. The screenplay is generally well-written as well, although it doesn't feel as taut as you would expect in a Fincher picture, and the leisurely pacing is very well done.Despite these strong qualities, ""Mank"" unfortunately is not quite great. The film develops Mank as a character, but he is portrayed in too static of a manner to really make for an engaging protagonist, or even one that can simply have clear ripple effects on the rest of the film's narrative and the characters around him. His characterization is not especially interesting. Fincher probably uses flashbacks a bit too much in the story, as many of the flashbacks to the early 1930s don't do too much to provide additional context to Mank as a character or the time period as a whole. Also, the supporting characters (such as the roles played by Amanda Seyfried and Lilly Collins) are not especially well-developed. As a result, the film doesn't completely work as a character study. However, it is still a generally well-acted and well-shot depiction of early film history that is worth seeing for viewers interested in the subject matter. 7/10"
5,"I was so looking forward for this film but it turns out to be really disappointing. Well, it's so beautifully artsy with amazing cinematography, many stunning shots, beautiful locations and costumes, awesome Hollywood vibes, and brilliant performances by everyone. But unfortunately all of that didn't save the movie because of its bad script. The plot is incoherent, messy, and disturbing. I really felt so confused at certain points. Mank is obviously a very well made movie but I hated it, it's just boring and uninteresting to me. What a missed opportunity!"
6,"Like Oliver Stone's ""JFK a masterfully executed distortion of history
Fine acting and cinematography, but no comparison to those of ""Citizen Kane.""Fincher's villainization in MANK of Welles as a plagiarist runs contrary to the facts. To quote Robert Carringer, the expert on the matter:
""A virtually complete set of script records for Citizen Kane has been pre- served in the archives of RKO General Pictures in Hollywood, and these provide almost a day-to-day record of the history of the scripting. Once this record is reconstructed and all the available pieces of evidence are matched to it, a reasonably clear picture emerges of who was responsible for what in the final script. The full evidence reveals that Welles' contribution to the Citizen Kane script was not only substantial but definitive (370)... ""Herman Mankiewicz's principal contribution to the Citizen Kane script was made in the early stages at Victorville. The Victorville scripts elaborated the plot logic and laid down the overall story contours (398).... The Mankiewicz partisans would have us believe that this is the heart of the matter and that by the end of Victorville the essential part of the scripting was complete. Quite the contrary... Major revisions begin as soon as the script passes into Welles' hands, and several important lines of development can be discerned in sub- sequent phases of the scripting. One of these is the elimination of dramatically questionable material, especially of a large amount of material drawn from Hearst. Another is a fundamental alteration of the nature of many of the scenes; this may be described generally as a shift from scenes played continuously to scenes fragmented according to montage conceptions"" (399). (Here, the evolution of Mankiewicz's rather humdrum scenes involving Kane and Emily into the film's concise, witty, montage is a perfect example.), Yet another is the evolution of Charles Foster Kane as a character. The principal strategy is the replaying of certain key situa tions and moments in his life over and over again as a means of testing and discovering the character (399)...."":Not even the staunchest defenders of Mankiewicz would deny that Welles was principally responsible for the realization of the film. But in light of the evidence, it may be they will also have to grant him principal responsibility for the realization of the script"" (400)."" (See Robert L. Carringer. ""The Scripts of 'Citizen Kane.'"" Critical Inquiry, Vol. 5, No. 2, 1978pp. 369-400; Also cf. The Making of Citizen Kane, 985).
More interpretively. Welles was preponderantly an adapter of others work, whether from Shakespeare, lesser classics or thrillers, whether for radio theater, stage theater or film. ""Citizen Kane"" can be viewed as Welles' adaptation of Mankiewicz's ungainly, 250-page ""American,"" his first ""script"" for ""Kane."""
7,"Much as I wanted to like this film, I didn't. Even if I love B&M movies of the 40s, sharp dialogues and I watched Citizen Kane at least three times.I liked the photography playing a tribute to Citizen Kane, with dark, cavernous, sinister settings and also the few moments when Tom Burke (as Orson Welles) was on screen, which was not often enough.We're supposed to believe that drunkard Herman Mankiewicz, brother of the more famous and accomplished Joseph, was actually the only scriptwriter genius behind C.K. The plot twist is that Mank used to be an entertaining figure in Randolph Hearst entourage, but the relationship turned sour and Mank wrote Citizen Kane as a revenge.Mank had a reputation as a witty man, but none of his scripts were successful and his career was second rate. However in Fincher's version, Mank takes center stage and writes the Oscar-winning script while recovering from an accident and temporarily drying out.The story is told in innumerable flashbacks from which you gather Mank was a resentful drunk who unleashed his sarcasm on everybody and thought he was entitled to a better career. Unfortunately, he seems moved only by envy and I felt no sympathy.Besides the occasional sparkle, since most characters in the movie are completely forgotten, it's hard to understand fully the circumstances. The only clear things are that Mank himself did not deserve a whole movie and 2/3 of this are a snooze-feast."
8,"After reading a few early reviews from some of the renowned film critics, who talked about Fincher's genius on one side and inaccessibility of the film to the general public on another, I became a little bit sceptical that this film would actually deliver. But did it deliver! The film is a technical masterpiece with a compelling story and career defining performances from Seyfried and Oldman! This film is Fincher's best work to date and one of the greatest films of the last decade! An absolute marvel of a film!"
9,"Fincher doesn't disappoint on the formal level of his latest movie, the reevaluation of the 30's and the Hollywood studio system is visually stunning and convincing. Acting is solid throughout. It's clear he shows the business as a morally corrupt system of mutual dependencies and exploitations. Manipulation on social and political levels leading into destructive and self-destructive consequences in almost every shown relation. I think the reason why it left me a bit indifferent, even bored in the end is, that the script often meanders in many aimless directions, when a bit more of focus and concentration could have tightened it up.
Not the masterpiece I was expecting, but maybe I was just expecting too much."
