,0
0,"The action plot is quite ok. The character build up is poor and the reason you hear at the end for Liam being a robber is just lame. Worst of the movie for me were the romantic dialogues. I really like Liam Neeson, but those romantic lines he had to do were just horrible."
1,"As discussed in my One Mann's Movies review of ""Cold Pursuit"", Liam Neeson has had a rather rocky PR road of late. But - unlike Kevin Spacey - he is clearly not being put on the naughty step by Hollywood, since he is filming/announced for five other features at the time of writing. His latest release - ""Honest Thief"" - has Mark Williams directing and co-writing (with Steve Allrich), and sees Neeson back on VERY familiar territory in an exciting and sometimes violent thriller.The nice concept behind the story sees Tom (Liam Neeson) as a hugely successful bank robber meeting the love of his life in Annie (Kate Walsh) and committing to jack it all in for love. Furthermore, not wishing to have to live with the deception and guilt of his hidden life, he determines to hand himself over to the FBI, along with the $9 million stolen cash, in return for a lenient sentence.There's a problem though: he's about the fifteenth person calling the FBI claiming to be the ""In and Out burgler"", so no-one wants to take him seriously. Boston area chief Sam Baker (Robert Patrick - the ""Terminator"" cop!) and his deputy Meyers (Jeffrey Donovan) casually put it on the ""to-do"" pile of agents Nivens (Jai Courtney) and Hall (Anthony Ramos).The best laid plans run off the rails in a big way though when Nivens and Hall investigate and find that Tom is the real deal.The concept here works nicely for a thriller, but the rest of the script is so formulaic that it's fairly and squarely a 'park your brain in the foyer' movie. For several of the actions and motives going on here, suspension of disbelief was required . Even given the limited competition in 2020, the script is in no way going to trouble the Academy.All that being said, Mark Williams has put together a tight and well-executed movie, not outstaying its welcome at only 99 minutes long. Even with the 15 year age difference, Neeson and Walsh make a believable couple (given that Neeson looks pretty good for his 68 years) and the chemistry between them is great. And for a pretty 'small' movie, the supporting cast is pretty impressive.Another standout for me was the cinematography by Shelly Johnson (whose had a busy year with the latest ""Bill and Ted"" and ""Greyhound"" under his belt). Boston - always a great movie location - looks spectacular, and the framing of the car chase action impressed me.For me, there was only one really dodgy element of the movie: the special effects used in a house explosion/fire. The budget clearly didn't stretch to using practical effects! More work on Adobe ""After Effects"" (or similar) was required here!Is Honest Thief worth seeing? - My expectations for this movie were pretty low. But I'm pleased to say that they were exceeded. Is it a masterpiece? No. Will I readily remember much about it in six month's time? No. But in rather a desert of new releases, this one was at least entertaining and I think it's worth the ticket price for a long overdue night out at the flicks. I'm willing to guess that my feelings were partially influenced by the sheer joy of being back in a cinema again... so I will temper my rating perhaps by a star here.(For the full graphical review, please check out bob-the-movie-man on the web or One Mann's Movies on Facebook. Thanks.)"
2,"Worse Liam Neeson Film 2020!
No one ever would do this ever!!! Ever!!! No one knows who you are?!! You've stolen money for over a period of a decade! 9 million to be precise! So You meet some chick and decide to turn yourself in and the money!Mean while no one is even looking for you?! You don't even know if this woman will even accept you after learning who you are & what you've done!
Don't know! Don't Care!..cause I didn't even finish watching this mess!
Stupid plot makes no sense!"
3,"I hated this movie. The characters where poorly written and contained rational logic and emotional logic flaws. The action is realistic when compared to a singke fact that nobody can shoot straight in real life but is not entertaining on screen and ruins a viewing experience. The characters portrayal and stereotypes where also off putting, they where all portrayed as fatalistic desperate losers. The tough guy personas was really odd, I will never make eye contact with those actors, in any private area. The production was great, the score was a little above tolerable but it mismatched the odd script. The movie did not give a homogenous feeling or a unified artistic sense. It seemed as it got dragged through being corporated out sourced, to make a quick dollar with no unified management."
4,There are many ways he could solve this matter. Simply record the audio and handed over to the police when he attacked the partner in police in his home garage. And also he could have given the security footage to Police. but he is going here and there and screw things up.
5,"You always know what you are going to get with a Liam Neeson film...good acting, good action and an hour or two of very watchable entertainment. Nothing less, nothing more. This is no different, but nothing wrong with that either. Look past the cringes, somewhat predictability of a theme done multiple times before and enjoy Liam Neeson doing what he does best (with Kate Walsh delivering a stellar performance as well)."
6,"I thought I'd see some plot twists, none. The movie lacks character development."
7,"Liam Neeson 2020 is no different than 2019, 2015, 2010, or 1995 Liam Neeson.
Don't mess with someone he loves and everything will be fine - if you do, we have yet another fairly generic film to add to his never-ending filmography.
Normally, I might have felt a bit fatigued by another familiar Liam Neeson entry...but we have been going through a pandemic for 7 or 8 months...and to sit in a theatre and watch Liam Neeson growl and get his usual revenge...it felt like the world was back to normal again. And for an hour and forty minutes, I forgot about all my worries.
The rest of the cast works really well. Kate Walsh plays the love interest well - and hold good chemistry with Neeson.
Jeffery Donovan stole the show many times, with his pouty take on the world and forced to partner with his his ex's pet dog - it wasn't a type of character I expected to see in a film like this.
Anthony Ramos and Robert Patrick round out the supporting cast well enough...and then we have Jai Courtney chewing up the bad guy vibes...which felt both entertaining and somewhat comical. His character may be divisive for some.
Over all, not a bad trip back to the movie theatre!"
8,Hell yeah! It has given me a vibe of Taken! Another amazingly crafted action film of Liam! I just love this man!
9,"This could've been much better, had producer-turned-newb writer and director Mark Williams seeked some guidance from seasoned filmmakers. Williams mainly has experience in writing for the <1 hour Ozark series, so trying to fill in a 99 min runtime slot wasn't done effectively with this film. The story was very predictable, with plot and technical issues, and felt dragged out, with not as much action one would expect from a Neeson film. Personally, I would've done much better with the ending (no spoilers), considering it had the perfect setup for the final ""shift in trust with the boxes"", especially when Mr. FBI was alone during all the meet-ups. I also felt Neeson wasn't enthusiastic with his performance and was there for the paycheck. Nevertheless, considering the slim-pickings of blockbuster films, this one was still a refreshing and adequate watch. It's a generous 8/10 from me."
