,0
0,"If only they had added ""I have a particular set of skills..."" it might have been better.Netflix advertises this film well showing Fabrizio Gifuni as a tough, no nonsense, 'get the job done' ex-military father who is central to the movie. Sadly though, the film didn't meet the hope or expectations I had for it.The good and the bad:
When the end graphic 'La Belva' (The Beast) is better than the movie, you know something went wrong.From a broad view the story is fine, even if it has been told many times: A young family member is kidnapped leaving the father to get them back.Fabrizio Gifuni almost looks the part, grizzled with an over the top beard. However, for a man who supposedly spent 30 years in special forces he is a scrawnyStemming from the last point, the only relevance I can see in learning he was in special forces for 30 years was to give the impression he has a 'particular set of skills which make men like him dangerous to people who might kidnap his daughter'. However, he doesn't display any more skill than a determined father who can handle himself.The film fails to develop the characters leaving the viewer not caring much for them. For example, we don't learn much about the young girl who is kidnapped other than her big brother leaves her eating chips at a table where, predictably, it all goes wrong.Typical to the Italian stereotype, the film has great hype but no substance.The negatives could go on, but it would be like shooting fish in a barrel (i.e. easy).La Belva (2020) is not a film I will remember, and much like Sabotage (2014) this review will be the only reminder I once saw it."
1,"Yes this movie is formulaic, but that's not what bothered me. Am I to believe that a 30 year veteran of the special forces is really going to be that bad at fighting? And also to show up unarmed (not even a knife?) to the compound full of criminals where his daughter is being held? And then to basically just get his ass kicked and accomplish nothing?I didn't think that the acting or cinematography were really that bad, it just would have made more sense if the protagonist was some ""average Joe"" rather than an elite special forces veteran if we're supposed to believe he would be as bad at fighting as he was.The ending also bothered me, like oh, it's great that he's prison because now he's finally going to get some group therapy? Doesn't track."
2,The action sequences in this movie are pathetic and the plot is totally unoriginal. Lead actor looks like a beast but fights like an out of shape old man.
3,The movie starts OK and then the plot becomes a mess... and the action scenes are boring. No need to view it.
4,"This movie is watchable, but not as good as I had hoped.
Guy just gets his ass kicked most of the time.
Should have gave the script to Scott Adkins."
5,"""The Beast"" as the title translates, doesn't really ring true.Akin to films like ""Taken"" (which is also implausible) the primary issue with this film is one of realism. The key protagonist is apparently a highly skilled, special forces operative. Yet his situational awareness is poor, as is his judgement. Of course, we are told he has PTSD. Even so, that level of experience becomes instinctive, so this is a thin excuse.He blunders into multiple hostile situations. His combat skills look more like those of a simplistic street fighter. They lack polish and precision. No one with that kind of background would go in unarmed, either. A hammer, a box cutter, kitchen knife, or even a crow bar, can make a huge difference.Just as improbable, his adversaries leave him for dead at one point, rather than finishing him off. All this after he proves he is at the least a tangible, if disorganised, threat.Acting by contrast, is excellent. The main character is believable but he's let down by a script that fails to seriously ask how a soldier with this degree of training and experience, would really perform in this kind of scenario.The outcome is a film that's more or less watchable but for anyone with any real training, it offer's up far too many ""yeah right' moments to be convincing.5/10 from me."
6,"Liam Neeson has held a tough guy/image of a father since TAKEN.
After five minutes THE BEAST starts I can see so many similarities.
But THE BEAST is missing one key element: the power of kick after each punch.
Movies like these are not just about the family/love bond, but also seek ""violence"".
The title is violent but not the content.
From many scenes I can see the actor is trying to catch breath which is something you don't see in Liam Neeson's.
BTW the soundtrack where his past is described is nice, trying to find the title of the song lol.In general, it's not bad but if you are looking for movies that can bring you excitement or help you shake off chose from reality then you may want to choose another one."
7,This movie was absolutely one of the worst movies i have seen. This movie was bad in all areas starting from actors.
8,This movie is so bad on so many levels that I actually had to come here and comment on it. Seriously Netflix?!
9,"Do not fall for stupid reviews. This is an amazing movie. A short, crisp and meaningful plot. People expected this guy to fight like a superhuman. But the fact is that he had PTSD. He had panic attacks. Director took care if that fact really well. This was justified well during his fist fights. He was tired but did a father's job. A beautiful message conveyed in this movie."
