,0
0,"I hate slow burn movies n trust me dis one aint a slow burn at all.
It is a western drama aided by solid performances n amazing cinematography and the film does have some very intense scenes.The dinner scene, the hotel scene with the axe n the final scene, they all r tension filled.Visiting a house situated in the middle of nowhere and that too inhabited by bumpkins/yokels is scary man.
Imagine the yokels served u dinner and u r particular with kosher/halal food."
1,"Like many I'm a BIG Costner fan. This one could easily have been a rugged but amiable Western drama, but, like the moth flying close to the flame it gets tinged by inflexions of horror - a disquieting experience for the unwary. The plot has at its center the 'kidnap by marriage' of aged Margaret and George's grandson, goaded on by another interestingly psychotic family of near in-laws, resembling to no small degree the Snell Family of Netflix's 'Ozark', though this time featuring North Dakota as that bastion of redneck eccentricity. On the good side, it's a terrifyingly real situation, acted out charmingly by Kevin Costner with his trademark reserve. But the movie was a little long, with those now clichéd tropes, the sort that better directors do well to avoid."
2,This was like watching Father Knows Best (salty version) meets MA Barker and her boys! It was a good story that moved along well with the beautiful backdrop of the mountains of the west. There was pathos and you connected with the characters. I like watching a movie geared towards 50+ year olds! Make more.
3,"The whole story is a short 30 minute film at best, but you have to sit through nearly 1.5 hours of exposition, as it meanders and wobbles its way to the end point. You know what's going to happen as soon as you find out the grandson and step daughter have left without saying good bye.The husband (Costner) gets pushed around by his wife. He should've known better, but she gets her way and ends up destroying many people's lives in the process. However, she managed to get by without a scratch. The horse shooting scene says it all, why did her husband have to do it, it was her horse, her responsibility.People may want to tell themselves she (Lane's character) is a strong independent woman, when in reality she's a narcissistic bully who manipulates everyone around her to get what she wants. At least Blanche is open and honest about being a bee-itch.The cinematography was good, the location was nice, and the acting was on point. The story was okay. Worth a watch if you have nothing better to do."
4,"'Let Him Go' is a tense and powerful movie. It's a slow burn to begin with but turns intense 'edge of the seat' white knuckle ride towards the end. A tremendous dinner scene mid way through is also simple fantastic. Great performances by all the actors especially Diane Lane, Kevin Costner and Lesley Manville... Lane especially is incredible and she carries the film beautifully. 'Let Him Go' is the Best Film of 2020 that I have scene - A truly wonderful masterpiece with an Oscar worthy performance by Diane Lane."
5,"Kevin and Diane make a good movie couple and they go good together in this western drama set in the 60's. I wouldn't say this is a thriller as almost all the scenes are predictable once they start and the pace is quite slow. The scenery is a nice touch for people who haven't seen the Alberta/Montana area but it's not a reason to watch this.For the most part I felt like I was waiting for the good part of the movie and then it ended and I was left still waiting. There are many scenes with dialogue that feels forced and it just make for an entertaining movie.For all the hype that the reviewers have been giving on here for Oscars and 10stars I can only assume that since the virus stuff has the theaters mostly empty, the studios are putting out their bare bones stuff. And that's what this movie is. Filler. Until things clear up and the better movies can be released upon a paying audience movies will continue to be of this quality."
6,"This new Western blends elements of noir, drama, and suspense to create a generally searing character study. Set in the 1960s, it tells the story of a retired sheriff (Kevin Costner) and his wife (Diane Lane.) Their young grandson has been spending time with his stepfather, whom they view as suspicious and is married to their son's widow. The leading couple leaves from Montana to the Dakotas to visit their step-family and try to get their grandson back, but things go south very quickly. The performances are generally powerful all around. Costner and Lane give clear emotional depth as well as a real sense of genuineness and urgency while in character. They feel haunted with grief from the death of their son, yet also proactively driven by a strong desire to ensure their grandson is properly treated. The film's cinematography of the Great Plains is gorgeous (although it was actually filmed in Alberta, Canada,) and the score is also quietly powerful.In the second half of the film, the dramatic tension is gradually increased both through the slow-burn tone as well as the dialogue. The film's gritty and slow-burn style may remind viewers of thrillers written and/or directed by Taylor Sheridan. Without going into any detail, suffice it to say that characters' instincts may be brought to a boiling point. However, the sudden and occasionally uneven increases in dramatic tension as well as violence do not always feel conducive to the film's tone. As a result, the film doesn't quite comment as starkly on its characters' behaviors or the nature of violence as thoughtfully as it intends to. The motivations of the characters are also rather predictable, and outside of Costner and Lane's characters, I did not find the rest of them to be especially engaging. Even though the characters are well-developed, the roles they play in creating some of the story's suspense are not inherently unique. That said, this is still a well-acted and well-shot thriller that should please patient viewers that know what they're in for. 7/10"
7,"I expected to like Let Him Go more than I did. While the cast was exemplary and the scenery was breathtaking, the movie failed to engage me more often than not. That's a pity. I won't be recommending it to others."
8,"The beginning of the movie is an excellent use of ""show; not tell"" as the dialogue is very spare. The settings are fabulous.The story is really about Diane Lane's character. Her love for her family and what she will do for it.The Weboy family is really evil and very convincing.Lane and Costner are exceptional.The little boy in the movie is now about my age so I really connected with him and his mom.The third act is action packed.I loved all the period details including the Red Owl store in Montana."
9,Okay so I'll say ive seen a lot of movies in very different ways than I'm used to however this is a movie I saw in theaters but it's most definitely one of the absolute best movies I've seen this year it's action packed and to the core so much fun very brief swearing which is another plus I say this isn't a sweet happy Thanksgiving movie for family's but it's a very very good movie for those looking for a action packed good time at the movies I highly recommend it
10,"Some problems I felt with the first half of this movie (before they went on their quest). There were problems with the flow of time. It just seemed like the movie kept jumping around, it was hard to get a sense of when things were unravelling. I mean, I guess that whole wedding thing was meant to be a surprise, since it looked like they were getting dressed for a funeral, but it was just too big of a jump without a good transition. Secondly, some of the dialogue felt like it was being stretched out with either long sections of silence, or for whatever reason, a character would take forever to finally bring up a point or issue, rather than saying it immediately (like a normal person would). The last thing is they never really say what happened to the son. At certain points throughout the movie, it almost felt like it was supposed to be a murder, with an unknown motive (to get the wife to marry a new person? To take over the horse business?). It just felt like they were dancing around it without really saying what happened, or how it really affected the family. The title 'Let Him Go' - was that meant for the Diane Lane's mother to let go? Is that final scene in the burning house supposed to be the 'letting go' moment?
Then the movie changes gears into a Deliverance meets Wind River (the finale), done in a Western style movie. They introduce the native american character, but after finishing the movie, it's almost like he wasn't really necessary. Other than providing the horse near the end. It felt like his character was shoehorned into the film to touch on another issue for the sake of raising it.
At the end in the final confrontation, it was a bit sloppy. I'm assuming the second son running up the stairs was shot dead, because mama had originally told him to go out and get the daughter-in-law. I guess Donnie Weboy died in the fire, even though he was cold-cocked by Costner's character with the barrel of the shotgun. And for a household that was supposedly hard to find from the main road, they had no issues leaving it, and going into it again, in the dark.
Lastly, it seems like they reference Costner's characters history as a lawman many times, but there doesn't appear any payoff, other than the scene at the police station where he asks the other officer to look up Donnie Weboy's family. But he could have done that if he was a well-respected friend of the sheriff or some other known person in town. The cop angle, with the service revolver, seemed unnecessary, and felt like it was done as a setup for something bigger that never pays off.
I got to see this in the theater, so that was a plus. But you may find yourself fast forwarding through many parts, especially in the first half. An okay effort, but it doesn't feel like it was developed really well. More padding just to get it close to the 2 hour mark, and sadly hints of ideas or directions that never materialize."
11,"And I should've listened.The start is rushed and although you get some foreshadowing with the pushy grandma/pushed out daughter-in-law behaviour it left me with no real reason to care about the daughter-in-law. The grandma is annoying in general with her it is all about me behaviour. There is some nice tension, similar to the kind you'd find in a Shane Meadows film, when we finally start meeting Weboys but then we meet grandma Weboy and what a ridiculous character she is. After this meeting everybody's terribleness meter is cranked up to 11 (the policeman in the local hospital being peak we are evil here.)Then the ending. I get that we are meant to see how a guy who can't hold a bowl anymore is so moved by his wife's pain that he decides he has to get his son's son back but I'm pretty sure he would've just stayed in bed if we wanted to stay anywhere near a rational human. Yeah, yeah I know its a film but it was so dumb. The big fire did look quite nice, though.Personally, the film I wanted to see was Mr. Gruff and Mrs. Annoying inviting Pete back home after they first meet him and their new life together skinning animals and breaking in horses.This year has been pretty terrible for films. Vivarium is still the worst I have seen in 2020 and this is a lot better than most from this year but that still doesn't make it a good film. It drags in places, the story is paper thin, and it does get pretty ridiculous.A 4 feels about right."
12,"The stupid wife would prefer sacrificing her husband for the estranged daughter-in-law and grandson is so ridiculous! ""Let Him Go"" in the end means to let her husband go as the horse is such a stupid title that just makes me sick! I don't think my wife would prefer sacrificing me for anybody. We both cursed loudly after the movie ended. One of the worst movies ever viewed during the pandemic lockdown at home!"
13,"Let Him Go is a western-gothic crime thriller with a North Western setting and some resemblance to vintage oaters like The Searchers. The search has elemental film roots with mental and physical violence enhanced by Leslie Manville as a bad grandma and her wicked sons.It's fun to see the bad guys get roughed up. It's also satisfying to see the searching-for-family motif of contemporary super-hero films played out in the Western plains even if it was filmed in Calgary. The craggy mountains and little towns complement the late fifties setting when love and crime occur in simple but stark ways.Retired Montana Sheriff George (Kevin Costner) and his wife, Margaret (Diane Lane), search for their grandson, Jimmy (Bram Hornung and Otto Hornung) after the death of their son, James (Ryan Bruce). Former daughter in law Lorna (Kavli Carter) has left abruptly with new husband, Donny Weboy (Will Britain), and grandson, relocating under duress to North Dakota and his family- Weboy territory where matriarch Blanche (Manville) wields absolute power. Very bad move. The chase begins.Lane and Costner are in top-aging form, tough and tenderhearted enough to fight the Weboy clan for the grandson. This is a different, more nuanced role for them when they were Superman's parents. Let Him Go adds an authenticity to the thriller formula by emphasizing the devotion of the loving couple to each other and their quest to keep the family whole, or at least provide a fitting family life for their grandson.The usual Western tropes apply like the corrupt sheriff, bad grandma and sons, the kind stranger, the tough mother, and the epic ending battle. What goes beyond the formula is the sincere love propelling the plot and corralling our hearts. And, of course, the fully-seasoned Lane and Costner.Let Him Go is much more than the genre it represents."
14,"Great acting. excellent screenplay, lovely to look at, but as far as Iam concerned awful ending. For all its production values, I could never watch it again, or recommend it."
15,"Greetings again from the darkness. Diane Lane and Kevin Costner reunite on screen, only this time it's not as the earthy and earthly parents to Superman (MAN OF STEEL, 2013). Instead, this film from writer-director Thomas Bezucha (THE FAMILY STONE, 2005), based on Larry Watson's 2013 novel, features the two stars as long-time married couple, Margaret and George Blackledge, living a peaceful existence on their Montana ranch. Well, it's peaceful now, as George is retired from his career as a lawman.Their son James (Ryan Bruce), his wife Lorna (Kayli Carter, ""Godless""), and young son Jimmy live on the ranch with Margaret and George. Grandma Margaret's devotion to her grandson and judgmental nature sometimes crosses the line, creating quiet tension with his mother Lorna. George's trained eye sees it all, but he mostly keeps his thoughts private, although the communication he shares with Margaret is often through a simple gesture or nod. Their chemistry is one that's only built through time (and fine acting).
When a freak accident leaves James dead, we flash forward three years as Margaret and George attend Lorna's wedding to Donnie Weboy (Will Brittain, who was excellent in this year's BLOW THE MAN DOWN). George senses that Donnie does not possess the highest moral character, but Margaret is hit hardest by the newlyweds moving off the ranch and taking her beloved grandson with them. Concern escalates quickly when Margaret witnesses Donnie being physically abusive to Lorna and Jimmy, and then he relocates them to North Dakota to be near his family ... without so much as a warning or goodbye to Margaret and George.Crossing Grandma Margaret is like kicking the hornet's nest. Poor George arrives home one day to find the car packed and Margaret on a mission to bring Jimmy home. George's feeble attempt to reason with her fails (as he knew it would) and the two are soon on the road through some gorgeous countryside captured by cinematographer Guy Godfree. Along the way, they cross paths and befriend Peter (Booboo Stewart), a Native American who deserted ""Indian School"" for a life of solitude on the plains. It's also on this road trip where Margaret and George are inundated with every possible warning about the notorious Weboy clan of North Dakota. No specifics are provided, but the message is clear ... no one messes with the Weboys.A tip leads the grandparents to Bill Weboy (Jeffrey Donovan, ""Burn Notice""), and he provides living proof that the Weboy clan is rotten to the core. Behind an evil grin, Bill invites Margaret and George to the family ranch for dinner and a visit with their grandson. At the ranch, we are introduced to the twisted matriarch, Blanche Weboy (Lesley Manville, PHANTOM THREAD, 2017). This meeting of the families is about as tense as any we've seen on screen. A clash of good versus evil is always welcome, which makes it so disappointing that a film so stellar to this point, abruptly shifts from an intriguing psychological thriller into a ludicrous circus of violence, poor decisions, and absurdity.There is a lot to like here, before it spins off the axis. Diane Lane is ferocious in the role, and Costner is very effective as her 'still waters' husband. It's a hoot to see Ms. Manville lose her British accent and go over-the-top as nasty Blanche, and the early 1960's setting looks great, including the vehicles. As mentioned before, the scenery is breath-taking, with Alberta (Canada) standing in beautifully for Montana and North Dakota. Composer Michael Giacchino is more accustomed to working on superhero and animated movies, and the score is often distracting in the first half, but fits better in the final act. Brace yourself for a couple of tough to watch scenes and a jarring tonal shift."
16,"Simple plot with too many side stories. Who's the Indian boy? Just shows up, for what purpose? The Costner character was a lawman, why didn't he use the law to get the kid back? No husband would let his wife run amok. They go to his hotel room, cut off 3 fingers, self defense? Could have been good, actually funny in some parts. Next time stick to the script."
17,"This is a strong film and a special one I'd say. How unusually unsatisfyingly it unravels, but yet you still totally want to see what happens next. The film is authentic feeling enough to really drag you into it, whether you like where it's going or not. I think for most mature audiences, it will affect them in this way for the most part. Thankfully this is not just another predictable Hollywood film. It certainly isn't unfamiliar territory, not at all, but it's certainly far more uncompromising and the characters are more realistic than most modern Hollywood films; And therefore the film is a breath of fresh air on this basis alone, even though the movies atmosphere is somewhat stifling. It seemed to me that this role was absolutely perfect for Diane Lane at this stage in her career/life. Or is it that she just totally embodied the character and nailed it? Definitely both! In my view anyway. And the Oscar goes to...if I was handing them out. She was amazing in this. I would even venture to say one of the better female performances I've seen out of Hollywood in the last many years. She was that good, and the part was also a pretty interesting one. Subtle and intense I think describe her performance the most accurately. Costner was definitely very understated and subtle himself in another very strong performance. My advice to those with mature viewing eyes, don't miss this film! Best I've seen so far this year.8/10"
18,Great acting. Absolutely amazing scenery. Diane Lane and Kevin Costner are both two of the best actors today. It makes this movie worth seeing. It is refreshing to see a movie void of special effects and one that relies on great acting to carry it. The story also was first rate.
19,"Dont believe the hype reviews about this MEH film. Diane Lane and Kevin Costner played the roles of two grandparents you just wanted slap and ask, WTF were you thinking? The story line was weak, the build up was off and the ending was ridiculous. The best part of the film was the score. I'm not sure what these other reviews are even talking about, especially saying Lane deserves and Oscar for this role....huh? Overrated reviews made me want to watch this MEH film. Dont believe them, this film was just ok"
20,I'll make this short and to the point. This movie sucked. So many things were weird and stupid. The writing was definitely from a beginner with no imagination. Kevin Costner(who is the best actor in this movie) had very few lines as if he had an issue with talking. They made Diane Lane out to be some sort of 70 year old sex symbol - totally weird and completely unrealistic. Diane's acting was bad. The story is about taking back a grandson that is possibly abused by his step-father. Costner and Lane go on a road trip and literally show up with a chip on their shoulder and make a bad situation so much worse. The entire story is unrealistic and stupid. This movie is close to 2 hours long - yet there is no substance due to crappy writing. Bottom line - stupid movie.
