,0
0,"I started this movie with little expectation, and found a hidden acorn. I really liked it, it was not just ""wrong turn"" movie the story had some substance. Acting was good and the story moved along with some twists and turns. Worth watching."
1,"I stumbled upon this movie but was worried about any graphic rape scenes that are included in so many of these type. I think it was very well done. There was action, drama, lots of twists and the acting was good. I really enjoyed just a great drama and thriller without the extra gore many other titles bring. It is definitely worth renting."
2,"I'm glad I gave this a try. After the first few minutes of yelling at the screen for her to do this not that (!) the story settled in and held my attention. All the actors were believable and I was hoping the formula was going where I thought it was because, you know, revenge is sweet! I recommend this one as a good Saturday afternoon kick back and watch an entertaining tale."
3,"Read the mixed reviews on this but decided to give it a go, yes it's been done a million times over but have to admit, quite liked this one.I never give too much away, if i review anything but please give this one a go, i think you may be pleasantly surprised."
4,"Once again,the whole premise of the movie is based on the fact that the main character has to be a complete idiot.Maybe that's the theme with today's lack of common sense in people?1) gets off highway to get past traffic. Fine, but follows ""google maps"" to a dead end. Instead of turning around and retracing her route, she continues until the road becomes nothing more than a path.
2) Stops,gets out of the car to read the map. Who the hell does that when it's cold outside? You sit in the seat, spread the map out in front of you and figure out where you are. DUH
3) Gets stabbed, runs away. Fine, Removes sweatshirt to patch stab, then leaves it behind. DUH
4) runs around for hours without tending the wound. Removes socks to treat wound the next day, removes socks to check, runs away yet again leaving ""bandage"" behind.
5) sees car wrecked by pursuers. Doesn't bother getting warm clothes, more items to bandage wound, immediately grabs phone and wanders around like a moron with her arm in the air looking for a signal once again, ignoring the wound in her leg.I'm only 30 minutes in, I'll keep watching to see what other idiotic things she does."
5,"Rust Creek is a good little drama/thriller. The story is pretty good. The directing, cinematography and acting are good. I don't remember any cringe-inducing moments where supposedly smart people do dumb things to move the plot along. And if there's an intended female empowerment message it's not obtrusive.I know that in our current overly PC culture we have a few movies that are thinly-disguised excuses for male bashing (I'm looking at you ""Bad Moms""), but this isn't one of them. The main (and only) female character is smart and brave but not unrealistically so. She worsens her situation by making some understandable mistakes. The three bad characters are made up of two men who are truly vile and one guy who, if left on his own, would probably make kinder choices but he's too stupid and weak to not go along with the other two. That's it for the bad men. All the other men have admirable character traits with one whose desire to fight injustice and protect the main character rises to the level of heroic.This is a good movie made by competent people and I would recommend it."
6,"Rust Creek was a thriller that managed to transcend the genre. The plot had sufficient intriguing twists and turns. More importantly, the main characters were well-acted, and they quietly engendered a strong sympathy. The screenplay was intelligent and well-crafted. The ending was unusually well-done, particularly for this kind of movie.."
7,"Having said that this isnt really that bad but its not really that good either.I was hoping for a gruesome Wrong Turn clone but sadly not!Some good acting, I have always liked John Marshall Jones and he puts in the best performance as always but the story has been done to death a hundred times before and there is no suspense or real drama.Its pretty standard TV movie fair you would find on a wet Sunday afternoon on Paramount channel."
8,"This one's definitely edge-of-your-seat, but there are several truly touching moments between the two main characters. Certainly worth a watch."
9,"I was able to see Rust Creek at SDFF, and I thoroughly enjoyed it! It wasn't too scary and had plenty of quiet, thoughtful moments. So it struck a nice balance between drama and action/thriller. I also love how much the environment played a part in the film, and how the Kentucky landscape is really featured. As much as I enjoyed the look and feel though, I have to say, the score is probably the highlight of the film for me."
10,"Beautifully shot, very well-written, and wonderfully acted. Hermione Corfield is a new name for me but I suspect this film could do for her what Winter's Bone did for Jennifer Lawrence. Very strong performance and a very clever story. I stumbled onto this little gem while searching with my daughter for strong female leads and we loved it."
11,Rust Creek had some clever twists that caught me by surprise. The scenery highlights the beauty in Kentucky's forests and it is great to hear that there is both a female director and writer.
12,"Well worth a watch, never dull and entertaining. Pretty much what you look for in a film."
13,"Full disclosure, I couldn't actually finish this. Too many preposterous scenarios and completely unrealistic story that a tries to reinvent the outdated ""traveler lost in the woods and threatened by hillbillies"" story. Way beyond the outer boundaries of imagination. There are better ways to portray strong women."
14,"Aside from the female lead it's a story that's been told before only this time with a weird relationship between the female lead and her would be criminal captor/rescuer
It's TV drama level acting and direction with a dull story not helping it out.
Pretty sure this would only appeal to those who have a great fear of being lost in hill billy land otherwise avoid watching"
15,"Just so hard to suspend my disbelief. A young girl beats up 2 grown men, and kills a third. Really forcing the girl power angle, and with a female director. Overrated."
16,"Too many plot holes in this film. A seemingly intelligent girl, relying on GPS and ends up on the beaten track. First of all, why not just turn around (like normal people would?). Secondly, when the Pritchet Brothers push Sawyer's car off the cliff (at the request of the Sheriff we find out), when the coast is clear, she doesn't grab her back and food/drink which considering she's injured and cold and needing sustinence would make sense, instead she just grabs her damaged mobile phone. At the point Deputy Nick gets shot by the Chief, I AM DONE. At a minimum, knowing the Sheriff is bent and must have some comprehension his (Nick) life is at risk - he'd have at least shot him in the leg or something to immobilize - no, he bends down for his dropped keys and winds up dead. Even the State Police are dumbasses and accept the evidence planted in Nick's locker after the Sheriff confirms he has ""disappeared"". Now, I have just lost interest. Not worth the $8 rental. Too many stereotypes with the rednecks in the woods - been done so many times before and so much better."
17,"Bad acting, bad script. So many illogical decisions made. The cinematography is laughable, going for stylized shots that just don't work. If the movie cut out all the extended scenes of people standing while looking at a thing or staring at a person while moody music played this movie would be about 40 minutes long. I like the idea of having a female heavy crew, but there are females out there with real talent. Maybe find them?"
18,"Ok, let's forget about the cliché opening of the lost traveller and the gruesome hillbillies. Now I only had to wait and see why Rotten Tomatoes gave this movie an 8.3. The folowing fifteen minutes were certainly original - and I'm not talking about the odd duration of certain scenes (sometimes limping and sometimes running), no, I'm talking about the completely unbelievable holes in the scenario.Why didn't the goons search the abandoned car of the girl after they left her stranded in the woods. No need for money or valuables? Ok, let's forget this as well. Next item: why didn't the police man search the car immediately (anybody interested in the drivers identity? Hey, what about a drivers license? Ever heard of a dashboard?) - Oh, and of course the police man didn't take a look in the car at all otherwise he could have picked up the girl's cell phone.
This last absurdity was right in my face when the goons drove the girl's car to a cliff and tipped it over. Conveniently the girl was hiding under the cliff and the first thing she rescued from the car wreck was... her (damaged) cell phone.
Not hair raising stupid enough? How about the car keys? They were still in the ignition when the police found the abandoned car. Why didn't the police drove the car to the police station but just left it there on the road?Ok, let's forget about all this. Could I? No, I couldn't really... because after watching countless close ups of the grimacing face of the girl - was she wounded? OMG, she was WOUNDED, go tell it on the mountain! - close ups of colorful leaves, menacing clouds and spits and spats of the rustic river I decided I had seen enough of this camouflaged C-movie with its 'scenic cinematography and its layered story that touches upon the inherent horror in being a woman.' (Rotten Tomatoes)."
19,"""Rust Creek"" 5/10 🌟🌟🌟🌟🌟
This film has ""I spit on your Grave"" written all over it. Is it because of the outta town woman who becomes terrorized by the local hillbilly boys. Or maybe because the way she's injured and stuck in their neck of the woods clinging for dear life. It also could be the shaky unapologetic sheriff or other locals who seem to not have her best interests in mind not knowing what side of the fence they're on good or evil. Whatever the case may be this movie doesn't provide enough mystery it's very rushed and the predictability meter is off the charts. Even the way it ends just isn't plausible and seems very cheesy for the film to not put more effort into the final sequence. The acting wasn't too bad but nothing marvelous to hold your breath for. I thought the storyline was interesting enough to watch it all the way through but it wasn't worth the wait. I give this a 5 The film was Ok but I would say pass if it's a take it or leave it scenario."
20,"The movie is so predictable its boring. The only good performance is the cousin who helps her. The main character makes multiple illogical and stupid mistakes I could see her making from miles away. I knew the sheriff was dirty from the start. The story itself has been done many times. Nothing is unexpected or exciting. There is even glare on the camera in multiple outside scenes. Not well made, well performed or well written. Basic as basic can be and so predictable"
21,"I came in expecting the stereotypical ""damsel in distress"" horror movie, but it turns out Rust Creek is not that. At all.
Anchored by the impressive performances of Hermione Corfield and Jay Paulson, Rust Creek is a unique little tale that offers both entertainment and food for thought. All the supporting performances were excellent and I liked the fact that it was filmed in the Kentucky woods, something rarely seen in cinema.
Always great to find an indie gem & this one checks all the boxes!"
22,"Fine acting directed to perfection as an unlikely friendship evolves beautifully, to the final scene, to one of loyalty and possibly even love. Expect to be touched as chemistry sets the scene; not only in the talk when they cook, but the male-female kind too."
23,"I gave this movie an 8 because it's realistic. If you've ever spent time living anywhere rural, especially in the southern states but not limited to, you've encountered the characters at some point. Maybe not directly, but exposure and they're pretty creepy. And the situation the main character is in is a fear people can relate to. It's got some twists, and it held my attention with a few on edge moments. If you remember the feeling Deliverance gave you, it'll entertain you. I liked it. A pretty good thriller."
24,I wouldn't label this horror. It's a thriller. I loved the actors. Some say it's been done before. I think the relationship between the young woman and the meth cook was an added bonus to making this a good film and prevented it from being a typical plot that hasn't been done before. Some say it's slow. Not at all - there's a certain crowd that wants constant explosions and gunfights. I myself love suspense in between action scenes. That's what makes a good thriller. I also didn't think the girl was stupid. I thought she was pretty smart and a good heroine.
25,"Beautifully shot, delicately directed and acted. Production design was also really detail-oriented. And a lot of scores for films like this are somewhat cookie-cutter, but not Rust Creek! The composer did a standout job. I actually noticed how much I liked the music right away. Not to mention a handful of women behind the camera in key roles! Something I love to see.
The acting really is phenomenal in this film. Hermione Corfield does such a great job, I almost forgot I was watching a movie. The relationships between the characters are believable and the pacing really kept me on my toes. I want to watch this one again because I feel like there are some details and things that I missed. It kept me on the edge of my seat and made me really take a hard look at how I would be able to survive in this kind of situation (not sure that I could, to be honest...). It was great!!"
26,Sometimes I rate a movie based on if I would watch it again because I am the kind of person who can watch a good movie many times over a period of time. This movie I will not watch again but it wasn't awful. I think the current rating of 5.8 is pretty spot on. I do think the actors did a good job though
27,"This wasn't too bad a movie as a female student is headed for a job interview, takes a wrong turn in the Kentucky wilderness, encounters some Deliverance type rednecks, snd winds up in a fight for her life and embroiled in a conspiracy with s little help from s local. I liked all the characters and the scenery and the story. Everything was a nice surprise.** 1/2 out of ****"
28,The stupidity of the heroine is really limitless. Don't waste time.
29,"It's predictable, it's unoriginal, but damn if it didn't hook me in. Actually one of the better movies I've watched where you don't have to invest or care too much.
The main actress and the guy playing Lowell just blew me away - great acting can save a mediocre plot.
Worth a watch for sure!"
30,"12/03/2020 OK, let's see???... I'm a young girl traveling alone and due to me foolishly relying on some electronic gizmo to find my way to my destination, I stop along some desolate backwoods road, get out of the safety of my hupmobile just to read my Chinese directional goo-goo map. Thankfully, I don't have to drop my dirty bloomers to go wee wee because here comes two overly friendly Hillbilly Bobs, one looks kinda normal, the other one big and fat and looks like he eats little girls like myself everyday, just for funzees. I ask you? What's wrong with this pixture Ms.Ethel? As expected the movie plays out from there like you think it would. Not necessarily a bad movie, just not really a great or scary movie but worth watching at least once. Watch for yourself and decide. Bon Appetit'"
31,"This movie wasn't bad but the beginning was its undoing. I once got off the highway in the middle of nowhere to avoid a standstill of traffic. But I'm not dumb enough to follow a GPS into a dead end. Ok, so let's get past that part. The girl encounters two guys who make her feel uncomfortable and fists fly and she runs into the woods. After she successfully hides from them, how she doesn't know her way back to her car is beyond me. I know the woods can turn you around but personally this would never happen to me. All you need is a little sense of direction to retrace your steps. The movie could've been so much better without how stupidly it started."
32,"It's well done. For a movie with suspense, it did a fairly good job. There are some parts that are a little like, 'why did she not know, it's obvious'. But overall it's worth watching."
33,Only a Woman with GPS and a Map could get lost... Haven't we seen this movie a million times before??
34,"This was a surprisingly good film that my wife and I thoroughly enjoyed. A nice original plot with a couple of twists and an excellent performance by Hermione Corfield, who's Kentucky accent happened to be extremely convincing by the English actress. Well worth a watch."
35,So naive movie or perhaps people are so stupid in real life. For real movie fans this is horrible..
36,"This had the potential to be a decent thriller, but the pacing is frustatingly slow. The heroine also makes a lot of dumb decisions which made it hard to sympathise with her predicament."
37,"My friend and I caught an early screening of Rust Creek at Soho House in Chicago. We may have screamed through the whole thing - but this is truly an outstanding indie film. Hermione Corfield is outstanding in this - she has a big career ahead of her. Jay Paulson's performance is also very, very good. The movie is a thriller- but it is also incredibly inspiring, and it's wonderful testament to the strength of a woman. My friend and I left deciding to get self defense classes. A great movie for young women to see!"
38,"8 stars here, this movie was well made. Not your run of the mill girl takes wrong turn and everything goes bad from there.
P.C. yes and no, a young girl lost and so afraid she cannot do anything right, nope.
I went into this movie thinking it will not last 15 min. This kept me entertained throughout. Give this movie a try you should not be disappointed."
39,"Minor spoilers.
I stopped watching this very average ""thriller"" after an hour..couldn't be bothered to watch it to the end. there is nothing, really nothing that kept my attention. in the beginning, there is too many unlikely coincidences, the main character behaves strange, like puts on a bandage but removes it in the next scene. and the other characters are so predictable, as is the story. save your time, skip this one!"
40,"My husband and I just streamed ""Rust Creek"". What a thrilling gut punch. Stacks of tension that never lets up. Great actors. Beautifully shot. Directed perfectly!! It is a MUST SEE!!!"
41,"One girl tries to come back home for a break but because of the jammed motorway she needs to take alternate route. That is how her story starts. Story filled with dread and horror. Nobody is prepared for what is going to unfold here. When you travel deep into the redneck's territory you are asking for trouble. Movie takes you on the trip deep into human's nature. You will see fight for survival for at least ..... 35 minutes, than the movie completely changes dynamic and the constant initial feeling of danger, dread and uncertainty evaporates and is replaced by catalougue of ""Ohhh I DID SEE THAT COMING"" and than ends with ""OHHHH I KNEW IT IS GONNA END LIKE THIS, WHAT A WASTED OPPORTUNITY"". I watched the whole movie, my wi-fe fell asleep midway through. There are far better movies of this type. I would position this somewhere between: ""Lack of substance and style"" and ""only watch if you are waiting for next episode of your favorite TV show or computer/console broke down"". Alternatively if you like this sort of movies watch first 35 minutes and than fast forward to the last 20."
42,This movie was absolutely thrilling. I was completely engaged the entire film and thought the storyline was both unique and suspenseful. 10/10 recommend for anyone looking for an intriguing plot that will certainly keep you guessing.
43,"This is an exciting thriller that kept me on the edge of my seat. While slow in some parts, this film kept me engaged and really invested in the main character's struggle to survive. Loved the twists and turns throughout the film too! Definitely check this out if you're looking for an intense thriller with vibes of Winter's Bone and Breaking Bad."
44,"RUST CREEK is a typical small scale thriller in which a young girl finds herself lost in the wooded wilderness and at the mercy of a couple of dodgy redneck characters who want her for their own nefarious purposes. She stumbles across the home of another redneck and ends up joining forces with him, although his motivations remain a mystery. It's simplistic stuff that we've seen play out time and time again, with certain character twists being entirely routine and predictable, but the cinematography's quite pretty and the performances naturalistic. It could have done with a little more suspense, though."
45,"Saw this indie gem at the San Diego Film Festival and was pleasantly surprised. Set to the backdrop of the stunning Kentucky landscape, the story of Sawyer's literal quest to survive meshes well with her more philosophical journey to discover what truly matters. Rust Creek offers a good combination of drama and thrills, as well as some unexpected twists that will keep you on the edge of your seat. Would recommend to drama/thriller lovers, indie or not!"
46,"Some of my favorite movies are tightly-wrought dramas and thrillers and this movie fits in the wheelhouse. The bells and whistles of Hollywood money always distract me, and this felt all the more gritty, real, and dangerous for its lower budget and its on-location shooting. Glad to see a tough woman in front of the camera and behind!"
47,"I gave this a 7 because of the way some bits in it were a bit silly.People would not just believe the first thing they see and you can't just bump off a police officer if you are a police officer yourself and within 2 minutes they are off the hook.Other than that the trio of main leads were Strong, relatable and they kept me interested. The relationship between them is interesting and believable.I enjoyed it, was worth a watch, different although it's not going to smash any records."
48,I cAn not Write anything here ... i would be wasting more time !
49,Average yarn with minimal tension. Young woman gets lost. Meets bad guy hillbillies. Gets injured. Runs around woods grunting (think gollum). Corrupt cop enters story. Artistic shots abound with no story value. Story drags on with more odd occurrences. Lots of goofs but what the heck. It's a time waster movie. Nothing deep here.
50,Obviously a lot of plot holes but if you can ignore them and enjoy the suspense it is pretty well acted and well shot5.8
51,"Deliciously enjoyable thriller with taught acting, strong production, engaging characters and captivating story. Well worth time and money."
52,This is the type of film that grips you and won't let go until well after the credits have rolled. This is indie film making at its best!!
53,"Sawyer (Hermione Corfield) is going for a job interview and her GPS steers her wrong. She ends up in the middle of meth country where two yokels think she saw something and want her dead. Their cousin, who does the cooking in a remote trailer, hides her in plain sight.This is another girl hunted in the woods film without the thrills of a decent chase and hunt. Sawyer is a long distance runner, which played slightly into the film but was not a major plot point without a flashback. I thought the acting was decent, but it was apparent they were struggling with a bad script. Hermione Corfield had a decent soft Southern accent for a Brit.Guide: F-word. No sex or nudity."
54,"What an amazing movie, the soundtrack, cinematography and
acting surperb throughout! Never a dull moment, in fact
I was enjoying it so much I didn't want it to end! I'm
giving this gem of a movie 8, fantastic job to everyone involved."
55,"Really well shot, beautiful scenery. I went into thinking it was a horror type film but was a solid suspense type thriller. The actors/actress are all unknown to me, they were all great performances particularly the main lead actress really did a good job throughout and her relationship/interaction with Lol was quite touching in parts and the best section of film imho. I well suggest this movie as a good watch."
56,"This movie is interesting, but in real life if you want to do a road trip across states by yourself as a woman, you need a gun to protect yourself. Guns don't kill people, people kill people, and that will be the end of the story.😁😁😁😁"
57,"Girl is lost, some guys tries to get her, she beats two guys twice her size and escapes. WTF... then boring implausible nonsense... she faint and is rescued by a a meth cooker WTF... more boring totally implausible crap... the meth cook gives his life for the girl WTF! She escapes beating an armed cop twice her size too WTF!!! It seems written by a 12 yo kid. Waste of life. AVOID!"
58,"Rust Creek's moody and evocative cinematography creates a visceral sense of the environment, bringing us closer to the protagonist's experience. Propelled by a stellar, subtle performance by Hermione Cornfield, this film is a valuable, thoughtful addition to the ""Me Too"" cannon that leaves its audience inspired and motivated to take control of their own self-defense."
59,Was not sure what to expect but this film is actually very solid & entertaining.I hope it does very well financially as it covers a lot of crime based drama with a small budget.Minimal setup easy to follow story & character motivations. Well worth your time & money as its such a well crafted movie.Barren bleak Kentucky wilderness also adds a lot of extra atmosphere to the story.
60,"Sawyer (Hermione) delivers a stunningly underplayed and authentic performance, as do most of the cast. This movie draws you in slowly and grips you till the end with well-paced and well-placed twists and turns."
61,A lower budget movie with unknowns but actually good. The Sawyer character was a pretty decent actress and sure we'll see more of her. Not great but I'm glad I dvr'd it. Based on true events which is scary because of how out of control the situation gets. I'm surprised how terrible people get that you'd think you can trust and the ones you shouldn't trust end up being good.
62,"WARNING! BEYOND HERE BE SPOILERS!
First, about 20 mins from the end of the movie, Sawyer & Lowell have just finished cooking meth for the day and they are sitting talking, shoes and socks off, relaxing and chatting while cooling themselves in the shade of the trees that line the creek banks.
The next scene shows them back at the trailer when suddenly Hollister and Buck show up to tie up a couple loose ends. Then lo-and-behold Hollister notices Wet Footprints on the unpainted wood steps leading up to the door of the trailer. He sees, not only Lowell's wet footprints, but another, much smaller set of prints as well. One would easily say a women's prints. So. The jig is up and he knows now his cousin has been lying to him all along and hiding the girl they've been frantically looking for! She's inside right this very minute!
Ah... what was that one part again? Did you say ""wet footprints on the steps""? Wet? Yes, really? Very obvious in the movie, huh? Well, see that a problem cuz they had to walk barefoot through the sand on the beach. Then through the woods, which are completely carpeted with foliage, sticks, seeds, felled and rotted trees in your path. Then I suppose by the time you got through the tall 3' grass surrounding the trailer, and across any kind of a pretense at a yard to those now infamous unpainted bare wood steps...
Do you Really think their feet would still be wet from the creek?
Secondly, at the end, like in Far Too Many Films, the good guy who finally takes down the bad guy
A) Doesn't properly check to see if they're Actually Dead, which Can, and Has been - for countless of plot lines - a major error (even fatal!) on their part!
and...
B) Just because you've shot or killed one bad guy doesn't always mean they're ALL dead or dealt with! Don't Throw or Drop. Your Weapon Until You're Absolutely Positively Without A Doubt Completely Know It's Over & You're Safe! You may still need a weapon and won't you feel stupid when you really really really need one and you realize you just had one, fully loaded and with spare mags, 20 mins ago, but Now You Don't?!
You. Just. Dropped. It. There. And. Then. Left. !
We, the audience, realize Hollywood likes for its heart of gold good guys to try and make some metaphorical ""moral high ground argument"" by making the almost-the-end-of-the-violent-gesture of throwing the gun away from themselves, after the peace-loving hero has finally been driven to violence, and it disgusts him.
Or women, apparently Hollywood thinks we like to just drop weapons wherever and whatever.
We, the women, the mothers, the nurturers, by far the vast majority of the world's population we can Thank from our hearts for taking on the responsibility of making sure children don't poke their eyes out, burn their fingers on the stove, use sharp knives, run with sizzles, freeze their tongues to the flagpoles, have easy access to household cleaners or prescriptions. We're the people they think would just drop a machete or an AK-47 anywhere on the floor? The floor we know some poor woman, just like us, is going to have to clean? Right. Just butterfingers do you suppose or hysterics?,
These are but two ( 2 !) more of my Hollywood movie pet peeves."
63,"I'm an old member here and I never wrote a review, the only reason I'm writing this is because I got so mad when I saw that the rating of this movie is 5.7 it's criminally underrated.I'm not saying that it's the best movie of the year and that you should get your hops up or anything like that. No, all I'm I'm saying is that if you enjoy good old thrillers, watch this"
64,"Really enjoyed this movie. Good twists. Builds up from average to being a great thriller. Do watch it. Acting is first class. A very well made movie, including props and scenery. You won't be disappointed."
65,"College graduate Sawyer (Hermione Corfield) is on her way to an interview for a job in Washington, D.C. She relies too much on her GPS (to avoid traffic jams on the bigger highways), and ends up on side roads thru many woods in Kentucky and gets lost. Stopping to check her paper map, she is approached by Hollister (Micah Hauptman) and his brother Buck (Daniel R. Hill) who you just know are up to no good. She is very uncomfortable and runs away from them. She is found later by Lowell (Jay Paulson) a cousin of Hollister and Buck, and Lowell makes Meth for sale.This is a very good drama and the acting by all is first rate. The whole production is first rate and deserves a wider audience. There are some twists and turns for you to discover. Can't tell you everything. Well, you will like the ending.Notables: Sean O'Bryan as Sheriff O'Doyle; Jeremy Glazer as Deputy Katz; John Marshall Jones as Commander Slattery of the State Police.Woman Director Jen McGowan did an incredible job. Kudos.Hermione Corfield is a keeper, and we will see more of her I am sure. She is every bit as good as Jennifer Lawrence was in Winter's Bone. So stay with this as it is an excellent story of a girl lost in the woods with ill-intent brothers looking for her and we hope cousin Lowell is not like them. (9/10)Violence: Yes.
Sex: No.
Nudity: No.
Humor: No
Language: Yes, but brief.
Rating: A"
66,Enjoyed this movie immensely. Good dramatic thriller. Corfield and Paulson are really good in their roles.
67,"I've seen a lot of movies and few that I would want to see again, but Rust Creek is one of those. Great story right up until the end, and the integrity of the main character is not compromised. Great directing, acting and the editor deserves a ton of credit too."
68,"This film was beautifully made. Everywhere from the script to the screen. Rust Creek is suspenseful, and it definitely keeps you at the edge of your seat. If you're looking for a movie to watch for date night, or simply just a movie to watch in your free time, this movie is for you. This movie is also relatable, as I seem to get lost all the time. One wrong turn can lead you down a road you don't want to go down, and that is terrifying. I wouldn't listen to any of the other reviews that say it's just another low budget thriller; I dare you to actually take a chance on this film, and escape into the world of rural Kentucky."
69,"Watched this movie last night and I can assure you that this is a pretty good thriller. The location, sound effects, camerawork and acting was quite mesmerizing. If you like a good cat and mouse chase in the woods then this one is for you. Just felt bad the Pritcher had to die, he really did everything to ensure the girl stays alive.I'd definitely recommend this movie for thriller fans and it really kept me engaged and at the edge of my seat throughout. 10/10 for me."
70,"Rust Creek is routine stuff and it's alright. There's nothing particularly memorable, but it's realistic and engaging enough.I would say don't get out of the car and keep the engine running when in the middle of nowhere and I'd say she still had time to jump in the car and drive away as well, but Corfield's good again. Though this character hasn't the depth or opportunity her later role in ""Sea Fever"" allows."
71,"An indie drama-thriller that veers away from its conventional 'survival-in-the-woods' roots, Jen McGowan's sophomore feature is quite a satisfying fare. The first 20-30 minutes is what I'd refer to as its setup. Sawyer (Hermione Corfield), a bright young college-goer on her way to a job interview in DC, unexpectedly gets stranded in the Kentucky woods with two vicious outlaws hot on her trail. It's what we've mostly seen in thrillers like these, the only difference here being Google Maps playing the unexpected villain.As opposed to most films where the protagonist is not even given a chance to fight back, Sawyer does. She battles her assailants and flees into the woods, bleeding profusely. Instead of heading the usual 'hunter versus hunted' route, the screenplay introduces more characters, amping up our interest quotient. DOP Michelle Lawler magnificently captures the limitless beauty of nature amid these woods. That shot of the moon in full bloom perceived through dried tree branches was simply breathtaking. The cinematography really draws you into the film's vibrant setting.The thrills, however, are kept to a bare minimum. A good part of the film's second act revolves around meth-cooking and the nuances of drug trade in rural Kentucky. Jay Paulson plays Lowell, a supporting character that's in a way, more intriguing that the protagonist herself. The climax showdown features a well-crafted set-piece, that plays out without sinking too deep into genre clichés. When I look back, the film's crux remains the elaborate relationship forged between Sawyer and Lowell, replete with philosophical exchanges. It slackens the pacing a fair bit, and works against the film's overall tone at times.Nonetheless, I liked Rust Creek for what it had to offer. I wouldn't recommend it to many thriller buffs, but for those who don't mind slow-burn thrillers with dialogue-driven character builds, it's worth a watch."
72,"This is a very tight thriller, that is a bit scary, tense and even uplifting at times. The acting is mostly very good and no one does anything that makes you totally 2nd guess their motives or if they should have. It was surprising and never predictable, has great scenery, music, and filming. Not sure why it has a very average rating, as it is QUITE close to excellent in all ways!"
73,Well paced and interesting with a few twists.I didnt rate it 7 as I felt some bits were a little predictable.Okay movie with Doritos n dip
