,0
0,"It's not your typical scary movie, but it certainly depicts real life horror. I knew going into the movie not to trust the reviews. I've often found that movies made by African-Americans about African-Americans and played by African-Americans upset a certain segment of the United States population and those individuals are very vocal and tend to write nasty reviews. So, I knew this would be no different. As the movie progressed, I saw why those particular individuals were salty. You'll see reviews that say this is ""fear mongering"" or creating racial tensions (as if they didn't already exist). One review even said it misrepresents the past. These reviews are laughable and quite disingenuous.If you're not among the salty population, then you may just enjoy this. But, and let's be honest here, if you believe the confederate flag is a symbol of your heritage, you're going to be salty AF watching this."
1,"Movie was borderline boring, predictable, i enjoyed the Trailers but so i should give credit to the people who marketed this movie more than the Producers and writers.. they did they thing pushing this garbage..
If you have ABSOLUTELY nothing else to watch on TV this might be something to have on playing in the background while your doing something else..Janelle did the best she could with her role in this movie, that's the only take away."
2,"Antebellum is a new horror thriller directed, written and produced in part by Gerard Bush and Christopher Renze. This is only their first real cinema film that they have directed together. For this they have made more short films, especially music video clips.The film is about the successful writer Veronica Henley (Janelle Monáe). She is confronted with her success by the world. She must fight the dark past and escape it before it's too late.The fact that this is the first cinema film that Gerard Bush and Christopher Renze have made is reflected in the film. The film seems to start with a clear beginning, but the plot twists that emerge later in the film only get messier and unclear. The story of the movie is somewhat like an adapted, copied version of the story of the movie Get Out. The few minor horror aspects of the movie seem to have been copied from the movie The Shining. The movie poster of this movie is even copied from the movie poster of The Silence of the Lambs.Despite the fact that the film does not have an original story, they try to incorporate a good message that responds to the current events of Black Lives Matter. This message would have come across better with a clearer script. For a better film that responds to the same current events, you better look back at Get Out. Instead of a scary horror film, the film also comes across as a fierce thriller with a history about the racism of slavery and how racism is still a problem in the world today.Due to the messy script, most of the cast do not deliver any special acting and they have all acted better in other films thanks to clearer scripts of these other films."
3,"""From the producers of Get Out"": this was what hooked me into watching this abomination. I was expecting another gripping, unique, and complex film like Get Out, but boy was I wrong. All I got was an unexplainably bad movie that would take more than words to explain how bad it is.As much as I didn't enjoy this film, I do have some positives to say. If I was to point out the best part of the film, I will tell you that the opening sequence (where all the credits show up) was the best. The cinematography was beautifully executed in the plantation sequences of the film, and this is especially true for the opening. The camera movement is similar to that of Alfonso Cuaron's Roma, where the camera doesn't focus on a particular person and moves fluidly and thusly capturing the whole scene. The opening sequence of the film was like actually walking into this Southern plantation as the camera shifted focus as it moved, just like how our attention changes to different things as we walk. Aside from the cinematography, I do think the first act of the film in the Southern plantation was actually well executed. The brutality and the desperation of slavery was well depicted in these first sequences, and I constantly felt the tension of the slavery experience. Unfortunately, this is where all the positives end, and a long list of negatives begin.The story structure of the film is really simple: there is a exposition and a conclusion. Nothing in-between. The majority of all the films ever created in the history of man follow the structure of introducing the characters, some sort of struggles in the middle, and a finale. The film Tenet was criticized for cutting the ""introduction"" segment of the plot, but at least it didn't cut the middle segment. The hero's journey that goes from the beginning of the film and the end of the film should be what fills up most of the runtime, and cutting that segment is the equivalent of removing the meat from your burger and just eating the bun. This is sadly what the film does. The movie has 2 non chronological introductions and a unsatisfying plot twist/finale and completely cuts out the middle. The movie begins by exploring the world of antebellum South, and sets up the world and the kind of world these slaves live in, and jumps back to the ""past"" where a overlong introduction of the characters begin. The movie then jumps back in the time line where the first act ended, and jams in a plot twist and a finale in the third act. So the film's structure, in summary, is just an expedition in the first 2 acts and a finale in the third act, and I cannot help but shout in the top of my lungs: WHY!!! Even a 3 year old can write something in the middle in between to fill up the gap between the begging and end of the story, but apparently the screenwriters of this film were so smart that they cut out a crucial portion of any story. This ""cutout"" of the middle results in not only a uncompelling story but also a bunch of flat characters. The main character of the movie, as she was not properly explored in the missing middle section, was nothing more than a feminist/SJW who happened to be kidnapped, and the villains of the film were just a bunch of white racist people wearing Confederate uniforms. This whole film can be told in a sentence: a black feminist/sjw is kidnapped by a bunch of Confederate wannabes and escapes. Boom! I just told you the whole story. The twist of the film, which revealed the truth, was not only extremely stupid but also poorly executed. The film makes a wide turn and tells us that all the brutally witnessed in the first act was nothing but a bunch of white wannabe confederates mistreating black people in a ""civil war enactment museum"", and everything actually happened in the present instead of the past. Not only does the film implode by undermining everything that happened, but it also executes the twist in a stupid way. No matter how stupid the truth is, most movies gradually reveal the truth. But this film just bluntly tells us that the whole show was just a cosplay party by the wannabe confederates instead of going through the process of descovering the truth. And as the truth is bluntly revealed, the film arrives to a blunt finale where the wannabes are easily killed off and the protagonist is rescued. It promptly ends with a lot of questions unanswered: why did these white people decide to dress up in confederate uniforms and capture black people? Why is the film in nonchronological order? What did they actually want to communicate? Do they want us to be aware of the fact that there still exists wannabe confederates? The answers to these questions still remain ambiguous, and I do not think I have the energy to analyze further.Overall, this is a movie that is extremely poorly written that it makes you wonder whether an actual adult wrote it. If you are desperately thirsty for horrendous movies, I strongly recommend it. But if you are expecting another Get Out, I will just tell you here that all you will find is a one-sentence plot and a bunch of flat characters."
4,"When I saw the trailer of this movie, I thought it was going to be a weird horror movie that is fun to watch. But when I watched the movie, it was so much different. There isn't any horror in it. Its not a bad movie but it's not what I expected. They're were literally people walking out of the cinema because they expected something different.Its a fine movie to watch.
But not cinema worthy.
There's no horror in it.
Its not a scary movie just violent in the way slavery."
5,Please please don't waste your time. You'll thank me later.
6,"Why didn't the writer and production team spend more time developing this story? This movie had the potential to be very interesting .One that would of been a must see, but it falls short. At first I was intrigued as well as excited,but as the movie shifted to the last part I started to get a sense of where it was heading. It just was not as clever as I had thought it would be. It is missing so much of the story and creative elements that you are left wanting. The ending twist is revealed so quickly, it makes the twist stupid. If it would of been presented in a different way it may have changed my impressions.
I will say it is visually appealing but that doesn't make up for the substance it lacks. I will tell you truly the last thoughts and feeling I had when the ending credits started was ""What it is over, where is the rest?"" Followed by a feeling of thorough disappointment.
So in short the movie starts of interesting and ends with you feeling disenchanted and let down."
7,"Systematic and institutionalised racism is a very relevant and serious problem around the world and thus I was very hopeful for this movie. However the trailer is misleading as it is not a horror/thriller; though there is heavy imagery of racism which on itself is a horror.
Let me start off by saying the the actors and actresses in the movie are amazing (Janelle always delivers) and the amazing soundtrack really brings (the only) thriller tone to the movie. However, it feels like they thought of a basic plot (which on itself is a interesting idea) and then completely butchered it. There are so many plot holes and illogical moves the characters make. To keep suspense as to what the reason is for the slave encampment they totally ignore all other characters and have them react totally illogical for modern day folk. I get the point is that they are afraid of the horrible white people, but I find it weird that Janelle's character is the only one who can save them. Wouldn't it be a better message if all the captured black people would stand up and free themselves? Instead they paint Janelle's character as a sort of beacon, while the rest of characters are portrayed as helpless and unimportant.
Next to that I find that Gabourey's character rather hypocritical for the message they are trying to get across. She says several objectifying thing to men and even touches a taxi driver without asking, which seems to make him uncomfortable. Her character says and does things which would have not been acceptable if done by a man.
The ending also tries to be smart but just ins't executed well at all, because another current problem is the extreme surveillance. HOW can two people in a car kidnap hundreds of people outside of busy and (most likely) surveillanced street. I am assuming they also transported people in the cars to the camp. Plus it is next to a tourist spot, burning bodies causes a thick smoke that is unmistakable! I'm sorry, I understand the message and the representation in the movie is important. But the plot is fucking awful... it feels like they did not think of anything."
8,"This is certainly a must see movie! I wouldn't necessarily classify it as horror, but more so as a thriller. I'm not sure why Rotten Tomatoes and many other movie review platforms gave this movie such a low rating, because it definitely wasn't deserved. I assume some folks aren't too keen of seeing portrayals of slavery or being reminded of how African Americans were treated back in the 1800s. To each his own, however, the ""slavery"" portrayal in this movie shouldn't take away from the overall brilliance and creativity of this film.This is a very well made movie with a captivating twist of an ending. Watch and see for yourselves!"
9,"I really enjoyed this movie, Forget the negative reviews, watch it yourself...."
