,0
0,"Movie that got my complete attention. The story is surprising. Genuine and progressive performance. However, the scene after the credits is illogical and affected the plot. The present antagonist would have no way of making the call. And would have no way of knowing that her version of the past has died. After all, if she from the past died ... She from the present would not exist to do anything. I wouldn't mind having a sad ending, but that ending doesn't make sense. If it had ended up in the cemetery, it would have been consistent and still sad because of the people who died and the traumatic situation of the mother and daughter."
1,"WTF was that ending???
I guess some people don't know when to stop... It made absolutely no sense whatsoever."
2,"Should have stopped at the cemetery scene. But they added a few more scenes in the credits that changed the timeline again. Didn't even make sense since throughout the film, past was calling the present. The present never called the past. Then all of a sudden she warned her past self about dying? If she died, she wouldn't have been able to warn herself. If she didn't die, she shouldn't have disappeared in the present when attacking the other girl. It's as if the writers forgot their own time travel rule. I wish Netflix will edit the credit scenes out. Even as an alternate ending, it wouldn't be plausible."
3,Good scenario with twisted story. You can't really tell who is the real evil one. And for the last months this movie was one the best among those mediocre and boring movies.
4,"The Call is complicated but not in the way it wants to be.
With a story like this one, original and very difficult to properly develop, you can have a great movie or and entertaining one but you need a really capable writer in both the cases. Unfortunately Chung-Hyun Lee is a decent director that knows how to entertain the audience but it's not a writer that knows how to handle a story this particular, even if he was the one that came up with it.
This idea, because this is what we really see here: a great idea, needed more effort into the script to be transposed into something that made sense, instead the screenplay appears shallow, messy and ignorant, with logic too often sacrificed for entertainment purposes leading to plot holes and inconsistent plot twists that make you enjoy the movie less and less until it becomes more disappointing than engaging and more nonsensical than smart."
5,"Good plot (althogh feels little bit similar to Frequency), great action and everything done almost perfectly. I was about to be amazed by how this movie ended until the last scene ruins the movie."
6,"Diabolical. Wicked. Incredible.
This movie is insane in every way. I could not take my eyes off the screen while watching."
7,"There's a few added scenes during the credits which SHOULD NOT be there, please trust me and switch off when they roll.If you do, you will have a cracking movie that will have you glued to the set til the end."
8,"... because without it you can't make Call 2, 3 and 4 - and if you've accepted the events leading up to the close out you pretty much have to accept anything can happen, at any time, with little or no rhyme or reason, evidence or justification. If you can take it for what it is and don't try to examine its flaws too deeply, can wallow in its shallows recognising that certain genres that have been milked close to extinction can still give rise to originality - you'll be thoroughly entertained, albeit feeling a little short changed when the credits begin to roll at the end."
9,"The movie was clearly very written, every scene was not boring which is honestly very rare for movies nowadays. I'm sure the writers knew how to keep people on the edge of their seats; even those with the shortest span of attention. Almost every plot twist made sense and were well-thought of. However, note that I said 'almost'. The 'real' ending of this movie is simply not counted for me. The plot twist is not even understandable. The writers should have left the initial ending as it is, since it was very emotional and I definitely shed some tears, but the ending just left almost everyone with a giant question mark. Very unsatisfying."
10,"One of the best thrillers I've watched as of late. The plot was interesting, and unlike some other time slip stories I've seen. And Park Shin Hye and Jeon Jong Seo are outstanding! Park Shin Hye's acting went from one emotion to the other with much ease. While Jeon Jong Seo was brutal, tormenting you to bits. Overall, this movie was outstanding."
11,"This is one of the best movie have ever watched. I love the story, good acting. I feel the tension really much. That was really different one. Highly recommend to watch."
12,Lee Chung hyeon made a great start in his film career. the storyline not too complicated to understand. the cast played they role perfectly especially Jeon Jong-seo as Young sook. Her acting make me scared to see her. Overall this movie are superb to watch with your family and friends.
13,"You have to buy into the absurd concept of a phone call traveling through time... and there are literally dozens of logical leaps your sane mind will have to make... but if you accept the premise, this Korean thriller generates serious chills. Park Shin-hye is fantastic and pulls together all the loose ends with a superb central performance."
14,The scenes after the credits roll completely ruined the ending of what would have been a really great movie!
15,"Excellent acting of all the casts, brilliant direction and best time lapse. It's unpredictable and mind blowing. No dull moments. The main actresses really nailed it."
16,"Definitely an interesting storyline to it and indeed overall a good movie. The highlights here are the lead characters. If it wasn't for the lack of logical or illogical explanation to things... at whatever level, this would be a much higher rating. But still if the intention is to let your imagination create realities of its own, then we'll done. Good one."
17,"The Call movie was so good... worth to watch...
Park Shin Hye is a great actress in any genre...
They're acting was so amazing...
I'll watched it again and again...
Congratulations to all..."
18,"Spoilers
Well, the plot is really gripping. I cannot stop watching until it ends. But I am a little confused about the ending. Well, I think the heroine is taken captive by the other woman. It is not a happy ending. I feel sad."
19,"What a movie!!!😮😮😮Korean thriller movies are always good and beyond expectation. Park shin hye(seo yeon) and Jeon Jong seo( young sook) both were spectacular. The movie was exceptional from the start to end. The storyline was gripping and engaging which made me watch the movie without boredom. The movie theme is pretty similar to the Korean drama series 'Signal' where communication through different time dimension is done. This movie has used the same theme to justify the different plot. Well, the director has really succeeded to showcase the thriller element in this movie pretty well. The audience who are fan of korean thriller are gonna love this movie!!👌✌"
20,I really appreciate the efforts of the whole cast and crew..I enjoyed watching it.. Parkshinhye and jungseo nailed it.
21,You know it's a good movies when Park Shin Hye is starring.
22,"Park shin hye is really a great actress..""Action Horror Queen"". A hallyu star Goddess congratulations, a very good movie. Great actress.. Congratulations❤ loving it.. I will watch again and again. Recommended Movie 2020."
23,"Even the cemitery ending was not good enough. The movie lost sense in the middle of too many plot twists. An ending with a paradox would be better: After Seo-yeon 'forgiving' her mother during the call with Young-sook, she would let Sook kill her younger version and go to jail forever. This would create a paradox. She doesn't exist in the future, so she never pick up the phone. Sook never saves her dad and is not saved by Seo-yeon as well. The movie starts all over again. The phone rings and Seo-yeon knows exactly what to do: Never pick up the phone (and then let the audience create a theory that she repeated all process until her dad is saved and then she let Sook die LOL)"
24,"It was slow but the acting was suburb on all accounts and Hye showed she can do more then rom coms, she was excellent, the filming was also done well its not a cheap made horror movie.So at the end its not really over when the credits come up if you care to see it all, set up for a sequel i think"
25,"The main actresses, the supporting actors and actresses are amazing!
The writing, the directing, everything!"
26,"WATCH IT AND YOU'LL SEE WHAT I'M TALKING ABOUT. (Also, PART 2?!)"
27,"I'm not sure how to fully comprehend the ending timeline here. There are more questions than answers of course to the entirety of the call to begin with. But I guess the main two are:1. How does the phone call connect from 1999 to present day? The viewers are suppose to take it as is I guess, no actual scientific nor paranormal explanation here, just happens as is.2. So the timeline of the two characters continue to progress as is, there's no indication of the present Young-sook alerting herself in the past until the very end and that in itself is a whole conundrum because we see the mom throwing Young-sook over the balcony and then surviving so that Seo-yeon is able to find her mom alive at the cemetery, but then as they both leave the cemetery her mom flickers and disappears because Young-sook survives the fall also. Now if the mom survives with Seo-yeon, wouldn't they call the police or at least find out at some point that Young-sook didn't die so that she would remain a threat? We only have the past calling the present until the very end, where the one instance is Young-sook is calling herself in the past which is a reversal of this mysterious phone communication. How does this happen? Lets say she figured it out and can call herself in the past, how does she find the exact moment to call herself before the mom and the police arrives at the house? Because if both timeline are continually progressing in the past and the present, won't that moment in the past also have passed? And my conundrum here is how this ending is a miss because it doesn't validate the space time continuum sequence of events here. Either leave the ending as is with the mom being alive and Young-sook dead or mom dead because Young-sook never died.Things need to add up even if we're left with a cliff hanger but unfortunately this cliff hanger ended up making no sense."
28,"Such a unique story, wonderful acting, so many twists that you are kept guessing till the end. CGI was pretty nice as well.If you want a happy ending, DO NOT watch those end credits..."
29,"Spent such a good time watching this movie. The actresses did such an Amazing job. BUT, if you are a witness of something in your past, you should be able to remember it in your present and not ask the person in the past what she did. Also the first change made me feel like i was about to watch a princess movie, i lost my immersion to the movie, for a moment. They didn't need to put all that purple and pink. Also, they should've stopped the movie in the cemetery. I still do not understand the ending. But even with those flaws i'll recommend people to watch it, because everything else was sooo good."
30,"Korea Movie is getting better & better. Park Shin Hye & Jun Jong Seo's acting really deserve an award. It's another masterpiece after ""Parasite"""
31,"The film is definitely well made and the director has done an excellent job building up the tension. Jeon Jong Seo continues to impress me and I'm looking forward to see the kind of roles she'll take on in the future. She is the strongest aspect of this movie. I did not enjoy the ending. For me personally, when i'm engaging with a story as terrifying and as devastatingly tragic as this I need there to be some sort of catharsis for the hero and for me along with them. I do not enjoy being left hanging like that."
32,I really liked this. I did think it was a bit slow to start at first but when it gets started...wow! Acting is great as well. There are a few plot holes for me but I don't care. I loved it anyway. Great story.
33,"It is a best scary movie I ever watch. Fresh story and so different from others. I have no words to express how perfect story is it. Park Shin Hye acts so excellent. Good job for the director, actors, and crews"
34,I rated the movie 1 star just because the ending that doesn't make any sense. If the serial killer came back to life and killed the protagonist's mom in the past then the serial killer will proceed to chop the protagonist with the machete anyway instead of vanishing in the air first. The ending doesn't flow with the entire story. Seeming like it is forced upon the whole picture.
35,"This movie made no sense. Yes, I understood exactly what was going on but as it pertains to the story line, it didn't add up. If her past was constantly being changed, her future self should already have experienced everything from her passed meaning she would already have those memories. I also don't like how she's the only one who gets to experience the many alternative futures but no one else. You'd think everyone who's experienced them would experience it but they don't. And her having to figure out how the future changed I think was dumb. Like I get it but that's not how time works, she's already know what was happening.If you knew someone was a serial killer and you knew they were gonna get a life sentence, post already killing two people, would you tell them? No. That not only risks your future life, which was exactly what happened, but you're letting a killer get away with murders.I kept seeing very high reviews but I didn't like this movie at all. The story line was cool but poorly executed. I don't think this movie even could be properly executed because then it wouldn't have that suspenseful thriller you're going for. I guess if you can look passed the awful timeline, you might actually enjoy this movie."
36,"A movie with a really interesting plot and overall nice development. It was really good at making the viewer feel anxious, and it did a really good job with its triller. Also, the acting was amazing.The ending, however, ruined it. Aside from leaving a bad taste in the mouth, it didn't make sense. The future called the past? That's going against the rules the movie set up from the beginning...Furthermore, the cemetery scene left a huge impression, and it gave the movie a meaning: Sometimes you take for granted the people around you and how much they love you. It was perfect. It would've been a great movie if it had stopped there. But then there had to be a credits scene just ignoring the rules the movie set up for the sake of being edgy.I was extremely frustrated and mad at myself for sticking up to see the credits. Leaves a real bad taste in the mouth."
37,This is a very interesting movie that'll keep your mind busy thinking what's gonna happen next until the very end. It has successfully made time travelling and multiverse concept more interesting. However.... The story of the movie creates too many possible timeline that is at some point confusing and the cliffhanger ending is a mess which will leave you more confused if you're looking for a logical conclusion.
38,"The trailer for The Call looked really interesting in the first 10 seconds or so and it went up on my list of movies to watch, real fast. I'm glad I didn't pay attention to the rest of the trailer. Little did I know that I was in for a surprise.Sharing information through time, changing the past/present/future, all that sounded familiar to me from movies like Back To The Future, expected very similar things to happen here. But this movie, no-no-no, this turned out to be VERY DIFFERENT. Slightly mind-bending, even.AMAZING acting, GREAT background music that keeps your attention, builds the intensity. Some really good visuals that make you go ""okay, I wasn't expecting that!"" Some really good suspense and thrill as well. Stick around for the credits!Park Shin Hye is a brilliant actress. She, needless to say, did an amazing job conveying all sorts of emotions - happy, sad, angry, scared, etc. But so did Jeon Jong-seo. Tough to say who was better in the movie. In movies like these, the villains seldom get the range of emotions to work with, and given that limitation, I'd say Jong-seo takes the cake, 51-49.I am also glad that the negative role in the movie was played by a female lead, not sure if it was a conscious decision. It would have been nothing new to have a male play that role, not sure if much would have changed in the movie either. But I'm glad that Jong-seo was picked to do this, it was refreshing to see a female killer for a change.Getting back to the movie, I have never wanted find answers as badly as I did after this movie in a long time. I watched the movie as soon as it released on Netflix so the wait for people online to watch it and share their thoughts was painstaking. 2 days of discussion later, I found some answers. Countless Youtube videos later, I still need some answers. Most videos online only discuss the obvious. And I think that adds to the effect that movie has on the audience. 10 years since Inception released, people still discuss the ending. Not that I am comparing The Call to Inception, but for those who watch Korean movies, and watch global thrillers, the ending of this movie will be talked about and discussed for a looong time.Totally worth your time!"
39,"The Call is a story about two people living in different periods of time who can communicate and are linked through a residence they share in common. This movie not only brings an original concept, but also good acting and suspense. It has some plot holes and mediocre CGI; however, it is a worthwhile 2 hour experience overall. Just make sure you keep watching past the first 30 mins or so as it gets more interesting.Rating: 7/10"
40,"A really entertaining thriller with alot of twists
It kept me entertained and it made me question each minute what would happen next, it was unpredictable and the performance of the actors was sublime.But please don't watch the scene after the credits because it'll ruin the whole story.
I suspect they want to make a sequel but that ending just doesn't make any sense at all"
41,"The first half is definitely interesting and keeps the viewers engaged. Then slowly dips into a b level horror film when a thinking thriller would have been much better suited. Several plot holes and average acting prevent this from becoming popular.And yes there are two endings, one before the credits and one after, which is added as a kinda gotcha punch but actually makes zero sense as others have accurately pointed out and just further exposes the poor story line."
