,0
0,"I really enjoyed the first 2/3 of this film. They are filled with palpable tension and a general unease at not being able to see the ""monster."" This is another example of how what you cannot see is often scarier than what you can see. The direction is great and perfectly places the viewer in Elizabeth Moss' shoes, which is what generates most of the tension as you the viewer are also unsure where this invisible person is at all times. The spin of domestic violence also lends a new, modern twist on the classic premise.Where the film falters is in its third act with some significant plot holes regarding cameras and visibility of certain actions. There were also several times where the film felt like it was at its conclusion, but kept going. The ending will likely be divisive, however I didn't hate it. The Invisible Man is technically a very well-made thriller, but loses a few marks due to some issues with the plot."
1,"I'm surprised at the number of highly negative reviews on here. Most of them pertain to plot issues. I'm all for exposing plot holes, but most of these could be easily explained with a little creativity. Just some examples: People complain that the antagonist has super-human strength. This is not the case at all. He has the advantage of the element of surprise. A moderately strong (invisible) male could lift a female in the air, and could toss her across a table; and could beat the crap out of bigger dudes. People complain about the third suit: But there could have been ten suits, and he could have lost track of a suit. People complain about the dog being at the house; but for all we know she lost track of the dog on the night of her escape and the dog returned to the house later. People complain that she would not risk her plan by taking the dog with her; but it would be simple enough to take the dog with her and meet her sister in the road, while her husband sleeps. People complain about how he gets around: but his brother could drive him; or he could jump on a bus and hide; or he could just take off the suit and drive around like a normal person; or he could put on a wig and makeup. People complain about the guards not defending themselves better; but they have never encountered an invisible man before and would not know what is going on. People complain at her reaction in the restaurant; but she would be in shock and there's no telling how a person would react to that. Some people complain about how quickly the Uber driver arrives; but the scene does show her looking at her phone (and the Uber app), and we don't know how much time has elapsed before this time. (It's possible that she was running and hiding in the neighborhood for 5 minutes.) Maybe the husband developed the suit at a research facility and made a few extra suits for himself and took them home. I'm not saying there are no plot holes, but the complaints here are far too harsh, and lack imagination. The movie is novel, suspenseful, and interesting, and well-acted. (This is not exactly a plot-hole, but wouldn't a DNA test on the fetus prove that it was his son, and thereby implicate him in the crimes? The brothers weren't twins.)"
2,"H.G. Wells's original The Invisible Man (1897) suggests that rather than something as powerful as invisibility being used for the betterment of mankind, it would instead be used to fulfil private desires, ultimately leading to the moral corruption of otherwise good men. In probably the best cinematic adaptation, Hollow Man (2000), this is taken much further, with the suggestion that the results of invisibility would be nothing less than sexual violence, evil, and madness. However, despite the centrality of this theme in the core story, reframing the template as a tale of domestic abuse and PTSD, as happens in this latest adaptation, which focuses not on the male scientist but on a female victim of his, is a fascinating idea, creating the potential for some timely #MeToo social commentary, particularly as it relates to issues of not believing women who accuse powerful men of gaslighting. But potential only gets you so far, and what could have been a really insightful film eventually proves itself relatively incapable of using issues of domestic abuse as anything other than plot points to get from one predictable scare to the next.The film begins as Cecilia Kass (Elisabeth Moss) is putting into motion a plan to leave her domineering and abusive boyfriend, Adrian Griffin (Oliver Jackson-Cohen), a wealthy pioneer in optics. Having drugged him, she leaves their high-tech home in the middle of the night and is picked up nearby by her sister Emily (Harriet Dyer), who takes her to stay with their childhood friend, James Lanier (Aldis Hodge), a policeman living with his daughter Sydney (Storm Reid). Although assured that Adrian can't find her, Cecilia is clearly suffering from agoraphobia and paranoia. That is until Adrian commits suicide. Contacted by his brother Tom (Michael Dorman) who's handling his estate, Cecilia learns that Adrian has left her $5 million. However, despite her best efforts to move on, she just can't shake the feeling that Adrian is still around, watching her, sometimes even in the same room as her. And the surer she becomes that he's not dead, the more everyone else becomes worried about her mental well-being.Written and directed by Leigh Whannell, this latest adaptation of Wells's original is not actually about the invisible man. Indeed, short of a background shot of him lying in bed, a shot showing only his torso as he runs through a forest, and a close-up of his hand, actor Oliver Jackson-Cohen doesn't even appear on screen prior to his apparent suicide. Adrian is not only the invisible man of the plot, so too is his character ideologically invisible. Which makes its own statement, and it's a statement worth making - men like him don't need to be present to continue to cause harm. In this sense, at least initially, the film is more concerned with the fear Adrian has instilled in Cecilia; in the early stages, Cecilia's main enemy isn't Adrian so much her inability to move on from him. Along the same lines, the film looks at issues of how women who accuse powerful men of gaslighting are often ignored or openly disbelieved.Aesthetically, the film looks terrific, particularly Stefan Duscio's cinematography, into which is built Cecilia's paranoia. For example, countless scenes involve the camera panning away from her, moving across the room, showing us nothing at all, and then panning back. Ordinarily, this would be textbook unmotivated camera movement, but here it conveys how Cecelia fears there may be something in the corner to which we panned. And now, thanks to that camera pan, so do we. There are also many shots which in another film would be awful framing; isolating Cecilia in the frame and filling up so much of the screen's real-estate with empty negative space. Except, again, in this film, such negative space has an ominousness not applicable to regular thrillers. In this way, Whannell can instil fear and dread simply by pointing the camera at an empty room without the need for any FX, VFX, makeup, elaborate props etc (which no doubt played a significant role in keeping the budget down to a minuscule $7 million). And I'd be remiss if I didn't mention Moss's performance, which is excellent, especially given that so much of it is her on her own reacting to nothing whatsoever, having to communicate confusion, fear, anger etc through little more than her expression.Before talking about why I didn't like the film, however, I want to reiterate that I honestly can't say how much I admire the idea to reconstitute the genre template as a story about domestic violence. And it's an especially timely reconstitution, coming as it does in the era of #MeToo, when so many powerful men, once considered invisible in everything but name, able to perpetrate their crimes with impunity, have been revealed as the monsters they are. So I have no problem with the ideological paradigm shift. My problem is with the execution.For one thing, we know from the get-go that Cecilia isn't imagining things, that Adrian faked his suicide and is now stalking her whilst invisible. This isn't a twist, and the film makes no attempt to hide it. Granted, this is kind of unavoidable given how well-known the property is, but had the film allowed for even a little bit of ambiguity, it could have done wonders for emotional complexity, turning a story about invisibility into a story possibly about mental collapse. This would have effectively placed the audience in the same position as the other characters, doubting Cecilia's state of mind, which would, in turn, have enhanced the potency of the socio-political allegory. Another thing that bothered me is that in a film so focused on surveillance and privacy, there are several scenes where if there is even one functioning CCTV camera, the movie ends. A pivotal scene in a restaurant is an especially egregious example of this - one grainy image from a camera, and Cecilia can prove she's not going nuts and the whole plot unravels.However, my biggest problem is that what starts as a fascinating study of the lasting ramifications of domestic violence ultimately descends into genre stupidity, with a ridiculously over-the-top final act that says nothing of interest about anything. True, Hollow Man has a pretty over-the-top final act too, but Hollow Man never saw itself as anything other than a schlocky genre affair, whereas The Invisible Man clearly does. The fact that Whannell ultimately undermines himself in this way, deploying such important themes merely to get him to the gory dénouement, is especially frustrating insofar as he genuinely did originally seem to have some interesting things to say. Tied to this is that Adrian is introduced as such an abhorrent character from the start, void of nuance or subtlety. Domestic abusers aren't monotone evil-doers, oftentimes, they're very charming on the surface, and any film claiming to be a serious examination of this topic would make room to address this.Although The Invisible Man was very well reviewed and a huge box-office hit, it left me disappointed and frustrated. Initially positioning itself as an insightful allegory for the difficulty victims of domestic abuse have in moving on with their lives even after the abuser is gone, it eventually privileges genre beats and cheap thrills over emotional complexity. Which is a huge shame and a massively missed opportunity."
3,"When you first watch the movie you're thinking okay this is pretty good. Interesting. Starts slow but it builds up and the ending is nice. She gets away with killing the abusive ex boyfriend and lives happily ever after.But after thinking about things for a minute you realize... other than her saying it you don't see any real indication that he did much to her. You are pretty much taking her word for everything. And then when it comes to the boyfriend... what is it about him? You see yeah he can be manipulative but you barely see that. But then you see the main thing the movie is about... the invisible suit and what are they really made for? Who were they made for and how many of those suits did he really have?Then on top of that when you're learning about the boyfriend you learn that he is supposed to be on top of everything. Very observant . And knows what is going on in his place. And especially when it comes to those suits he would know how many he has and what's going on with them. YET when she hides one of those suits that doesn't register in his mind. Like she took the suit off of the dummy, didn't replace it on the dummy in the place... and in fact was attacked moments later. So it should've been known that the suit was missing AND that it would be in the closet or somewhere leading towards the closet since that where she went and yet... nothing.Then there is the scene where her sister gets her throat cut in the middle of a fancy restaurant. And the thing about any eating establishment... there are cameras everywhere. The fancier it is the more cameras there would be. So how is it that they were so sure she killed her sister and didn't spend a single second looking at any of the video footage? Because if they would have spent any time they would have seen a floating knife to notice... something isn't right. But nope somehow all of that was ignored and she was just immediately guilty.And there was the when the daughter got hit while the main girl was down on the ground. Like she's starting to get back up to her feet and is a little distance away. The daughter gets hit and doesn't register that there is no way she could have hit me. Something had to have hit me. Nope. Like if you're on your hands and knees there is no way you're generating enough force to knock someone to the ground and that didn't register with the girl.But yeah its like if you watch the movie and remove your mind from it then its pretty good. But if you start thinking about it you notice things that should've been thought through differently and at least fleshed out a lot more. So that's why the rating went from a near 8 down to a 4. Its just not as good as initially and originally thought."
4,I'm sorry but at times I just don't understand the reviews on this site. There were soooooooo many plot holes it just ruined what other wise could have been a half decent film. I'm afraid that a good film can easily be ruined when the narrative simply doesn't follow and this is one of those cases.
5,"7.5 rating on here I thought this would turn out to be a pretty decent movie. What I got instead was a boring mess. Zero character development, no emotional connection to the main characters to make you care what happens to them. Do yourself a favor and find something else."
6,"What would you do if your abusive ex figured out a way to stalk you without fear of being discovered? That's the conceit at the centre of Leigh Whannell's latest film, The Invisible Man, a nail-biting thriller that has more on its mind than providing simple thrills.Starring Elisabeth Moss as Cecilia Kass, a woman who is rendered helpless in the face of an invisible evil, Whannell spins H.G. Wells classic science fiction novel of the same name into a timely and provocative exploration of psychological abuse.Having escaped from a controlling relationship, Cecilia's rehabilitation is cut short by the sudden intrusion of her ex who has figured out how to regain control over her life without anyone knowing: by becoming invisible.Expertly utilising sci-fi trappings to take gaslighting to a whole new extreme, the film depicts first-hand the anxieties faced by many modern-day survivors of abuse. As Cecilia stresses to those around her that her genius scientist ex has become invisible, we are left conflicted by knowing the truth of her words but also the understanding that, without hard evidence, it's hard to accept her story at face value.By operating in that grey area, The Invisible Man proves the horror genre to be one of the most effective means to reflect modern day anxieties to mass audiences.The trade-off, however, is that by focusing solely on Cecilia's plight, the films feels somewhat underexplained in terms of its villain. Certain actions of his seem straight up superhuman and, without an explanation, it feels as if some logical concessions have been made for dramatic purposes. Granted, to Whannell's credit, he wisely abides by the notion that leaving certain things up to the imagination is better than over explaining to the point of exhaustion.Where so many would-be franchises have failed by focusing too much on setting up sequels, The Invisible Man plays squarely to its strength as a strong, character driven film. Whether it connects to an extended universe remains to be seen, but the film, much like its protagonist, feels much stronger standing on its own."
7,"Mediocre thriller filled with illogical plot holes. The first third of the movie is marginally alright. After it transitions into a sci fi comedy, with the main protagonist playing John Wick, while the main antagonist plays an inverse Bruce Wayne. In this fictional universe, security guards are apparently trained at a bakery. Cameras make no sound whatsoever. Are amazingly waterproof and stain-phobic. Not even paint can stain those. Little girls have a 6th sense for rape and murder. The penetration of a can of pepper spray is equal to that of a cannon ball. Physical objects are ephemeral in nature when it comes to rain drops hitting them. I mean, god damn, i need to get me a set od those god like cameras. And Nat Geo should too, probably.This movie is not even good for making fun of, if you wish to watch a dumb movie with your friends and have a good time - go watch As Above So Below."
8,"The guy puts on a suit, becomes invisible to irritate his wife. So there's no ghost but a man in suit. Then how did he commute? He's covering long distances to follow her everywhere. How is that possible for an invisible guy? Is he driving - but there was no sign of his car? If brother is driving him around - Where is his car too? Is nobody noticing a car with no driver?
It would be so easy for a crazy guy like him being invisible to tie her down one night, throw in his car & take her away instead of playing with her quilts.
In one scene, she got hold of another suit which she could wear & become invisible herself. Won't that make more sense?
But she locked it in house & ran back only to come back later for then end stunt.
One more point - roads have CCTV but not a hospital. Howcome receptionists don't see anything or call 911.
Very unthoughtful movie."
9,I can't begin to convey how bad this thing is. Elisabeth Moss spends the entire movie looking like she has to use the bathroom. The scenes are too long and the music is way too loud and overwhelming. Bottom lime is Hollywood makes another reboot that stinks up the joint. Total waste of time. Can't hold a candle to the original. Make this movie invisible!
