,0
0,"While everybody complains about the lousy action, the terrible state of Cage, I want to point out another reason NOT to see this movie. The camerawork, it's awful, then there is shaky cam (a lot of it), then they glued the camera to the guns, then unnecessary closeups, it's terrible."
1,"Someone did it, they made a movie actually worse than the new mutants. You figured that someone who makes a movie about a fighting style will make it youknow action, Japanese, etc idk instead some big brain at holy wood made this a uh predator movie ripoff i think? It makes no sense, I read the plot this morning on imdb but when I actually watched the movie itself, I still didn't even get the whole plot of this movie. The effects are laughably bad, they even copied Ang Lee's Hulk out of all things and used the comic transitions (at least Hulk was a comic book character so I could see what they were doing but they added it here FOR NO REASON AT ALL). The camera work for the action is AWFUL, it even spins completely and reminds you the time when you were a kid and you were spinning the thingy at the playground super fast then you layed on it. I remember one time it was even first person out of nowhere! That predator creature is literally the predator who has healing powers but looks more like Yoshimitsu from Tekken 7 who comes out every 6 years (why its 6 years i guess doesn't matter, maybe he gets a 6 year break) and we don't even know his motivations or his endgame at all. The final fight of the movie even reminds me of mortal kombat Annihilation (which is funny because an actor in this movie was a stunt double for liu kang in MKA) and it's ridiculous, you're telling me that no one EVER tried destroying the portal or guarding it or blocking it or sending the predator ripoff back into the portal? The acting is also terrible and Nicholas Cage shows up like 40 minutes in the movie then gets killed off after knowing the creature for years and doing nothing. Conveniently, a drink that literally mutes pain is just in time so this love interest (the way she was introduced literally shows her popping out of nowhere) doesn't die but oh no like any of the other characters needed that. The new mutants (while very bad, don't even deny it) at least had a tone which was horror or teen drama in a way, fit the characters that were in the movie but this movie shows in characters that for the most part don't even fit. I'm surprised this was even made, i wonder what the budget was. It says a lot when your movie is lower than Batman & Robin on IMDB"
2,"Writer's ""inspiration"" was Alien, Ninja Turtles, Mortal Kombat, Guyver. However, for some twisted reason, he decide to put all that into one movie. There is no story line, no motivation for main characters' actions, no cinematography.
The only beautiful shot was when two of the characters were walking across a field, shot from above. No acting, despite Cage's honorable attempts.I would forgive all of the above, if, atleast there was real Jiu Jitsu. As the name states, this movei is about the martial art. However, most of the fighting was the regular, Holywood style, flashy fighting. Here and there there were some Jiu Jitsu specific moves and that it.Please avoid wasting your time."
3,"The effects are ridiculous, the story disjointed and making no sense, the acting is horrible. I mean, I would love to be able to say ""except Nicholas Cage"", but he is also really bad. And the cast is filled with actors you've seen before and respected for their work: Cage, Rick Yune, Tony Jaa, Frank Grillo, Juju Chan. I mean, they were never Shakespearean thespians, but they did action well. Guess what: the fight scenes are bad! I mean, this is like someone made efforts to mess this movie up! The only way one can enjoy this is being drunk out of their minds and laughing all the time."
4,"I don't mind hokey, contrived plots if the action's good. But the action isn't good.This movie is a complete waste of time. Go watch some old Jackie Chan movies if you want great fights, or old John Woo flicks for brilliant, original fight choreography. Don't waste your time on this garbage."
5,.. I'm still waitingI can disregard the lame sci-fi and Predator look-alike stuff.I can live with the lousy sound and scoreI'm okay with the blood being painted on afterwardsI just want to see some nice well choreographed Jiu Jitsu.But alas - the camera crew has apparently never filmed martial arts before. And - the stunt choreographer didn't get the memo that the style should be Jiu-Jitsu.
6,"I saw a short clip of this movie a few weeks back and it looked great, so I was really looking forward to it.Note: they scripted the lead actor to have memory loss to hide the lack of acting talent. He did great at nailing the confused dumb look though.
The only one who could act was cage, and the plot and script sucked big time.
The fight scenes felt like watching the power ranger series.
Major let down"
7,"One of the worst movies ever!!! We all know Cage´s movies are a straight-to-DVD and this is just another cheap Cage movie. I couldn´t give it a zero rating because there is no choice for that. I wanted to see it because of Tony Jaa´s martial arts talents but the movie does not let you enjoy Jaa´s fights unlike his own movies like Ong-Bak or Tom Yum Goong (a.k.a. The Protector).
This movie also reminded me of another awful movie ""Beyond Skyline"" which I also wanted to watch because Iko Uwais´martial arts talents but these two movies have the same bad script, bad acting (Frank Grillo in both,btw),bad cinematography,bad sound, etc.
You better stick to Tony Jaa´s and Iko Uwais´ previous movies (The Raid 1 &2) which are awesomely choreographed."
8,"When I decided to watch this movie I knew it was going to be bad, but I thought the script/story would be bad, not the action and cgi as well. This looked like a low budget, ""fanmade"" cgi. The action scenes, besides being unrealistic and excessively long, gets boring to the point where you actually want to skip them. I couldn't finish the movie, is that bad."
9,I would not recommend this movie. The story line and the SGI are not enough to hide the cheesy acting and bad directing
10,"Nicolas Cage and Frank Grillo are in this movie, but it ain't a guarantee this is a good movie. In fact, this is a bad one! DO NOT waste your time watching this movie!"
11,"Being a massive Nicholas Cage fan, I was sincerely looking forward to this movie. But I cannot tell how bad this movie was. I was waiting for 39 minutes through the movie telling myself that it might turn out to be okay when Cage appears but there was nothing redeeming this movie from its extremely bad direction. Don't get me wrong here. I still love Nicholas Cage but this just isn't my favorite one of his.Despite having a great pool of cast members, this movie goes on to show that every element of a production is important to make a successful movie.1. The action scenes were way too amateurish.
2. I've seen better CG done by tiktokers.
3. The pauses were way too long.
4. The bgm is basically the same throughout the entire movie and sounded like it was from the 60s.
5. The story cuts were seriously disconnected and hard (""boring"") to follow.
6. The camera angles for some action shots were all wrong.I would have given this 0 stars if I could. Still can't believe I've watched this in 2020."
12,"I don't know why Nick Cage keeps doing these cheezy movie roles... this is the worst on yet... Hope he works on getting his quality up... no more national tresure or face off 2, con-air 2? he used to be my favorite actor... good thing Bruce Wills didn't do it... Up your game Nick! Get Uncle Francis to help you!"
13,"Cage is again stuck in a crappy film .
His acting is good but the script directing cgi all suck
And a list of no name actors to boot
If your going to hire Nick Cage make it worth the audience's time !"
