,0
0,"For this type of movie I thought the director got pretty much everything just right. The acting, the sets, the music, the storyline, everything worked to give us a thoroughly enjoyable film."
1,"An incredible film from beginning to end, historically accurate set and costume design, performances of the actors was fantastic. I love love love the accuracy of the portrayal of combat in full metal plate armor and the violence of battle. I love that they blurr Henry V by Shakespeare and historical drama incredibly well."
2,"Not sure what to expect when watching this. Truley gritty film. The acting was superb.
The battle scenes were truly realistic. Nice change from Netflix terrible films they've put their name on."
3,This was epic. The acting was amazing. Near perfect writing. The actor who played Henry (Timothee C) should be a big star. Great presence. Take the time to watch this. I'm glad I did. High quality stuff.
4,"WHEN OPERA BECOMES REALITY / One of Netflix's strongest titles. The work simply becomes reality and it is like being in the theater all the time and time flies. A stellar cast that plays its part in a credible and passionate way. Timothée, once again, confirms to be one of the most promising stars of the current decade and Michod has only done what was not done since the days of Ridley Scott's Gladiator."
5,Beautiful cinematography with fantastic performances and direction. I understand why Chalamet is the next big thing now. The bloke from Twilight was good too.
6,"I went into the movie with modest expectations. I wasn't expecting a masterpiece, but I absolutely wasn't expecting this. I was blown away by this movie. It kept me interested from start to finish. Even though the movie contains a lot fewer battle scenes than previously expected, it was still intriguing and made any battle scene that much more rewarding. This could be the movie that helps Netflix win their first academy award for best picture. I highly recommend that anyone with a Netflix account watch this. You won't regret it."
7,"I'm grateful that Netflix are pumping money into films like this and is a great sign of things to come.This movie has some great acting, a superb script and some great sets and costumes. This all adds to the authenticity of this 15th century English period piece. I do have a few problems with the film like some of the 15th century language can be hard to follow and I don't think this film will be as good on Netflix as it was when I just saw it at the Venice film festival.Despite my issues with the film, I think it's great and would recommend it to any film lovers."
8,"Whether it was historically accurate or not, this was an excellent movie with great acting. The battle scenes were realistic and the story flowed well. I wish it was a series it was that good ."
9,"Yes it's not historically accurate blah blah but it's a damn fine piece of filmmaking. Great script, direction, performances, cinematography and a wonderful soundtrack. The casting is spot on. And though I've seen it a number of times now, I still get a knot in my stomach before the battle. THAT says something! Patterson's portrayal of the Dauphin could have so easily have been clownish, but it is tinged with menace and works so well. He chews up every scene he's in. This is very good cinema indeed."
10,"Once I went to a medieval times restaurant with my father. The section we were seated in was the ""Green Knight"" section and the Green Knight turned out to be the villain of the play before us. My father got a bit excited by this. At one point the king declared that he was making peace with the Green Knight's country. My father then shouted ""No peace, war! War!"" I feel like almost everyone in this movie is doing the exact same thing for Hal.Now, I'm quite a fan of Shakespeare as well as something of an amateur historian. I have a small library of books dedicated to British history and the monarchy. So I was excited by the announcement of this film as it touched two passions of mine. Needless to say, it wasn't quite what I thought it would beIt's very clear that this production is only minimally based on the famous Shakespeare plays. They borrow the characters and follow the same plot to a degree, but it bears very little resemblance to the plays beyond that. This isn't about the matter of language, but more the feel and actual story of the plays.That's not always a bad thing. The character of Falstaff is not just a cowardly buffoon like in the plays, but an interesting man and capable warrior even. Still a drunk yes, but his character is richer and has more depth than in the plays.No my main problem is Hal. Though acted well, Hal just feels so very out of place in this story. Like I said about my father, Hal is the king desiring peace while my father is everyone in England desiring war. Hal feels like a 21st century man in a medieval drama. It just doesn't fit, especially not in history.The real Hal, or Henry V, was actually a man of his time: a brilliant warrior and quite the opposite of the pacifist he seems in this film. The fact of the times is that war was popular in medieval times, and war with France was very popular in England as they had quite the rivalry. There is a reason Henry V's son, Henry VI was deposed twice: peace, especially with France, was seen as weakness. Henry V would have been raised from the cradle to believe France was the enemy and England should defeat it. It just struck me as so completely out of step to have Hal be so against war. Perhaps they were afraid they would make him look like a warmonger, but that would have been easily enough to avoid. Rather they fail to grasp that this is a historical film, and the truth of the matter is war was the most effective means of diplomacy and brought about glory and popularity. There is a reason Richard the Lionheart has a better reputation than he probably deserves in England: war equaled strength and in that day a man wanted to be seen as strong.It's not a bad movie. The acting is good, the story isn't bad either, but it clearly wasn't meant for people like me. If I didn't understand the tine period as well as I do, know the plays so well, nor have studied the true history as I have, I probably could have given this a higher score. It's a good drama, but Hal just stands out as out of place and nothing like a true medieval king."
11,"Why do they do this? Who does Hollywood think it is exactly with this unadulterated fiction? To have the temerity to fictionalize major facts of the life of an historical figure takes some kind of elevated opinion of yourself.Here's a newsflash: Henry V was the member of his family most keen for war with France; Henry IV and Thomas favored peace. For reasons known only to Netflix, precisely the opposite is portrayed in this film.So Daddy disinherited Henry and made Thomas the heir, really?? (NOPE) So Thomas was green and got killed in battle before Henry IV died, really?? (Both sons were seasoned warriors, and Thomas died well after Agincourt.) So Falstaff (Sir John Oldcastle) heroically died at Agincourt, really?? (Henry executed him in 1417.) There's much more, but the point is made.So sick of historical figures being transformed into someone they weren't to suit whatever message the screenwriter is pushing. Just. stop."
12,"Just saw this film and it is captivating. What ever you do don't believe the low rating some others have given it because it is not accurate and you will need to question the motivations of those scoring this film so low when it is worthy of much more. Maybe a touch of jealously cause it is a Netflix film. The acting is superb with a great script, crisp cinematography and wonderful sound. The director transports us in the 15th century and we are captivated by the situation King Henry V finds himself in. Surrounded by corruption and men who are willing to kill each other for property and status.All the cast was brilliant and the two lead actors were exceptional.The only negative is that it is a touch long. I say that it was long but I can't see anything that could have been left out. I saw it at the cinema but I think if you were watching it at home you could pause it and still return to be immersed where you left off.I hope we see more from this team as they did a great job."
