,0
0,"I did two combat deployments to Afghanistan and one to Iraq. I can tell you without a doubt this movie is the most accurate representation of FOB/COP life, soldier lingo, and to an extent the combat.Most reviews I've read complain of sub-par dialogue and not a clear story as to what was going on prior to the attack, but I bet that most of the reviews were from people who have never been to war. In war Dialogue between soldiers is not interesting, it's dark, unfiltered, and usually disgusting. We degrade each other, fight each other, we say things so offensive and disgusting that most people would think we have issues. In war you also don't always have a clear cut mission that you can make into some grand Hollywood story. When you deploy you are supposed to find bad guys and help locals, that's it. Those hoping war has some interesting story will be disappointed. You sit around bored, exhausted, missing home, working out, eating garbage food, piss in tubes/bottles (first movie I've seen that showed the bottles), burn your own crap, watch movies, go on patrol and maybe get shot at. Every so often you get a big mission where the combat gets intense. Then it's rinse and repeat, that's how it is and I'm sure prior to the attack, that's how life on Keating was. This movie depicts life in the military so accurately that I was like ""my gosh finally someone did it, they got it right it"". So to anyone reading this, this is as real as you'll find it until something else is made. All those who talk smack about it are idiot keyboard warriors.The combat itself is good, explosions look real even the CGI ones were ok, none of that dumb fireball explosion crap, the dust and smoke generated from shooting and explosions to the point the soldiers in the movie were coughing from it was legit. Now I wasn't in this battle but I've been in my fair share of fights I can tell you that tracer rounds aren't as fruitful as you see here. Most of the time you get shot at an have no idea where it came from except maybe a general direction. Muzzle flashes also are hard to see unless it's at night and you could see them all over in this movie. Usually you just see dust or smoke from where they shot, not flashes. But Hollywood has to do this for the effect as it does makes firefights look cool and without seeing tracer bullets whiz by it takes away from the intensity.
Also the soldiers were able to yell and talk to each other from long distances. Yea that doesn't happen, war is ungodly loud, you have to be screaming in a dudes ear to hear you.
When the air support showed up finally, how it was being controlled didn't make sense, but that's just me being nit picky as not many people know what the hell is going on with that.
The tactics were decent, you could tell there was some military advising for sure but some things didn't make sense. Not sure if that's how it happened or just Hollywood though.Overall if you want to watch the most realistic depiction of how the war in Afghanistan is, this is it. To all the naysayers saying this is garbage, hate the way the soldiers talk to each other, or wish there was a more clear story/mission, you obviously have never been there.RIP to all the fallen in this battle"
1,"PREMISE - The Outpost depicts the battle of Outpost Keating, known as the Battle of Kamdesh, which took place on October 3rd 2009, close to the border with Pakistan in Afghanistan. The Outpost itself was located on the bend of a river in a valley, completely overlooked by high mountains on all sides. It was simply put, a nigntmare to defend and a prime target to over run. So it would be that 300 Taliban fighters would attempt to do just that over two fateful days that October.
In addition to the harsh terrain the location had other issues. Helicopter re-supply was extremely challenging and dangerous and could only be conducted at night (A previous re-supply attempted killed 12 people, not depicted in the movie) meaning only night landings when there was no moon were possible. Due the nature of the base being located effectively in the bottom of a funnel, in-direct fire support from artillary was impossible and the nearest close air-support was thirty minutes away. Into this nightmare scenario 53 American Soldiers were expected to defend the worst position possible, so the stage was set for a modern day Zulu and one of the bloodiest close quarter conflicts of the war in Afghanistan.THE CAST - Casting here is impressive and suspiciously full of the children and grandchildren of famous actors and directors. (Jagger, Gibson, Eastwood, Attenborough) Knowing full well that it is difficult to often tell men apart in uniform during depictions of conflict on screen, we have an interesting range of faces, the most easy to spot of which is SCOTT EASTWOOD, proving to be every bit his Father's son as Staff Sgt Clint Romesha, he and CALEB LANDRY JONES both give stand out performances but the rest of the cast are solid too, special mentions to: CORY HARDRICT, TAYLOR JOHN SMITH. and the ever dependable JACK KESY. Senior Officers are played by MILO GIBSON (Whose making a good name for himself despite the challenge of having to fill size 22 shoes) and ORLANDO BLOOM, who appears to have come full circle from playing PFC Blackburn in Blackhawk Down to playing Captain Keating here, whom the camp was ultimately named after. A number of younger British actors do incredibly well and even Producer JOHNATHAN YUNGER gets in on the action!PRODUCTION - The film was predominantly shot in Bulgaria, as you would expect for a film being produced by Millenium Pictures, but the set up for the camp is convincing and adequately conveys the issues facing the defenders, although the depiction of the terrain is slightly different. The first half of the film tells the story of the various officers who were stationed at the camp before leaving the final third of the film to depict the battle. It is here where ex-soldier turned director ROD LURIE and DOP LORENZO SENATORE do a superb job of giving us a balls to the wall depiction of the final assault and place you firmly in the middle of it, making me regret I could not have experienced the sequence on the big screen. Several long takes (all the rage these days) give a very realistic depiction of following one character in the battle, then another. They also employ a clever techique of depicting the deaths of the real personnel involved, seen primarily form the third person, which felt like a sensible and sensitive approach to the issue in question. One of the most dependable sargeants is wounded early on during the firefight which has an impact on the battle morale of the soldiers whom find themselves fighting for their lives minute by minute. Enough screen time is given to depicting the local political problems facing the American officers, who did their best under extremely challenging circumstances to placate locals.OVERALL - This film is one of the best depictions of close quarter fighting since Blackhawk Down and is extremely well handled. Some of the earlier dialogue between the soldiers lets the film down a little bit. Yes, we know soldiers do talk like this from time to time but some of lines are cringeworthy to say the least and I am sure this dialogue could have easily been improved upon, but minor gripes aside the film is a pretty gripping depiction of a stupid military blunder which cost the lives of several young men, completely unnecessarily. It does seem a shame however, that the release of this film, may have torpedoed a second film on the subject (RED PLATOON) based on the book written by Medal of Honour winner Clinton Romesha (Played by Scott Eastwood) - Eastwood was not able to speak to Romesha when researching the role he depicted due to this conflict which feels a real shame. So it is possible, we might see a second film depicting the battle. Bring it on."
2,"This movie (despite its occasional poor reviews) is fantastic. On a film basis, the movie does a great job introducing you to characters you'd want to learn the true story of. I read the book by Clinton Romesha (depicted by Scott Eastwood) last year entitled ""Red Platoon"" and always had an interest in learning more about the events that unfolded that day. This movie, in my opinion, did the book justice. As far as filmography is concerned, it was great. Realistic action, gunfire, explosions, etc. that youd expect to see in a war movie. The added aspect of realism was the trauma that you can see in the actors portrayal of their characters eyes that can only be a glimpse into what they experienced. Watch the movie, read the book, or vice-versa. Just remember the names."
3,"I was a 2LT on my first deployment to Afghanistan and a Captain by my third. I am guessing that the film producers used some top notch military advisors, because, frankly, the book was sloppily written and full of cliches and errors on many levels. But the film itself is, for the already problematic and almost never accurate in detail or large picture, genre of war film, quite a good film.
On of the professional reviewers I read complained about troops ""bullying each other."" Really? WTF. That is very accurate and perfectly natural. Everyone is on the edge of their nerves and the banter you hear is accurate. There are a few small technical problems with the way the Taliban troops are shown to deploy and fight. But overall what you are looking at in this film is fairly true.
Could it have done more to convey the visceral nature of the fighting around some of the FOB and outposts? Yes, but I am not sure how.Give it a watch."
4,"Very accurately captures how soldiers interact with one another. The trailer worried me with a few ""Hollywood"" sounding one-liners but the dialogue, action sequences and genuine experience make it very authentic. I really enjoy how the film highlights the various leadership styles and approaches from those in command. This is a great film that I hope gets more attention 9/10."
5,"This is a great movie. Indeed there are, but there are a couple of great things about it:this was a movie based on true eventsthe action scenes are exciting and provide an engaging visual fellingthere is no sugar coating, the actions depicted on the movie real and truthfulIt follows a similar line to 13 Hours: The Secret Soldiers of Benghazi, which I liked a lot too. The storytelling around the lives of each soldier are built differently, but the goal here is not to explore the lives of each of them, but to understand the challenges of fighting a war in a place clearly indefensible. There are no protections against the mountains and everyone knows it, even the viewer as you get the first glimpse of the environment the soldiers were put in.I recommend this movie and I think you will like it if you also like movie based on true events."
6,"I thought this would be a B movie, but it is actually really good. It is truly intense, and brings you to the outpost where you feel threatened and desperate. I really enjoyed it."
7,"I didn't even know this movie was being made, but I first heard about it when it was touted as a ""pro-America military movie."" I wasn't exactly sure what that meant, but it sounded better than the alternative.I served in Operation Enduring Freedom 7 and 8, in a little Forward Operating Base called FOB Tillman, named after Army Ranger Pat Tillman who died in that area (Paktika Province of Afghanistan, a few kilometers from the Paki border). We were one small Infantry company (A Company, 2/87) in a remote area, which was populated by neutral locals and Taliban forces. The American media called it a ""hot zone,"" and it was. The similarities between the setting in The Outpost and the reality of my unit's experiences are startling. Obviously, I'm a biased reviewer.That being said: I thought this movie was incredible! There were a couple of things I questioned the accuracy of, like soldiers firing full-auto M4s and the somewhat casual behavior of soldiers in an obvious death trap; but overall this movie gets just about everything right. Down to the small details like the water bottle used as counterweights to keep the exterior doors closed, and the local Afghan elder with the red dye in his beard. Those are the kinds of details that SO many Hollywood interpretations overlook. Also, the story this movie relates is an incredible tale of heroism, sacrifice and brotherhood, which really are common in the US military. Watching this film was a cathartic experience for me, as well as an enjoyable movie-going one."
8,"11 year army veteran. This rates in my top 3 films for realism and truth to the combat experience. Uniforms to terminology, they nailed it. Thank you for making this film and putting in the research."
9,"Very much in the mold of Zulu (1964). Love the realism of being in a real war, with ammunition and bombs going off left, right and center, and soldiers forced on extreme survival skills to battle incredible odds. Some fort - surrounded on all sides by mountains. Outpost is 100% certified as a feminist-free GUY popcorn-movie. Was going to give it a 7, but, in the light of that, think I'll give it an 8."
